PolicyRegParamNorm,AverageAbsQ,MaxEsReturn,MaxReturn,AveragePolicySurr,AverageAbsQYDiff,AverageForwardProgress,AverageQ,StdForwardProgress,AverageQLoss,AverageDiscountedReturn,AverageY,MinReturn,MinForwardProgress,MaxForwardProgress,StdEsReturn,MinEsReturn,Epoch,AverageEsReturn,StdReturn,AverageReturn,AverageAction,QFunRegParamNorm,AverageAbsY
15.6919,0.0858601,10.6655978462,5.60108953371,0.0627155,0.101875276314,-0.00251075275919,-0.0858601,0.0109770484287,0.0122056,-1.11637838632,0.0160151245453,-7.48391527421,-0.0341703939218,0.0315678340906,3.42232618971,-6.76443726393,9,1.25623147474,2.22955526189,-1.1561331057,0.992371,15.1072,0.0205941550127
16.1563,0.0151954,16.2946614216,21.1511954102,-0.0309664,0.00398171490101,0.0411811273032,0.012003,0.0255429514752,6.05237e-05,4.23690544393,0.0121605804295,-7.71997657926,-0.0250346714756,0.115186858669,5.32338101529,-6.10548935594,10,3.28884306438,5.24987132345,5.92876654994,0.988438,15.2969,0.0158030986766
16.2585,0.0245757,20.6626806909,23.2160999379,-0.0292999,0.00420177727877,0.0391127981308,0.02222,0.0282615127928,5.56725e-05,3.89145063595,0.0222659027162,-12.0017832371,-0.0461755881489,0.125015502443,4.80985137306,-1.95481260656,11,6.38198891256,5.81057103443,5.49540953562,0.999869,15.6459,0.024905821955
16.3798,0.0334352,15.9270994595,6.03859877415,-0.0266626,0.00453432279563,-0.140186645079,0.0238536,0.0949539995455,6.78918e-05,-17.1390048937,0.0238753731099,-88.3140602784,-0.412798820549,0.0482079432295,70.8510035544,-210.707044109,12,-39.6076177861,19.4861108264,-33.0109651728,0.920524,16.0981,0.0337144189194
16.5426,0.0408453,-4.86189966018,7.88506034815,-0.0161441,0.0054424258901,-0.0520749290336,0.0178189,0.0371259990605,0.000117611,-10.1849890441,0.0177762009968,-39.3163608732,-0.177610145747,0.0508413033504,54.3465598035,-228.069082788,13,-27.6410670334,7.75409948452,-13.4894375271,0.935744,16.6283,0.041040192182
16.7195,0.0454474,-0.377616300687,6.15184541645,-0.00416237,0.00901898048623,-0.00541101095332,0.00795597,0.0118169327662,0.000474349,-2.2325565861,0.00784472384883,-8.76518971459,-0.0361084839144,0.0354684179516,38.5383832097,-154.797610234,14,-46.7446371925,2.45083930738,-2.51177492217,0.966357,17.2318,0.0466772878839
17.1627,0.0563771,5.09103456209,8.10128106705,0.00786223,0.00905300490751,0.00486622918448,-0.00531143,0.0168492993639,0.000381987,-1.14499248835,-0.00543592918632,-9.84608618256,-0.0337437695363,0.0495305980787,7.64285015422,-39.4006789968,15,-5.03502353301,3.71110993636,-1.24676771571,0.94452,17.8278,0.057186927814
17.4831,0.0660712,4.55796943957,-0.724004226155,-0.00651142,0.0118554070227,-0.0053232779673,-0.0138825,0.00363369052146,0.000574985,-4.99143199471,-0.0140167866287,-8.16686604886,-0.0182955456663,0.00661703808218,2.80825379963,-6.87994901048,16,-2.18256609382,1.06757724188,-5.24133818882,0.934653,18.4287,0.0670287918839
17.4914,0.0883172,-3.40535520869,-1.63158735122,-0.0181481,0.0149952896626,-0.00552853748322,-0.00149174,0.00379058128783,0.000836804,-4.99981340097,-0.00178743374834,-8.23937006964,-0.0170180497109,0.0048569228027,0.883798308715,-8.12176364727,17,-5.37082933582,1.32980453822,-5.24353855939,0.953592,18.9683,0.0895626130604
17.4212,0.10591,5.05194124358,12.1874570735,-0.00601383,0.0184663342814,0.00347502619572,-0.0101386,0.0158165927197,0.00109053,-1.31521290037,-0.0104486745765,-9.6891361436,-0.0352083402843,0.066806260357,2.7109673277,-6.86589244017,18,-2.6754725551,3.38658602325,-1.39643627441,0.863957,19.5038,0.107085428081
