StdEsReturn,MaxEsReturn,MinReturn,AverageAbsY,StdReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsQ,MaxReturn,AverageQLoss,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,AverageAction,Epoch,AverageReturn,MinEsReturn,AverageY,AverageQ,AverageEsReturn
113.324502723,412.523260972,345.854362238,8.89110512743,18.2052856025,31.6858,0.226136716197,8.89422,427.692333467,0.263478,60,185.855796497,33.7605,-9.26701,0.682329,60,406.343559436,7.23122745514,8.88783184733,8.88624,169.129436599
111.530723947,422.171316818,244.392560734,9.08529968284,8.32936313947,31.9418,0.241112169757,9.08815,275.474272317,0.306926,61,141.608759781,34.1189,-9.4522,0.693432,61,257.73234264,23.0885488902,9.08310262525,9.08021,139.688795365
64.1987882317,413.3432409,248.064937785,9.2651153196,66.9594119657,32.1942,0.248488880299,9.26943,471.90044376,0.35681,62,148.515069108,34.4999,-9.63666,0.75539,62,283.514820474,187.230410291,9.26354399867,9.26245,283.717765365
140.204880507,438.156507335,324.677506067,9.45737207584,10.2162494549,32.4339,0.251696402899,9.46123,406.53898264,0.335762,63,180.952756516,34.8787,-9.85487,0.744282,63,376.963403342,32.7154037431,9.45539956252,9.45336,207.62732129
121.645667151,358.135824923,300.341825866,9.65210304768,43.0870143222,32.7008,0.253891681653,9.6563,538.148644187,0.361314,64,170.952913995,35.2441,-10.0349,0.746157,64,365.853785334,11.0039181311,9.64940713332,9.64774,247.138691992
140.848737148,429.670153355,58.0456768009,9.87204875941,78.5509766484,32.9359,0.272857851717,9.87571,380.461028732,0.409558,65,166.158683785,35.6251,-10.2644,0.757566,65,336.693730423,14.559582328,9.86997878098,9.86806,228.048543837
138.462286181,390.82929633,48.2156352565,10.0656109975,144.185061283,33.2415,0.263766742593,10.0698,409.886429925,0.384058,66,86.4070479225,35.9512,-10.4575,0.816325,66,147.644335622,10.9310475868,10.0629675113,10.0615,184.157287734
124.927526627,415.022065157,365.437430239,10.3058316166,71.9808348157,33.6201,0.262958911792,10.3108,656.564771085,0.343228,67,190.108355458,36.2418,-10.6893,0.800977,67,436.07439815,15.9852570229,10.3014684069,10.2994,230.964746497
113.132981522,367.916832651,286.142606802,10.4544593522,28.3698725019,33.9682,0.267373682386,10.4582,410.381592348,0.36165,68,162.992528234,36.5623,-10.842,0.767504,68,329.602157211,52.3915375684,10.4475880319,10.4457,243.793002742
128.685151865,379.562419924,133.596361068,10.6577302019,75.3192981834,34.1941,0.271835699478,10.6622,326.812394629,0.392909,69,127.7867642,36.8761,-11.0534,0.751204,69,220.430016632,8.02419813455,10.6501767545,10.6493,228.047730174
131.178404842,414.476695764,231.642018012,10.8650241629,35.3210093063,34.4546,0.279578721333,10.8682,371.993797687,0.412068,70,163.58415663,37.1957,-11.2752,0.77972,70,319.497234579,6.86501557952,10.8588833303,10.8556,199.868439842
127.278018878,339.306776738,266.679724971,11.0702679694,12.7767230938,34.6343,0.287567135573,11.0756,338.419225745,0.444452,71,159.400512304,37.5275,-11.4775,0.768261,71,307.340742491,13.6766168388,11.0661914931,11.0647,173.516619224
86.4119050079,328.57431015,71.2902245918,11.258587182,27.314445127,34.8454,0.294695821741,11.2647,328.698890005,0.451942,72,157.804474453,37.8494,-11.6819,0.794177,72,294.067581911,49.3359846776,11.2541774019,11.2516,224.168447256
122.125708534,393.735270235,146.135242024,11.5004130835,60.4821581782,35.0788,0.279485941655,11.5061,358.284964409,0.418861,73,144.770634545,38.1342,-11.9058,0.810834,73,264.89989963,40.5731201534,11.4931391707,11.4917,223.679919994
103.069693882,384.07408984,41.1799991593,11.6532420046,75.5266203653,35.205,0.30445065955,11.6594,314.778261646,0.503634,74,113.718068333,38.481,-12.0635,0.816778,74,186.36757857,19.076537877,11.6439326133,11.642,185.90768098
124.131855152,380.849872031,259.803856516,11.8538926771,28.1019355597,35.3604,0.307749336715,11.86,385.080855944,0.519363,75,172.712596684,38.8072,-12.2963,0.742406,75,351.185826042,18.4891305378,11.8458019549,11.8434,256.137288749
132.360529525,401.207865393,62.174676795,12.0573899752,64.7707147574,35.6214,0.31032749675,12.0634,355.905549166,0.535707,76,142.170228607,39.0973,-12.4823,0.788833,76,256.03144346,4.69320878609,12.0483946464,12.0472,257.007268247
105.799239354,345.76942169,259.222549535,12.3041503328,20.7687415994,35.8204,0.306273441086,12.31,359.144681851,0.495319,77,163.277805122,39.4076,-12.7609,0.722167,77,315.144640143,28.5497281092,12.3005795535,12.2985,224.217094136
102.259485188,349.531746388,306.389096866,12.4942715844,14.4599507321,35.9926,0.295032018948,12.4995,392.346443455,0.439382,78,170.037569846,39.6753,-12.9559,0.743327,78,339.835882955,36.7121935927,12.492302041,12.49,221.349420864
102.01121839,305.586640945,353.248177674,12.6896403498,15.0788650963,36.1763,0.325816076746,12.6958,417.052114882,0.580169,79,187.275000226,40.0226,-13.1364,0.728664,79,387.680143284,5.93045815885,12.6874830027,12.6855,150.432080156
102.163117786,374.30965666,47.9784067323,12.8482454847,98.3637234819,36.3402,0.298270545107,12.8561,373.079264383,0.45305,80,161.621464284,40.2727,-13.31,0.718,80,320.066411509,10.5716258752,12.8450250474,12.8439,246.571931207
120.653220946,403.326639757,271.092010866,13.0707263293,10.9291816194,36.5367,0.327068961356,13.078,336.057967162,0.575167,81,160.6263131,40.5817,-13.5296,0.771701,81,308.204431694,6.85845883653,13.0653759274,13.0635,256.67913895
100.655588882,313.6655712,412.213454186,13.2864795678,27.89065822,36.7151,0.331645775932,13.2931,534.284430347,0.589236,82,212.979060572,40.8524,-13.7483,0.768838,82,495.908767833,9.55649209287,13.2796770616,13.2773,173.317846699
127.244458367,464.680929281,307.466750674,13.4936749391,54.5209715024,36.8895,0.323221085514,13.4991,488.93818732,0.5625,83,194.620003126,41.1321,-13.9765,0.743438,83,428.246456488,39.8673613407,13.487902607,13.4863,252.999622886
109.169448019,314.651988846,267.072826818,13.7776324476,8.62878723556,37.0584,0.335488826765,13.7837,308.077303251,0.626691,84,156.191860932,41.4278,-14.2613,0.7372,84,288.260748541,8.88207616266,13.7732965178,13.7718,153.791316341
112.924623854,307.991819089,222.375566968,13.9851693336,8.36936167845,37.1766,0.346331098804,13.991,253.418939945,0.653795,85,139.913819643,41.6606,-14.4821,0.76038,85,239.056187003,13.8167849992,13.9817701655,13.9797,181.43731623
102.97913574,296.257432773,262.02192633,14.1592582192,7.13344106021,37.3401,0.342856732283,14.1665,297.034694328,0.606554,86,150.418983709,41.9012,-14.6726,0.707432,86,273.473321552,4.50090162328,14.1551916827,14.1526,124.51230795
87.0832471547,294.0086382,210.894954441,14.3625587435,10.0952719606,37.4994,0.335873881874,14.3712,255.708117244,0.633482,87,137.509814051,42.1904,-14.8598,0.72232,87,235.66682333,23.3014402074,14.3595217669,14.3575,184.479287601
99.478965207,300.520119553,225.936506387,14.5614461878,9.08555138972,37.6214,0.347590800926,14.567,265.609121721,0.709458,88,144.629597834,42.4683,-15.0527,0.746345,88,251.154428839,9.44121612523,14.5568980648,14.5546,161.939943074
100.98711781,298.688953103,207.418520863,14.7455570408,13.6966860287,37.7522,0.343548171782,14.7541,270.816828119,0.65889,89,135.307189126,42.7237,-15.2411,0.735696,89,228.556761593,8.21748058646,14.7423222431,14.741,148.43973841
111.450311186,301.061809755,211.992524434,14.967850649,5.80327828207,37.9044,0.357388225762,14.9754,243.719299983,0.692088,90,132.739978074,42.9288,-15.4704,0.768006,90,223.727621875,5.4756374681,14.9650307133,14.9623,149.502746748
77.1543585153,292.506968712,246.427899153,15.1358892335,6.68981071806,38.0282,0.360563786846,15.143,274.639614695,0.721565,91,147.569452742,43.2196,-15.6304,0.740573,91,260.957180307,6.80605052785,15.1334973624,15.131,216.163858484
94.2148422915,279.762517234,202.592342498,15.281132206,6.97483107328,38.2119,0.381481573756,15.2907,254.302730433,0.88231,92,136.960717212,43.4965,-15.7821,0.745246,92,236.337238921,8.30744644683,15.2787851319,15.2772,153.640045639
87.1890268556,342.749820117,146.773976064,15.5544507462,34.9487475811,38.3783,0.361817448346,15.5625,274.106600568,0.712895,93,118.818176918,43.7347,-16.0359,0.754861,93,188.56698353,37.3378518948,15.5518977314,15.5498,209.846284251
79.0709488324,259.849682205,146.7507541,15.7518914244,23.8191772781,38.5277,0.364214526061,15.7607,238.621553838,0.798176,94,120.029421037,44.0027,-16.2448,0.753012,94,191.281982686,15.17038969,15.7493127305,15.747,167.719971415
75.1073130498,278.405878122,131.13451682,15.853932365,28.7384714677,38.7579,0.380365748675,15.8629,220.689692534,0.819762,95,107.615517541,44.2944,-16.3561,0.731126,95,162.6491687,35.5392997938,15.8517888363,15.8494,199.735181345
122.705686418,323.311914024,273.105370001,16.1091918486,5.61009640017,38.9176,0.364552516767,16.1184,306.07136021,0.737104,96,156.136646021,44.5455,-16.6172,0.725621,96,291.024870972,9.45340491476,16.1078106629,16.1063,161.699044465
96.7013591598,309.758483941,147.453178276,16.2392479199,52.203019619,39.0498,0.36069373892,16.2478,353.580058954,0.725172,97,154.581633904,44.7555,-16.745,0.761566,97,288.157658973,8.44538410405,16.2376994338,16.236,213.895109427
110.728968657,324.619526622,148.398345688,16.36997369,45.2790495242,39.1767,0.40368003636,16.3796,292.23273019,0.942705,98,139.070609831,45.063,-16.8776,0.793666,98,242.758139508,9.33046549022,16.3684778653,16.3662,209.386973181
131.145435745,376.585216686,142.528883735,16.5582994881,66.1495170849,39.3322,0.38672603897,16.5657,425.958237122,0.942837,99,138.173822247,45.3193,-17.0453,0.79164,99,242.388152926,5.13093037357,16.5564954866,16.5546,153.492205344
143.483671052,459.645778713,148.01404493,16.7152255192,63.1044704973,39.4748,0.373287485463,16.7243,442.263832421,0.755399,100,160.097612159,45.5219,-17.2153,0.812574,100,307.581856942,15.4516090731,16.7133704316,16.7114,218.539837534
142.207816951,451.393961928,137.015184061,16.8858406382,71.1050214447,39.6721,0.387667680379,16.8954,350.088537769,0.910743,101,128.322194044,45.7198,-17.3739,0.794897,101,217.55583322,21.4100620094,16.8838088336,16.8831,219.093484314
149.933504758,497.614076198,384.317904267,17.0605253677,27.541535825,39.8435,0.403738876863,17.0679,472.910472532,0.944355,102,194.437595002,45.9804,-17.5681,0.702182,102,419.447501596,7.78775699706,17.0582792893,17.0557,161.087908219
154.257579696,531.319157225,141.820525108,17.1498979186,105.48763614,39.9473,0.404797326167,17.1594,496.16586066,0.949005,103,166.779795727,46.2548,-17.6472,0.754221,103,334.972428524,8.58790167714,17.1474281313,17.1443,220.90380446
150.593653738,467.640543462,377.496152292,17.2855718802,53.9879945584,40.1203,0.416693496949,17.2971,578.475859648,0.964298,104,214.025964697,46.4932,-17.8147,0.753829,104,511.339127791,8.3653503233,17.283778024,17.2812,201.13661195
118.564686835,356.177115362,285.754152656,17.3989408879,22.8115718264,40.2278,0.425174805851,17.4063,358.065001914,1.00819,105,165.687906507,46.6968,-17.9508,0.694139,105,322.981137753,11.0198504042,17.3974405722,17.3945,185.303893991
113.2034417,396.518246149,344.87226692,17.7264303315,21.7889049654,40.3517,0.415980223628,17.7348,457.477885656,0.984423,106,179.9062744,46.9571,-18.2509,0.676207,106,374.59015392,18.8526401789,17.7243792321,17.7223,248.827302622
