Epoch,AverageAbsY,AverageQLoss,AverageAbsQYDiff,Iteration,MinEsReturn,QFunRegParamNorm,StdReturn,PolicyRegParamNorm,MaxEsReturn,AverageAction,MinReturn,AverageQ,AverageAbsQ,MaxReturn,AverageEsReturn,AverageY,AverageDiscountedReturn,AveragePolicySurr,AverageReturn,StdEsReturn
9,0.707117585937,2.56608,1.45527267657,9,0.886839400371,11.1656,0.250099624557,11.1828,160.048953744,0.038558,11.4290014354,-0.748242,0.748242,13.0089345495,14.7191748086,0.707030971915,11.4859370083,0.475782,12.2388866346,16.9860201939
10,0.396119873069,0.0391656,0.103669722197,10,-0.411763282662,11.2828,0.0804829195779,12.3203,5.66739361537,0.999844,1.47590024463,0.393169,0.39476,1.90529450643,2.32814868532,0.395850888021,1.70732859383,-0.48989,1.70189272793,0.835407514279
11,0.35764930469,0.00756015,0.0508237918545,11,1.11760015103,11.3855,0.0787068557042,12.77,4.19109539412,0.999971,1.50792539933,0.35659,0.357937,1.88130338635,2.28412615756,0.357298873635,1.70661759392,-0.426699,1.70116849072,0.552750497865
12,0.401676432987,0.00369829,0.0374760480008,12,0.828976713771,11.4569,0.44968775317,13.3007,5.39457511803,0.999524,0.74423746212,0.400883,0.404489,2.03264068431,2.32456106745,0.401234087224,1.39722196156,-0.456407,1.35323823324,0.712927707726
13,0.404056724172,0.00226132,0.0310150719494,13,-1.14679263353,11.5343,0.548582536166,13.9697,7.30186060055,0.992289,-1.26017697772,0.403098,0.40738,0.686677041333,1.37267094911,0.403134646167,0.352341445723,-0.440731,0.200179874927,1.18649312139
14,0.382151415412,0.00177559,0.0276696526057,14,-1.93510584575,11.5935,4.03802536277,14.4328,43.8197534064,0.803563,7.03428136939,0.379712,0.38494,23.6279702358,1.58145238392,0.37984876313,13.5383246881,-0.403745,16.1999732977,5.10376801501
15,0.372932580067,0.00160898,0.0264320924289,15,-0.786672970444,11.7302,30.796740191,15.0512,84.8861965014,0.723563,16.0056314223,0.370276,0.374781,217.6769321,18.616566465,0.370366924712,32.4867005154,-0.429323,41.511087649,22.8606065454
16,0.3997954021,0.00151426,0.0247726093067,16,2.61575439165,11.9345,53.8414594428,15.6882,201.219698578,0.863213,37.8326744039,0.398619,0.401086,197.05115051,51.9969862328,0.398805533434,57.0890691374,-0.449233,78.7152732064,44.8584819724
17,0.421977000382,0.00149038,0.0239075364313,17,3.57839558639,12.225,21.6635463264,16.3506,204.470081445,0.916283,38.2936022627,0.420864,0.423215,209.138959478,60.6669168607,0.420941622337,121.199810687,-0.466701,199.059731772,59.0639532263
18,0.438676162666,0.00157013,0.0235824641252,18,2.20856972057,12.5133,8.42578947101,16.8241,213.075648021,0.653838,51.9111090627,0.437393,0.439756,132.221601812,124.101410299,0.437495814119,49.5626338346,-0.478225,62.3402396026,74.7681421183
19,0.451166491041,0.00141468,0.0218756389007,19,3.05613336637,12.8712,53.4804440088,17.7166,217.238264951,0.93698,58.7743047476,0.449804,0.452114,218.315721579,150.554290043,0.449804080261,117.622856849,-0.49396,192.503317988,74.1022757762
20,0.469170814041,0.00148313,0.0211166168164,20,100.943616586,13.1594,2.65715375639,18.4302,218.967877131,0.890693,64.9053091341,0.46746,0.469799,79.2745548688,183.117513376,0.467572150374,57.7909542296,-0.510236,73.0728994923,37.7094971103
21,0.48554325046,0.00180785,0.0226106834389,21,56.5613002501,13.5872,2.06860883281,19.0141,210.559737818,0.900823,203.587541986,0.483973,0.48622,214.679762041,129.09698569,0.484083008343,126.744842687,-0.527338,210.547672936,63.257942369
22,0.504548913922,0.00184167,0.0222000511657,22,55.2729323415,13.9944,2.31023068096,19.7305,206.693438547,0.946926,199.108053563,0.503439,0.505116,212.277855894,149.383707614,0.503563354221,125.489194524,-0.548657,206.678206127,59.3800902932
23,0.522465699918,0.00168537,0.0214941576246,23,83.8031303005,14.4101,10.4083389413,20.4975,223.463850431,0.91155,175.631160555,0.521432,0.523049,222.319063908,158.206679413,0.521560465212,111.986217135,-0.581391,195.985217987,47.0319416094
24,0.565466271557,0.00196547,0.0237660780195,24,126.572301226,14.9297,24.4629839433,20.6867,245.584232342,0.873575,156.091890565,0.564251,0.565867,231.737352218,210.901131874,0.564459440058,117.876528987,-0.633786,208.290844894,35.2044663155
25,0.604343830101,0.00205376,0.0231309141321,25,27.236049799,15.4863,44.9492746333,21.0959,244.824727607,0.846912,125.674099601,0.603267,0.60484,302.031163015,149.998349263,0.603355965796,122.268609627,-0.666331,217.996081678,71.6649909062
26,0.634459733503,0.00216357,0.0232140330186,26,24.8259142113,15.972,57.3160885288,21.6768,373.144483507,0.855773,183.972127538,0.633331,0.634936,383.554518992,169.214764344,0.633519724551,153.934396235,-0.691381,306.977588051,106.076989452
27,0.664101960472,0.00211249,0.0230908888938,27,70.669247199,16.4517,3.65956040557,22.0907,259.689023734,0.832571,187.196731695,0.66318,0.664619,206.663179547,175.403667476,0.663332596514,118.613676987,-0.722132,198.641240332,58.492405831
28,0.689247848032,0.0023793,0.0240360142508,28,166.864652724,16.9596,2.22723061612,22.4987,434.155673143,0.803004,185.128218804,0.688354,0.689659,198.950816004,235.90219006,0.68855696197,116.943855051,-0.745879,190.811860652,84.1084151071
29,0.719419727293,0.00232817,0.0241773868723,29,5.5533659803,17.3891,4.68699136677,22.9048,328.287617372,0.852922,162.648408058,0.718746,0.719801,184.768968914,163.839599307,0.718921194711,107.465966475,-0.777794,172.592026129,104.37022416
30,0.744473601033,0.0025114,0.0252135351744,30,93.7706218721,17.904,9.18947698029,23.5449,215.192502191,0.854785,187.854469818,0.743773,0.744857,237.721800627,171.760643712,0.743938397666,118.120416508,-0.803386,201.036356209,43.8369989794
31,0.768906284552,0.00207744,0.0240250156265,31,52.9895153207,18.2959,23.4553187908,24.0655,256.784225063,0.845502,256.930974237,0.768188,0.769455,380.642845198,174.684145796,0.768336156461,143.320922562,-0.827462,308.898086632,58.2889753684
32,0.801482835546,0.00283471,0.0262191159694,32,36.9820276286,18.8562,40.7749069978,24.538,269.255909718,0.846951,222.319312826,0.800647,0.801876,388.263257168,181.030305878,0.800853997585,141.460023264,-0.858768,320.389579433,61.3906300291
33,0.830015545813,0.00314195,0.0271361663391,33,49.6576817379,19.3356,38.2488677397,24.8113,338.164045796,0.888239,170.937467137,0.829211,0.83044,367.606356199,204.114767444,0.829409536835,117.920649462,-0.890884,207.175643305,102.55961595
34,0.859043718809,0.00316687,0.0278308807614,34,90.7706748974,19.8968,50.2678347681,25.2416,342.022132885,0.889084,117.240506954,0.858194,0.859499,397.612617479,210.697984344,0.85836874025,146.414848486,-0.920036,343.343571676,87.1832845877
35,0.890603713197,0.00395654,0.0301581048298,35,6.76144614062,20.4863,113.414102354,25.7228,312.740802923,0.882677,135.678689669,0.889798,0.89106,473.527115667,139.554396603,0.890086722349,136.061607533,-0.954428,284.211994052,78.7501798511
36,0.920263192197,0.00383547,0.0305293569295,36,168.601938679,20.9954,87.1640803607,26.0948,420.011059165,0.818217,221.246828722,0.919454,0.920883,499.822861294,270.475297902,0.919658677803,143.571174595,-0.984991,357.620941938,88.8094119806
37,0.95403016415,0.00377325,0.0298086455649,37,6.1119534892,21.4385,20.3728362591,26.4324,432.523420409,0.803373,359.856072475,0.953318,0.954686,448.327047981,222.160836828,0.953443616202,151.897399539,-1.01888,402.111302484,160.927908351
38,0.982258697294,0.00449248,0.0315656380298,38,60.2997445256,21.92,21.1305623696,26.7746,380.368212464,0.875329,235.972607119,0.981291,0.982858,338.494711643,216.169451309,0.981493243766,143.668866996,-1.04443,271.634850728,115.515697253
39,1.00868046043,0.00453326,0.0331036322213,39,94.2123947719,22.3938,92.6871809445,27.0858,576.546797875,0.814853,425.319013779,1.00785,1.00929,783.556119985,303.570014635,1.00804948693,193.380075346,-1.07003,563.315821782,138.386308
40,1.0382938618,0.00445586,0.0326299090384,40,67.3744412646,22.8543,14.2106842082,27.5213,753.803047652,0.890459,222.803298776,1.03753,1.03897,290.714301763,358.014306568,1.03764875452,143.846775943,-1.1,259.899524221,211.869655682
41,1.06402766329,0.00490529,0.0338631625181,41,12.9938296223,23.3623,14.2962487372,27.9348,973.467017574,0.851917,301.967250221,1.06321,1.06465,367.172534347,297.479753306,1.06340572125,168.869056344,-1.12919,338.610773783,300.859299978
42,1.09710291561,0.00465618,0.0344255884434,42,48.3427998565,23.8125,16.655422858,28.3433,400.83461854,0.858516,249.870038028,1.09631,1.09779,329.804811724,223.630946425,1.0964779318,144.916234524,-1.16425,281.997124763,131.865764756
43,1.12743536562,0.00570836,0.0365923796672,43,9.13710466003,24.3269,39.1129421025,28.719,568.756983546,0.857721,177.747724458,1.12679,1.12816,361.043321549,197.867412863,1.12692230905,157.882200817,-1.19468,311.421935172,181.202384832
44,1.15486950623,0.00526187,0.0357556003969,44,9.16372513668,24.7189,11.5457304271,28.9467,445.41775308,0.825948,343.28277412,1.15413,1.15562,400.011458078,206.81250815,1.15443064756,169.655884078,-1.22172,368.939344866,153.126643784
45,1.18986310448,0.00563466,0.0364929987691,45,10.8979697511,25.1393,159.380234061,29.1981,397.225804794,0.611503,90.7655787942,1.18937,1.19057,607.418792824,209.347055727,1.1894807978,120.044557955,-1.25635,336.124235848,146.591528228
46,1.21701677995,0.00574828,0.0377994192426,46,9.98361943204,25.5521,164.822174729,29.45,580.215020353,0.410837,28.608603272,1.21639,1.21748,991.715235329,285.246606961,1.2166172956,40.5962665435,-1.2875,93.8521142962,186.847700055
47,1.24967417213,0.00536023,0.0370106832445,47,5.43504282138,25.9105,14.6659083551,29.7325,547.835276701,0.781638,222.001204857,1.24903,1.25028,286.75718389,187.315865287,1.24927859718,130.689573938,-1.31856,252.421608922,172.450924909
48,1.27465513592,0.00558966,0.0380985782105,48,5.80400385974,26.3109,6.83349024091,29.9932,397.074276376,0.897554,260.948096962,1.27421,1.27547,302.754476056,107.706100745,1.27427147194,150.682256011,-1.34381,281.658929598,130.950296178
49,1.29983965869,0.00629131,0.039460398846,49,41.829374622,26.6586,22.4724015482,30.2707,428.772743728,0.883399,147.620805587,1.29927,1.30062,306.40863563,270.08014668,1.29947136574,153.295006101,-1.3678,286.188477428,131.282654162
50,1.33132187951,0.0075981,0.0414553335017,50,6.82661129807,26.9827,107.823519182,30.56,452.142458332,0.754718,39.3096614168,1.3306,1.33223,424.037774593,159.68161013,1.33084464705,91.762677297,-1.39895,160.712982951,147.948025573
