MinEsReturn,Iteration,StdEsReturn,AverageAbsY,AverageAbsQ,AverageEsReturn,AverageQLoss,MaxReturn,AveragePolicySurr,AverageReturn,MaxEsReturn,AverageY,Epoch,QFunRegParamNorm,AverageDiscountedReturn,StdReturn,PolicyRegParamNorm,AverageAction,MinReturn,AverageAbsQYDiff,AverageQ
-321.422660836,9,30.3276272966,1.61910760067,0.415869,-287.766342437,3.08603,-225.925391061,0.522768,-291.01107362,-238.243531404,-1.61910760067,9,9.7958,-27.21226145,32.7353860826,10.0569,0.35736,-330.93886137,1.41174674647,-0.249889
-328.383106216,10,0.0,0.664993168028,0.652303,-328.383106216,0.157247,-598.875365941,0.332143,-600.172698297,-328.383106216,-0.661485360172,10,9.7773,-58.9102059404,0.922643428499,10.7468,0.929615,-602.033851652,0.272448374977,-0.651858
-425.138932139,11,0.0,0.503417885855,0.501664,-425.138932139,0.0363595,-247.884010893,0.329243,-323.87952378,-425.138932139,-0.503410066616,11,9.79532,-20.8944381569,54.7025882958,11.8303,0.884031,-418.221447156,0.14799598977,-0.501664
-404.816687111,12,0.0,0.411384392099,0.411382,-404.816687111,0.0174358,-290.878646639,0.30185,-447.955065312,-404.816687111,-0.411378014059,12,9.75537,-39.9473932522,113.928523651,12.4627,0.88568,-601.640958583,0.101944613005,-0.411371
-463.977500587,13,0.0,0.385954878782,0.385584,-463.977500587,0.010743,-490.354061156,0.312014,-491.301966726,-463.977500587,-0.385933484731,13,9.72925,-47.3283329987,0.768756814975,12.7645,0.822579,-492.663811285,0.0796939138317,-0.385581
-401.47637989,14,0.0,0.349215100287,0.349317,-401.47637989,0.0071912,-517.354459,0.284138,-518.930225435,-401.47637989,-0.349120841672,14,9.76089,-48.9059291915,0.822187754469,13.0682,0.875685,-520.11827894,0.0654205748503,-0.349314
-409.456306425,15,0.0,0.319414504134,0.31917,-409.456306425,0.00584223,-560.760236726,0.265671,-713.782782835,-409.456306425,-0.319042670918,15,9.87947,-60.4460822101,57.0196918303,13.386,0.804638,-796.404590502,0.0586768430231,-0.319083
-358.509352574,16,0.0,0.302062356324,0.301643,-358.509352574,0.00506779,-519.493047484,0.252187,-544.030126973,-358.509352574,-0.301238729854,16,10.0567,-33.939652237,12.6100380024,13.634,0.774372,-563.392556902,0.0546334349366,-0.301366
-363.333033765,17,0.0,0.294278623343,0.293135,-363.333033765,0.00478667,-289.423271397,0.24815,-314.197179146,-363.333033765,-0.292531397519,17,10.245,-24.1243724804,20.8903182217,13.8733,0.548442,-351.477331696,0.0517758597864,-0.292497
-331.243716838,18,0.0,0.290900811027,0.289433,-331.243716838,0.00455121,-261.630274858,0.243266,-313.618225018,-331.243716838,-0.287886553835,18,10.4647,-21.1662874999,31.4770529896,14.1591,0.476471,-366.027094383,0.0500666160184,-0.287965
