MinEsReturn,Iteration,StdEsReturn,AverageAbsY,AverageAbsQ,AverageEsReturn,AverageQLoss,MaxReturn,AveragePolicySurr,AverageReturn,MaxEsReturn,AverageY,Epoch,QFunRegParamNorm,AverageDiscountedReturn,StdReturn,PolicyRegParamNorm,AverageAction,MinReturn,AverageAbsQYDiff,AverageQ
-277.156423559,19,0.0,0.282696969854,0.280721,-277.156423559,0.00414823,-130.571948035,0.228111,-282.303038744,-277.156423559,-0.277807900568,19,10.7511,-18.2885421432,81.5508030948,14.4546,0.424938,-380.395904176,0.0475929158703,-0.277731
-293.339324312,20,0.0,0.270818558249,0.268031,-293.339324312,0.00388453,-59.8934073104,0.209582,-103.813008127,-293.339324312,-0.262169408207,20,11.0854,1.43063266929,29.2765843016,14.8772,0.491935,-155.566484152,0.0458994373253,-0.26219
-310.932060576,21,0.0,0.259757115529,0.25622,-310.932060576,0.00372035,-193.092008357,0.193675,-261.310645615,-310.932060576,-0.245494106133,21,11.4222,-9.18112557874,51.3585999271,15.3961,0.636696,-354.825709099,0.0446859960802,-0.24547
-243.996599036,22,0.0,0.251628161697,0.247601,-243.996599036,0.00386356,221.277411462,0.174428,196.590476438,-243.996599036,-0.22656069381,22,11.7876,24.1232210325,15.7712996148,16.0204,0.669336,169.020194558,0.0457379248287,-0.226703
-128.349267273,23,0.0,0.248609590421,0.243944,-128.349267273,0.00398533,-169.396458001,0.152624,-198.308167555,-128.349267273,-0.207359925363,23,12.1608,1.15597994675,30.1556680222,16.4516,0.397108,-245.924797036,0.046109242406,-0.207594
-157.765150811,24,0.0,0.244792179718,0.239661,-157.765150811,0.00408398,-4.07367647406,0.118308,-28.9057742913,-157.765150811,-0.18028400128,24,12.5378,16.1195152729,11.9555817141,16.9659,0.326282,-47.1840289647,0.0462848739792,-0.180478
-205.018156309,25,0.0,0.246719277638,0.241617,-205.018156309,0.00418796,-66.35394675,0.0944495,-88.5150594376,-205.018156309,-0.156185993813,25,12.9345,-0.55862943834,13.2519496904,17.338,0.389847,-108.174830012,0.0465179255841,-0.156332
-153.870346353,26,0.0,0.251698035765,0.246503,-153.870346353,0.0042016,0.456625763336,0.0631171,-22.8279252043,-153.870346353,-0.126713026505,26,13.2827,6.66218020539,19.3937183583,17.753,0.42787,-71.8237708297,0.0465850190729,-0.126943
-164.967518197,27,0.0,0.258653829563,0.253953,-164.967518197,0.00429009,19.0670733005,0.0333819,-26.430198388,-164.967518197,-0.0970188536377,27,13.6406,11.4826237341,20.166806933,18.2542,0.469023,-49.6204667452,0.0468601948737,-0.097304
-152.420475945,28,0.0,0.268799257224,0.264322,-152.420475945,0.00470823,-80.0101159863,0.00255702,-86.7572665324,-152.420475945,-0.0642308606595,28,13.9966,8.9366847969,4.39542022605,18.7333,0.262817,-93.9055521629,0.048710838487,-0.0644019
-135.616566955,29,0.0,0.279868680494,0.276091,-135.616566955,0.00451306,-124.403507161,-0.0255247,-135.466341166,-135.616566955,-0.0365953586583,29,14.3283,0.918201305052,9.51585076093,19.1959,0.287881,-160.244788571,0.0479338206803,-0.036837
-135.771717705,30,0.0,0.288395863608,0.284666,-135.771717705,0.00441071,165.152141061,-0.0543345,45.3556733121,-135.771717705,-0.00763352916306,30,14.5474,-9.34445887605,133.125426976,19.6093,0.44105,-295.220093368,0.046822930686,-0.00787622
-68.5701178918,31,0.0,0.297604808132,0.293696,-68.5701178918,0.00460632,111.799226087,-0.0781806,62.2988768815,-68.5701178918,0.0186999456559,31,14.8235,16.947526385,29.356231698,20.0298,0.592789,14.9549447575,0.0479744964228,0.0185044
-44.4434692694,32,0.0,0.304718810771,0.300791,-44.4434692694,0.0044242,-52.7326967489,-0.111823,-112.93659297,-44.4434692694,0.0482538025834,32,15.0734,-11.5763219426,50.9572834996,20.4282,0.503333,-217.405154685,0.0475035223761,0.048043
-59.8086749788,33,0.0,0.313826283199,0.309601,-59.8086749788,0.00473409,259.504695712,-0.14519,122.896106218,-59.8086749788,0.080488892441,33,15.3422,19.1329852476,84.5376485757,20.9226,0.641,-6.34944458228,0.0489286523263,0.0802667
-25.1435485562,34,0.0,0.320706573611,0.316382,-25.1435485562,0.00472511,75.3415258506,-0.182299,7.02054229948,-25.1435485562,0.117271150298,34,15.5825,17.5430378963,37.335869241,21.3491,0.6024,-55.4419240206,0.0492927402873,0.117094
99.6258936216,35,0.0,0.320650044884,0.315603,99.6258936216,0.00485921,131.61368417,-0.212417,27.7357583962,99.6258936216,0.148145517755,35,15.8098,15.7424742856,58.1102842076,21.8317,0.626538,-50.0887487979,0.0499886675025,0.147762
102.992440274,36,0.0,0.322222628503,0.316724,102.992440274,0.00490913,486.537583959,-0.250299,462.138922058,102.992440274,0.184736397183,36,16.0469,52.1040863677,18.4296624943,22.2958,0.670912,430.119343395,0.0502733719781,0.184539
337.341665063,37,0.0,0.333727814041,0.327809,337.341665063,0.00501123,767.270367718,-0.302482,742.51493128,337.341665063,0.236137130084,37,16.3014,71.3729610608,17.7755758792,22.7182,0.796049,703.054969006,0.051355985984,0.235939
417.52864792,38,0.0,0.34708200265,0.341095,417.52864792,0.00522219,880.887110025,-0.351021,816.814696285,417.52864792,0.278890520625,38,16.5375,76.0220027564,39.9237042075,23.1533,0.76043,756.319432522,0.0522099144886,0.278584
483.854318158,39,0.0,0.374882203832,0.369302,483.854318158,0.00535125,913.943822052,-0.406976,784.883026831,483.854318158,0.334198294061,39,16.7921,67.7627880238,256.289505544,23.4821,0.913568,19.367925481,0.0532181633656,0.33379
498.417893739,40,0.0,0.414518743499,0.410192,498.417893739,0.00548279,839.272958849,-0.46894,811.836761518,498.417893739,0.393117693748,40,17.0412,73.604295154,24.559276041,23.9504,0.752485,756.642096227,0.0538483143035,0.392865
673.452578638,41,0.0,0.467712224249,0.46443,673.452578638,0.0058965,1092.73409069,-0.537341,1055.91417626,673.452578638,0.457554076653,41,17.2781,91.8967754146,24.0626589481,24.3695,0.856995,1009.17872934,0.05553830212,0.457118
563.861281089,42,0.0,0.530761367247,0.528744,563.861281089,0.00586401,1068.38160627,-0.608264,1033.90794512,563.861281089,0.525332303176,42,17.5028,81.6768307279,23.2885921935,24.7703,0.859867,989.908039603,0.0559828715592,0.524862
572.975728244,43,0.0,0.608530631428,0.607156,572.975728244,0.00640807,1015.77684323,-0.690937,704.28483043,572.975728244,0.605865282283,43,17.7561,62.220101176,162.687842918,25.1567,0.815331,473.258206187,0.0579711802601,0.605367
528.202252822,44,0.0,0.688312862012,0.687327,528.202252822,0.0064772,1071.38238431,-0.779795,990.379216822,528.202252822,0.686781211635,44,17.9917,75.5531282901,56.1468465719,25.5934,0.929283,888.000852159,0.0590960638597,0.686335
526.347190972,45,0.0,0.762345967913,0.761431,526.347190972,0.0071288,1027.34126621,-0.854927,719.304545842,526.347190972,0.761437507785,45,18.2065,40.1604166467,215.851908376,25.9277,0.801401,398.560241485,0.0602564195798,0.760882
513.254811065,46,0.0,0.843910317533,0.843095,513.254811065,0.00702139,1116.04171033,-0.934078,1059.08756831,513.254811065,0.843445485832,46,18.4289,77.3056485521,31.8583351492,26.2699,0.880882,1010.93390543,0.060021433429,0.842836
508.652386532,47,0.0,0.924604452032,0.923849,508.652386532,0.0073874,1070.33586827,-1.01687,914.169845601,508.652386532,0.924157196423,47,18.6894,60.7936032489,242.853664244,26.562,0.821513,234.512604682,0.0606546717618,0.92365
671.261162843,48,0.0,1.01138937503,1.01067,671.261162843,0.00726086,813.133000927,-1.10856,478.382351747,671.261162843,1.0111536219,48,18.9066,47.280941504,118.207118165,26.8689,0.835463,369.176373294,0.0611745160211,1.01051
513.956353781,49,0.0,1.10647552332,1.10579,513.956353781,0.00791687,1056.01406602,-1.20121,1002.53421143,513.956353781,1.10630663041,49,19.1159,83.932018824,52.2089457319,27.1959,0.862395,888.120484929,0.0627271195474,1.10574
607.190183169,50,0.0,1.18674095229,1.18609,607.190183169,0.00802662,453.515710381,-1.28023,388.515724969,607.190183169,1.18654839776,50,19.3393,35.941112189,48.9601354675,27.4606,0.793231,292.627570746,0.0629080963777,1.18594
568.475099198,51,0.0,1.27386071851,1.27338,568.475099198,0.00884332,646.251847925,-1.36663,543.367186955,568.475099198,1.2737317614,51,19.5794,52.9281604998,84.198529245,27.7307,0.829618,423.936900755,0.0646063216763,1.27335
584.214292454,52,0.0,1.35785593088,1.35717,584.214292454,0.00970021,859.287827801,-1.44922,470.584640732,584.214292454,1.35773132663,52,19.7531,41.8282052509,168.113377584,28.0918,0.843454,244.854700115,0.0655979445529,1.35716
542.239021987,53,0.0,1.44669169762,1.44601,542.239021987,0.00886321,1061.54447557,-1.54006,953.57327876,542.239021987,1.44663200833,53,19.9815,66.6128644326,110.070023373,28.4312,0.897579,722.934619832,0.0651293169456,1.446
539.040197336,54,0.0,1.53110811112,1.5305,539.040197336,0.00930989,799.749328398,-1.62406,770.570865422,539.040197336,1.53101377256,54,20.1738,61.7962121169,25.3760162231,28.6771,0.908536,711.206877848,0.0661227726282,1.53047
375.561638799,55,0.0,1.61404472591,1.61337,375.561638799,0.0100835,1014.9218181,-1.70575,640.528525251,375.561638799,1.61391689154,55,20.3894,52.9303291885,212.475433418,28.9118,0.894941,409.949223952,0.066462781846,1.61335
608.962829253,56,0.0,1.69763812498,1.69691,608.962829253,0.0104098,1106.20974209,-1.79107,1070.00812467,608.962829253,1.69757125558,56,20.617,97.4801363166,32.0113650179,29.1542,0.900462,989.172749896,0.0672911649922,1.6969
617.750091657,57,0.0,1.78783558906,1.78722,617.750091657,0.0100493,965.940310459,-1.88103,842.762135612,617.750091657,1.78777158765,57,20.8318,79.6739574496,72.860450489,29.4041,0.898284,698.327696119,0.0670148954911,1.78722
547.227291192,58,0.0,1.87364458443,1.873,547.227291192,0.0119849,880.201788533,-1.96568,659.941855542,547.227291192,1.87359010292,58,21.0064,39.5412865318,131.09672605,29.6935,0.851696,484.71803682,0.0697241342284,1.873
652.529574091,59,0.0,1.95672499538,1.95605,652.529574091,0.011728,986.858888504,-2.04813,933.569641953,652.529574091,1.95666570665,59,21.2125,67.9746473337,56.1540694207,29.9635,0.859554,784.193392309,0.0699827501468,1.95605
667.071675743,60,0.0,2.04906576839,2.04839,667.071675743,0.0127859,1038.21059853,-2.14398,1007.05332229,667.071675743,2.04900726028,60,21.4261,83.4157152578,36.0568037227,30.2383,0.885762,906.310704446,0.0713980987171,2.04839
625.767728351,61,0.0,2.13796071905,2.13716,625.767728351,0.0142607,871.626622628,-2.23431,821.447250223,625.767728351,2.13790435173,61,21.6381,65.5339488062,40.1013706768,30.443,0.905924,744.178158524,0.0732090374496,2.13716
618.73061378,62,0.0,2.23236142814,2.23162,618.73061378,0.0129304,1111.12080811,-2.33045,1048.11420484,618.73061378,2.23232574673,62,21.8022,83.4273699067,30.734263443,30.6816,0.889032,1015.2808735,0.0719002841471,2.23162
645.437138383,63,0.0,2.31970467503,2.31903,645.437138383,0.0138939,615.907581117,-2.41799,536.315563235,645.437138383,2.31964111071,63,21.9884,50.4739040628,44.8903375536,30.9218,0.897166,451.87609275,0.0730768868775,2.31903
601.783618089,64,0.0,2.41802032983,2.41742,601.783618089,0.0151008,493.02611789,-2.51579,280.979021162,601.783618089,2.41797183673,64,22.1878,43.7863480437,94.7872527595,31.2066,0.897753,152.203037032,0.0745082387341,2.41742
739.767724749,65,0.0,2.50794295091,2.50703,739.767724749,0.0169404,1018.54656525,-2.6106,959.416919253,739.767724749,2.50788853186,65,22.4241,72.2875096394,35.0868517515,31.4617,0.931741,905.549968346,0.0773383992307,2.50703
533.272575366,66,0.0,2.60634399919,2.60558,533.272575366,0.0163429,1075.97575832,-2.71174,943.195857802,533.272575366,2.6062959048,66,22.5549,54.5063947832,119.477914319,31.6436,0.937909,618.092243081,0.0763982971153,2.60558
606.063106537,67,0.0,2.70581733957,2.70492,606.063106537,0.0178071,809.347103233,-2.81303,-143.821631718,606.063106537,2.70574772557,67,22.7574,-16.3089447904,474.234907852,31.8473,0.883424,-406.613460341,0.0783879777289,2.70492
692.85086062,68,0.0,2.80615257161,2.80538,692.85086062,0.0185675,-574.801816444,-2.91401,-579.841081141,692.85086062,2.80612937552,68,22.9278,-60.7399035038,2.40218203678,32.0459,0.959872,-583.282432547,0.0799661699162,2.80538
-65.9941748471,69,0.0,2.90329317326,2.90224,-65.9941748471,0.0226544,1007.80878629,-3.0087,-415.628294597,-65.9941748471,2.90321788462,69,23.121,-44.2309074724,474.538475112,32.2093,0.955952,-579.94303691,0.0823889256912,2.90224
186.991533722,70,0.0,2.99701182583,2.99613,186.991533722,0.0191565,905.37539246,-3.09911,770.529305739,186.991533722,2.99694900147,70,23.2778,73.7639338583,211.013732041,32.4052,0.891842,146.829519004,0.0807100473061,2.99613
481.875614826,71,0.0,3.07676145925,3.07623,481.875614826,0.0215012,799.791980383,-3.17774,669.532582505,481.875614826,3.07670916743,71,23.4129,53.3548658231,114.599794937,32.6179,0.887665,374.014608229,0.0811086578704,3.07623
624.72710989,72,0.0,3.1730200139,3.17198,624.72710989,0.0207874,795.057584189,-3.2762,733.664124435,624.72710989,3.17294511668,72,23.5704,64.0286666743,40.0188564122,32.8845,0.91672,655.435344793,0.0809299879267,3.17198
647.287193003,73,0.0,3.26129440224,3.26038,647.287193003,0.0241069,911.856490442,-3.36304,855.281904334,647.287193003,3.26123783729,73,23.745,57.7883315192,44.8288976592,33.1146,0.933185,769.770874734,0.0822591357411,3.26038
502.021598265,74,0.0,3.35072036909,3.3499,502.021598265,0.0222683,1054.71329054,-3.45346,949.359577013,502.021598265,3.3506734421,74,23.9074,54.0349108662,108.840201709,33.3474,0.930506,714.970250732,0.080974966857,3.3499
613.217422747,75,0.0,3.43926076632,3.43851,613.217422747,0.022441,1016.13284866,-3.53844,814.505879836,613.217422747,3.43921380818,75,24.0776,57.4595751252,420.704334767,33.5506,0.904227,-442.840220695,0.0817012264461,3.43851
713.336188361,76,0.0,3.52272130719,3.52179,713.336188361,0.0230869,821.42747416,-3.62333,672.254024498,713.336188361,3.52267806581,76,24.232,58.7330784704,150.242462633,33.8132,0.925637,307.720000207,0.081995618616,3.52179
753.628792413,77,0.0,3.61430509077,3.61342,753.628792413,0.02168,1075.13386919,-3.71585,952.058839808,753.628792413,3.61427112013,77,24.4298,73.9477771964,84.7592481959,33.9954,0.916868,817.506773967,0.0819976006078,3.61342
697.860569244,78,0.0,3.70348123741,3.70255,697.860569244,0.023017,856.164692047,-3.80465,486.14271458,697.860569244,3.70342392356,78,24.5886,56.2522033826,393.358738958,34.2304,0.922498,-342.017793284,0.0817850867887,3.70255
678.29898886,79,0.0,3.78969375716,3.78883,678.29898886,0.0273573,1152.5347079,-3.89194,991.749516263,678.29898886,3.78963085357,79,24.7668,76.9774389856,168.081904058,34.4781,0.920953,542.425208419,0.0843352521074,3.78883
514.450828151,80,0.0,3.87172601204,3.87075,514.450828151,0.0292964,1123.37754858,-3.97217,927.378561485,514.450828151,3.87167868164,80,24.9387,69.6686216621,410.664134879,34.6909,0.918032,-295.636123604,0.0871091153473,3.87075
712.03271836,81,0.0,3.95627614683,3.95536,712.03271836,0.0279609,1119.73834257,-4.05472,1104.94132003,712.03271836,3.95623970665,81,25.0969,72.792469233,16.2277667066,34.9299,0.9307,1074.11655622,0.0855354864837,3.95536
690.620030264,82,0.0,4.04049774037,4.03957,690.620030264,0.0276536,1060.09606554,-4.13503,945.872468057,690.620030264,4.04046162054,82,25.238,72.2234845553,76.5987757495,35.1442,0.919088,805.867360956,0.0862228308422,4.03957
672.990876381,83,0.0,4.12359072094,4.12292,672.990876381,0.0323169,1156.84934447,-4.21998,1095.35106097,672.990876381,4.12353807809,83,25.4149,94.3883228759,39.7961607217,35.377,0.944724,1027.33714747,0.0888674632795,4.12292
598.807093468,84,0.0,4.20384664875,4.20301,598.807093468,0.0252461,1140.81853293,-4.30003,1072.26101567,598.807093468,4.20380972773,84,25.5802,92.8571165918,39.2605551296,35.5486,0.952442,1015.89302392,0.0838967958986,4.20301
678.345760531,85,0.0,4.28480736292,4.28377,678.345760531,0.0285667,1126.76867865,-4.38213,1069.35509963,678.345760531,4.28477466755,85,25.719,97.6975363262,45.736121722,35.6966,0.963477,994.753545408,0.0861021346032,4.28377
696.846063893,86,0.0,4.36363679209,4.3629,696.846063893,0.0372907,1079.60497931,-4.46252,1034.30650357,696.846063893,4.36358874782,86,25.8615,84.41969054,42.2041549038,35.8751,0.957433,936.698035023,0.0906545819152,4.3629
754.724670018,87,0.0,4.45307617068,4.45229,754.724670018,0.0294066,1179.0954815,-4.55136,1139.02824084,754.724670018,4.45304420822,87,25.9776,95.6649592987,26.3547555817,36.0421,0.935087,1088.55934432,0.0860458853439,4.45229
639.236468644,88,0.0,4.52939792283,4.52868,639.236468644,0.0292799,1045.19981273,-4.62622,900.374279355,639.236468644,4.52935702715,88,26.1006,83.0779092789,106.092385433,36.2049,0.927578,689.441443029,0.0871661898889,4.52868
628.075263194,89,0.0,4.60209686963,4.60113,628.075263194,0.0358242,1102.25526408,-4.69942,1038.52821773,628.075263194,4.60203736469,89,26.2849,85.6402094369,40.6405533716,36.3252,0.943676,983.466728269,0.0909623905753,4.60113
705.81291114,90,0.0,4.68798726275,4.68717,705.81291114,0.0339802,1064.41798451,-4.78508,817.254933842,705.81291114,4.68793970067,90,26.4201,89.6838976192,338.797557812,36.4862,0.937421,-4.07981351744,0.0894129996184,4.68717
623.051524839,91,0.0,4.75873726261,4.75793,623.051524839,0.0322246,977.519991561,-4.85824,887.633064639,623.051524839,4.75868255657,91,26.5501,80.9010941417,59.4262680787,36.5687,0.935572,789.021024737,0.0893545078087,4.75793
698.92341527,92,0.0,4.84320822159,4.84236,698.92341527,0.0395809,1012.52947835,-4.94805,899.317573155,698.92341527,4.84313828163,92,26.6782,79.5430424059,64.6180336036,36.7125,0.936895,758.583423107,0.0950063464525,4.84236
641.285661015,93,0.0,4.93383505731,4.93303,641.285661015,0.035942,996.997096403,-5.03971,957.014465081,641.285661015,4.93376135649,93,26.8408,88.3398888781,26.2445799631,36.8036,0.941265,922.605042933,0.0916886138519,4.93303
698.891192412,94,0.0,5.01700551349,5.01609,698.891192412,0.0316849,893.938586875,-5.1215,852.726767611,698.891192412,5.01696662568,94,26.9621,75.3132729503,36.0728759008,36.9488,0.938721,763.779270319,0.0910391183149,5.01609
666.802829044,95,0.0,5.10039153365,5.09938,666.802829044,0.0390371,1065.49558243,-5.20391,967.632412702,666.802829044,5.10036778851,95,27.0972,84.7322212954,81.2887892713,37.1356,0.945706,777.488791816,0.0956865282843,5.09938
696.486516748,96,0.0,5.17771975902,5.17666,696.486516748,0.0407843,1267.78750905,-5.28307,1097.98885478,696.486516748,5.17767326757,96,27.2046,96.2902771802,81.3506296085,37.3048,0.941288,1013.08853132,0.0951892045324,5.17666
619.329528964,97,0.0,5.26694051582,5.26615,619.329528964,0.0313941,1177.01455556,-5.36811,1091.33204492,619.329528964,5.26690212137,97,27.3373,91.8134857392,51.1027215789,37.5043,0.937096,1033.2720547,0.0910642258616,5.26615
782.470911227,98,0.0,5.34711240432,5.34628,782.470911227,0.0415852,1095.95926559,-5.44756,1033.65235215,782.470911227,5.34706443549,98,27.496,92.3296085268,40.4089395902,37.6683,0.936861,958.237070151,0.0941791133191,5.34628
757.221366197,99,0.0,5.4200298956,5.41884,757.221366197,0.0419665,1031.46950397,-5.52009,829.386969185,757.221366197,5.41997765134,99,27.5951,80.9021464796,290.696892636,37.8244,0.926467,-30.0043659954,0.0945861210468,5.41884
784.788485697,100,0.0,5.48626138304,5.48535,784.788485697,0.0482962,1107.87820308,-5.57863,1064.17476825,784.788485697,5.48621084979,100,27.7362,92.3337830663,36.5938087429,37.902,0.948498,991.869602157,0.0967741056938,5.48535
693.196747843,101,0.0,5.55807023307,5.55734,693.196747843,0.040998,1120.56491597,-5.65219,1062.24365557,693.196747843,5.55804629011,101,27.8411,94.0806084158,35.2375685296,38.0559,0.9366,971.249954118,0.0949686825138,5.55734
774.045686847,102,0.0,5.62813982803,5.62712,774.045686847,0.0511746,1097.338494,-5.7223,1062.7292159,774.045686847,5.62810474804,102,27.974,94.57960529,16.0702553394,38.2179,0.958979,1039.50177585,0.0973987710933,5.62712
649.062217089,103,0.0,5.70169712724,5.70098,649.062217089,0.0366196,924.799414133,-5.79341,796.767241186,649.062217089,5.70167005591,103,28.0762,68.102264065,51.0558407751,38.3284,0.932489,728.379873046,0.0908890947771,5.70098
655.690905049,104,0.0,5.76029540071,5.75931,655.690905049,0.0505951,843.055739078,-5.85352,775.532306418,655.690905049,5.76024416185,104,28.2249,70.8168783528,60.1295523586,38.4983,0.933262,687.93456365,0.0976610742832,5.75931
619.248476408,105,0.0,5.83419226044,5.83343,619.248476408,0.0489134,956.899874194,-5.92873,898.226874025,619.248476408,5.83413652428,105,28.3474,88.5909502349,45.2497082569,38.6388,0.928728,795.108719346,0.0981271958889,5.83343
665.699058968,106,0.0,5.8997370895,5.89873,665.699058968,0.0451783,1175.83023179,-5.99588,1117.44871272,665.699058968,5.89972061418,106,28.4943,99.0246779478,26.0633771022,38.8266,0.939902,1081.81818853,0.0974284584994,5.89873
664.458196048,107,0.0,5.96615806192,5.96543,664.458196048,0.0458352,855.385630983,-6.06094,740.713996175,664.458196048,5.96614234403,107,28.6029,77.2299079109,63.3814806954,38.9479,0.930802,641.102963745,0.0975254418015,5.96543
729.504143288,108,0.0,6.0429318994,6.04209,729.504143288,0.0557313,835.605917425,-6.14248,766.75868204,729.504143288,6.04289847008,108,28.7203,72.6856538332,38.503317389,39.0825,0.938527,726.532960072,0.100091301165,6.04209
798.390675054,109,0.0,6.10531430457,6.10426,798.390675054,0.0404718,1121.05600622,-6.20165,1060.1135334,798.390675054,6.10528228247,109,28.8566,89.9781632087,41.8130945344,39.2008,0.936217,1001.46228854,0.0947410372883,6.10426
787.777216228,110,0.0,6.17739362122,6.17645,787.777216228,0.0545837,1029.51521843,-6.27179,960.494972051,787.777216228,6.17734101959,110,28.9622,84.5693876839,37.4523770639,39.3253,0.945467,899.936801745,0.101592684864,6.17645
704.638881162,111,0.0,6.2402031295,6.23953,704.638881162,0.0521132,1082.17123969,-6.33277,1010.24093863,704.638881162,6.24015075204,111,29.0978,85.3182970609,37.705770789,39.4573,0.943179,954.979875412,0.0993488669096,6.23953
738.876781186,112,0.0,6.30268419918,6.30157,738.876781186,0.0495938,1211.58575136,-6.39856,1016.87107391,738.876781186,6.30265832862,112,29.2454,90.700824321,364.516936396,39.6061,0.938966,-72.7696127526,0.0993371659261,6.30157
696.768452844,113,0.0,6.36711276793,6.36619,696.768452844,0.058089,1076.36977639,-6.46207,1021.73595636,696.768452844,6.36707214714,113,29.3621,87.4491910368,41.4577910469,39.7431,0.923064,956.758068066,0.102218744631,6.36619
524.056309139,114,0.0,6.42454197501,6.42355,524.056309139,0.056682,1168.49038834,-6.51827,1110.17570526,524.056309139,6.42450996711,114,29.4507,97.2167618831,48.5377626019,39.9071,0.919607,1022.92742563,0.100297439712,6.42355
674.632360902,115,0.0,6.47964062764,6.47871,674.632360902,0.0732497,1200.3405385,-6.57471,1141.96088207,674.632360902,6.47958568645,115,29.6098,89.9286859673,44.1482374865,40.0943,0.930587,1052.15501456,0.104842708318,6.47871
652.53350264,116,0.0,6.5393917761,6.53848,652.53350264,0.0559007,978.677377727,-6.63204,927.361960746,652.53350264,6.53936075902,116,29.7398,80.0794294262,36.4162444459,40.2464,0.913182,870.987904226,0.101027698798,6.53848
672.211642873,117,0.0,6.60596109198,6.60512,672.211642873,0.0561363,1131.24463632,-6.69927,1066.40634428,672.211642873,6.60591660183,117,29.8592,90.8386363465,42.0839249061,40.3581,0.925785,1007.57375767,0.100335371904,6.60512
720.479182421,118,0.0,6.66063189199,6.65968,720.479182421,0.0550908,1189.00667161,-6.75194,1068.96190156,720.479182421,6.66057834532,118,29.9518,92.0614050343,77.1714461195,40.4684,0.936323,907.356836253,0.0994737496696,6.65968
597.870799224,119,0.0,6.72393625697,6.72309,597.870799224,0.0638864,966.672284486,-6.81459,887.153478147,597.870799224,6.72389311899,119,30.0604,73.3346599961,44.6057431915,40.5666,0.920197,821.001775014,0.104199972326,6.72309
696.748081204,120,0.0,6.76985195063,6.76909,696.748081204,0.0656589,1055.45429421,-6.86365,962.094520183,696.748081204,6.7698027005,120,30.1638,89.1368712199,49.4109277028,40.698,0.933285,896.701264012,0.102260540393,6.76909
689.681446597,121,0.0,6.8412752477,6.84038,689.681446597,0.0455314,1168.34371562,-6.93669,1056.68899689,689.681446597,6.84124776237,121,30.2836,94.3547943836,59.3172091815,40.8399,0.930776,961.120490144,0.0975452316606,6.84038
660.906717777,122,0.0,6.90036263407,6.89964,660.906717777,0.0625651,1073.03665273,-6.99056,977.605337887,660.906717777,6.90031498585,122,30.3539,80.212705899,66.1006729644,40.991,0.919948,859.59614053,0.102769686675,6.89964
