Epoch,QFunRegParamNorm,AverageQLoss,MaxReturn,MinForwardProgress,AverageAbsY,AverageForwardProgress,AverageAbsQYDiff,AverageEsReturn,AverageY,AverageAction,PolicyRegParamNorm,MaxEsReturn,StdEsReturn,AveragePolicySurr,AverageReturn,MaxForwardProgress,AverageDiscountedReturn,AverageAbsQ,StdForwardProgress,StdReturn,MinReturn,AverageQ,MinEsReturn
9,14.4133,0.0139712,5.68011230116,-0.022323045816,0.112749425973,0.00056675727244,0.106482405799,34.5377148188,0.112749425973,0.866705,14.8617,72.615362114,12.604725547,-0.0139724,3.38810879185,0.0211604828943,3.34905327868,0.013436,0.00541073302309,0.532814962625,2.06207279822,0.0130669,0.993024310021
10,14.711,0.000617686,6.06813944544,-0.0217387342541,0.0862545568507,0.00268506122628,0.0142244814076,4.33676633586,0.0862519692313,0.999851,15.112,13.9067984872,0.777359636267,-0.096505,4.42292630627,0.0240448984323,4.35263737997,0.0848252,0.00717930564135,0.417163623463,2.97051253809,0.0848091,2.60112628017
11,14.9039,0.000151228,6.23138904609,-0.0258091178632,0.0839301762726,0.00259719463825,0.00727687861265,4.40056756456,0.0839301762726,0.999924,15.128,5.75345043657,0.405667858997,-0.0925478,4.41570024738,0.0298396983519,4.34553995219,0.0836813,0.00720753807087,0.414592009016,2.77399331123,0.0836778,3.32722694768
12,15.1539,0.000139705,6.61131658396,-0.028236125615,0.0867983033583,0.0022461236459,0.00658969238336,4.38749905706,0.0867983033583,0.999925,15.1294,5.60062957738,0.395986523643,-0.0854323,4.40081780052,0.0255191771139,4.33075220595,0.0866407,0.0071477163046,0.410942731779,2.68052005233,0.0866372,2.67432140291
13,15.4475,0.000164355,12.3877603142,-0.06885098625,0.0836283451807,-0.0198331988097,0.00778653169192,4.85999611114,0.0836283451807,0.999787,15.3151,9.47198064093,1.1761857692,-0.0777508,7.40902534192,0.0277003970895,7.14896009474,0.0834714,0.0132445555445,1.121221074,4.55070086613,0.0834673,3.17971851914
14,15.7631,0.000146689,13.0571365552,-0.0702898126736,0.0774812539277,-0.0200281894737,0.00766351296905,7.41283363501,0.0774812539277,0.999988,15.4072,10.2129364973,1.20532383608,-0.0745339,7.44054312235,0.0158584619351,7.17793015606,0.0774977,0.0133543385788,1.18001755715,4.76506138831,0.0774962,1.84635381179
15,16.0658,8.26893e-05,12.7190587423,-0.065677988534,0.0754617759323,-0.019479990271,0.0052975770125,7.38074153535,0.0754617759323,0.999995,15.455,12.2237298322,1.27718021842,-0.0700811,7.39693922403,0.0230047218878,7.13810815858,0.0754433,0.0132696952385,1.1489282244,4.46725589318,0.0754433,4.78778364885
16,16.3848,0.000102904,13.6626330705,-0.0650400291105,0.0694710415357,-0.0192780158771,0.0064448460563,7.23700914166,0.0694710415357,0.999999,15.469,11.7188843008,1.18836503739,-0.0615554,7.45053127252,0.0233602820338,7.18840494316,0.0694128,0.0139685364947,1.17659488006,3.89345003354,0.0694124,4.78649517308
17,16.835,8.63442e-05,13.1006667637,-0.0619725747444,0.064479585052,-0.019670174686,0.00504677686252,7.26503146538,0.064479585052,0.999999,15.4722,10.175373514,1.18638175382,-0.0559974,7.38633335228,0.029580573236,7.12800513751,0.0643579,0.0134672794831,1.09108088638,4.79319537407,0.0643568,3.35218323174
18,17.1751,8.27226e-05,13.1265192139,-0.0641861182533,0.0614005251973,-0.0187985973307,0.00611501858832,7.50914359272,0.0614005251973,0.999999,15.4755,9.87871127441,1.05267099878,-0.0544025,7.46004631673,0.0179855452032,7.19813348477,0.0613352,0.0131689086314,1.15544004787,4.23538389517,0.0613337,2.39595539877
