QFunRegParamNorm,Iteration,Epoch,AverageQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageDiscountedReturn,MaxReturn,AverageAbsQYDiff,AverageQLoss,AverageReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageEsReturn,AverageY,AveragePolicySurr,MaxEsReturn,AverageAction
10.2535,9,9,-0.00388643,55.0818532831,0.0305604838114,-0.309004401921,-31.3062154839,-0.0306062311057,-0.305384439975,0.028145036433,0.0011679,-0.306465528633,10.2751,0.011309,0.00107435231286,41.021067172,0.00640636530747,-0.0385421,93.9851543175,0.00306772
14.8067,10,10,0.0819008,0.0,0.121559446292,-2.49553910816,-19.1046125412,-0.245361482628,-2.40189532681,0.143198101264,6.92646,-2.44224536147,10.5673,0.105229,0.0399626207001,-19.1046125412,0.105844549548,-0.120091,-19.1046125412,0.0244469
19.6386,11,11,0.199029,0.758037755106,0.20283264957,-2.21348444194,-28.49078498,-0.221048234815,-2.20593335169,0.147583287191,5.24621,-2.20988479529,10.8592,0.206615,0.0027315978275,-27.7327472249,0.202719832875,-0.258555,-26.9747094698,0.022121
25.7723,12,12,0.191751,0.0,0.214826312271,-1.48726614188,-0.0196904392553,-0.148860175867,-1.48714071692,0.163797087909,5.2282,-1.48718185654,11.245,0.228764,4.31699198189e-05,-0.0196904392553,0.199396042193,-0.264085,-0.0196904392553,0.0148867
30.6294,13,13,0.170625,2.83551337533,0.27753600141,-2.09249314223,-31.8309492853,-0.208976330105,-2.07604445193,0.126052636725,3.024,-2.0857142581,11.7236,0.285614,0.00591499999789,-28.99543591,0.176412172266,-0.240334,-26.1599225346,0.020878
36.0383,14,14,0.158782,34.6142537497,0.359810092897,-1.77914189069,-0.0121315180382,-0.178190276508,-1.77826610141,0.133171961356,2.57627,-1.77873833793,12.1452,0.368455,0.000384913814156,34.6021222317,0.165734530463,-0.219862,69.2163759814,0.0178052
39.7806,15,15,0.168928,0.0,0.426128014017,-3.47857780912,-4.25394001093,-0.342150918033,-3.25795622644,0.120539408655,1.39564,-3.376964854,12.4747,0.440699,0.070536155866,-4.25394001093,0.170702439697,-0.220658,-4.25394001093,0.0338035
43.8199,16,16,0.206676,56.494579983,0.477158151297,-1.80917579754,-29.946339279,-0.178927391413,-1.77051770049,0.113712065003,1.15293,-1.79053023618,12.6528,0.485936,0.0140441782798,26.548240704,0.210606049447,-0.258566,83.0428206869,0.0179232
47.372,17,17,0.303547,49.0338258831,0.566774875662,-1.96111814544,-13.9378817791,-0.194351546719,-1.94128011642,0.121611123273,0.916566,-1.94746048819,13.4487,0.578697,0.00637435112075,55.406163443,0.306112382942,-0.343772,90.2414811094,0.0194941
49.159,18,18,0.375281,45.8647701459,0.653752883953,-0.858749072353,-9.6375225465,-0.0864948064345,-0.841025955016,0.0804977421007,0.373564,-0.850079717068,14.4114,0.660583,0.00679749785734,55.1939935285,0.375903674785,-0.426045,89.3480275421,0.00850931
