MaxEsReturn,AverageQLoss,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdReturn,AverageAction,MaxReturn,MinReturn,AverageAbsQYDiff,AverageAbsY,Epoch,StdEsReturn,AverageReturn,Iteration,AverageY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MinEsReturn
207.06516429,5.67246,69.0686167493,103.287263045,48.2794,56.6867,19.8456568336,0.933865,191.433685827,104.710052752,0.872637444627,56.6599579175,51,76.4569988822,155.087776086,51,56.6499274606,28.5725,56.6467,-28.848,9.11761996546
203.068808269,7.12635,24.47569556,110.859021857,48.8037,58.0495,15.1303570824,0.914429,197.828803854,111.264379187,0.962479737323,58.0247444599,52,41.4758325139,175.433647187,52,58.0164756215,28.7822,58.0116,-29.4551,8.98707506309
186.764666269,6.57485,16.2602103647,116.484019737,49.2463,59.3067,6.4042199974,0.934749,206.926810241,175.693309598,0.919906095655,59.281857013,53,27.717063876,188.931109953,53,59.2713063552,29.004,59.2674,-30.0606,3.99232985306
196.01334207,7.11608,24.6558251468,117.386744771,49.6225,60.3878,1.83054455174,0.90924,191.700829823,180.000535301,0.92024092925,60.3657112984,54,43.4954770788,187.543776032,54,60.3543810594,29.2126,60.3509,-30.638,9.40639307056
227.083894491,8.4326,64.2294111203,115.339880048,50.1371,61.5334,9.26778608291,0.929884,196.289497276,164.133467611,0.994236302937,61.5100568801,55,83.8294342377,183.883511783,55,61.4994346741,29.3041,61.4957,-31.227,9.19353919099
202.010808488,7.70878,15.8262288477,102.444188774,50.5528,62.6904,10.5258970015,0.928344,180.367799779,137.421688064,0.976083476452,62.6679191896,56,30.867756692,153.66047847,56,62.6560922734,29.4332,62.6535,-31.7037,8.71652784571
205.979574552,8.32893,21.6146486929,88.8256870624,50.9518,63.3315,19.153834037,0.948077,188.89839205,105.709613551,0.992843054207,63.3090489227,57,43.4559126468,129.366800857,57,63.2938371832,29.564,63.2898,-32.0659,9.13000062528
214.058702327,8.77053,24.2620393973,116.039733539,51.353,64.1097,8.51556092019,0.947625,205.245667393,162.750353258,1.01011466192,64.085461922,58,48.8518499469,188.240672033,58,64.0682081055,29.716,64.0643,-32.3917,1.73713250242
120.035106385,9.24564,11.7615934797,108.088618972,51.7604,64.4597,8.52303936445,0.929536,188.154012993,150.172519843,1.02631043755,64.4377196632,59,12.5350476647,168.469126063,59,64.4178123185,29.9342,64.414,-32.5935,9.04959792473
211.636264999,8.01676,19.5972818801,118.666975811,52.1249,65.1234,7.30929110768,0.944972,212.974772724,182.072449945,0.975048667989,65.1001079871,60,39.9579899489,197.941773603,60,65.0747001908,30.0865,65.0723,-32.9781,7.99074999285
177.271688341,8.26572,14.4221075273,115.292888019,52.452,65.5759,3.799507003,0.972179,189.905658783,169.882911718,1.00039803945,65.5530619388,61,22.5119148709,183.369220293,61,65.5304878552,30.1246,65.5283,-33.1125,8.72590506756
184.220880529,9.11837,16.2945387293,114.417348463,52.85,66.0488,5.83672203426,0.916414,201.358208133,169.706517606,1.04005806314,66.0271109966,62,30.5429646656,182.486300823,62,65.9948381623,30.3039,65.992,-33.3953,8.59703452053
226.979792742,10.0898,26.1550546604,117.350339714,53.1264,66.7024,7.90172034062,0.897646,205.241514625,176.161823678,1.05891295876,66.6797642677,63,51.7210890744,191.373020815,63,66.6537183657,30.5734,66.6499,-33.8018,9.29413954748
232.230563008,8.29568,39.2481812025,110.646895922,53.4792,67.1969,8.28360866156,0.910174,193.123228403,156.261948903,0.998235727331,67.1722110594,64,63.302321451,172.902097765,64,67.1409587711,30.7433,67.1395,-34.0211,9.22745991385
208.821467779,8.18057,28.5394650821,116.484324349,53.8085,68.1277,5.21555840349,0.956276,196.822440978,175.999325686,1.03519084817,68.1094868604,65,50.8626525887,186.484648613,65,68.0812889347,30.9188,68.0761,-34.5406,9.41794445058
199.286280798,10.8769,19.6483577535,117.595327683,54.1533,68.8035,10.4611918001,0.947737,209.90044927,169.280163925,1.1194499404,68.7824969795,66,39.0571685833,194.145145843,66,68.7545306811,31.1536,68.7498,-34.8545,9.45385678829
223.110049581,10.8832,23.7724019612,115.077527961,54.447,69.2155,7.96811496903,0.96299,194.010411249,121.531693424,1.12065011912,69.1976525296,67,43.5239681234,183.424908507,67,69.1702023835,31.3351,69.1676,-35.0745,3.63479965746
199.031435124,9.67512,38.1366756315,116.45331578,54.7882,69.9641,13.0884858775,0.976699,192.480635866,117.705176551,1.12142566608,69.9379636752,68,59.0983614692,185.407102556,68,69.91128937,31.5233,69.9081,-35.466,9.17348716955
194.424014928,9.16635,118.991718504,115.363648907,55.1298,70.8242,12.0664510595,0.962858,211.339939497,108.877339478,1.10024081544,70.8025613401,69,44.9118738337,186.837318605,69,70.7739753718,31.6934,70.7684,-35.8613,70.8138739432
208.523800635,9.59804,142.250264459,99.107959123,55.4967,71.9625,35.5218864904,0.977232,186.993309149,94.8112353206,1.11790141079,71.9402521023,70,45.8745530405,147.055672962,70,71.9138013667,31.8217,71.9096,-36.432,75.5789213665
226.264291475,10.5754,137.96042956,115.967430104,55.9504,73.1218,3.23738508717,0.977482,190.345245205,175.815985042,1.17509853241,73.0982887231,71,62.2224156212,183.830107832,71,73.0696742815,32.01,73.0633,-37.1758,49.3447449607
205.215071931,13.7026,174.080912502,39.4611652595,56.3603,74.2815,1.06116585282,0.994218,47.7272016037,40.3228166141,1.25804477453,74.250840015,72,32.0132725525,45.1012446785,72,74.2257597216,32.1389,74.2224,-37.7451,91.1854070633
198.344064347,11.7988,122.19422043,112.321893922,56.7258,75.3498,8.66187612805,0.964673,210.803962382,169.31727537,1.20663175358,75.3206537516,73,61.0413843086,180.576370094,73,75.2979927629,32.2756,75.2927,-38.1822,41.8527315613
200.929978441,13.6469,151.188994028,112.825531927,57.1906,76.4832,32.5839313306,0.976391,205.751381417,45.1834165557,1.30630914058,76.4569001031,74,58.2487492877,179.837279158,74,76.4253998471,32.4818,76.4218,-38.7175,42.0240023543
232.55361483,14.457,145.531388268,118.091947029,57.6616,77.9342,4.81054498699,0.973489,202.042219575,177.916659132,1.33587145657,77.907411796,75,62.2779243498,192.733647627,75,77.8862352029,32.6988,77.8818,-39.4274,34.8869603634
255.008886897,14.9625,142.881055442,115.962588916,58.1894,78.8215,5.65959718364,0.955921,201.417447707,173.709301235,1.35343130549,78.7952812082,76,79.0103361485,186.234280187,76,78.7698643064,32.8174,78.7646,-39.8448,12.647150292
214.165610095,16.8005,66.1849551608,113.52604101,58.7439,80.1089,4.48441770477,0.937248,188.563695384,168.812784201,1.41906864187,80.084442956,77,76.7911791221,176.768375867,77,80.0659956105,32.9676,80.0596,-40.4566,3.27964748251
208.396387758,14.1878,87.1483784363,113.933764957,59.2604,81.3948,4.94724600358,0.944567,188.582669077,159.874353828,1.34568556145,81.3674379072,78,79.5419546417,178.300473171,78,81.3496150169,33.0608,81.3436,-41.1173,11.7767225764
191.787005627,14.6706,30.6101062129,113.913606067,59.8055,82.8995,5.25605554051,0.945274,187.403602546,156.355383903,1.37893361855,82.8761851107,79,48.7505136404,178.314819139,79,82.8566404804,33.2,82.851,-41.8778,10.144563191
68.8750032631,16.909,15.2333916379,109.872157202,60.3534,84.1039,1.77559273047,0.9476,174.558645619,165.025359757,1.43203341277,84.0812345718,80,7.22570551564,168.880202803,80,84.0691902092,33.3434,84.0619,-42.4835,11.6416698018
16.7534198371,16.0613,11.7802227021,113.400896029,60.9187,85.3652,8.27874866065,0.957074,190.404106016,157.080232826,1.40657110452,85.3342327569,81,1.45948358958,177.157587428,81,85.3267345762,33.5193,85.325,-43.1569,6.22062996482
60.4806873056,19.7681,13.1173996882,51.3143757032,61.4414,86.8633,20.0583616692,0.977218,183.092690235,39.4949754759,1.4995003829,86.8348981946,82,7.94018917707,62.3275219851,82,86.8264187085,33.6088,86.8194,-43.8983,5.5191591447
63.3443625469,18.5513,12.7506725702,113.751337666,61.8791,87.6518,6.47467328162,0.975962,191.521504173,162.077517665,1.48310818744,87.620843939,83,6.2998287501,177.848577161,83,87.6113817342,33.7635,87.6047,-44.282,9.53447782975
65.5027747639,19.1439,12.445491115,115.006306815,62.3717,88.957,5.90531367132,0.97506,189.576746356,142.908787737,1.49908162328,88.9227432754,84,6.48963169458,180.983092865,84,88.9155631364,33.8641,88.9097,-44.9506,7.24997200888
169.168447541,18.4576,13.8038760023,111.492636383,62.7808,89.9063,13.9104599741,0.979351,191.061928493,122.009430468,1.47154389829,89.8750983322,85,18.9943609231,172.599963277,85,89.8673748765,34.0664,89.8623,-45.4572,9.34297363379
65.9193803993,17.7557,13.4402841959,109.489142609,63.1494,90.9631,16.4094996556,0.976455,200.086032448,118.797657646,1.4315852806,90.9332258145,86,9.01655745163,168.551263178,86,90.923829339,34.1761,90.9184,-45.9693,9.48067788934
14.6457943532,19.408,11.4574906803,107.394915647,63.5453,92.0111,15.4370568525,0.98547,191.73718514,123.147687161,1.50594222723,91.9781335221,87,0.886708659423,163.713142541,87,91.9667315047,34.2589,91.9602,-46.4956,9.50203741363
15.1698487898,17.7735,11.7330631823,116.49723798,63.8819,92.9213,15.0292856831,0.981078,231.369879532,164.902173019,1.4459500148,92.8903608916,88,1.2843369111,187.526438183,88,92.8823620274,34.4002,92.8761,-46.9217,6.84325752018
15.4674684071,18.4236,11.5062333818,129.057992242,64.2902,93.9063,6.65618545584,0.968614,240.322719326,205.826826915,1.46452710512,93.8748374875,89,1.12111790523,220.080292142,89,93.86632839,34.4618,93.8633,-47.4275,6.55975642069
15.8619914954,17.6396,11.7117585729,122.150001543,64.6578,94.8011,5.53821993323,0.961571,210.265820333,184.292456535,1.44191079189,94.766128943,90,1.17190263669,199.747273955,90,94.7577054816,34.5884,94.7497,-47.8786,10.6355716483
16.0359659207,17.2162,11.6827981359,121.84917852,64.9011,95.6371,4.72151191138,0.956011,215.420165424,194.142749887,1.43356713375,95.60501933,91,1.30630253513,204.943885878,91,95.596220464,34.714,95.5921,-48.266,5.47418963863
21.265030755,20.9493,11.975994053,124.096833154,65.2097,96.4904,22.9920261275,0.971818,246.509003698,97.6827962424,1.50727868209,96.4648845106,92,1.6558340293,208.956597216,92,96.4556731102,34.821,96.4492,-48.7133,9.46429351388
14.4087415051,19.441,11.6101302415,119.808537248,65.484,97.3839,10.2254833169,0.972648,216.711134492,173.092694689,1.46858938536,97.3550240439,93,0.954204796442,197.530719466,93,97.339993346,34.979,97.3353,-49.1755,9.46872074973
17.1286740878,18.6569,11.7463930637,106.827781844,65.7883,98.2092,10.4940443276,0.970618,193.755842044,123.50110964,1.46696160094,98.1843975845,94,1.34314209919,162.778802444,94,98.1774617284,35.1138,98.1707,-49.5534,9.00689270676
17.6563061215,19.1025,11.9874113013,123.261266846,66.1138,99.1778,6.03596136099,0.962318,226.759332846,197.374730613,1.49379944604,99.1519137316,95,1.38467470854,213.299691814,95,99.1427348926,35.1792,99.1394,-50.0707,10.6269172275
18.5587474098,21.7684,11.9487990801,93.7668040221,66.389,99.8158,34.0888302957,0.975394,212.753403056,55.0375510687,1.57595299593,99.7842957431,96,1.40292048038,137.788725246,96,99.7753572041,35.2674,99.7689,-50.3928,8.81962452476
18.6156011895,19.8186,11.439342823,96.3329488511,66.6482,100.626,43.1102457275,0.987402,200.682074743,63.4658026062,1.5139280519,100.598063176,97,1.58540379495,144.797079186,97,100.591215299,35.3307,100.587,-50.8439,4.18108330979
19.7990169472,19.5411,11.72148451,106.672942022,66.9802,101.763,20.5342419389,0.987301,223.545995006,141.40205862,1.49936331928,101.735738175,98,1.41086172638,166.696102126,98,101.730740168,35.388,101.724,-51.3916,9.5023650727
14.2953618887,19.6408,10.4784288492,123.649673789,67.3577,102.866,12.9104492343,0.970225,245.832507824,141.817064591,1.55077953188,102.830899939,99,1.45030118794,211.074234269,99,102.825335856,35.5338,102.818,-52.0026,7.4878693361
183.545194142,20.007,15.6090793594,105.600683856,67.6208,104.122,61.5765023903,0.979315,283.635209334,69.0854690028,1.55409523549,104.09270825,100,29.5980807046,174.274425228,100,104.08247787,35.6385,104.078,-52.7387,2.54751979246
210.99272776,18.9607,13.7528288413,113.766983144,67.9431,105.026,38.2412278341,0.981601,242.228323113,50.972947352,1.57521310506,104.987392657,101,26.8359263061,187.468767886,101,104.977313369,35.8334,104.973,-53.2277,5.23557200624
184.001959508,20.8418,17.620280382,126.453302274,68.2139,106.417,10.2722854116,0.979229,244.20607196,203.852940887,1.60991345585,106.379314454,102,34.202374312,220.965227541,102,106.367065526,35.9496,106.363,-53.9008,7.5403457968
171.139867293,21.2719,11.4947241161,117.368092683,68.5757,107.55,20.0489067362,0.982737,235.461298203,137.131337066,1.6221164752,107.52098293,103,17.79758631,190.453786203,103,107.507896952,36.09,107.499,-54.426,4.2080427807
98.0104137836,23.8709,11.5413665436,112.642537201,68.8676,108.455,9.15427676186,0.985453,225.502008993,167.13643578,1.71037226286,108.41629661,104,9.94891112172,178.614567915,104,108.404980673,36.1359,108.403,-54.7887,7.59824600309
