AverageQ,QFunRegParamNorm,StdEsReturn,Iteration,MinEsReturn,AverageReturn,AverageAbsY,MaxReturn,MaxEsReturn,StdReturn,PolicyRegParamNorm,AverageY,MinReturn,AverageQLoss,AveragePolicySurr,AverageAbsQYDiff,Epoch,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAction
16.1511,52.3314,12.203825204,30,3.0,40.016,16.1519382626,43.0,51.0,0.814704854533,33.881,16.1512915439,38.0,1.04804,-18.4613,0.470288308185,30,15.140625,16.1623,33.1113399344,0.258995
16.9697,54.1324,14.7147913557,31,4.0,42.0209205021,16.9695396452,46.0,65.0,1.39168991744,34.4712,16.9690240604,38.0,1.17215,-19.3639,0.494595632138,31,18.0350877193,16.9826,34.441449835,0.316847
17.7686,55.932,14.4143040384,32,3.0,38.8643410853,17.7677612645,42.0,64.0,1.26713364197,35.0525,17.7673428097,36.0,1.334,-20.2408,0.519734654972,32,18.9622641509,17.7815,32.3294198079,0.381682
18.5857,57.5563,12.1540813996,33,3.0,37.4719101124,18.5850431979,41.0,55.0,1.28158861776,35.4379,18.5844943383,36.0,1.35726,-21.1174,0.529343849827,33,13.3783783784,18.6008,31.3756398696,0.243413
19.334,59.4082,11.6923405504,34,3.0,40.2008032129,19.334719237,44.0,49.0,1.38256475386,35.7442,19.3329647335,37.0,1.57603,-21.9448,0.573669630629,34,13.8767123288,19.351,33.2312537421,0.334579
20.1258,61.1385,12.6478940933,35,2.0,40.7845528455,20.1325427597,46.0,66.0,1.70076656654,36.1505,20.125004518,34.0,1.69268,-22.8122,0.584634490794,35,13.6849315068,20.1454,33.6185246512,0.277428
20.9388,62.7651,10.2848004509,36,3.0,37.9393939394,20.9529126227,50.0,66.0,2.84646930626,36.512,20.9376171386,36.0,1.89887,-23.7158,0.625508238464,36,12.6923076923,20.9659,31.675475449,0.240318
21.7194,64.2214,9.34036553565,37,3.0,36.7326007326,21.7381246887,42.0,44.0,2.07150548984,36.9465,21.7176225516,34.0,2.07752,-24.6182,0.646228556185,37,11.7325581395,21.7506,30.854640379,0.259269
22.5139,65.8443,10.3074152418,38,3.0,99.6336633663,22.5399517401,1000.0,41.0,210.433579877,37.4453,22.5131073637,30.0,2.31309,-25.4938,0.675460261136,38,13.1971830986,22.5508,40.1141940039,0.324396
23.2842,67.4649,13.4865487998,39,3.0,456.125,23.3161210529,1000.0,67.0,460.43161929,38.0031,23.2815615119,33.0,2.45056,-26.3674,0.707806513971,39,15.2898550725,23.3309,68.685649492,0.23492
24.102,68.9749,14.7437847486,40,3.0,47.1698113208,24.1364902773,195.0,72.0,28.0605718477,38.4567,24.1008735497,29.0,2.59423,-27.2583,0.723065135222,40,15.7777777778,24.1506,35.7473033645,0.442671
24.8465,70.5533,14.8995845419,41,3.0,102.49,24.877126884,1000.0,82.0,147.601998293,38.8976,24.8443229022,38.0,2.79314,-28.0408,0.75099740737,41,14.2112676056,24.8963,52.6827954826,0.320574
25.6761,72.0026,9.59386112471,42,4.0,166.836065574,25.7059692505,555.0,50.0,148.586032961,39.4861,25.6737514954,36.0,3.05481,-28.9499,0.779242777955,42,14.5441176471,25.7263,64.2345246158,0.312139
26.3563,73.417,12.4022112444,43,3.0,139.375,26.3834039308,583.0,78.0,98.4212089694,39.949,26.3546931994,46.0,3.21478,-29.7998,0.788526035451,43,12.6875,26.4075,67.3435419983,0.235291
27.2393,74.7871,9.80482496937,44,3.0,838.583333333,27.2603829529,1000.0,45.0,235.630522334,40.6927,27.2370100743,372.0,3.39061,-30.7542,0.812084977253,44,12.9090909091,27.2892,99.6886264962,0.353877
28.0037,76.1166,8.22408141514,45,3.0,121.481927711,28.0195276316,313.0,57.0,59.7604377022,41.6158,28.003529781,46.0,3.81009,-31.7089,0.856379718547,45,10.9239130435,28.0531,66.2069072924,0.33202
28.9116,77.3872,11.202329877,46,3.0,49.4236453202,28.9172224844,343.0,68.0,27.4877103307,41.8369,28.9091586392,40.0,3.95802,-32.7173,0.903632098382,46,15.1515151515,28.9612,37.821497414,0.393379
29.7831,78.6755,10.7145103959,47,3.0,53.8064516129,29.7872107231,145.0,62.0,17.7792666881,42.0014,29.7818386779,41.0,4.26856,-33.7014,0.916730814577,47,13.5694444444,29.834,40.9642098013,0.309814
30.7045,80.075,8.79717777693,48,3.0,45.6136363636,30.7079845583,337.0,44.0,20.7994929015,42.3031,30.7027928429,36.0,4.74907,-34.7163,0.963454407833,48,12.6419753086,30.7581,36.0706414831,0.321999
31.6036,81.207,9.51943897033,49,3.0,162.095238095,31.6035397677,1000.0,56.0,247.434757428,42.6176,31.601429722,35.0,4.8589,-35.7431,0.948633746431,49,14.0,31.6552,52.9133698686,0.283228
32.5065,82.5249,10.5011272374,50,3.0,90.3603603604,32.5068327919,281.0,50.0,43.9884900574,43.1505,32.5055575937,39.0,5.2718,-36.6853,1.01303554625,50,16.1290322581,32.5577,56.3799532464,0.401221
33.3796,83.7948,8.82305870339,51,3.0,179.372881356,33.3796051867,667.0,41.0,154.346286686,43.8136,33.3779634752,35.0,5.45077,-37.6236,1.04460944017,51,12.2592592593,33.4351,69.3008337823,0.28339
34.2769,85.0408,10.0994491971,52,3.0,790.769230769,34.2775355039,1000.0,50.0,315.248901382,44.5374,34.2750708526,61.0,5.8978,-38.6256,1.05798642418,52,13.2054794521,34.3354,95.356539116,0.329076
35.125,86.2911,9.81014371289,53,3.0,286.0,35.1256058684,817.0,62.0,175.528853407,45.3087,35.1230072407,75.0,5.94636,-39.5688,1.07154711325,53,13.3947368421,35.1824,85.776775027,0.308507
36.0321,87.359,9.43268909605,54,3.0,922.272727273,36.033644578,1000.0,41.0,245.795218131,46.1281,36.0304203702,145.0,6.41323,-40.5139,1.09781309562,54,12.3095238095,36.0902,97.879125678,0.374813
36.8948,88.4217,13.0774933888,55,2.0,1000.0,36.895436554,1000.0,66.0,0.0,46.9544,36.8930173113,1000.0,6.83082,-41.5502,1.15065700759,55,13.75,36.9571,99.9956828753,0.456527
37.8693,89.5706,13.4285233542,56,3.0,1000.0,37.8710613403,1000.0,65.0,0.0,47.7962,37.8684303526,1000.0,7.28879,-42.6144,1.17598899971,56,14.8656716418,37.9288,99.9956828753,0.415477
38.822,90.4404,11.6850824799,57,3.0,1000.0,38.8224555207,1000.0,67.0,0.0,48.5669,38.8198695179,1000.0,7.73036,-43.6327,1.2243015579,57,12.1927710843,38.8793,99.9956828753,0.407732
39.7159,91.5019,12.2619195594,58,3.0,1000.0,39.7166923254,1000.0,55.0,0.0,49.1941,39.7147982218,1000.0,8.12993,-44.6651,1.25435863179,58,14.7058823529,39.7781,99.9956828753,0.467704
40.5732,92.4333,10.7138983895,59,3.0,1000.0,40.5724172516,1000.0,54.0,0.0,49.823,40.5700987112,1000.0,8.46345,-45.4599,1.28609826537,59,13.4459459459,40.635,99.9956828753,0.391996
