AverageReturn,AverageDiscountedReturn,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,StdReturn,Epoch,AverageQ,MaxReturn,Iteration,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,AverageY,AverageAbsY,AverageAction
38.7193214463,34.4156539119,3.9298097398,12.2202,14.185,36.5811577345,0.347515044794,-13.086,0.968544298997,20,12.1572,40.765167718,20,56.1089268044,23.7373,32.5229335147,0.416403,40.7973928949,12.1595808847,12.2209438123,1.0
38.8432258624,34.5171656912,3.2149889092,13.5047,14.1843,36.735361458,0.376047828832,-14.4115,0.948214374197,21,13.45,40.7314647536,21,56.1963497016,24.8224,36.6773322894,0.507598,41.2350081027,13.4520356078,13.5041381742,1.0
38.842757589,34.5134851677,4.43256368158,14.7473,14.1834,36.7195905345,0.404167058994,-15.6692,0.969280076604,22,14.7002,41.7799518883,22,49.016628428,26.0891,23.8841414092,0.59953,40.7221879199,14.7029851573,14.7477481038,1.0
133.294072806,91.8181294641,3.20317851479,15.9231,14.4898,117.517912284,0.431223082557,-16.8534,6.35610130552,23,15.878,147.221056993,23,46.7112077327,27.2636,23.8442280088,0.709928,40.3385264699,15.8811982005,15.9227311432,0.980285
24.9523238103,22.722047493,72.1759918928,17.1643,16.3383,20.6636415607,0.490915898285,-19.3181,1.90922277227,24,17.1217,32.5650804675,24,227.3403686,28.4193,11.9456630038,0.76963,69.5607110223,17.1260626179,17.1656118448,0.7815
185.340490602,111.356535222,76.5682988346,19.1251,17.0586,167.277260815,0.637555138467,-21.4223,8.02316690852,25,19.0759,201.408948397,25,211.853986915,29.7088,12.4352099202,1.40874,86.6543048238,19.0799029798,19.1250946652,0.670779
194.21629263,117.709237615,76.8290969768,21.2814,17.9185,191.137096951,0.695934324824,-23.4844,1.77892947248,26,21.2413,198.286127469,26,212.201824482,31.0859,24.1330180746,1.83423,138.576636081,21.2469124493,21.2820880658,0.619328
207.256623412,120.657128117,73.9173016286,23.3395,18.9231,197.925786126,0.723506439008,-25.3612,5.16105610559,27,23.3079,217.48664844,27,222.021613233,32.3076,5.88069701327,2.12293,160.957560334,23.3136605358,23.3410103406,0.509548
213.907210702,124.278317579,55.3497725435,25.0208,19.6297,208.467170103,0.707262355992,-27.0082,2.80340385995,28,24.9938,220.878301031,28,216.473634503,33.3825,28.4682231311,1.99943,160.951807674,25.0003349925,25.0219156305,0.500078
210.828255109,121.141867579,61.5360955632,26.6658,20.5101,173.922100106,0.721687513453,-28.6163,9.20667653436,29,26.6421,216.950257553,29,227.746710566,34.3458,14.6904195058,2.02576,174.303320476,26.6466065958,26.6641448375,0.595356
130.296781405,89.9489125297,52.0204361485,28.2598,21.1764,125.279144291,0.763856086903,-30.1924,2.94532599748,30,28.2359,141.599984786,30,221.395565019,35.3326,23.9179064295,2.3329,177.410005311,28.2411639605,28.2586666932,0.702009
143.455981735,96.5198192103,57.8454010548,29.8975,22.0488,138.587451309,0.784815606217,-31.8297,2.73478112569,31,29.8716,151.856400992,31,195.323612893,36.2819,19.1856720118,2.42944,120.469317911,29.8772841057,29.894047645,0.726726
138.512655468,94.3507081742,65.5021569541,31.526,22.7312,131.695959813,0.837379994472,-33.5037,2.27547601625,32,31.5001,143.763696071,32,223.226941143,37.3119,4.09012910629,2.94731,117.425919807,31.5055661531,31.5223619884,0.729636
160.551086414,104.359633181,49.0865173754,33.1907,23.3868,140.902452876,0.87318518328,-35.1141,14.553626949,33,33.1626,204.171504389,33,223.054601586,38.2787,52.1670042173,3.11208,143.440626735,33.1685479651,33.1862262991,0.750465
218.236773072,124.398627029,61.4721718426,34.6758,24.0358,212.038768348,0.898432175447,-36.6783,2.79489137808,34,34.6508,227.101555591,34,232.962001859,39.2282,35.2239566704,3.39818,154.606076882,34.6572832418,34.6724654087,0.738827
211.414105304,124.307321577,78.8265482092,36.1556,24.6066,204.134549897,0.927795330539,-38.1331,1.88133063336,35,36.1304,215.591332144,35,234.199625243,40.1374,8.75384814225,3.57728,179.655927203,36.1364599867,36.1509751179,0.724158
219.251816456,125.169816626,90.8376988315,37.7698,25.0703,212.217291128,0.977040411748,-39.7217,3.05996129345,36,37.7442,225.782925012,36,237.984789892,41.1039,8.7548641908,4.0716,159.516975542,37.7514935306,37.7645971493,0.649905
218.397749843,127.638564106,53.7528596398,39.2145,25.5501,209.463878899,0.987029909842,-41.2546,2.63814949553,37,39.1866,225.326589254,37,238.700435571,42.0931,33.2609777821,4.21888,197.436251674,39.194214703,39.2085998322,0.746994
210.790260664,123.672325449,59.4778087661,40.6924,25.9516,201.612132804,1.02885860568,-42.8205,9.07691529948,38,40.667,250.556453499,38,225.124952898,42.9784,48.9452184793,4.54761,138.290776623,40.6727584066,40.6852542065,0.566007
288.969651069,130.089362548,92.5930428261,42.4792,26.3642,134.056331387,1.07222311928,-44.6852,52.0798142174,39,42.4488,359.210780215,39,358.401189804,43.8795,32.5510837143,5.14855,176.76788724,42.4559524055,42.4696117747,0.624953
292.928462641,142.002910926,105.166951578,44.0351,26.8309,172.647154094,1.1498182719,-46.3398,24.9559465761,40,44.0036,341.126792524,40,295.686716626,44.7773,25.3872554752,5.9363,194.882933449,44.0112404346,44.0236819875,0.634167
363.293814063,147.0781748,84.7421816012,45.9748,27.236,348.594843668,1.14034738339,-48.311,8.91799860826,41,45.9449,389.714744761,41,342.715256734,45.6388,84.5820895817,5.75597,250.994318128,45.9521430527,45.9649703068,0.600867
336.777250181,149.345128781,148.414060925,47.7251,27.5674,326.17027348,1.20240991792,-50.0483,4.75044428718,42,47.6925,350.905308531,42,446.003084464,46.4749,17.2494245321,7.04101,242.214348339,47.6982666762,47.7119686926,0.603691
369.43405907,147.353469762,111.763590508,49.4449,27.9096,358.067979187,1.25109691815,-51.8586,4.87380756925,43,49.4102,384.609665772,43,403.333094987,47.3053,28.599708511,7.24013,247.34820812,49.4164160437,49.4298896931,0.56952
371.791995504,148.427384988,107.209197003,51.3463,28.2894,355.316129011,1.29232843066,-53.8243,10.0774474517,44,51.3129,401.444053689,44,386.181383075,48.1825,90.041428451,7.6582,262.33686639,51.3226219463,51.335174277,0.577736
328.058192418,146.667952152,90.357265871,53.0183,28.6008,314.814443222,1.33905866174,-55.5348,8.54709910291,45,52.9849,350.382325839,45,443.443889851,49.0893,149.553178959,8.6716,341.389909193,52.9907250637,53.0037452132,0.571607
348.665649998,148.583625579,129.305075403,55.1136,28.9579,324.552947106,1.394395746,-57.579,13.1516825134,46,55.0773,373.463148589,46,367.789856269,49.818,30.6602570302,9.16842,228.542470199,55.0877987131,55.098366237,0.631118
280.50775497,140.930520264,76.8145950615,56.9668,29.3358,266.056553272,1.38862628162,-59.4735,7.50626783456,47,56.9295,296.751271256,47,337.979732693,50.6274,59.5145963745,8.60548,252.156576312,56.9360722234,56.9466042451,0.502492
284.681753533,142.298539091,131.136811018,58.7914,29.6679,273.19581641,1.4386938967,-61.3591,5.89839566477,48,58.7563,297.282559256,48,425.062257155,51.392,22.4396149213,9.89439,247.092397122,58.7657918311,58.7757223373,0.500916
290.925599112,142.232264076,41.3849842548,60.6081,29.9789,271.362411538,1.49606415884,-63.2231,8.63328131295,49,60.5717,312.627427276,49,322.904280646,52.1767,183.234746851,10.9244,284.808451204,60.5787104216,60.5882408305,0.472712
297.78083537,147.787272461,115.519159357,62.4687,30.3677,286.697129861,1.49938210646,-65.0458,5.51230125473,50,62.4299,309.318205865,50,402.460300442,52.8318,34.9098055815,9.91111,258.126531992,62.4391763598,62.4485824722,0.525804
278.659065515,140.783201708,76.6567970077,64.4784,30.7467,251.245229811,1.50967554057,-67.1223,9.70097953301,51,64.4366,297.4015706,51,373.184736876,53.4309,99.3593350943,10.7785,275.813862312,64.4452903974,64.4561131217,0.523542
294.36474324,144.139958296,119.316003757,66.3948,31.0679,268.893208491,1.59304659277,-69.0649,9.92105142048,52,66.3508,311.832710092,52,309.38487383,54.0845,14.7686018783,12.0899,142.378363275,66.3580541488,66.3684486214,0.486941
