AverageQ,MinEsReturn,QFunRegParamNorm,AverageY,PolicyRegParamNorm,AverageAbsY,AverageAction,AverageEsReturn,AverageQLoss,MinReturn,StdEsReturn,AveragePolicySurr,MaxReturn,StdReturn,AverageAbsQYDiff,AverageAbsQ,Iteration,Epoch,AverageReturn,MaxEsReturn,AverageDiscountedReturn
-0.726036,1.42094115875,11.1656,1.27440498218,11.1821,1.28111838228,0.03888,14.5076651662,4.76567,11.5066358348,16.1580971966,0.487794,12.8281172572,0.258654775854,2.00044062398,0.728699,9,9,12.2289667745,161.666427278,11.4772806349
1.17866,-1.83546187368,11.434,1.19068719955,12.3386,1.21952081514,0.999991,1.80118897881,0.0678268,-0.0833759430783,2.32598960856,-1.25348,0.511205392768,0.112650189929,0.132154812473,1.19542,10,10,0.253447567704,16.8802452005,0.404572796277
1.52291,-1.07012029444,11.869,1.52406423234,13.8257,1.58126357759,0.991882,19.1599586749,0.0268048,36.4538364189,19.1008906972,-1.60909,40.3938417984,0.894346448274,0.0938540437841,1.57784,11,11,38.4557526726,48.26047307,34.2030214473
2.21473,1.94910287703,12.751,2.2161160016,14.5591,2.32625948555,0.976748,52.4802366184,0.068366,58.8105277343,21.1221571498,-2.43485,66.2588900038,1.28857290772,0.136606120673,2.32214,12,12,61.480244776,116.661780069,51.4297212864
3.18176,40.5365937157,13.8505,3.18339403881,14.9843,3.31001137664,0.948145,67.6360120944,0.126686,72.9230239083,19.5660875647,-3.52302,78.9736780945,0.668747056154,0.175893943005,3.30615,13,13,76.1371443196,105.935809303,61.4363701505
4.3404,51.9840676606,15.266,4.34214022413,15.3944,4.47143499506,0.70638,94.9845504633,0.218297,69.7463679929,35.1799553892,-4.81011,73.9895729759,0.715521105376,0.224189776587,4.46819,14,14,72.7288237412,197.533519262,59.2855201425
5.67205,53.6169757314,16.8215,5.67464658727,16.1816,5.79339402248,0.786019,115.597192814,0.374685,60.779615431,41.9331581978,-6.24782,62.8529807215,0.448349516441,0.276743090077,5.78932,15,15,61.813242512,181.096898044,51.8258013005
7.12906,3.12068082354,18.1582,7.13189814981,17.3284,7.23814895981,0.719132,124.735232661,0.473459,161.134792563,55.4708786475,-7.79607,172.137360555,2.33688279387,0.308554976336,7.23478,16,16,167.76348468,172.714054057,109.638262176
8.67147,12.6451338029,19.5035,8.67451065642,18.328,8.76444326883,0.690179,123.017960578,0.710218,163.443389593,62.2165358341,-9.43057,172.01525137,1.82314062678,0.363967708457,8.76151,17,17,168.342161545,198.924940908,109.797341561
10.2382,47.7076600694,20.966,10.2419046151,19.3846,10.3140603745,0.687484,147.099397685,0.913614,160.899787718,42.7129744822,-11.0937,172.022365875,2.36173673078,0.411876333111,10.3111,18,18,167.511484204,176.135316451,109.46224313
11.8615,38.5453109839,22.3006,11.8659790973,20.378,11.9285382434,0.738231,155.607728033,1.15549,161.057435475,37.28305944,-12.8076,171.288570884,2.11998892539,0.461918918335,11.9255,19,19,167.820837988,183.265578522,109.568510842
13.6459,38.7481766868,23.7121,13.6499463965,21.318,13.7050454828,0.536519,147.981055263,1.4061,175.871133655,60.0595955131,-14.7221,190.331362172,3.86024816202,0.521301607751,13.7029,20,20,183.881466715,262.13352026,116.184335524
15.5295,74.1198827445,24.9984,15.532840054,22.245,15.5785614045,0.512198,174.915228357,1.63401,177.499081592,40.4399005101,-16.7279,220.002700318,8.76970060738,0.543990497658,15.5767,21,21,208.56697767,235.629388787,125.357619305
17.4857,77.690615039,26.416,17.4922915939,22.946,17.5336917641,0.586693,167.571850714,2.1567,277.287110427,50.4487261259,-18.7933,297.277962862,4.59294447529,0.630313821566,17.5305,22,22,287.053606624,273.368711805,155.809871461
19.517,64.6758008993,27.6852,19.524503142,23.5205,19.5645290679,0.600975,203.763281177,2.70083,218.028090158,64.0808245776,-20.9079,306.350638021,20.5865039026,0.691247204166,19.5629,23,23,288.436679477,310.13977762,154.722025225
21.6437,12.3537972325,28.9866,21.6508717918,24.2718,21.6875010278,0.662838,186.741324373,3.13716,303.593807351,107.525558451,-23.1124,338.264718746,5.75605975027,0.750672223269,21.6863,24,24,329.058681136,397.728511293,167.806902491
23.8033,21.2865580317,30.2089,23.8093621244,24.8897,23.8455048298,0.666408,178.16153061,3.68266,156.54924723,104.346326144,-25.3968,336.485584565,22.2167642231,0.815845817403,23.8496,25,25,180.683717882,352.60670436,115.076723294
26.1252,17.9881282474,31.1612,26.1316313896,25.439,26.1637746414,0.741612,164.042116385,4.12975,226.067932362,67.8495900092,-27.7804,283.831549121,10.7627235545,0.850440913582,26.1679,26,26,269.678941041,273.02911516,148.988238574
28.3276,35.0113018409,32.1217,28.3352625828,25.927,28.3665535391,0.711791,148.93897898,5.3097,304.7758578,101.349670724,-30.0727,406.942589592,20.2350857908,0.946739897235,28.3708,27,27,367.542858378,361.347174693,177.211919192
30.5815,22.5240826917,33.1459,30.5884161796,26.3113,30.6167479757,0.684747,189.952469463,5.62644,277.232689649,101.630448291,-32.3971,396.937878327,28.0489277752,0.980225230897,30.6252,28,28,359.956159991,340.271194559,178.374166594
32.8228,23.6193203916,34.1485,32.8320319534,26.7305,32.8570796211,0.661248,202.741213172,6.98132,247.342200119,138.871439723,-34.6713,272.032941257,6.25032954407,1.08971732718,32.8653,29,29,260.831763816,398.716588994,146.202962447
35.2267,69.6897477285,35.2147,35.2383864338,27.2025,35.2616748652,0.612319,264.30245449,7.89704,341.492814512,74.6726476785,-37.1752,376.438492283,6.91751255935,1.18142641156,35.2707,30,30,359.172651718,339.883282713,178.572652938
37.6589,64.0508421758,36.1809,37.6647503772,27.6461,37.6862068019,0.571775,184.641474715,7.71102,276.826719235,81.0707271504,-39.6449,312.099781257,6.04099915631,1.19398546747,37.6998,31,31,295.16446912,297.85783382,159.712016744
40.0,10.5843286408,37.0938,40.0109170045,28.1087,40.0314441065,0.705171,213.397610678,8.51665,137.89759758,108.876508218,-42.0361,303.831318476,39.7177824278,1.26128546626,40.0413,32,32,185.095714557,323.053800809,116.05081318
42.2949,54.4325305712,37.9399,42.3042166553,28.5541,42.3223945124,0.611105,178.554358806,9.8905,162.572152438,83.8941751399,-44.4287,324.065548381,60.2341553937,1.37572923655,42.3371,33,33,248.199806032,343.807777336,140.263075434
44.708,42.8049690285,38.7054,44.7199490991,28.9875,44.7359629475,0.579273,189.401588995,10.032,294.05658824,84.3960017222,-46.8186,465.218000292,37.4913237235,1.38190712288,44.751,34,34,352.923663564,315.82780211,171.261202374
47.0597,50.9180019827,39.5343,47.0688601906,29.3405,47.0831206763,0.466435,210.303198087,10.2758,206.809620519,68.5274669637,-49.2668,398.013705208,45.0138014783,1.42750728026,47.1019,35,35,319.366194186,328.316308996,162.43497534
49.5231,12.5879300251,40.3959,49.5305146051,29.6948,49.5464441218,0.554484,263.329826695,11.7808,288.191375145,102.799119516,-51.7792,360.669497668,15.8973955538,1.50817592312,49.5689,36,36,344.671001431,386.058962252,173.236571723
51.9664,62.1133993052,41.3,51.9791223118,30.0372,51.9945050866,0.539356,239.859679036,12.3481,154.838318813,85.8013135725,-54.3211,317.655932073,46.7154265956,1.59807876257,52.0154,37,37,242.371013776,322.593516905,138.024864098
54.4324,20.4294120669,42.1495,54.4429443486,30.3565,54.4586362085,0.534829,184.054501271,13.5736,263.15149531,123.935379934,-56.7035,372.703520391,27.5572004648,1.63767373797,54.4803,38,38,344.058132498,350.964982237,169.137737858
56.7791,31.6465351369,43.0032,56.790047334,30.6906,56.8053488751,0.555795,190.685141547,14.7583,155.737434906,101.561570496,-59.086,365.389397566,62.4799194544,1.70165021576,56.832,39,39,304.053566298,397.404727758,156.97715199
59.0195,116.424622263,43.8376,59.0342192345,31.0438,59.0571631347,0.50037,260.132386246,17.0809,235.495714836,91.9576331908,-61.375,318.965544052,19.9746000606,1.83028257319,59.0778,40,40,284.925565446,399.27807077,153.971396057
61.3585,184.094691154,44.7361,61.3699343012,31.3805,61.3945665351,0.524662,307.144001034,17.446,231.063235105,109.359254071,-63.7518,302.001630462,11.5719106606,1.85796579567,61.4289,41,41,280.725227052,537.640858552,149.679308989
63.7025,6.36823723017,45.5496,63.7139910538,31.7379,63.7400288141,0.474795,178.598652281,19.3311,292.100104219,135.795194771,-66.102,318.495043407,5.30321029688,1.89732319463,63.7761,42,42,302.131165295,359.627016335,156.229749243
66.1409,12.2839917753,46.29,66.1522077494,32.1338,66.1827482176,0.590561,190.605295715,18.096,156.244245095,120.259901465,-68.5949,326.407418437,65.4435660095,1.90217231351,66.2199,43,43,248.194194207,372.358685304,137.652261579
