AverageQ,MinEsReturn,QFunRegParamNorm,AverageY,PolicyRegParamNorm,AverageAbsY,AverageAction,AverageEsReturn,AverageQLoss,MinReturn,StdEsReturn,AveragePolicySurr,MaxReturn,StdReturn,AverageAbsQYDiff,AverageAbsQ,Iteration,Epoch,AverageReturn,MaxEsReturn,AverageDiscountedReturn
68.4336,66.1226917895,47.1774,68.4456642523,32.4726,68.4772668419,0.519302,224.209106395,18.9025,318.348859338,99.9321724908,-70.9419,390.609434309,19.0860622644,1.95081544055,68.5084,44,44,371.526198155,366.364330198,180.152846178
70.8762,19.5350618552,47.8818,70.8885069428,32.7839,70.9194607434,0.560344,195.833917387,21.6858,296.035279538,115.820783592,-73.3827,384.022260319,20.8785617626,2.01706808566,70.9481,45,45,341.605504882,346.257872057,171.677822582
73.084,20.3458672168,48.624,73.1015415478,33.0203,73.1270158174,0.587233,188.444358826,23.6571,297.315803442,132.968045102,-75.6306,369.418030927,21.1320650807,2.14705590999,73.1584,46,46,326.091260901,404.825060109,166.504546657
75.3907,49.440734388,49.3674,75.4019404167,33.2875,75.4344561903,0.53311,229.146041763,22.3484,378.269130677,107.372066249,-77.9202,399.192451309,4.75523297262,2.15698128971,75.4842,47,47,385.869788803,382.865530015,186.356733084
77.6452,65.7582902135,50.0827,77.6571910991,33.5609,77.6862659499,0.615004,214.647419416,24.0112,313.3343325,103.348631422,-80.2033,389.931226353,18.0252222842,2.16846962753,77.733,48,48,343.043482505,413.374859302,171.868777282
79.7953,4.0408892812,50.8234,79.8070603642,33.878,79.8385018429,0.526838,214.370166043,26.3858,336.05480221,119.948217912,-82.4054,357.15409717,5.03814867778,2.26509386054,79.8857,49,49,345.367448836,374.054111528,172.197774355
82.2506,16.7170524509,51.6038,82.2586655568,34.132,82.2843198848,0.568494,252.183540252,26.5813,327.920253044,133.020669395,-84.8391,363.800717299,8.4640266078,2.33939242874,82.3409,50,50,346.684015629,404.341960398,172.516421662
84.5605,10.0692807012,52.2966,84.5716552342,34.378,84.600802596,0.630958,160.560846654,25.8425,352.587266129,133.214463032,-87.2749,373.33623238,4.92522667412,2.31272137562,84.6554,51,51,363.063567443,364.809995885,179.60100256
86.6217,8.45424930411,53.0812,86.638992386,34.6838,86.6701587358,0.588544,160.358461674,30.1003,338.505461386,122.946516002,-89.3501,371.513846726,7.12084718241,2.47464082488,86.7211,52,52,356.565535546,373.198308128,176.11298542
88.8229,16.8180052713,53.7846,88.8415847437,34.9999,88.8749999901,0.607755,213.697343163,28.3512,354.669932046,122.603953566,-91.5726,383.991544413,7.44485144376,2.46782257839,88.9406,53,53,371.858847285,391.188388174,181.086218647
91.1278,20.1180345397,54.3943,91.1381015966,35.2602,91.1704551732,0.581078,227.79593003,29.1059,265.252702217,107.363259826,-93.8894,373.266184368,12.3977586691,2.45557169911,91.2376,54,54,363.093559043,381.157215698,177.939092886
93.6267,20.0851680324,55.0186,93.6416128756,35.5342,93.6669867684,0.636875,229.951839804,31.6113,341.34289861,98.5594686091,-96.4536,359.352567106,3.33840710733,2.51811034563,93.732,55,55,350.642262258,396.519606527,173.851002565
95.633,7.241427298,55.6553,95.6480455779,35.8321,95.6819884118,0.616148,168.192281846,30.7079,365.581885734,126.249312626,-98.5536,392.823388106,7.30925669347,2.54967674821,95.7547,56,56,379.034412252,360.002159121,183.339759821
97.6797,27.2207001466,56.2962,97.6915122034,36.1758,97.7198259025,0.629019,188.440212179,37.0711,329.859742384,131.224056693,-100.698,341.045711228,2.64899954306,2.71385273424,97.7998,57,57,335.051343959,370.974730712,169.400325209
100.129,35.888820672,56.9741,100.1435592,36.437,100.174058255,0.617744,200.209249895,34.127,349.948509704,97.3883659648,-103.158,372.273080454,4.82114347126,2.64234653867,100.243,58,58,359.5514923,332.707435571,176.739746303
102.324,14.2204666995,57.662,102.33853909,36.7477,102.366643862,0.630576,187.57888071,39.0529,337.70366212,117.220795955,-105.367,352.917631844,3.16383394701,2.77112371655,102.442,59,59,347.095411775,359.612969047,171.854527898
104.21,20.4492840906,58.3001,104.226067355,37.0201,104.259849569,0.697838,192.967121312,36.2359,247.40577079,108.811203807,-107.322,356.312599104,12.0450108069,2.75921291307,104.337,60,60,347.101502391,326.78424865,172.254078476
106.507,13.5134774495,58.9912,106.524794891,37.335,106.559809268,0.675981,142.783279262,39.247,347.635393303,99.6128203492,-109.63,369.610004682,5.12753082991,2.81731102951,106.635,61,61,359.410809556,375.448782518,176.335709582
108.526,57.4151797179,59.5909,108.54128151,37.6071,108.575828845,0.683596,194.688846254,42.6188,322.829802084,82.7076275093,-111.689,352.551352847,6.21352726338,2.96923479934,108.667,62,62,338.955553465,325.543454984,170.061798019
110.789,17.5844617157,60.1299,110.798438768,37.865,110.829735788,0.696385,148.318542261,42.9001,338.038613921,98.4187662031,-113.914,365.578684669,5.65162081941,2.96480989925,110.919,63,63,351.058540853,345.386706287,173.421788738
112.661,10.8321019227,60.7416,112.681350956,38.1161,112.71436166,0.711337,187.542604393,43.4255,335.039662018,106.139562608,-115.823,357.128780095,5.23865746721,2.98862039307,112.798,64,64,346.73268402,366.759620646,172.876770682
114.633,13.1404544025,61.3516,114.637893909,38.3519,114.66612273,0.676195,174.725410519,44.6245,367.019301082,97.7112181901,-117.773,424.721103462,9.09353095191,3.04266805756,114.763,65,65,380.085837704,319.157050451,182.788666252
116.459,13.4909591362,61.9568,116.480287928,38.612,116.522205395,0.650738,159.113388862,45.3685,320.703147557,92.6937305614,-119.631,343.615068348,4.38905541614,3.09142006663,116.616,66,66,331.021393373,310.990940487,167.285502433
118.174,6.43602153886,62.5317,118.187332898,38.8709,118.223903421,0.686264,170.338045276,49.4704,325.583278122,106.278434226,-121.409,349.560464679,4.74573348777,3.17353901066,118.32,67,67,341.105568779,333.686827008,169.742775053
120.113,13.4818304857,63.0645,120.129062374,39.0637,120.159274498,0.688629,145.546933481,46.4313,376.519852939,109.886034644,-123.364,425.072834505,7.24529929267,3.12540144492,120.241,68,68,385.553512088,356.249768016,183.611722351
122.326,40.3322899871,63.6423,122.339599666,39.2982,122.373181055,0.668956,218.103529425,46.2264,378.596795607,101.18681762,-125.542,405.131203934,6.13406293207,3.16394692418,122.465,69,69,386.056454925,355.766152302,183.432429222
123.845,26.4624650845,64.2699,123.859130423,39.4681,123.89309783,0.639843,233.96010628,48.0487,375.589989182,106.462405229,-127.223,388.722786319,2.85971192728,3.255413963,123.988,70,70,382.11585868,366.861319518,183.231924559
126.337,46.1560261075,64.8244,126.352252324,39.6426,126.378863123,0.657942,217.053788661,51.2862,225.569325282,110.994320299,-129.602,399.432543161,49.1499682904,3.22143717777,126.46,71,71,342.421231333,374.129138636,168.345063736
127.74,11.7266383179,65.3498,127.750294059,39.8671,127.773412102,0.674584,175.168077395,51.897,162.861970133,96.5188113849,-131.006,401.874581049,51.7864756093,3.26389845094,127.883,72,72,339.878852627,328.859183592,167.892654261
129.63,60.9091214675,65.8244,129.642951855,40.1358,129.666637459,0.671042,212.128592568,53.1805,257.750291454,85.984880947,-132.949,398.523421123,44.0303711853,3.25513830415,129.756,73,73,338.772407917,338.086182915,167.712783773
131.269,11.4682337217,66.3674,131.285559623,40.3203,131.321351585,0.682843,237.298063386,57.4247,255.161088026,127.941957641,-134.679,287.74040028,6.49249116532,3.37303386226,131.403,74,74,270.374018984,388.548732854,148.544756028
133.3,7.29161867723,66.8663,133.314636321,40.5507,133.345938776,0.668484,194.282977005,51.4695,388.391843219,151.571011291,-136.723,415.047459906,6.04194079847,3.29792593825,133.442,75,75,400.728174723,407.407345628,188.679603397
135.25,3.48145749054,67.3492,135.260522988,40.7595,135.295371612,0.658892,191.794189617,56.3899,281.516486656,148.484170141,-138.664,358.48007296,13.514440528,3.38130089845,135.392,76,76,317.429418613,408.60728666,163.631108338
137.295,6.21887782811,67.9426,137.308800193,40.9768,137.341897787,0.641723,137.9940225,60.784,378.932924624,136.307676172,-140.802,448.115525301,12.8578567239,3.50058085588,137.431,77,77,406.418320263,395.530070396,182.513869955
138.733,7.61694300472,68.458,138.748485226,41.2225,138.784040801,0.653772,205.367869219,61.1257,384.387989111,135.076816308,-142.299,496.977735113,26.3478305797,3.51255564272,138.873,78,78,419.402018558,379.417999267,192.402340419
140.775,14.6974741808,69.0065,140.785650024,41.3881,140.821070793,0.655514,211.972027473,60.3743,227.367521658,127.181969276,-144.344,596.393945313,72.9848091157,3.48574768675,140.92,79,79,385.576716881,402.176624184,178.517726996
142.705,25.6859208673,69.5344,142.725699577,41.6111,142.756656667,0.646068,245.957631025,67.7852,313.032217968,136.724882009,-146.341,393.606757246,19.4756716229,3.62492816323,142.85,80,80,363.305530452,401.543811181,176.000297472
144.336,20.873171132,70.0122,144.345908869,41.7797,144.374201148,0.652857,183.537338464,68.3711,292.994272754,115.107158185,-147.972,407.620899918,21.2272558066,3.63314590656,144.479,81,81,369.53615869,433.223185509,179.562257639
145.998,10.4432636715,70.551,146.017917596,41.9557,146.048850489,0.686267,213.873601126,72.5889,174.671533795,113.105122191,-149.655,413.03840553,63.3575547486,3.71989952522,146.138,82,82,333.865406769,386.071446701,167.143329712
147.471,8.5543143129,71.0532,147.480145039,42.2211,147.514026072,0.705052,198.861400587,69.5304,234.73285358,123.928993005,-151.131,389.233623194,42.5314137286,3.70736839214,147.622,83,83,316.052921095,393.926995973,161.528502035
149.549,13.3285862427,71.569,149.562897266,42.4815,149.595019293,0.702968,225.83840081,69.9289,238.33200175,125.567628346,-153.236,382.526144409,39.0285276859,3.67633771172,149.687,84,84,290.415692501,420.254877187,153.92330734
151.283,9.59475212834,72.082,151.296881303,42.6825,151.328895404,0.68337,200.527070506,71.7749,222.092355768,119.356947619,-154.99,442.299744961,49.6433017633,3.7856808316,151.429,85,85,331.401724016,385.902304296,168.573993116
152.693,32.7993239019,72.56,152.713084033,42.903,152.742147247,0.698948,231.575863025,70.7295,257.048036148,147.656874616,-156.371,471.222344536,50.1022300649,3.75770049951,152.852,86,86,326.655558653,409.423885821,166.274046407
154.217,3.80606378719,73.0682,154.225727193,43.1152,154.258327894,0.700963,164.136653505,73.62,270.198228788,114.637291,-157.829,377.739584544,27.6418402582,3.84894038874,154.367,87,87,301.26527242,442.071437868,158.963361548
155.503,15.0134935395,73.52,155.522485799,43.3319,155.556191124,0.709771,167.31780178,80.7282,257.965853025,139.511101766,-159.182,431.666833215,29.6034324812,3.92734818087,155.655,88,88,341.142092925,448.699596942,173.312355635
157.514,155.788069074,73.9503,157.525484917,43.5475,157.553768416,0.682286,259.101740278,68.1772,158.360613887,61.6611240376,-161.204,442.718855878,62.3551752398,3.78146495108,157.67,89,89,310.123515009,330.292823157,162.13494559
159.21,10.5804992951,74.4102,159.228253692,43.723,159.259247421,0.693993,158.03085438,76.4381,243.387281247,99.6864347386,-162.901,397.463393879,37.0645609123,3.88058387632,159.353,90,90,284.475254858,363.268953929,152.452871918
160.146,11.2113364718,74.9263,160.16147406,43.9309,160.194938368,0.697467,181.308155908,80.3585,247.891564627,120.578553198,-163.897,429.938754216,48.7263456251,4.03382381599,160.296,91,91,332.688444862,390.44627277,169.49482667
162.076,8.32047050326,75.4323,162.096231345,44.1159,162.128005481,0.677143,178.517307366,84.3613,257.764731513,136.436519213,-165.801,434.965214002,28.5881072498,3.99631591745,162.232,92,92,353.562440718,418.060443405,175.790575565
163.64,10.4970651924,75.8566,163.648227177,44.3629,163.677264513,0.701603,190.243642998,82.7027,193.602316228,121.254819109,-167.363,463.286846681,85.9349836104,3.94068554487,163.803,93,93,380.933523606,412.601905511,180.540691651
165.344,11.8892030108,76.3109,165.358693033,44.5627,165.395809202,0.725557,146.55685566,83.5052,121.49797142,118.654739773,-169.181,344.646719002,57.5363019253,4.09656319319,165.508,94,94,242.487409242,376.361123953,137.5271544
166.623,41.7522894024,76.8237,166.643060092,44.765,166.682443606,0.696168,212.468105608,90.0751,259.382834181,145.800881978,-170.496,453.532072042,41.5466540787,4.10340265918,166.802,95,95,318.990365732,582.881920238,163.259875106
168.327,13.7153867486,77.3763,168.34066591,44.9386,168.376099825,0.713713,197.51058629,89.34,148.053797549,127.064819356,-172.189,377.478240463,45.8129590083,4.1371994285,168.482,96,96,314.291076078,396.81632144,163.74112016
169.664,23.0569268953,77.8192,169.671344388,45.1573,169.714503143,0.727889,208.763522948,89.5261,148.983636421,136.625763816,-173.583,445.029069542,75.4813477637,4.21279239433,169.839,97,97,312.423938942,426.798609365,160.946634733
171.405,14.5866381793,78.3086,171.43080494,45.3995,171.476742354,0.724818,198.95124081,96.1074,257.089780774,158.739456295,-175.531,355.570859314,31.4042385746,4.28571984508,171.571,98,98,299.574686432,554.564809034,159.131737828
173.414,34.964804432,78.7351,173.428360189,45.5633,173.463583691,0.730942,198.422419006,85.0716,216.921390886,126.025242586,-177.435,465.80655098,32.7003301731,4.14559591324,173.569,99,99,262.711365941,415.801407997,146.195607695
174.346,3.90512958301,79.2568,174.363634285,45.7593,174.411316625,0.721425,162.659894016,93.6981,252.436403376,127.090177462,-178.354,367.105064647,35.7114698939,4.24923973972,174.531,100,100,326.686745352,375.329031388,168.331719167
176.309,5.47458800356,79.6897,176.325568481,45.9701,176.372594933,0.699995,181.482810661,92.6892,137.164487272,110.667243971,-180.35,425.224029968,91.5414438493,4.28083182473,176.484,101,101,235.611975534,369.943055563,132.932167634
177.994,15.128633801,80.1813,178.002437681,46.1498,178.042158786,0.687601,164.423904312,101.36,145.0696543,92.4595776708,-182.033,530.258800877,49.1907526634,4.36119739004,178.157,102,102,351.493675806,308.670334186,172.678878921
179.506,90.8424824927,80.6809,179.529914827,46.3434,179.57598065,0.698105,251.599400616,96.3052,265.505733782,92.3674284453,-183.717,736.96823826,126.76642541,4.35350617866,179.692,103,103,467.664223404,377.649374918,196.711575869
180.419,41.6406218008,81.1913,180.432434002,46.5379,180.481687304,0.697772,226.010850718,101.034,162.969917258,146.148894647,-184.477,399.470448881,57.8327562783,4.43198345528,180.59,104,104,333.846469165,393.588059068,166.453997115
181.789,35.6789246155,81.5947,181.801499662,46.7179,181.846196967,0.65072,250.306628358,104.337,257.640445403,119.480894039,-185.956,524.403735782,65.5843617604,4.42376116357,181.967,105,105,372.606074241,401.295895197,177.924615224
183.192,32.6543905244,82.0318,183.203648594,46.8954,183.243227194,0.676358,183.470265815,100.074,256.057197,128.069661824,-187.438,460.352223908,48.9917826147,4.38038549383,183.368,106,106,349.00454006,381.417562762,172.201764024
185.169,17.8687176925,82.5471,185.184637139,47.0817,185.227581006,0.688719,188.863303365,104.531,218.006580834,137.846514541,-189.282,700.165370336,76.236457333,4.47589667645,185.343,107,107,430.869211207,404.487247026,191.978636557
185.978,37.2872160935,82.9813,185.997411316,47.2709,186.044590455,0.684166,231.736119591,106.094,397.132912289,127.66458422,-190.231,790.939531634,120.932329188,4.50511657955,186.17,108,108,575.788127514,454.151048142,207.137515153
187.701,20.2963563862,83.4516,187.7113294,47.4511,187.754253578,0.680416,256.697993231,96.9411,284.311697412,140.004871886,-191.892,730.527433882,121.607271947,4.40748339861,187.878,109,109,478.215761059,414.661634691,198.437278687
188.647,31.8494480824,83.9351,188.661099287,47.6324,188.705359808,0.679337,241.080095414,100.729,253.445890524,157.906467696,-192.988,681.710891796,101.926916795,4.44975635934,188.817,110,110,375.631506509,511.758718654,177.2894092
190.383,29.3081671827,84.4726,190.398077527,47.7765,190.442433843,0.607149,210.886468678,115.279,241.632625488,162.394009712,-194.602,548.397859629,84.9596679665,4.61528705409,190.571,111,111,435.03867378,499.709954748,193.287419717
191.128,25.1587648264,84.9654,191.148366789,48.0151,191.203487422,0.684247,211.211189838,107.148,195.016730373,121.929313789,-195.352,823.436212779,88.3196971865,4.60828657874,191.324,112,112,414.639664885,411.327323626,187.488893545
192.285,94.6995126166,85.3965,192.300139806,48.1471,192.353028675,0.63735,261.47647247,108.385,189.009850207,144.129734493,-196.633,677.406984958,104.473083771,4.5657746668,192.483,113,113,500.881727021,522.719443586,204.429242416
193.818,13.6907404797,85.7979,193.832869751,48.3234,193.883077156,0.684583,186.000396979,94.8113,227.229405338,140.807327026,-198.093,772.383697787,91.4276470527,4.4270696555,193.993,114,114,509.251304094,461.291402788,205.868069727
195.13,54.0209484371,86.2609,195.143450062,48.5008,195.201106398,0.636586,305.358495752,121.094,236.981275955,173.072085714,-199.513,681.714176151,107.314097632,4.70214662112,195.326,115,115,479.570155402,597.155377956,192.535842843
196.765,193.602067792,86.6284,196.782688376,48.6639,196.828480338,0.617546,403.668724371,111.848,487.127939623,141.174593031,-201.007,1091.94425699,209.406325792,4.62724472375,196.971,116,116,724.678199845,613.344006726,213.448508477
198.011,22.0925903854,87.099,198.024439056,48.8323,198.078585982,0.652288,253.519395829,115.004,460.304306034,193.239571183,-202.278,795.211902892,77.3085441112,4.68279911779,198.205,117,117,625.126711059,576.778240829,226.480152907
198.646,8.82679758909,87.4742,198.66021033,49.0026,198.712246531,0.638966,168.631606923,118.101,352.530863829,110.674352016,-202.974,750.901454425,77.3759985602,4.74669383399,198.839,118,118,487.68563948,375.398190822,200.116969852
200.504,10.8563145923,87.8973,200.518857968,49.1523,200.579333822,0.610462,237.891599064,106.104,412.629809452,204.493863438,-204.806,1069.16125348,145.683218962,4.59445714513,200.697,119,119,551.573059404,650.982340205,204.307570743
201.1,31.8790758156,88.3289,201.107751956,49.2766,201.165346161,0.608401,217.632787122,119.346,240.258589258,149.50849426,-205.567,1058.24206671,220.495115126,4.77086742683,201.301,120,120,676.597516398,532.057794451,208.918906893
202.799,9.80839983193,88.7691,202.815683253,49.4535,202.874166053,0.600885,274.741010618,124.821,667.839210034,212.827134639,-207.139,1158.94911938,122.077582319,4.85328383916,203.019,121,121,963.111489961,549.368281556,212.166769375
203.613,8.27103781185,89.1526,203.630020334,49.5726,203.691356316,0.603316,232.152638747,124.664,185.638878826,156.018480953,-208.071,1230.31570125,278.443477308,4.84825323344,203.804,122,122,920.673403221,462.153379286,198.52444513
205.274,79.0137742406,89.5265,205.287659909,49.7661,205.347650785,0.582022,271.266843867,127.568,516.305367151,131.269715396,-209.543,789.980360088,83.7665342984,4.83893824859,205.484,123,123,696.932526768,502.738558023,224.084442405
206.5,13.428530674,89.933,206.512646611,49.9261,206.578872204,0.546461,201.109761756,128.859,227.114159743,195.11534173,-211.029,1164.77984317,241.219728822,4.92033292917,206.719,124,124,348.777209193,655.293332162,144.19844548
207.838,113.955513402,90.2667,207.855127342,50.0506,207.902653984,0.663782,323.878572839,129.432,206.350539925,165.595172715,-212.297,1064.62473988,185.757189259,4.8665260197,208.025,125,125,565.451043336,605.534342551,205.742007017
208.873,14.8815656819,90.6721,208.879441096,50.2419,208.954039167,0.588905,186.708003873,115.08,562.954622444,149.7600087,-213.175,782.366881355,36.9935625819,4.72247320663,209.094,126,126,744.517396027,505.032567798,226.838674574
209.551,9.85106717659,91.1479,209.569851135,50.3894,209.640560241,0.615331,156.362832712,123.503,569.183245949,162.999695692,-213.948,1177.69896271,149.765004491,4.82976450493,209.766,127,127,821.138275988,599.879038378,220.748772506
211.057,12.2374234626,91.52,211.062243357,50.4828,211.119176441,0.650029,342.941984118,117.553,424.853652671,215.547007794,-215.442,777.907398116,119.169138231,4.79306660608,211.257,128,128,635.802142628,699.588811522,224.702033779
