MinReturn,AverageAbsQ,MaxEsReturn,AverageForwardProgress,AverageReturn,AverageEsReturn,AverageQLoss,QFunRegParamNorm,AverageQ,StdReturn,AveragePolicySurr,MaxForwardProgress,Epoch,PolicyRegParamNorm,AverageAction,MinForwardProgress,AverageDiscountedReturn,StdForwardProgress,AverageAbsY,StdEsReturn,MaxReturn,MinEsReturn,AverageAbsQYDiff,AverageY
-4.01401165823,0.00474135,38.9770585695,0.00739338682725,8.10491043569,19.8325526554,5.46262e-05,26.4294,0.000112051,4.54180844768,0.0949651,0.0994828925925,9,26.5048,0.0293214,-0.0883241569518,6.74651489218,0.036340384321,0.00555021624715,8.74723008713,19.9813273237,-0.262175649128,0.00588154356667,-0.00497047252503
-9.16536071366,0.00759923,92.6573026197,-0.0046535410312,5.29638715868,8.94894939303,9.01631e-05,27.3677,-0.00568952,3.84329541685,0.00210142,0.0738115170408,10,27.462,0.955523,-0.145433489795,4.5729288372,0.0300159765428,0.00764009373089,16.3880940092,15.7363281922,-0.357337689117,0.00381236279307,-0.00570012416879
-11.492456443,0.00744969,17.2122222566,-0.0644919279568,-1.21123530157,7.69064890345,1.49118e-05,27.7338,0.0015261,6.98122470016,-0.00806037,0.207862115128,11,28.2361,0.975167,-0.151415069775,-0.499947575182,0.0491264444373,0.00766747328593,4.88205334052,40.6635935743,-0.620543206904,0.00165856052464,0.00152525354684
18.912338644,0.0124951,32.190350177,0.244357663134,43.1977741372,13.0296094059,8.45412e-06,28.1459,0.00850006,7.55435730568,-0.015707,0.415591495074,12,28.9314,0.925271,0.0686564981707,29.5754378643,0.053259511913,0.0126406385725,11.0166970001,67.3347665191,-2.89089802671,0.00154562305016,0.0085033265339
-5.76561875572,0.0158573,42.7793594695,0.000722920675176,6.86087121952,13.9144251115,6.71827e-06,28.528,0.0132902,4.3243348073,-0.0167102,0.0953381539689,13,29.3277,0.965746,-0.105195026674,5.72924270148,0.0324260325,0.0160042383638,13.6191066309,20.6627928039,-5.42147890613,0.00152184307256,0.0132905977885
-3.22562533897,0.0187316,62.753524751,0.166690669286,32.0982938964,25.3769272515,6.74533e-06,29.0181,0.0175395,14.3659010954,-0.0202658,0.397336253268,14,29.5874,0.966599,-0.0777103560835,22.3996525013,0.100898855757,0.0189523106814,19.5611559359,64.819259626,1.57137098935,0.00155142252734,0.0175438899431
0.135285259109,0.0197613,52.7098979327,0.0189927787391,13.8978782329,19.3937132127,5.94359e-06,29.4736,0.0193195,5.78339335367,-0.0200904,0.146024461046,15,29.7221,0.942938,-0.0857126427751,9.95122234953,0.0449691543995,0.0198378799892,13.8433333374,30.5555265173,2.35870129123,0.00148759233484,0.0193209385875
-17.6993786833,0.0212278,41.3032283892,0.0704429449162,18.7167426107,19.3294894503,5.92822e-06,30.1181,0.0210574,7.53070472768,-0.0229827,0.277200815326,16,30.3402,0.969415,-0.282335413581,14.0098585647,0.0602325419404,0.0212520010452,12.6438882246,51.4477829868,2.03977397568,0.00148670202163,0.0210580429347
2.08238853641,0.0253458,45.6331399924,0.113090292109,27.1624636125,16.458203717,6.60797e-06,30.7505,0.0252983,11.9018149111,-0.0274272,0.415358950239,17,30.7498,0.961983,-0.0783111785617,18.0616874535,0.0853220710384,0.025353912184,14.0374882503,70.1547795542,-2.26754083434,0.00155638469622,0.0252967610585
-16.9071626192,0.0290275,66.2508166817,-0.0316885251946,8.60055815868,13.0605778312,9.45208e-06,31.6251,0.0290122,9.62643207826,-0.0317688,0.163008455864,18,31.0135,0.971786,-0.222757827953,6.70703041946,0.0747476035558,0.0290324562933,22.9773417235,34.2310098598,-14.368488746,0.0018258197525,0.0290156334442
-2.34058300063,0.0329832,87.8030511473,0.116342512991,24.9743198675,26.9171807993,1.26178e-05,32.7416,0.0329731,17.6515923872,-0.0384949,0.546142392786,19,31.5623,0.960718,-0.0765441481831,17.0508635634,0.121730252355,0.0329849476156,26.7610875303,86.3975404599,-2.60997798817,0.00210307035738,0.0329741643425
-43.6075830159,0.0403111,58.8590195745,0.256187581595,51.6727962681,6.73682652419,1.55211e-05,33.7798,0.0402794,29.6393104773,-0.046447,0.544047579987,20,32.0976,0.972675,-0.511528276231,27.6242268036,0.219774357452,0.040316397707,18.7195141673,92.0838506137,-20.4053263903,0.00229013994439,0.0402797993826
-3.71902493718,0.0468789,57.7619074297,0.0884545586687,21.3234667785,11.6829908846,2.12041e-05,34.9015,0.0467737,16.9305755821,-0.0523951,0.401115215735,21,32.4953,0.969831,-0.0805135200274,14.3666703022,0.113255740425,0.0468935520533,20.2209463695,65.582155899,-36.0361895091,0.00261768975878,0.0467759330167
-34.7272536156,0.0525677,86.9244870335,0.214318177892,51.720567969,31.0409118553,2.6013e-05,36.0871,0.0523957,42.4453430195,-0.0591087,0.768259575609,22,33.0791,0.949922,-0.469877770746,24.3749812679,0.317704805529,0.0525785205026,24.128396542,129.35600803,-8.02495675622,0.00283886075006,0.0523951647204
-16.7875835809,0.0602288,121.992868215,0.0232033161284,18.1431829081,40.070729699,3.30896e-05,37.2949,0.0600226,11.7761123831,-0.0701773,0.300670449182,23,33.4245,0.971209,-0.258643106228,13.4973711774,0.0943909548218,0.0602390350905,37.1664817393,53.6061976564,11.4017153943,0.00321345650186,0.0600235614752
4.25509528772,0.0719661,37.0789988525,0.0805776065483,21.2289858649,16.220256239,4.05013e-05,38.488,0.0717874,7.47393823328,-0.0831802,0.252847630683,24,33.6068,0.979693,-0.0531639454579,15.7269415428,0.0583618434689,0.071975749768,13.2403616616,45.4480445573,-12.7956248553,0.00357482108654,0.0717905272687
