AverageReturn,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,MaxReturn,AverageForwardProgress,AverageEsReturn,MinForwardProgress,StdReturn,MinReturn,AveragePolicySurr,PolicyRegParamNorm,Epoch,StdForwardProgress,QFunRegParamNorm,AverageQLoss,AverageAction,MinEsReturn,StdEsReturn,MaxEsReturn,AverageY,AverageAbsY,MaxForwardProgress,AverageAbsQ
-19.1036681936,-13.8555367574,2.0832861145,2.84126,37.4606028862,0.0951067474362,-3.31184838292,-0.388203150388,19.6347290753,-68.4506189626,-7.53972,26.7451,10,0.19207621613,45.7772,35.6664,0.984851,-50.8418178798,8.1771080012,5.65808665058,1.2909649519,1.29960218546,0.65420447693,3.03256
-13.2578336715,-8.50202007427,0.429549680029,2.89565,15.871567337,0.152729171982,-22.2726915382,-0.0721132437233,10.0183069712,-35.2928817073,-5.80951,26.7946,11,0.101144859215,48.4591,0.618376,0.964214,-55.5016900219,15.7425484973,-2.24115237223,2.8820017337,3.00406887519,0.445238685766,3.03577
-19.4412566423,-12.5880181557,0.61934299412,4.73076,14.9238025272,0.0802250216214,-28.4466806851,-0.242527749396,14.7494424743,-52.0197961216,-8.24965,26.8804,12,0.147392508292,50.4439,1.627,0.932152,-58.5740283639,16.5775010427,-10.6814585604,4.69566554303,4.8094148241,0.422919658418,4.84245
-11.5602404559,-9.62155775417,0.62022629948,6.21773,32.9628968236,0.14434972716,-18.698857927,-0.11509877345,12.68858807,-38.7393373431,-8.1254,27.1796,13,0.123859502539,52.133,1.43539,0.881568,-45.8549802825,15.6563160709,9.35655643109,6.18050442927,6.25581859924,0.587343726937,6.28544
-38.3506246437,-24.58539721,0.607080381435,7.52141,-25.1028867809,-0.105808190132,-17.7044034188,-0.249831006404,6.14916648884,-53.1187229293,-8.9526,27.605,14,0.0604656838528,53.6465,1.42722,0.928438,-28.7984184233,8.16140535095,-7.44076729936,7.49900813772,7.53180264159,0.0243755091154,7.55691
-39.0022539558,-25.6230997671,0.579963170678,7.8878,-19.205130009,-0.10272131806,-38.9389180391,-0.327611061201,7.75118916286,-61.9424491519,-8.73987,28.3348,15,0.0756879650513,55.5851,1.14694,0.957211,-103.152002772,27.3737213621,2.69563221903,7.87013480645,7.8862499568,0.0789975964796,7.908
-53.2446849326,-34.2009262823,0.524785137089,8.6141,-26.8687693101,-0.235595192372,-38.3086404054,-0.453344962284,6.58061723559,-75.1322629385,-9.87052,28.7148,16,0.0650559938638,56.7748,0.902157,0.975204,-47.6102389247,6.17380562623,-29.91998045,8.60263575432,8.60517173159,0.0195302024127,8.61871
-23.7290149549,-18.053201737,0.556178576315,9.55828,-6.11513733523,0.0405946041598,-34.4162176613,-0.185916201202,7.39299382394,-46.4813133492,-10.8184,29.2125,17,0.074197604374,58.2143,1.00292,0.92137,-52.6102702479,9.58336143691,-18.2923693223,9.54686336248,9.54726518132,0.214952400807,9.56075
-35.0976422299,-20.9203693181,0.610459712593,10.2713,-0.0870571980205,-0.060760416953,-50.5512780367,-0.513170688404,18.4687857501,-80.4748679827,-11.0564,29.6625,18,0.183808997603,60.2269,1.55934,0.943464,-79.8579591359,22.4381006649,-19.9850309939,10.2606072555,10.2608528018,0.287084971199,10.2744
-39.5772709043,-24.2002941414,0.706601497053,10.4841,-18.065354675,-0.1002229753,-40.8086133655,-0.245139097524,6.37372693203,-54.0660260668,-12.644,30.2097,19,0.0627277849347,61.9257,2.17557,0.96661,-69.2415444448,24.1296052182,9.29885289594,10.4571671805,10.4573019721,0.116153929007,10.489
-28.6082769604,-17.9704873207,0.69402280283,11.6615,-16.136395536,0.0154929298675,-27.5063121647,-0.0751711544127,3.49345906625,-37.7011768462,-13.0656,30.6181,20,0.0348175613104,63.3013,1.59433,0.99424,-39.2611694594,6.68117515139,-13.5413320671,11.649699174,11.649699174,0.139082905755,11.6638
