AverageAction,AverageQLoss,MaxForwardProgress,MaxReturn,AverageReturn,StdReturn,AverageForwardProgress,MinReturn,StdEsReturn,AverageY,MaxEsReturn,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQ,AverageQ,MinForwardProgress,Epoch,StdForwardProgress,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AveragePolicySurr
0.673011,0.00408508,3.23209440141,272.996483338,125.75612644,57.8152354537,1.73347094111,34.8983218532,27.0682628652,0.293078417546,93.965591875,14.9818,36.5414291342,0.410441,0.293096,0.760459431597,23,0.604941197353,0.0410265565622,0.413181022844,19.2449,56.5456015723,17.7056538281,-0.320458
0.733635,0.00468635,1.66958298794,112.098055548,33.8727604294,32.6607110898,0.871555672973,-6.1950745943,48.1709840638,0.337133427077,158.341150782,15.2909,24.688648456,0.451347,0.337098,0.447029488982,24,0.335592498674,0.0437019954364,0.454027304935,19.4635,85.0811908309,23.3637229425,-0.362475
0.767269,0.00529368,3.36792511375,285.597131272,161.806576137,51.336362394,2.10603386592,60.5506014485,25.1433092487,0.37779133545,149.542809444,15.5638,54.0874634497,0.493481,0.377853,1.06345276861,25,0.527168592426,0.0469435795271,0.496325196896,19.6906,110.549709296,81.8721693847,-0.405574
0.787835,0.00630821,3.13973952922,254.743086006,153.370100528,44.0732516998,2.10492277021,36.0520134753,32.7330328434,0.425268152241,172.680317388,15.8475,52.948669923,0.540947,0.425273,0.856263057421,26,0.45846692273,0.0512535120177,0.54399603328,19.8819,125.01797006,85.4049817761,-0.45417
0.788167,0.00716531,1.94855604767,134.927110697,58.4784020757,39.2318864141,1.1754660735,-26.7858113627,30.6687194529,0.472438095135,94.1545305515,16.1726,32.6004198495,0.585906,0.472383,0.319794930479,27,0.390095780805,0.0541820084366,0.589424248757,20.2016,55.3814273348,19.6449115119,-0.506334
0.7892,0.00788872,1.6114328185,105.045877685,70.7269098326,27.4453746278,1.2800167072,-5.09907052132,34.924286763,0.515117966532,101.245263352,16.5092,33.4831649514,0.627861,0.515046,0.537943225692,28,0.267349123368,0.0567533320748,0.631247409968,20.4467,62.4002705253,18.4820757863,-0.550094
0.773032,0.00885306,1.85221530407,132.808390988,58.9159041066,35.0172694805,1.1118667338,3.97849615881,56.0866909731,0.564398884692,168.808914627,16.7782,20.845126492,0.673403,0.564366,0.551928185401,29,0.350541358511,0.0597097923847,0.676381560284,20.7776,73.7810398109,30.1658717574,-0.605688
0.869991,0.00940432,1.6691659185,103.881724554,70.3713593772,14.560074667,1.35135647276,28.7013734043,30.6016802565,0.607961405567,85.573418802,17.0365,26.0895386338,0.713735,0.608056,0.949398283254,30,0.144993376333,0.0619255685383,0.716724236042,20.9896,38.1522240522,3.0522951277,-0.642305
0.914121,0.0102732,1.82790152302,116.606541796,62.5304183231,28.1879631343,1.30079695147,9.29902900693,62.7542395182,0.65724786018,147.256266514,17.2828,30.8811530979,0.759178,0.657352,0.661415543936,31,0.275292954965,0.0638276804496,0.762302089545,21.2404,56.0750767178,-29.8121348177,-0.693267
0.835957,0.0112619,1.58112502841,98.2671780664,75.411683249,13.7138460515,1.36954033396,51.5121818999,38.9107509365,0.703955839417,102.510495694,17.528,22.7614899621,0.802952,0.704043,1.10861766272,32,0.126973085425,0.0666456881562,0.806360784518,21.3906,44.5327856021,-0.735332707286,-0.741875
0.92596,0.011606,1.59552954692,89.7408895628,27.2176965813,30.5082977368,0.966801789113,-53.6593848989,36.3124768296,0.758729113413,124.539923978,17.719,16.6591555367,0.856455,0.758668,0.152664240987,33,0.306748751961,0.067969491626,0.859607009492,21.5272,63.4690639661,28.9953204155,-0.793891
0.88179,0.0131425,1.63594541378,99.8003032501,45.2684322606,21.1731279182,1.09663901168,12.9732780166,32.5741036341,0.805469589655,100.599873733,17.942,26.8510357992,0.900231,0.805591,0.774071346454,34,0.209228296529,0.0719329725481,0.903777352552,21.5788,56.0102200533,10.4930776085,-0.841239
0.789024,0.0141995,1.7420125467,115.566615875,28.9043858427,26.6254094469,0.828013746389,-13.595680604,47.1364244776,0.850175548961,121.085374681,18.2081,17.4076735958,0.939742,0.850489,0.315370544409,35,0.285869273822,0.0745908775186,0.942892284815,21.6877,63.6174330015,2.31421309054,-0.890115
0.8371,0.0148607,1.78533323778,119.447771909,72.0279517927,30.7726795576,1.30421682885,-21.1261923991,37.5533006748,0.885073802256,20.5468077115,18.4848,30.0316640555,0.975206,0.885257,0.325501815865,36,0.310015925886,0.0762623076387,0.978633016966,21.7625,-31.1335387045,-80.1489068471,-0.917074
0.822089,0.0151026,1.20592486105,59.3010932788,45.833635751,5.18738926402,1.06706502778,36.976324854,53.3998998757,0.927306689948,150.518371328,18.7227,29.3210441787,1.01826,0.927411,0.977969696398,37,0.0529368417328,0.0784655640917,1.02167182898,21.8974,62.8778738637,8.70862960094,-0.967705
0.868752,0.01701,3.92646018818,331.266296629,81.747834796,71.4976956287,1.45810966294,-19.8060237892,2.51794664408,0.986060524959,104.025808113,18.9726,39.9683301162,1.0693,0.986365,0.433779401694,38,0.705535063572,0.0809729092052,1.07270063707,22.0724,101.339545037,97.2254796609,-1.02707
0.91468,0.015767,2.7893284186,214.918518597,91.0279859325,33.3594373157,1.58464742996,37.9747911348,46.827072478,1.03936770925,144.641063591,19.1525,42.8598270593,1.11971,1.03949,1.06500436572,39,0.326568029858,0.0803438488494,1.12298491067,22.1986,78.2601122675,28.0321389748,-1.0829
0.889654,0.0180671,3.94336390053,336.006238161,126.467863213,74.0363140616,1.90924595644,30.3318218499,72.6241682939,1.10369975101,133.061274423,19.3369,49.7687066337,1.17906,1.10402,0.972087906049,40,0.734568453133,0.0844195406558,1.18171225303,22.3298,59.6795490552,-58.8586362377,-1.15039
0.827992,0.0194272,2.22506593587,159.982172032,85.8964698544,37.644363583,1.47695896109,9.00589774438,54.9289664409,1.16206086803,180.28482888,19.5,41.5701966456,1.23106,1.16229,0.705958769544,41,0.384176971735,0.0864271917101,1.23430871216,22.5534,85.7116627663,47.056199526,-1.21238
0.824111,0.0200882,2.7613894622,214.034744307,107.694040653,30.1261602533,1.67479690298,61.5203735833,26.7657405668,1.22395899053,46.6995834137,19.647,46.6645842193,1.28724,1.22413,1.22596582961,42,0.301167559021,0.0880378069447,1.29055231827,22.7379,15.7613939141,-25.468596132,-1.27356
0.897691,0.0200122,5.39430943506,477.628363988,183.129274641,82.6439922373,2.48612495569,63.6722529687,50.0989371894,1.28979405795,119.679516482,19.8469,65.3343328429,1.34637,1.28976,1.30345286893,43,0.817200995751,0.0889721970457,1.34933079638,22.8619,44.2900547187,-20.2955779074,-1.34514
0.88466,0.0212268,4.63470220268,398.348010179,255.125198129,96.3560604484,3.17704518459,58.6436648223,106.702535303,1.35561273487,338.910852149,19.9944,72.4875172077,1.40792,1.35579,1.23988155661,44,0.961371337501,0.0916540945182,1.41124216421,22.9715,155.707554577,76.7296327002,-1.40566
0.848387,0.0227239,4.09419642344,349.345853604,189.128684321,60.9864993208,2.49387326611,59.3716871451,76.9586279138,1.42679304115,265.214438875,20.1604,56.7828697664,1.47574,1.42685,1.20005768887,45,0.612117642196,0.0937219363131,1.47901159733,23.0757,151.521599916,51.3009088224,-1.47479
0.87528,0.0224654,4.24244187985,362.455200227,244.488847656,81.9619860756,3.06094696888,12.0948503503,90.0971740673,1.5210792531,331.420603664,20.2943,72.0117746501,1.56407,1.521,0.75568987086,46,0.820437916447,0.0930883636954,1.56662454617,23.2092,195.714930498,85.5696908811,-1.57509
0.875277,0.0244088,4.4698096349,382.061042454,224.492859958,81.6111546581,2.88443572711,24.6318930581,131.997524711,1.58770559731,278.219238938,20.4941,64.0271773779,1.62892,1.58767,0.880843338016,47,0.816346471142,0.0974649583628,1.63166507255,23.3705,122.107805684,-86.5674556736,-1.64095
0.853997,0.0238677,3.3563940588,269.560493826,100.227578604,62.586740255,1.63304174032,4.50121203477,59.015726393,1.65199311798,144.354246927,20.6229,41.5613632712,1.6931,1.65218,0.676628861215,48,0.631798206887,0.0963890030778,1.69542982699,23.5127,61.1790137392,-8.94975560204,-1.70135
0.905964,0.024454,2.52737920216,187.088700607,109.172012066,33.0645229525,1.76723114483,29.7446906284,15.6188083057,1.69504503333,68.112868693,20.6712,49.6918765514,1.73325,1.69506,0.991837164306,49,0.325934465756,0.097432145179,1.73554256694,23.6622,44.1244431205,28.9225009142,-1.74749
0.891114,0.0253075,3.06575201995,242.013713665,150.664027402,49.3535574634,2.16772088031,78.2375225517,39.9256612427,1.76347283204,136.888553332,20.7965,59.5875312737,1.79989,1.76373,1.43914338747,50,0.488206694832,0.0995929901374,1.80203303474,23.7962,95.6074863032,35.0286520339,-1.81771
0.880161,0.0270653,1.70231622929,105.973162356,50.8986139955,24.3029377148,1.15241133605,-7.955994146,33.8685022983,1.83430177908,143.809636047,20.9249,29.595121311,1.86872,1.83445,0.553531831198,51,0.246799881829,0.102633084727,1.87049231592,23.9551,86.7492736741,56.0910191301,-1.89096
0.860656,0.027851,1.58791701598,95.4981471191,54.7540646545,21.5406931224,1.18115457813,11.4297208329,39.9238119718,1.90757376618,111.490119904,21.0481,27.6067347542,1.93784,1.90761,0.750820891464,52,0.215588874502,0.103967537887,1.94015856561,24.0645,50.6327046903,6.00006728683,-1.96351
0.899407,0.0281594,1.38290951423,72.1745060537,38.8892591452,10.511602578,1.05702327614,15.834022694,61.0066257672,1.95920822451,183.05788868,21.1812,26.9156228822,1.99007,1.95925,0.829832988667,53,0.104423093017,0.105567329754,1.99245824261,24.1301,101.237036111,13.9337586322,-2.01755
0.827106,0.0289121,1.30534759234,69.301473911,40.1911215797,13.3899419913,1.01299652939,14.7254957993,33.4119022576,2.03224885841,161.927527881,21.2904,26.460194602,2.05927,2.0325,0.779783945276,54,0.133086405189,0.106864282471,2.06108809718,24.2466,106.690185451,79.5866343645,-2.10026
0.828714,0.0289586,1.57838928171,95.9140142995,-1.02506250503,38.8492126217,0.595811379299,-70.2568137223,7.57288926337,2.1117644118,92.5664909968,21.4046,11.5457599503,2.13378,2.11167,-0.0793273959287,55,0.381628575507,0.107424263283,2.13595917633,24.3505,81.4398662169,72.3119266503,-2.17449
0.757565,0.0317919,1.35507987245,80.5916332378,43.5612413608,15.5050913165,0.980008211917,4.4397310914,26.2906572316,2.16972130584,60.9224030592,21.4936,25.8752425285,2.19151,2.16992,0.613193511114,56,0.152017439038,0.111283668553,2.19325574922,24.4544,28.4852982449,-12.1976032531,-2.23182
0.872554,0.0322359,1.40791049919,76.920314295,40.9160791923,25.2482125394,1.05002330898,-15.3666072627,39.8567772291,2.22806430135,151.299712944,21.6265,31.2935415234,2.24545,2.22803,0.499150701174,57,0.244662341467,0.112211258277,2.24729750047,24.5592,95.341924134,39.1234129696,-2.2918
0.836267,0.0323652,1.87429355876,125.233346899,97.8295149492,10.8063067856,1.58749783251,81.2917634497,27.3785961305,2.30988522414,136.450698237,21.7788,42.7237292362,2.32452,2.31007,1.42874223333,58,0.108777029788,0.111861132217,2.32578255217,24.64,101.020660455,70.5301737282,-2.36923
