AverageEsReturn,AverageAbsQ,StdEsReturn,StdReturn,AverageQLoss,AverageDiscountedReturn,AverageY,QFunRegParamNorm,MinReturn,AverageQ,Epoch,MaxEsReturn,AveragePolicySurr,AverageReturn,AverageAction,PolicyRegParamNorm,AverageAbsY,MinEsReturn,MaxReturn,AverageAbsQYDiff,Iteration
14.8723952565,0.764517,17.1310557414,0.265423817715,3.11524,11.5350739647,0.798234170215,11.1655,11.4576733004,-0.762717,9,128.707206316,0.484756,12.2961774759,0.0384334,11.1815,0.798677753606,1.1134217148,12.912886135,1.56095126379,9
2.27811162602,0.446888,0.87340015295,0.408415791262,0.035264,1.65364769222,0.448757453497,11.253,0.944392388684,0.445365,10,5.20806282959,-0.549484,1.63093801006,0.954678,13.0703,0.451401769737,0.581553981843,2.25034221669,0.0990861761855,10
2.16287624555,0.42608,0.638806691393,0.384915804338,0.00649389,1.64388854386,0.424023662407,11.3448,0.937408838275,0.423266,11,4.9123517839,-0.492422,1.6191035636,0.994871,14.0116,0.427812840449,0.90194111512,2.24071134035,0.048595291826,11
2.33345190621,0.505756,0.885830369408,0.098207259039,0.00471951,1.19253498111,0.498670502858,11.4743,0.875318855997,0.498207,12,6.86709786689,-0.552407,1.12536434806,0.991529,14.6076,0.504564281972,0.239574622707,1.36365448003,0.0422288921023,12
8.6658626009,0.553323,20.0559380544,2.07686691191,0.00444308,37.2090501976,0.540527547285,11.6472,39.5457570199,0.54024,13,83.9541693696,-0.60995,42.6148075589,0.957954,15.2015,0.552346051993,-1.44921430877,48.8194764571,0.0401542610298,13
60.2865289444,0.646255,19.5922236574,1.17206116184,0.00717155,55.8310485919,0.633649597582,11.9487,62.6763349617,0.63306,14,130.797539558,-0.729681,68.0278260014,0.99303,15.6256,0.646000977982,39.9499257582,70.3437185045,0.046404963598,14
79.093954454,0.786647,16.930533833,0.951037933283,0.0083945,64.1219951813,0.776911989298,12.3166,78.6167303798,0.776429,15,101.237556255,-0.884074,81.0536082982,0.978241,16.1134,0.786485146345,37.0813814192,84.1621496184,0.0473316005203,15
84.6250212574,0.935454,18.9062618602,1.92177509986,0.0106294,78.3448334322,0.92668251824,12.7631,101.533098976,0.926291,16,107.087897512,-1.04148,106.157510032,0.970483,16.6283,0.935364160624,17.2864910002,110.590650586,0.0512476274601,16
137.245763811,1.08934,43.5490166004,15.0266137988,0.0122239,113.860394006,1.08123683781,13.2208,86.1018068246,1.08061,17,201.335790818,-1.20989,178.529333892,0.970977,17.1845,1.08975545879,63.5709810108,185.284853445,0.055001218025,17
61.7675252641,1.2479,26.3980097981,1.78011937333,0.0184091,43.4302340681,1.24004717847,13.8617,47.6890344329,1.23957,18,154.273122681,-1.3899,50.5839160442,0.967582,17.5166,1.24821711541,7.32680858123,55.7510759635,0.0643152105558,18
79.8297383827,1.42461,33.5812856943,2.27932281627,0.0212518,111.931813379,1.4171932665,14.5008,169.340045126,1.41656,19,172.953671918,-1.5711,174.083401641,0.954803,18.0503,1.42517337801,43.3148423431,183.396793719,0.0708517376371,19
179.435819415,1.6011,31.0159147685,19.6623417586,0.0250596,114.94331938,1.59452517647,15.1726,116.839404356,1.59384,20,235.875931145,-1.76175,183.954664235,0.92675,18.5527,1.60155564941,114.468547361,205.330995571,0.0749047729061,20
180.396769833,1.78415,56.0880412545,19.0869707368,0.0311584,115.793542168,1.77743613385,15.8921,69.966083354,1.77659,21,252.079436098,-1.95709,185.064177506,0.921594,19.1441,1.78473042121,57.4953885823,209.244714657,0.0807744628203,21
154.105620874,1.98602,68.0556714453,2.61476795912,0.0387184,183.537902286,1.97917615318,16.6263,373.575552329,1.97855,22,266.920106174,-2.16944,378.866693282,0.856695,19.9368,1.98624906268,48.0645926185,385.017592123,0.0896398608384,22
183.164653045,2.18802,110.792400633,3.33152415853,0.04413,131.656485283,2.18137115128,17.3502,212.456313996,2.18052,23,342.641836425,-2.38358,220.21723787,0.779676,20.5117,2.18854196987,59.4527975509,226.967814593,0.0940846091772,23
183.762862949,2.41934,124.413998581,6.26855900898,0.0508422,118.14378748,2.41448761898,18.0544,179.933493893,2.41345,24,372.702955415,-2.63283,189.529884266,0.706284,21.116,2.41988800269,13.0658865964,213.816711714,0.101990149949,24
208.248345885,2.65123,99.1607000967,20.4446679463,0.0577296,119.666837815,2.64668948557,18.7194,128.56142127,2.64561,25,392.203244202,-2.87116,196.103509398,0.793922,21.6087,2.6515689432,12.20352663,319.755465443,0.106916253054,25
203.333085058,2.86949,81.5403826457,80.9564100107,0.0721806,139.953575676,2.86458592326,19.4502,198.718663221,2.86362,26,367.392836616,-3.09239,247.675175488,0.748538,22.2743,2.8693168654,64.0256041241,518.566779196,0.120246980627,26
215.170534586,3.11185,115.241076169,30.3855630825,0.078837,181.50060296,3.10798165888,20.1635,323.402957449,3.10651,27,430.661452724,-3.35698,369.009511804,0.821647,22.7941,3.11238875436,5.17551271586,467.602280916,0.125563588704,27
281.631396142,3.35229,130.433577729,40.1881108386,0.0831233,99.4287134928,3.34813473183,20.8438,136.121312404,3.34665,28,527.319179795,-3.60109,153.405664958,0.803493,23.5286,3.35245926184,107.220683275,579.893007691,0.130730817449,28
236.301967502,3.61158,134.968218876,104.376823573,0.0930475,181.465076584,3.60811231596,21.4907,242.53172249,3.60694,29,392.870519641,-3.87261,399.580289509,0.887783,24.1198,3.61177609498,18.1256743278,902.594769484,0.137649194315,29
282.741994916,3.8531,107.46506793,17.1884597282,0.10635,174.046858088,3.8499018814,22.1889,308.763257515,3.84839,30,460.843886575,-4.1158,343.578385779,0.893804,24.743,3.85311985002,112.02313401,390.555410494,0.149235249195,30
242.93048426,4.08958,140.214011547,193.854625114,0.10228,192.18707405,4.0853640143,22.8481,292.10276526,4.08454,31,514.750570719,-4.34898,630.278144235,0.883957,25.2408,4.08854985363,10.6411402183,1273.2057062,0.147018580147,31
288.763678145,4.35069,123.609148834,40.9887273675,0.124735,185.48309542,4.34672737434,23.4867,296.07112237,4.34499,32,435.994975502,-4.59811,399.685191445,0.897463,25.6922,4.35003728216,38.9012753735,564.122926202,0.161536438084,32
291.602832166,4.59364,120.322639212,79.0075555749,0.139435,202.336026159,4.58856458475,24.0729,387.03688821,4.58699,33,469.487269617,-4.86424,475.274593669,0.886438,26.1191,4.59239851392,134.889058815,623.92205621,0.168131785844,33
336.4208212,4.87555,77.1860176564,45.7914810555,0.131292,215.734233592,4.87037336821,24.6697,512.763804465,4.86904,34,460.752592162,-5.15551,585.580805915,0.845574,26.4479,4.87379900281,187.252149645,721.151024565,0.169868384554,34
304.45236958,5.12382,153.502150587,17.3288618633,0.136561,169.397129695,5.11913619039,25.2112,292.058452407,5.11762,35,583.005968322,-5.39698,338.457126589,0.824729,26.9221,5.12257167424,139.97229636,383.722008117,0.169435253881,35
289.816929078,5.36164,52.9618924719,63.3280947259,0.175499,188.595904893,5.35592321579,25.81,336.955666867,5.35502,36,394.798293245,-5.63602,418.926321318,0.736708,27.2597,5.35912698128,213.256745612,569.27645176,0.189659935176,36
250.770677195,5.58633,148.63903425,7.58156087668,0.152279,182.288616641,5.58092658348,26.3054,367.147500146,5.57961,37,424.837975642,-5.84765,380.905562368,0.819465,27.6034,5.58380692986,11.7695866025,417.048735832,0.180576435729,37
306.210663694,5.8796,101.315624648,10.2278622968,0.179272,178.742016294,5.87574785006,26.8302,350.644165518,5.8739,38,418.025987043,-6.17754,364.554942535,0.841826,28.0087,5.87826549749,148.111712411,391.236089083,0.192756511015,38
302.83880504,6.1523,139.998511575,44.5223426747,0.2151,156.318321201,6.14699800229,27.3667,153.904079168,6.1456,39,612.320136846,-6.43772,294.058480957,0.791675,28.302,6.14993131713,117.846470211,354.528388184,0.204150656235,39
261.49758905,6.4149,101.265846956,46.0971503807,0.20097,164.457417923,6.40932783072,27.8803,143.24176812,6.40769,40,387.104615573,-6.69093,325.42969085,0.863719,28.7283,6.41195758257,92.1773836154,356.651645456,0.202037227276,40
270.082801195,6.63308,181.550005815,7.26559044221,0.262688,173.084259242,6.62922706252,28.4245,333.085466903,6.62684,41,690.491217426,-6.92403,349.855274352,0.835322,29.0837,6.63204893206,4.90157667042,365.252464714,0.225764488351,41
249.281795772,6.89524,117.058377646,7.65400273424,0.224079,178.692720065,6.88982773225,28.9142,357.254598556,6.88874,42,375.501113069,-7.19158,370.132874659,0.850422,29.4863,6.89268816414,3.86711197386,387.332681313,0.218933184873,42
266.705719419,7.13347,122.696689496,31.5583504557,0.25849,167.57103622,7.12862568218,29.4476,246.116531746,7.12674,43,416.257928314,-7.4376,333.127802961,0.847961,29.8053,7.13136637983,69.7083363784,371.720261319,0.230077910739,43
260.911444686,7.35528,171.70060058,48.2267982111,0.25125,156.258594522,7.3498503059,29.8825,164.451137233,7.34846,44,551.226589183,-7.66017,297.992480872,0.803403,30.1476,7.35287456587,14.4893621922,365.577644339,0.22923410505,44
295.45161501,7.64087,112.12417561,5.282357289,0.245451,191.963039847,7.63549125682,30.3284,400.348793154,7.63397,45,419.535365898,-7.92962,412.568102071,0.767376,30.3009,7.63822708123,68.1847705454,423.012416326,0.228017864645,45
269.750657065,7.8468,89.4144674517,10.8956930533,0.266444,172.042557229,7.84212479926,30.825,320.797203943,7.84013,46,412.950507409,-8.14283,352.439574844,0.853598,30.6143,7.84457062485,77.1135726782,369.152073276,0.24562976692,46
239.663808459,8.10299,114.603738578,5.09687513864,0.282638,175.216842447,8.0971547614,31.2777,350.617881122,8.09576,47,402.125356776,-8.39573,362.637331848,0.829967,30.8546,8.09974674275,73.1118387022,371.412289485,0.245335412037,47
251.960495471,8.32143,121.868072841,10.3535494819,0.275729,173.996987177,8.31578407722,31.7768,327.19328747,8.31372,48,373.497464433,-8.63135,359.23526198,0.78266,31.1433,8.31843119828,51.6298739827,394.748725193,0.24420211724,48
207.715134111,8.52747,110.797222945,21.8831577996,0.311034,171.829710841,8.52193274863,32.19,294.516230234,8.52097,49,383.507956733,-8.82983,350.431370859,0.742092,31.4437,8.52455908782,14.5251544441,379.125888569,0.253020374742,49
