MinReturn,AverageAction,QFunRegParamNorm,AverageY,AveragePolicySurr,StdEsReturn,Iteration,AverageQ,Epoch,AverageAbsQ,AverageEsReturn,AverageReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,StdReturn,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageAbsQYDiff,MaxReturn
-811.299655026,0.98763,12.6478,1.63515348548,-1.66487,0.0,19,1.63458,19,1.63458,-464.626568762,-113.186242534,-464.626568762,2.65246153836,-464.626568762,323.108227939,1.63525597033,0.00978814,18.9067,0.0624268601105,224.294137219
-574.623488746,0.976424,12.9916,1.59848375881,-1.62856,0.0,20,1.59804,20,1.59804,-365.446268821,-555.285804921,-365.446268821,-53.0904847045,-365.446268821,17.913829633,1.59856444436,0.00878966,19.2634,0.060264834521,-524.604320289
-808.768019811,0.970896,13.3749,1.57417612839,-1.59844,0.0,21,1.5737,21,1.5737,-316.856321541,-743.521907816,-316.856321541,-38.5856557848,-316.856321541,44.0191339777,1.57428117183,0.00796716,19.6979,0.0585553166471,-692.696840307
-540.725385775,0.961762,13.7803,1.54641696472,-1.57324,0.0,22,1.54608,22,1.54608,-221.161641473,-451.445774571,-221.161641473,-29.5371113501,-221.161641473,63.2045553033,1.54648318519,0.00800681,20.0106,0.0587448483055,-327.104119212
-382.678266028,0.820398,14.2861,1.51728976917,-1.56247,0.0,23,1.51701,23,1.51701,-392.520161491,-336.836061584,-392.520161491,-16.4643643156,-392.520161491,33.8604969917,1.51742508658,0.00962268,20.2463,0.0604958822718,-260.178885791
-299.190476519,0.719127,14.7825,1.51405920258,-1.56765,0.0,24,1.51371,24,1.51371,-381.160364585,-250.565107314,-381.160364585,-15.0252574722,-381.160364585,44.4319940677,1.51416041925,0.00836587,20.5516,0.0580253117396,-140.263685149
-692.422500946,0.792099,15.3023,1.51301031694,-1.57066,0.0,25,1.51265,25,1.51265,-249.179514861,-408.129816739,-249.179514861,-29.869146045,-249.179514861,123.996279613,1.51312376587,0.00869752,20.794,0.0588142102116,-281.145713553
-353.785412848,0.741632,15.7825,1.52304638702,-1.58636,0.0,26,1.52264,26,1.52264,-155.62379761,-255.471103515,-155.62379761,-3.0663445077,-155.62379761,66.2849697732,1.52312869246,0.00845683,21.2736,0.0592535794757,-130.568231299
-42.8969186962,0.62963,16.2633,1.53288758141,-1.5944,0.0,27,1.53245,27,1.53245,-115.8131095,21.3044279443,-115.8131095,8.62579270783,-115.8131095,47.8241797235,1.532982081,0.00833107,21.6691,0.0596752530193,106.698382664
-188.052207897,0.730372,16.7492,1.54022902531,-1.60029,0.0,28,1.53992,28,1.53992,-63.6242849153,-49.7455155819,-63.6242849153,-3.84348428525,-63.6242849153,60.3222634711,1.54031796093,0.00876615,22.1107,0.0603936444083,41.5363267011
-626.236750661,0.780725,17.2469,1.5638551078,-1.61993,0.0,29,1.56328,29,1.56328,-208.659915709,62.8127080444,-208.659915709,0.192780269583,-208.659915709,230.63200347,1.56392371412,0.0117185,22.4369,0.0668648630471,168.71446886
-169.062980135,0.770997,17.6316,1.57849347476,-1.64325,0.0,30,1.57799,30,1.57799,-510.230446013,-137.742502675,-510.230446013,-8.68341638814,-510.230446013,21.8082239598,1.57856097599,0.0121406,22.8218,0.0680353879102,-92.7626294001
211.16245653,0.742707,17.9914,1.58300920611,-1.64213,0.0,31,1.58274,31,1.58274,-204.572528725,287.845924791,-204.572528725,16.5629577931,-204.572528725,55.0089745852,1.58309657115,0.0104199,23.1032,0.0651198219794,345.597809586
171.303354966,0.730595,18.3964,1.5993269736,-1.66137,0.0,32,1.59897,32,1.59897,29.6346156716,227.284291725,29.6346156716,28.9387435492,29.6346156716,40.7076260218,1.59939420459,0.00958088,23.4442,0.0632015198846,280.432221849
57.0749728175,0.767322,18.7814,1.60509694683,-1.66643,0.0,33,1.6047,33,1.6047,110.823077452,116.81052093,110.823077452,20.3290739655,110.823077452,40.6058033879,1.6052049618,0.0103667,23.7487,0.0651192917756,184.940788791
192.890877978,0.7483,19.1306,1.62573874836,-1.68825,0.0,34,1.6255,34,1.6255,78.0901506775,272.16126716,78.0901506775,31.0937736877,78.0901506775,35.8067468044,1.6258042734,0.00959437,24.0909,0.0645236006135,330.709240434
186.885797733,0.80819,19.4707,1.64198664072,-1.70704,0.0,35,1.64166,35,1.64166,225.346833525,255.481883466,225.346833525,10.9834163349,225.346833525,48.7402583412,1.64202792773,0.00851703,24.2882,0.0632410793815,340.635862444
383.614398238,0.764324,19.866,1.6641900351,-1.72952,0.0,36,1.66387,36,1.66387,238.744830025,492.061452718,238.744830025,35.3588576816,238.744830025,59.0204973808,1.66428814051,0.010314,24.5665,0.0655023530688,593.846571977
-29.625821494,0.87322,20.2931,1.69088775651,-1.75887,0.0,37,1.69051,37,1.69051,370.344112642,55.1283224255,370.344112642,17.6914954344,370.344112642,57.123432473,1.69097868509,0.0115376,24.9313,0.0659899546712,138.781291248
221.436622933,0.802403,20.6879,1.71841012844,-1.78674,0.0,38,1.71804,38,1.71804,259.413307121,334.223358415,259.413307121,34.3324752408,259.413307121,57.12805543,1.71848265654,0.00993719,25.2981,0.0651576935086,445.3713983
-87.7632023267,0.760494,21.0178,1.75034050814,-1.81991,0.0,39,1.75,39,1.75,252.000361081,109.879794918,252.000361081,21.1063533979,252.000361081,118.763778397,1.75040517035,0.0103913,25.6384,0.0647637043143,314.592069112
-331.559601183,0.890871,21.3316,1.78741607596,-1.86022,0.0,40,1.78696,40,1.78696,255.409100452,-243.023974288,255.409100452,-14.3215337218,255.409100452,48.6309632014,1.78750055269,0.0101227,25.9407,0.0655547391222,-152.543019553
304.255945868,0.897188,21.7098,1.82362775325,-1.8971,0.0,41,1.82329,41,1.82329,64.5954978576,652.201219094,64.5954978576,68.2620155989,64.5954978576,179.869237328,1.8237040896,0.0103868,26.2541,0.0653352690659,816.299903704
564.220136978,0.87292,22.0182,1.85773914487,-1.92997,0.0,42,1.85722,42,1.85722,192.544075527,621.282997833,192.544075527,65.0412239742,192.544075527,37.8833101902,1.85778172601,0.00997761,26.5523,0.0656494077842,674.333587596
-299.863174154,0.793915,22.3552,1.89745221612,-1.9681,0.0,43,1.89701,43,1.89701,242.224488548,380.052227342,242.224488548,51.2113633463,242.224488548,240.292422516,1.8975280225,0.0117763,26.8331,0.0670238404541,564.264240648
-404.599834249,0.797942,22.7123,1.93966283876,-2.01284,0.0,44,1.93925,44,1.93925,146.211139707,426.663752869,146.211139707,50.5476573202,146.211139707,310.6819494,1.93971217078,0.00976169,27.1597,0.0654290893836,716.765304087
428.019925631,0.781362,23.17,1.97502944759,-2.04766,0.0,45,1.97462,45,1.97462,309.018192222,501.431225669,309.018192222,50.7688263073,309.018192222,50.1183037431,1.97514508086,0.013256,27.4263,0.0702285603445,589.175777598
62.9052003565,0.779423,23.54,2.00423924968,-2.07557,0.0,46,2.00379,46,2.00379,152.498505354,462.151492373,152.498505354,50.2996268626,152.498505354,141.593639292,2.00433818966,0.0117928,27.6752,0.0682130981454,586.457419215
457.749068348,0.792326,23.9439,2.04434733353,-2.1148,0.0,47,2.04387,47,2.04387,329.465244168,518.742421073,329.465244168,54.2349843748,329.465244168,42.3195587975,2.04448144639,0.0133011,27.8878,0.0698193945262,600.756666957
