Iteration,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQ,StdEsReturn,MaxEsReturn,AverageEsReturn,MinReturn,AverageAbsQ,Epoch,AverageQLoss,MaxReturn,AverageY,AverageAbsY,AverageAction,AverageReturn,StdReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm
30,-148.121955565,0.0561643717864,74.1983659185,0.787109,0.0,-148.121955565,-148.121955565,-143.226013317,0.787207,30,0.00670303,850.246468173,0.787529634028,0.787684265354,0.808935,405.499429965,343.88579942,25.9124,-0.841376,18.9688
31,-18.0205995322,0.0579368669603,24.8431050907,0.803249,0.0,-18.0205995322,-18.0205995322,-278.439454485,0.80329,31,0.0070025,-5.49924705137,0.803482514844,0.803598694103,0.79436,-124.452088055,74.6031679139,26.5878,-0.861206,19.4168
32,8.08027125821,0.0590824303246,42.0612042802,0.827746,0.0,8.08027125821,8.08027125821,-56.6586758721,0.827749,32,0.00732157,563.807857011,0.828301058442,0.828392011846,0.853275,322.310434122,201.614420738,27.1863,-0.887253,19.9387
33,5.66658315668,0.0589752815164,34.6741088343,0.844489,0.0,5.66658315668,5.66658315668,58.6691032654,0.844494,33,0.00725439,169.281585088,0.844764702597,0.844841662794,0.784066,107.363096401,34.4983096974,27.713,-0.907874,20.4046
34,-52.3630058438,0.0600943840234,37.2638221993,0.874283,0.0,-52.3630058438,-52.3630058438,35.2293248041,0.874283,34,0.00759632,186.28170755,0.874664150346,0.874718525549,0.799551,83.4104841815,43.316719279,28.2118,-0.940593,20.8409
35,8.99176495902,0.0611920313517,65.5002710628,0.901229,0.0,8.99176495902,8.99176495902,-56.4147221895,0.901233,35,0.00748267,756.454742072,0.901528018968,0.901578707532,0.847557,314.804819974,275.705177007,28.7961,-0.969932,21.2457
36,20.6277363741,0.0628697920053,56.8684372734,0.929073,0.0,20.6277363741,20.6277363741,-93.2833764512,0.929073,36,0.00808681,383.010098838,0.929423835798,0.929508694099,0.823069,107.949536351,131.862423964,29.2414,-0.99365,21.6254
37,16.7576282971,0.0643115278819,75.3638708763,0.959394,0.0,16.7576282971,16.7576282971,314.33280906,0.9594,37,0.00891939,845.947503496,0.959898815661,0.960004218634,0.843052,548.290110826,177.083311864,29.7178,-1.02376,22.0196
38,169.210791094,0.0647969021451,44.8769168615,0.992483,0.0,169.210791094,169.210791094,27.1400176141,0.992488,38,0.00839321,698.816843267,0.992796921746,0.992891740209,0.868843,417.456083265,230.8048755,30.1374,-1.05375,22.3711
39,90.6289698743,0.065936994167,60.9660419603,1.02168,0.0,90.6289698743,90.6289698743,16.8407656864,1.02168,39,0.009044,716.932613147,1.0219352068,1.0219787541,0.870129,330.141970631,216.855144241,30.5921,-1.0876,22.7469
40,143.137319858,0.0669706879682,62.4463668877,1.05726,0.0,143.137319858,143.137319858,199.528863984,1.05726,40,0.00912391,706.534236736,1.05768580495,1.05775772801,0.900034,548.333753749,181.279649257,31.1259,-1.12506,23.0923
41,129.063697733,0.0689499119467,83.0275667686,1.09778,0.0,129.063697733,129.063697733,108.896627487,1.09778,41,0.00978836,984.006266078,1.09821244366,1.09826416419,0.883297,468.861243739,319.895688874,31.5634,-1.16811,23.4545
