PolicyRegParamNorm,AveragePolicySurr,Iteration,AverageReturn,AverageAction,AverageQLoss,AverageQ,Epoch,MinEsReturn,MaxEsReturn,QFunRegParamNorm,MinReturn,AverageDiscountedReturn,AverageAbsQ,MaxReturn,AverageAbsY,StdEsReturn,AverageY,StdReturn,AverageAbsQYDiff,AverageEsReturn
10.4748,-0.128831,9,22.1884700665,0.000638945,0.819958,0.0732116,9,3.0,25.0,10.4468,15.0,19.9039774643,0.0805847,48.0,0.965171092836,2.87510305779,0.965171092836,4.60525585316,0.891959542751,5.85421545667
11.4057,-1.22506,10,2.3845970434,0.999973,0.0157959,1.12874,10,2.0,9.0,11.361,2.0,2.36694356223,1.12874,3.0,1.14344518364,0.768778516976,1.14344518364,0.486499905043,0.0569448691701,2.85714285714
11.277,-1.57982,11,2.39086779823,0.999911,0.0114109,1.58264,11,2.0,6.0,13.1141,2.0,2.37308952905,1.58264,3.0,1.58298048221,0.529695682396,1.58298048221,0.487944835547,0.0606859874334,2.76243093923
14.0442,-2.31107,12,52.34375,0.664661,0.0209782,2.06259,12,2.0,53.0,15.3658,49.0,40.8988894998,2.06259,56.0,2.06313844885,10.9351180466,2.06313844885,1.73402304988,0.0841342931326,9.38679245283
15.5887,-3.19959,13,59.4201183432,0.712306,0.0390381,2.78596,13,4.0,96.0,18.1307,57.0,44.9599082974,2.78596,65.0,2.78631115845,22.7759873551,2.78631115845,1.28985939703,0.113966362976,37.12
16.6555,-4.08078,14,85.3983050847,0.260332,0.0582762,3.51432,14,3.0,83.0,20.8112,72.0,57.4996337581,3.51446,109.0,3.51461337056,22.0703695273,3.51461337056,7.27445009921,0.14017899333,30.3235294118
17.9292,-4.96106,15,53.2978723404,0.241011,0.0838446,4.24987,15,6.0,80.0,23.2817,50.0,41.463198786,4.25011,59.0,4.25030351561,19.7039821757,4.25030351561,1.70935963644,0.168832549729,37.4444444444
18.9411,-5.86353,16,53.1322751323,0.0850189,0.113841,5.02976,16,4.0,78.0,25.6722,45.0,41.3236217516,5.03008,62.0,5.02958566569,20.0780434937,5.02958566569,4.13380253462,0.18644980215,27.7027027027
19.9025,-6.77407,17,53.414893617,0.132808,0.157026,5.81229,17,4.0,86.0,27.9479,46.0,41.5125345668,5.81302,63.0,5.81246464043,16.9521216171,5.81246464043,3.08534481837,0.207787671121,20.1836734694
20.832,-7.66906,18,117.220930233,0.302323,0.182588,6.59431,18,4.0,62.0,30.1782,51.0,68.6366762673,6.59511,141.0,6.59395719969,14.5542007663,6.59395719969,18.3590806141,0.215480522357,18.9074074074
