AveragePolicySurr,AverageQLoss,AverageDiscountedReturn,PolicyRegParamNorm,AverageEsReturn,AverageY,AverageAction,MinReturn,AverageAbsY,AverageAbsQYDiff,AverageQ,MaxReturn,Iteration,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,AverageAbsQ,Epoch,QFunRegParamNorm,MinEsReturn
-39.6497,7.14632,150.01907809,28.0817,180.867992279,37.8569330007,0.515001,254.384219848,37.8737638012,1.18267465852,37.8504,289.635275819,31,8.48284155297,339.690857193,271.253637782,95.7617563383,37.886,31,36.9819,18.1434556028
-41.9557,8.90096,163.308365205,28.4838,202.015892667,40.1343740857,0.536907,281.886205379,40.1498196779,1.28076180255,40.1235,370.810417677,32,28.8492114374,310.402223663,313.937179843,111.371360824,40.1631,32,37.9098,9.86768679785
-44.2552,8.6321,149.121999631,28.9018,201.08146711,42.411588443,0.508674,266.934031226,42.4307941775,1.25920161692,42.404,296.767624442,33,7.37823883645,359.042617869,281.641131685,88.31317546,42.4471,33,38.8163,63.2987183001
-46.592,8.76838,150.338216245,29.2615,224.501708099,44.683645548,0.495313,285.940080439,44.7004224933,1.28714420663,44.6763,333.881843669,34,9.10614668761,327.075376646,302.213153957,93.1823259757,44.7138,34,39.7498,54.9530691042
-48.8998,9.98754,144.555455363,29.6601,241.548211302,46.9038492719,0.54351,215.863355899,46.9241786741,1.38209803775,46.8952,310.894616472,35,25.1983863094,305.50794509,265.91473837,68.9417207595,46.9418,35,40.6692,105.976787253
-51.3295,11.1018,157.770530783,30.0845,267.619453136,49.32594846,0.539826,266.102467867,49.3490784499,1.4273674759,49.3161,339.347012613,36,15.7833211939,362.870822617,305.057085164,54.1232105611,49.3701,36,41.5808,143.925343414
-53.6542,11.9982,160.865132225,30.484,196.180788697,51.6076141836,0.57103,303.312011078,51.6270466459,1.47938501375,51.6028,317.638690481,37,3.32521060362,418.085178229,311.561644457,127.217878302,51.6551,37,42.4544,15.915731328
-55.8919,13.4761,160.864584528,30.9132,230.268753852,53.817648858,0.606153,272.841582151,53.8401510979,1.58952493666,53.8102,389.170068244,38,24.7739489765,431.76452229,328.511390461,109.248039857,53.8617,38,43.3002,22.7085215243
-58.2784,12.4933,159.799421244,31.2446,247.049479594,56.1751495587,0.607966,274.401312914,56.1951713331,1.53901939662,56.1658,349.80838544,39,18.3666111115,357.307308227,304.95341221,102.690683099,56.2164,39,44.1202,7.00107128995
-60.5366,15.1146,170.645201789,31.5731,236.403682717,58.4106727755,0.642092,307.983359111,58.4329562122,1.66806304887,58.4004,409.887884413,40,32.3476091819,350.236720797,351.50720768,121.396445589,58.4582,40,44.9306,10.2363814078
-62.6983,14.2742,173.187796077,31.9283,273.538857429,60.5968363124,0.654865,299.399993455,60.6159853482,1.68269943343,60.5877,417.792021879,41,27.2297374995,381.139897229,355.494623915,103.213845572,60.6475,41,45.7356,15.0950451661
-64.8362,15.4592,167.88900216,32.2762,243.29962511,62.6828574681,0.618212,266.624335414,62.7027783308,1.71492270754,62.6724,401.439745054,42,36.7912288507,352.346317321,338.361021483,97.6710201537,62.7324,42,46.5733,13.0907773558
-67.1625,16.0489,173.394455013,32.5671,255.294914635,65.0524569263,0.640781,278.647905375,65.0682360553,1.75662875546,65.0442,429.682223885,43,34.3252815233,473.947143231,376.757694893,138.009477951,65.0978,43,47.3713,46.5298275452
-69.2599,17.2131,160.109337739,32.852,246.695804761,67.064692656,0.651618,236.953461161,67.0842643126,1.87344091758,67.0571,399.529668216,44,42.2384431328,396.993020322,312.574093328,103.207896127,67.1158,44,48.2585,74.9992037417
-71.5009,19.957,153.350380945,33.15,155.672057239,69.2926144367,0.630792,245.589742297,69.3071071521,1.94289209947,69.2835,404.002947987,45,36.8028495505,324.321360718,306.003755312,100.821320854,69.3417,45,49.0597,17.6675267307
-73.6535,20.1011,149.785418276,33.5161,249.78896858,71.3906517234,0.66061,262.369029274,71.4044038321,1.95473914837,71.3759,291.165535801,46,7.67562903597,358.705578477,278.826024397,99.1609779384,71.4328,46,49.7981,36.6053925596
-75.7663,17.9618,155.147513228,33.8264,203.70634097,73.4794751026,0.668243,256.894740835,73.4951403976,1.97191409575,73.4729,421.221621109,47,27.220544371,337.494957699,299.518563161,98.7738118694,73.5349,47,50.5656,13.5973999634
-77.8577,20.6897,148.561827809,34.1412,222.100249864,75.4662576415,0.678161,247.147992234,75.4783636747,2.06065185615,75.4568,337.548795907,48,17.8417119677,356.52702474,275.105332235,97.2720313057,75.5125,48,51.4187,51.0702328221
-79.8899,21.7972,171.508918007,34.4934,235.755681306,77.5056746601,0.659445,302.739021184,77.5213581752,2.11970081851,77.4959,391.595381399,49,18.6982593816,387.836345757,354.415230461,124.05108827,77.5568,49,52.1425,32.2424032898
-82.291,23.732,171.566424979,34.8145,173.68115117,79.8768047812,0.66329,271.922196233,79.894189878,2.19626766385,79.8664,422.00430203,50,29.5986294205,303.037548759,363.200875171,98.8563077157,79.9377,50,52.8815,10.870147917
-84.4846,23.0252,168.589224455,35.0855,255.244539507,81.9481188193,0.668383,270.244335117,81.9614945265,2.19277715972,81.9374,372.157892626,51,27.4054292923,343.587589016,339.389247016,74.2046748751,82.012,51,53.6324,131.071137214
-86.773,25.5851,158.350400441,35.4116,179.389440201,84.194118153,0.651124,248.745865953,84.2084923104,2.24925371579,84.1817,323.156687627,52,15.5750377145,321.910756164,299.818731353,104.388014382,84.2479,52,54.3886,17.3060188395
-88.7966,25.8484,158.230783216,35.7576,207.024341059,86.140469913,0.654478,256.676372206,86.1561196877,2.35097008003,86.1273,329.296013701,53,14.9428648443,335.849673978,300.555912045,93.7239857079,86.2056,53,55.1704,38.5970466584
-91.1139,25.9915,149.433112933,35.969,159.852207462,88.4555047836,0.65791,138.837252731,88.471302443,2.36106355739,88.4473,352.634307691,54,44.3706418452,306.255484936,275.700816397,105.774147456,88.5235,54,55.8257,13.5569762644
-93.0898,29.6093,145.687264857,36.2312,160.894496185,90.3726761253,0.628243,227.420545903,90.3898864572,2.4784498868,90.3588,296.360657097,55,17.033982963,385.576009608,262.172781019,124.613526541,90.45,55,56.5122,5.18989190129
-95.4161,29.5305,147.69268932,36.4806,173.865354463,92.7132383218,0.669046,133.591831519,92.7345593299,2.46982249272,92.7018,332.922433782,56,60.2479231578,330.578679223,270.920097171,92.2133970018,92.789,56,57.2715,24.4704700745
-97.3125,32.8051,149.704997054,36.6822,223.891900443,94.5087852114,0.633307,239.862737109,94.5278717981,2.59487042017,94.4985,341.03204299,57,22.9375795932,332.769601608,281.993352128,77.3569594077,94.5936,57,58.0074,52.2669706795
-99.52,30.8938,149.432435922,36.8427,195.905482907,96.7218034191,0.644519,252.624201788,96.7457064223,2.59089108841,96.7109,360.708777913,58,18.7428120904,333.43548311,282.450480995,105.693062048,96.8064,58,58.7096,36.765450442
-101.475,34.7279,151.196978377,37.0564,227.953978463,98.603584792,0.683832,215.597741912,98.6281510629,2.69212347586,98.5893,355.424765864,59,36.3959883768,306.69970981,292.475963887,66.993406611,98.6911,59,59.4318,63.5506572496
-103.7,31.668,144.294291326,37.2331,232.307501567,100.810450687,0.645545,241.057170629,100.833821791,2.65683916136,100.804,324.007528372,60,15.3037506774,330.797528565,263.702420239,76.9220983247,100.899,60,60.0709,118.909793876
-105.515,34.396,156.814883263,37.4125,189.704450232,102.647046373,0.618028,234.430370785,102.670730344,2.69223553114,102.633,308.920107086,61,13.4844146729,319.120303284,295.363646497,107.955170112,102.739,61,60.7941,15.8051858421
-107.894,35.0971,149.777645178,37.5777,195.056813075,104.952331641,0.644196,274.738054404,104.973588448,2.73387722651,104.945,319.495615136,62,9.65132060154,382.013252294,294.679074253,114.280796507,105.049,62,61.4734,16.4571986234
-109.989,35.4352,160.425007087,37.7084,209.535789362,107.110095923,0.663158,261.688636922,107.133296989,2.77704015089,107.094,403.743585626,63,29.89107806,438.451080044,324.216089597,120.267350189,107.209,63,62.1214,53.317919176
-111.856,34.1575,148.648346493,37.9165,233.014051881,108.937430119,0.69657,281.960137036,108.964222148,2.78229124967,108.925,324.309423678,64,8.55288093824,340.466484913,298.36492165,101.787787758,109.03,64,62.8267,6.30331171997
-113.824,35.5495,151.246180875,38.1288,231.00259118,110.89027799,0.620025,288.578829304,110.917619041,2.79138303754,110.875,314.220834133,65,6.42290436521,349.191895892,302.400230176,97.0131419956,110.982,65,63.4846,44.4674954848
-115.928,42.5157,171.261266222,38.3713,183.372320149,112.933743446,0.635306,254.082487774,112.96737317,2.94253798555,112.926,357.748331643,66,21.5530538088,325.576445464,339.196663927,94.2408495748,113.045,66,64.1181,21.2179961775
-117.745,38.3636,162.628821607,38.5969,153.723859282,114.753347556,0.69506,280.266928627,114.776425152,2.91242164924,114.738,362.531522499,67,20.715418804,354.402635107,312.061534067,107.441125988,114.842,67,64.7226,22.9321196863
-119.787,38.7847,154.474426229,38.8047,207.725825023,116.74904133,0.650561,255.264891848,116.776515963,2.98219771081,116.741,347.860544186,68,16.7584953788,403.113914186,310.005150017,121.650296396,116.851,68,65.4505,36.2386343127
-121.799,40.0996,163.270565786,38.9833,168.988763551,118.731371074,0.648483,288.438749586,118.762230161,3.01717407921,118.717,398.636349127,69,26.8858403946,363.321464656,346.148253841,120.606625971,118.821,69,66.0883,42.9642551121
-123.388,42.5124,170.430914887,39.2116,285.176420227,120.300009288,0.638525,301.139920694,120.335582927,3.053927787,120.287,347.778464265,70,10.1934357922,386.025344665,329.681439247,110.554068977,120.423,70,66.7835,7.31795702689
-125.507,45.5376,157.809396351,39.3981,286.737794572,122.427163493,0.647806,289.962428132,122.459233508,3.14327138219,122.419,381.896835244,71,16.4005674542,362.667307731,317.166610312,89.2417295213,122.536,71,67.3816,50.0238619744
-127.726,46.6698,186.676650511,39.5764,215.367183892,124.641005009,0.653299,370.569089913,124.671693209,3.14477244625,124.629,392.14239803,72,4.03492756737,362.049179995,382.16399595,131.05723402,124.746,72,68.0931,6.31667811028
-129.685,43.2003,177.290655406,39.7535,250.430113868,126.561088883,0.675425,335.278349975,126.589309763,3.14084785956,126.548,375.352015398,73,9.03545754282,367.070792375,354.086182927,115.060749696,126.662,73,68.7109,63.1905740031
-131.549,46.8175,198.963943138,39.906,262.113060647,128.381148589,0.659156,389.916099945,128.415479818,3.22736218296,128.372,467.188698799,74,22.7652251401,372.232255315,435.738476333,123.847718614,128.493,74,69.2891,5.55789985337
-133.574,47.0369,177.320196558,40.0994,187.788138494,130.409780615,0.647422,336.88618894,130.444847194,3.1858611875,130.397,379.395731428,75,8.93765174054,417.438903748,361.787090017,136.45676628,130.53,75,69.8256,28.8989459985
-135.464,50.7397,186.343557222,40.2916,249.018147199,132.320465534,0.663173,343.920645517,132.355943403,3.25618085951,132.31,403.976728345,76,15.6762639201,378.704456845,383.098126239,124.302071972,132.441,76,70.489,56.9790399431
-137.647,53.1581,186.679398617,40.4908,144.296681254,134.428536643,0.682424,369.471357896,134.46088868,3.37605036471,134.414,407.888641084,77,10.4752653302,329.488024825,385.540179145,118.072887281,134.536,77,71.0534,8.12279410771
-139.567,53.0974,181.70923889,40.691,162.321292169,136.247909779,0.638892,274.956602574,136.275441761,3.39689674752,136.235,467.906613561,78,54.2679457452,355.072040883,382.015846905,116.672386893,136.347,78,71.6414,12.215485414
-141.7,53.3829,185.047024115,40.8666,224.025296612,138.359416585,0.63901,347.022477166,138.386221523,3.38182341491,138.344,394.712472342,79,9.95708792638,388.474416448,382.267820371,117.959124556,138.462,79,72.3124,91.2414120476
-143.429,53.2762,183.61375749,41.1,174.724186713,140.022840824,0.67115,359.964420455,140.046548089,3.37333222474,140.009,402.163338475,80,11.6459200695,396.561074075,379.937083878,141.271747342,140.131,80,72.9429,12.0836971774
-145.981,54.6843,188.687071322,41.3478,142.646685725,142.413646671,0.688925,382.831885664,142.434928567,3.41954114067,142.403,451.243593848,81,17.5243009801,416.062396582,402.663523967,130.232950402,142.508,81,73.5081,9.47182339811
-147.4,59.4361,180.958776664,41.5156,190.769191666,143.889730634,0.68261,164.700783608,143.919808671,3.50394355419,143.88,448.952589499,82,45.9249732156,343.245551504,375.143925911,119.803605396,144.012,82,74.0872,9.95812523748
-149.934,59.6769,176.114429503,41.6245,191.77783278,146.356155256,0.664362,331.766505341,146.386803077,3.54808986576,146.341,391.424707807,83,12.2230046281,389.161069041,363.838550215,133.094355734,146.468,83,74.654,13.3305244128
-151.714,59.1609,116.988120602,41.8348,153.290580547,148.235273922,0.70797,146.874687894,148.267007557,3.5431392068,148.219,294.706577476,84,38.2580999114,331.344427318,183.989734066,122.93209253,148.353,84,75.2479,9.20963299977
-153.419,63.555,179.325943228,41.9951,142.623137386,149.902603017,0.675947,152.668211749,149.928013859,3.65061290333,149.893,388.28320686,85,38.9270791093,372.033559506,367.726455898,107.366241846,150.028,85,75.8653,10.894416819
-155.378,70.1053,181.892347795,42.1101,198.577215744,151.783144227,0.663416,328.9341213,151.819114669,3.68731644082,151.766,388.603705107,86,8.7520067127,394.768011587,379.385077526,119.238090109,151.884,86,76.4687,53.1841387869
-157.338,63.5203,142.649301424,42.3013,193.579943682,153.77638147,0.640481,162.499661507,153.808142213,3.59609829306,153.761,297.036021496,87,37.6618519148,369.980609205,252.911972081,89.0837707203,153.898,87,77.0505,56.1717076618
-158.835,76.0141,171.636331699,42.4486,157.906146906,155.192439681,0.669126,287.043070449,155.22283625,3.81043536708,155.176,369.606166815,88,15.2157941674,366.715210938,341.792672716,108.198248049,155.301,88,77.6413,11.4620326332
-160.857,59.4464,180.531134462,42.6039,235.103768368,157.288559798,0.638309,352.770210094,157.321570271,3.61970396867,157.278,387.163364867,89,6.67728505872,392.265021798,370.877412431,121.341102587,157.406,89,78.1723,11.6847757334
-162.4,67.0125,176.264147514,42.7702,170.581077115,158.829433789,0.666245,299.841614906,158.859876058,3.70379835898,158.818,400.565300292,90,22.033643977,344.495545574,363.415013339,100.196744534,158.95,90,78.7641,36.2397404956
-164.17,67.5077,109.2732425,42.9226,146.071413753,160.557908777,0.698072,155.605789014,160.591589686,3.76273820126,160.537,237.654269998,91,12.2237805929,359.621921742,166.119864455,100.910621549,160.679,91,79.3261,10.0389308045
-165.946,77.4849,186.130635479,43.1116,163.718496885,162.313973701,0.670204,367.383265091,162.344408812,3.82444621744,162.303,403.639518859,92,8.84723903463,339.198653565,386.229814819,97.594694311,162.424,92,79.8748,42.2508370031
-168.244,70.4939,170.916690507,43.2435,213.314938252,164.55783815,0.647747,216.611264067,164.585456477,3.74213281253,164.534,372.768227745,93,20.53778385,425.939493775,344.306904235,158.742698336,164.659,93,80.4479,6.59571826711
-169.559,73.6211,165.061011058,43.421,171.017335887,165.677398766,0.672699,164.298933693,165.708740537,3.87190074348,165.659,392.254008828,94,61.0692189682,405.476859382,328.481640853,139.067199047,165.806,94,81.0719,10.6116823226
-170.807,84.5082,171.903534153,43.5666,223.93147677,166.938229661,0.656076,323.866927343,166.969514188,4.03036604532,166.922,368.128075229,95,9.49388099074,451.028846479,340.536695874,121.03536115,167.072,95,81.6783,88.2405768975
-173.279,80.7347,184.147671523,43.7421,149.465230398,169.291683535,0.672849,369.466329709,169.318789022,3.95246968385,169.274,397.158428477,96,5.7855015307,344.527777199,380.934085566,127.974712923,169.412,96,82.156,16.1858839303
-175.3,77.0322,182.361608612,43.8904,201.651013243,171.233714534,0.673192,353.509679204,171.260503569,3.97176105247,171.214,385.92357051,97,6.78687746324,431.761991834,376.686115713,137.542758897,171.345,97,82.7059,10.8630736877
-177.261,78.1401,182.271793683,44.0364,168.383128029,173.285962268,0.676808,355.825394118,173.313435279,3.95523294651,173.268,475.775784875,98,13.281174406,396.338542937,374.58995708,139.019792548,173.405,98,83.2184,31.3965006398
-179.087,76.479,185.879602571,44.1515,198.561799545,175.096248896,0.65738,185.52922028,175.123310497,3.97814353684,175.083,458.518742962,99,30.7745817068,392.322147489,394.257376852,117.408120135,175.22,99,83.7875,43.2850014025
-180.202,84.9225,177.229954895,44.3414,172.455469515,176.173534989,0.663249,345.572063925,176.202431017,4.06394632773,176.159,375.535990307,100,7.04670786576,379.38940425,362.092239136,123.932931246,176.314,100,84.2533,11.128771266
-182.77,90.3211,186.704176507,44.4718,265.967659888,178.766786692,0.646022,383.575472574,178.794223028,4.22436318606,178.743,417.815110302,101,5.63920435348,407.12736974,393.382254217,148.287888958,178.886,101,84.7888,12.5075121061
-183.882,93.6503,182.818907319,44.6443,241.064037906,179.858567593,0.632865,355.480822038,179.885975925,4.14636194762,179.841,406.94562428,102,11.2287119308,374.627585707,376.474778823,109.32509837,179.982,102,85.29,55.0508053721
-185.252,86.0024,183.767479211,44.7657,246.980490402,181.111843895,0.663365,329.352665644,181.137531188,4.08726301423,181.088,419.955515357,103,18.7670886056,398.127715192,394.179976237,127.193812655,181.236,103,85.7939,70.7995974725
-187.27,89.2103,188.915837189,44.8331,234.403746366,183.089630443,0.652668,372.526031226,183.112200951,4.13890752673,183.078,434.379958526,104,14.7835488552,435.264928439,398.629090537,165.447410218,183.211,104,86.2896,15.2917706418
-188.297,95.6138,192.157219325,44.9586,203.514610044,184.139514952,0.642076,377.291496976,184.167355459,4.26554335832,184.117,471.088097772,105,21.1482280213,423.612972531,410.613756461,144.630053488,184.274,105,86.7592,15.1458102548
-190.192,89.9811,198.313364489,45.1169,222.211488502,186.032664189,0.641615,380.022930152,186.060430226,4.17499901897,186.022,519.261454404,106,26.0475434236,494.322710462,439.63230356,141.868670758,186.159,106,87.266,40.1642028868
-191.735,98.2827,200.321844177,45.229,253.187737727,187.616016806,0.65717,421.93150143,187.638821842,4.29345493816,187.605,502.050383229,107,13.6600998848,560.621234899,450.446437097,163.132922083,187.748,107,87.7296,31.8651605135
-192.638,93.5424,189.634675301,45.3451,193.114805987,188.448137949,0.635309,347.629713073,188.473032731,4.19374986503,188.424,447.091088735,108,21.1784457591,395.546951918,409.115462402,100.308393111,188.568,108,88.2533,41.6658933859
-194.955,89.8006,200.30892612,45.4788,155.582233236,190.755089834,0.629433,385.175205534,190.776188116,4.23761184771,190.742,502.760532416,109,35.5225317986,360.819150035,445.050188041,115.108121488,190.886,109,88.7812,9.92853834567
-196.132,97.884,139.114925038,45.6255,218.685358978,191.856612032,0.648335,150.454423797,191.878854477,4.28116662238,191.831,281.002247597,110,36.8908738571,453.777010733,239.371338302,150.55710624,191.979,110,89.2655,8.68723063026
-197.645,103.033,138.678905179,45.7558,191.420016498,193.427774481,0.63245,129.757659147,193.447284141,4.39077288935,193.415,304.662691923,111,41.5432124942,433.516339022,239.374225465,125.479524422,193.55,111,89.7448,6.73885943642
-199.01,99.2039,140.439461472,45.8413,201.394281867,194.728085172,0.615501,205.150025712,194.755042913,4.34213582839,194.712,383.410838355,112,35.7377287161,322.744441684,243.457964751,111.563026951,194.863,112,90.2,5.16264337583
-199.684,101.875,154.08858387,45.9881,165.154143356,195.405569961,0.594636,219.061295282,195.429130515,4.35096321973,195.384,366.916728867,113,45.5416263096,429.061337632,289.148362552,109.905227859,195.542,113,90.699,12.8409667492
-201.174,92.5121,172.564306336,46.1139,188.121650851,196.858605999,0.631454,150.747349197,196.883806207,4.27447182681,196.849,515.709480658,114,98.3378353549,349.216738728,368.73886889,101.134205274,197.003,114,91.0865,41.155252229
-202.246,106.087,194.988202525,46.2284,154.30759131,197.91012017,0.661977,404.096452895,197.931455741,4.41313286028,197.888,511.810820724,115,25.0517600551,449.095992325,456.292603466,116.310838473,198.058,115,91.4922,15.3155224912
-204.118,103.165,167.859334041,46.4084,161.757110151,199.77568253,0.57561,261.132291097,199.795588022,4.49269119508,199.753,383.726219881,116,39.5708146302,347.825575251,333.848409372,98.159962207,199.893,116,92.0017,18.6695900867
-205.361,106.153,114.621075096,46.5007,248.061297063,201.055127351,0.683449,131.320642885,201.076256869,4.45814105931,201.048,239.474130563,117,26.2862933721,515.722727463,181.170265081,143.937636061,201.188,117,92.5176,27.8406668658
-206.433,109.969,161.521447408,46.6138,210.278635073,202.03990496,0.631237,149.929156275,202.059379529,4.52798169549,202.02,548.285548391,118,118.653567431,520.484290056,331.826354613,152.081272004,202.18,118,92.9024,9.20218710705
-207.325,108.723,151.887536218,46.7167,127.039713372,202.844320045,0.615943,152.230180204,202.873755311,4.50964719864,202.823,369.082359544,119,50.5788793944,395.155890437,280.878831552,103.947230187,202.986,119,93.3598,6.26530352473
-209.082,116.44,148.887314174,46.9153,147.306408077,204.552640698,0.629205,153.942880305,204.579851881,4.67499677594,204.528,374.702877364,120,64.5633618782,270.442966002,275.258560472,71.9668660774,204.687,120,93.836,38.0922299085
-210.347,101.367,187.470405678,47.0317,171.239306494,205.838022835,0.652528,370.663151206,205.866043073,4.4694642283,205.819,439.480230823,121,17.636576291,379.282113199,398.72905583,113.325777163,205.97,121,94.3261,9.22293017475
-211.426,111.384,150.233837772,47.2433,172.754701381,206.930785526,0.626434,235.241272065,206.951211564,4.50596090911,206.922,365.282861904,122,29.3752604282,426.264901848,274.251992122,149.63553802,207.071,122,94.7397,9.52152928919
-212.82,123.216,155.333889664,47.3612,224.224129117,208.29935096,0.622486,152.161089561,208.324395567,4.72392677562,208.283,355.773058711,123,33.0450704436,352.681549403,291.12180541,105.174180224,208.434,123,95.1012,44.657477154
-213.961,118.305,163.574618266,47.5163,181.29556423,209.39679475,0.6849,263.338751731,209.421851178,4.68385586493,209.374,465.539543436,124,45.8473321205,436.586119846,323.002979669,144.176697587,209.52,124,95.5482,7.47037722767
-214.802,112.332,179.825185385,47.7248,208.300611232,210.272699011,0.638172,315.657577514,210.29687263,4.66569181145,210.259,426.277879404,125,19.3653538171,467.623149914,376.864702209,149.879480584,210.419,125,96.0677,5.96061541154
-215.394,109.191,180.386074028,47.8676,219.800529133,210.898492622,0.685484,359.139847573,210.929251582,4.64833939129,210.88,443.827333048,126,15.8186521304,382.866758376,371.977189765,134.229518841,211.032,126,96.4993,8.71891209628
-216.838,122.83,169.156803528,47.9795,162.414144835,212.296692787,0.636104,273.24751978,212.320497691,4.72423361492,212.28,385.381160715,127,29.8500382807,493.062457387,337.656234069,122.347767325,212.421,127,96.9543,9.9195686715
-217.67,112.878,140.130813132,48.1582,178.77801808,213.03714997,0.661905,139.506388418,213.066665508,4.70860914087,213.024,328.943397236,128,70.1719433961,446.401158698,250.733864232,134.3101507,213.191,128,97.3558,8.91779911052
