AveragePolicySurr,AverageQLoss,AverageDiscountedReturn,PolicyRegParamNorm,AverageEsReturn,AverageY,AverageAction,MinReturn,AverageAbsY,AverageAbsQYDiff,AverageQ,MaxReturn,Iteration,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,AverageAbsQ,Epoch,QFunRegParamNorm,MinEsReturn
0.450442,4.99619,11.4657827658,11.1813,14.2905278421,1.37016424858,0.0389988,11.4001542677,1.37736317213,2.05123970035,-0.681075,12.8053817317,9,0.257556747677,156.903050364,12.2158904909,16.1366234777,0.684086,9,11.1653,1.55586853691
-1.2592,0.072502,0.938377244297,12.5528,2.89590360912,1.2025662734,0.943992,-0.753189445004,1.22842553812,0.137529203694,1.18984,1.13558177491,10,0.180991085866,21.0306642807,0.81256960129,3.65454404988,1.20453,10,11.4341,-1.15560522051
-1.68031,0.0309767,34.2615128374,13.9043,38.4969891726,1.58650821911,0.996601,36.5780110274,1.63464200214,0.0985374690034,1.58522,40.2988501519,11,0.891151079454,64.0617871563,38.5302615352,13.0275821901,1.63145,11,11.8971,1.29955376628
-2.58976,0.0769356,78.8377502317,14.3559,68.4296102091,2.36677719017,0.982084,78.8004586162,2.45233931185,0.141211310736,2.36534,119.686341608,12,10.8842834009,107.364955515,104.723528669,23.290297839,2.44954,12,12.8396,6.20846092556
-3.73569,0.158544,79.9581295966,14.6646,94.3507609831,3.40385753618,0.747181,101.936303488,3.50306443749,0.194789924843,3.40193,111.147673518,13,1.85156913834,177.426840472,106.31708992,27.5530581692,3.4998,13,14.2167,53.0335975139
-5.07503,0.253137,111.675069424,15.4821,121.342275307,4.6152153919,0.701257,167.228460985,4.71277869215,0.232258913245,4.6134,175.435721228,14,1.78515003069,198.483228839,172.169083677,49.9344081586,4.71017,14,15.6765,39.8454937693
-6.5715,0.408679,110.997357888,16.7736,144.088899829,6.00837609299,0.702023,164.51171235,6.09517444994,0.28955951485,6.00613,174.59039871,15,2.09027291977,185.021757441,170.874759181,41.3301002773,6.0919,15,17.2336,70.6590772658
-8.18384,0.567381,110.7966124,17.8212,152.65321788,7.52597987596,0.600563,167.010925948,7.60140472571,0.331675471086,7.5227,174.505598161,16,1.39682940877,237.395491295,171.273123012,42.6135381863,7.5977,16,18.686,59.4181834265
-9.88749,0.781132,132.468434081,18.9935,128.29167253,9.15379722067,0.553583,215.887079221,9.21419891884,0.383774166421,9.1501,231.661358054,17,3.74991039392,245.650238658,224.420683587,81.1628680398,9.21097,17,20.2064,7.51458236369
-11.6569,1.05491,110.759735635,19.9929,147.106265318,10.8385704684,0.613263,167.273447344,10.8867647229,0.439171801532,10.8358,172.334179624,18,1.22854674769,191.694854468,170.365348073,42.0437067457,10.8849,18,21.642,48.6140040727
-13.4841,1.31596,110.813493782,20.998,149.222414011,12.5549152034,0.605571,165.312517621,12.5962329786,0.493490732031,12.5514,173.693739744,19,1.35835695445,206.674666214,170.587529507,49.0624259366,12.5953,19,23.0038,29.411684772
-15.4594,1.63362,127.813172788,21.9622,162.576962351,14.4126566535,0.65846,167.555991004,14.4464887042,0.551408515819,14.4087,221.465421834,20,7.71378785861,239.068216181,212.406819128,43.7331175575,14.4464,20,24.4373,95.702015774
-17.454,2.14703,136.485359287,22.8889,182.968442362,16.3187998326,0.620261,222.522477202,16.3479022285,0.616396386914,16.3138,271.790359959,21,8.66956183204,302.365160857,235.039282789,65.0727288926,16.347,21,25.7685,33.6767378843
-19.552,2.36265,124.474444469,23.5942,144.623101213,18.3052393954,0.662036,195.843560655,18.328298034,0.65464132529,18.2982,211.851093429,22,3.75844129343,225.041364117,203.126085321,58.5353316716,18.3263,22,27.0711,12.0587757061
-21.6803,2.99002,114.189389994,24.2619,183.972278317,20.3587124647,0.63911,171.079775906,20.3798631406,0.734132039617,20.351,185.067792178,23,3.37486145988,261.246278075,178.596824808,66.534515141,20.3772,23,28.3209,7.85763699919
-23.7637,2.99221,126.017930873,24.8777,159.326358292,22.3979778981,0.634191,197.843672813,22.4173427193,0.746976876199,22.3918,228.447466724,24,9.61040989101,250.177131128,208.840510404,73.3049214905,22.4188,24,29.5424,4.80191347156
-25.9674,3.84545,176.578660133,25.4218,201.026211663,24.5353314821,0.570538,342.785317099,24.5533513786,0.854148013464,24.529,394.187351962,25,9.22496033163,393.275512837,361.24508402,77.6618456799,24.5548,25,30.7227,76.9413239958
-28.1646,3.8499,163.641149368,25.8618,209.864637142,26.6988244436,0.497787,306.893249174,26.7170856319,0.864013478509,26.6918,332.034307437,26,5.57838466914,355.137872532,320.791634224,82.1843999558,26.7196,26,31.7319,84.1165155963
-30.416,4.80374,181.436654452,26.336,196.935689352,28.8490931567,0.476827,306.695625258,28.8663346755,0.944609871606,28.8408,385.353452069,27,11.3414628487,343.84916402,372.331615453,105.039384371,28.8692,27,32.8764,14.1909722358
-32.6601,5.08813,161.60132631,26.7274,188.468203161,31.0203945754,0.475202,289.978655557,31.0398314269,0.971722935961,31.0139,318.434960675,28,5.81422177262,317.696917485,306.102383622,96.2480159234,31.0484,28,33.9456,6.44398945636
-34.9993,5.57233,160.524196122,27.1692,251.471487693,33.3031484242,0.518658,264.896727762,33.3219991488,1.05024064239,33.2941,330.674748106,29,18.7187855195,467.133855738,303.578094825,134.694332367,33.3301,29,34.9763,23.3061737954
-37.3861,6.57854,145.732787194,27.5658,214.728334486,35.61818664,0.487181,249.063187483,35.6368290697,1.12585044217,35.6097,279.944772857,30,6.52967136873,334.308678192,265.494874596,94.913916385,35.6466,30,36.009,63.6708221281
