MaxForwardProgress,AverageAbsQYDiff,AverageAction,AverageQ,MinForwardProgress,AverageEsReturn,MinReturn,AverageForwardProgress,StdReturn,MinEsReturn,MaxReturn,AverageAbsQ,StdEsReturn,AverageReturn,AverageY,AverageAbsY,PolicyRegParamNorm,AverageQLoss,QFunRegParamNorm,MaxEsReturn,Epoch,AverageDiscountedReturn,AveragePolicySurr,StdForwardProgress
0.523574418146,0.0977050317121,0.00479986,0.00744277,-0.0936911748777,9.35438183138,15.624266166,0.258630789256,23.9243021195,2.65979654382,90.6705882129,0.0104291,6.26104756788,58.6007186207,0.105147802744,0.105147802744,14.1718,0.0102256,7.99783,48.5750711701,9,45.035097164,-0.0456128,0.189139845856
0.033285283093,0.0188673905648,0.962161,0.150387,-0.0345074827406,3.9355350539,1.83598247324,0.00040584852619,0.723563153659,1.93879732077,7.09020103971,0.15039,1.52820701569,4.53352173925,0.151494450053,0.151494606941,14.5331,0.000638846,8.8541,13.9255372909,10,4.4533830389,-0.157589,0.0088260250044
0.0338008627429,0.0230741133383,0.840507,0.225948,-0.0867885706047,11.5590661643,4.37551437129,-0.00232719405033,1.46759203351,3.28046026993,30.1650518216,0.225949,8.17733200481,7.00814812728,0.226157677759,0.226157677759,14.9715,0.00110654,10.0109,45.0224564798,11,6.78758333164,-0.240126,0.0133263188954
0.568852227494,0.0291300692598,0.860115,0.30679,0.00423392351685,12.2771376407,12.6186564319,0.348891074837,20.9235216353,5.38307569704,91.4089763273,0.306801,9.20330462316,60.5610527754,0.307029584679,0.307029584679,15.4468,0.00203692,11.1566,50.079581351,12,47.4354832584,-0.334757,0.175471353498
0.21385684535,0.0354252001088,0.832209,0.395342,-0.00779368350094,36.7795609771,13.8156244534,0.0888608867925,5.09374985899,12.3335543543,38.5083373289,0.395409,17.0242469943,24.4635129956,0.395640168395,0.395640168395,15.6185,0.00316867,12.2789,72.3587660207,13,22.0346154906,-0.431889,0.0404736027059
0.599477581086,0.0432124305292,0.631568,0.487314,0.0106917844383,35.2039582853,14.5002171854,0.353890025479,19.1684979033,3.82631567399,77.5818950089,0.487471,17.8987171059,52.7352733446,0.487684141725,0.487684141725,15.836,0.00499248,13.2991,66.121185011,14,43.0851992554,-0.537942,0.171884255634
0.560074159751,0.0493164039588,0.64231,0.585375,0.0317871804806,37.4113599075,17.1097596546,0.487169695566,7.28132970902,6.57796628394,75.5116768094,0.585671,22.2888185052,67.0546579797,0.585845112703,0.585845112703,16.0454,0.00688516,14.1978,105.381625533,15,53.5635262093,-0.654015,0.0678824955552
0.557933367257,0.0577614434424,0.648718,0.692724,0.415655706252,38.7135496757,61.2758860597,0.505786719935,2.3380286142,5.36817250448,75.6551193771,0.693123,20.7329729007,69.1422383199,0.693251097953,0.693251097953,16.2738,0.00961845,15.0179,73.1472792783,16,54.9480709471,-0.77571,0.024243613355
0.555311897337,0.067013235266,0.632852,0.808413,0.443467236304,38.8516365366,63.7555609274,0.495768319242,2.36055989794,7.16856502361,77.8327542186,0.808998,25.1140191138,69.2165545413,0.809071089608,0.809071089608,16.5851,0.0134963,15.8326,93.781078046,17,54.9678838634,-0.907145,0.0219671082234
0.547889180975,0.0742052078031,0.540571,0.93205,0.434699426389,42.2506195334,62.9538229209,0.501262705803,2.32192151033,9.80903276946,76.709578242,0.932885,23.1540928574,69.7086674286,0.93278527226,0.93278527226,16.9128,0.0171718,16.5109,75.7182657235,18,55.2850203084,-1.03825,0.0204190088239
