AverageAction,StdReturn,MaxReturn,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,MaxEsReturn,AverageReturn,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,AverageAbsY,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageY,AverageQLoss,MinReturn,AveragePolicySurr
0.811175,30.7732273804,383.413536834,44.2725,1.36045,76.936222545,313.38082826,264.085331641,158.211576099,91.3116906426,0.0808205556586,25,1.36229938489,25,111.970348365,32.3917,1.27872,1.27927842262,0.0174387,212.057685395,-1.47748
0.729361,206.724725994,986.608771225,45.6041,1.49792,108.716566781,337.678300157,397.996605454,231.821760608,23.2990373764,0.0865107192757,26,1.50016647314,26,100.380897766,33.5145,1.42306,1.42388025482,0.0205239,99.2025294956,-1.62893
0.874948,44.1131025271,397.352800249,47.1083,1.62905,91.6352446099,296.029509019,242.816238393,134.201274381,36.6794088301,0.0944383602582,27,1.63078668529,27,109.536552436,34.5624,1.55926,1.56025628832,0.0242021,75.6246428199,-1.7728
0.863581,162.407335465,1052.11182622,48.293,1.77343,45.0348044069,288.206713695,324.757081232,236.486054367,156.427120275,0.0992986687459,28,1.7752039625,28,112.020461464,35.5319,1.70794,1.70869011321,0.0285301,190.720250948,-1.92822
0.899431,47.3088098673,425.28290141,49.5555,1.90875,92.8937728403,323.703522188,242.679121283,143.791350659,23.0806733612,0.109559618526,29,1.91025699196,29,109.237799065,36.5832,1.84629,1.84736245748,0.0327376,135.22157189,-2.07989
0.871968,105.345313074,394.320368598,50.7899,2.10153,51.0877183091,277.919180705,197.212210475,189.974487509,123.630322379,0.117066461228,30,2.10296291666,30,81.5068654359,37.5441,2.0481,2.04913932036,0.0381264,13.7081609894,-2.28271
0.872136,81.1718445854,403.454845718,51.8083,2.25243,64.402206744,260.878401125,275.80195197,197.485774609,64.1256486105,0.126788696576,31,2.25369611757,31,105.919024428,38.5015,2.19961,2.20110214142,0.045813,-27.7679514934,-2.42065
0.890207,90.2536924689,448.999427153,52.9687,2.42343,118.439518421,378.280939764,261.657143033,135.360907638,-2.38740423771,0.132880756028,32,2.42476885098,32,91.5052302815,39.4676,2.37596,2.37738190208,0.0507469,43.7898187149,-2.6189
0.865517,163.916435949,837.106435494,53.9622,2.5774,114.119734985,311.039071881,336.656629504,170.028877761,40.5990847734,0.144400684519,33,2.57893843017,33,95.7249637867,40.3745,2.52922,2.53058540722,0.0616461,77.8278400431,-2.76779
0.894916,127.874822445,687.618091163,55.0248,2.73901,122.500951522,311.870361502,277.156355661,152.225276367,-5.1074401488,0.151407583599,34,2.74066094941,34,99.1527822504,41.2731,2.6917,2.69301909046,0.0647314,66.2129872956,-2.93019
0.92841,59.4961116018,357.595150058,55.9611,2.90399,84.1052934143,256.18855727,157.59056279,78.0744625754,-0.912457360645,0.157053226856,35,2.9060431071,35,88.9798697574,42.128,2.85871,2.86054763409,0.0681941,71.5755529321,-3.1026
0.907823,140.759477901,901.817520869,57.044,3.08446,132.715212299,394.631789657,157.931624702,140.152309041,-5.74440210612,0.166594030176,36,3.0854708948,36,79.1083339176,42.976,3.0423,3.04345795276,0.0753205,-27.7603819315,-3.28335
