MaxReturn,AverageDiscountedReturn,StdReturn,AverageReturn,StdEsReturn,AverageEsReturn,AverageAbsY,MinEsReturn,Iteration,MaxEsReturn,AverageY,AverageQLoss,MinReturn,AverageAction,Epoch,AverageQ,AveragePolicySurr,AverageAbsQ,PolicyRegParamNorm,QFunRegParamNorm,AverageAbsQYDiff
9.0,7.97337520654,0.443228772869,8.26859504132,2.32394269965,5.32835820896,0.120638908881,3.0,9,22.0,0.120638908881,0.0232526,8.0,0.0409709,9,-0.0241323,-0.143007,0.027987,18.7978,18.7835,0.14477122045
3.0,2.38831301732,0.491160983863,2.40640038499,0.785503299563,2.80392156863,0.136866398725,2.0,10,10.0,0.136866398725,0.000796649,2.0,0.999982,10,0.136419,-0.152892,0.136659,20.1696,19.1516,0.0147248561426
3.0,2.38185183585,0.489858720667,2.39980801536,0.527372211357,2.80898876404,0.20568053118,2.0,11,5.0,0.20568053118,0.000670114,2.0,0.999993,11,0.205666,-0.219831,0.2057,20.2917,19.9104,0.0153318621568
25.0,18.4508696535,2.9960390656,20.3394308943,5.89545965779,4.06097560976,0.239877874193,2.0,12,51.0,0.239877874193,0.000428336,15.0,0.212233,12,0.23983,-0.258585,0.23983,24.5888,20.8786,0.0123405229182
55.0,40.5707886495,1.46845709678,51.7886597938,17.1279532346,28.4705882353,0.306868575305,5.0,13,63.0,0.306868575305,0.000657241,47.0,0.413401,13,0.306764,-0.36996,0.30677,27.2665,22.4068,0.0156016189988
29.0,23.8039405721,0.910774720594,27.0540540541,15.9481777956,25.575,0.381002301888,4.0,14,70.0,0.381002301888,0.000879521,25.0,0.894193,14,0.380918,-0.454702,0.380925,30.3628,24.0215,0.0176804298072
51.0,34.6316782337,3.17554772142,42.3502109705,19.8897229806,27.8055555556,0.458328627832,4.0,15,112.0,0.458328627832,0.00118672,39.0,0.741388,15,0.458259,-0.554034,0.458279,32.0719,25.5744,0.0197445320125
57.0,37.882288797,3.75690405386,47.4454976303,18.4886837173,32.3225806452,0.536962609244,4.0,16,67.0,0.536962609244,0.00158811,41.0,0.727163,16,0.53689,-0.641224,0.536947,33.9822,26.9955,0.0216476200482
42.0,33.4520975455,0.530935811076,40.5222672065,17.9313377073,28.2352941176,0.613825702485,4.0,17,64.0,0.613825702485,0.00191302,39.0,0.0885993,17,0.613745,-0.724911,0.613776,35.495,28.4537,0.0234756742461
49.0,36.1582191665,1.65276877117,44.6651785714,18.2036626351,34.4,0.690429572526,4.0,18,66.0,0.690429572526,0.00233008,42.0,0.261256,18,0.690321,-0.81449,0.690457,36.9848,29.8765,0.0250261053278
46.0,36.9217733133,0.357741502937,45.8493150685,15.2522916311,20.26,0.763583567811,3.0,19,62.0,0.763583567811,0.00300939,45.0,0.0973826,19,0.763529,-0.899417,0.76365,37.6349,31.2145,0.0277618322544
39.0,31.6012651738,0.466156122768,37.7924528302,17.040590215,22.5681818182,0.849155972174,3.0,20,71.0,0.849155972174,0.00370005,37.0,0.0854571,20,0.84898,-0.989837,0.849127,38.4458,32.3718,0.0298368448761
37.0,30.3154123798,0.414625787608,35.9390681004,13.6919069516,20.7708333333,0.923807338143,3.0,21,63.0,0.923807338143,0.00432837,35.0,0.114226,21,0.923716,-1.07601,0.923918,39.1505,33.5875,0.0312918360959
37.0,30.2177366634,0.481070235442,35.8,11.4948567995,17.6140350877,1.00324185447,4.0,22,42.0,1.00324185447,0.00497446,34.0,0.203063,22,1.00311,-1.16143,1.00344,39.9497,34.7013,0.0330621846394
36.0,29.9311410801,0.488246655814,35.3922261484,13.9939843226,21.0416666667,1.07443180162,3.0,23,73.0,1.07443180162,0.00584328,35.0,0.0963104,23,1.07428,-1.24487,1.0746,40.6468,35.6313,0.0356813595806
