PolicyRegParamNorm,AverageReturn,MaxEsReturn,MinReturn,MaxReturn,AverageAbsY,AverageQ,AverageY,AverageAbsQ,AveragePolicySurr,MinEsReturn,Iteration,AverageAbsQYDiff,StdReturn,AverageDiscountedReturn,QFunRegParamNorm,StdEsReturn,AverageAction,AverageQLoss,Epoch,AverageEsReturn
64.9235,162.713211389,239.749046038,11.3004619892,649.106183383,4.66372862085,4.64426,4.64653952568,4.66195,-4.95101,2.4205575116,45,0.23807415828,120.519497253,69.2046017817,51.5824,71.4200991653,0.9234,0.165858,45,107.984889746
65.6985,17.1336026392,258.999595551,10.9019673097,32.2486750957,4.87972153597,4.85997,4.86281292056,4.87761,-5.18527,7.67999273917,46,0.24725259726,4.24190206933,14.6516115066,52.3242,78.6617133802,0.937019,0.17818,46,92.4553956693
66.4566,51.4277828086,213.86359199,8.55651103483,330.084557898,5.11807300571,5.10037,5.10286087134,5.11626,-5.4622,4.35931261737,47,0.252951118102,58.503486855,31.2943583891,53.1,64.8399926287,0.928967,0.186818,47,60.2460074229
67.0956,18.0341590021,186.657892065,10.801972841,210.924527837,5.40501965693,5.38872,5.39142295344,5.40332,-5.75293,8.60952329097,48,0.260458168157,14.3272726469,14.5786036542,53.8852,58.1745522417,0.878919,0.194916,48,67.1253184583
67.7787,317.811250396,411.899041341,62.2090064126,792.731893911,5.68979289746,5.67732,5.6799260113,5.68884,-6.05528,-1.80760416309,49,0.272345414833,234.493311664,62.0535763156,54.5438,130.748359818,0.893439,0.22522,49,99.5852988455
68.4024,37.9072933726,387.18971164,-60.5886075109,750.25154789,5.94005916716,5.92818,5.93116717529,5.93843,-6.31552,79.5060223058,50,0.275534140576,140.714516515,26.1859775594,55.3209,108.098586864,0.897662,0.220527,50,183.218051021
69.0375,198.29377481,135.445507697,7.10097981311,453.949029886,6.20835423975,6.1977,6.20077213748,6.20638,-6.58422,-10.4604839409,51,0.275254447775,111.0765694,66.4785105456,55.9886,47.3976573973,0.892096,0.21394,51,51.9584686361
69.7181,388.959667909,297.89856636,231.551798369,985.120814467,6.4500110538,6.43858,6.44154421095,6.44799,-6.82584,12.0053461891,52,0.289125443375,136.979481464,110.465447185,56.6728,108.44729282,0.781464,0.244105,52,134.6687633
70.5129,377.213944102,310.30899069,21.9812404794,907.335865467,6.68518091503,6.67502,6.67772447414,6.68296,-7.05244,9.24759508692,53,0.293254865268,284.823681492,61.8670201685,57.3952,107.724793632,0.858641,0.26067,53,164.744770592
71.2424,228.616455235,226.13020447,34.5962665111,992.179962061,6.92004588612,6.91058,6.91314935637,6.9179,-7.2861,-7.42517516285,54,0.295182378241,168.771771963,93.4735830957,58.0598,70.5507980558,0.906265,0.270609,54,80.8068591934
71.9607,64.3119762499,521.24289876,-20.6878089033,384.653670327,7.0892647541,7.07992,7.08303165956,7.08653,-7.44968,1.76902449022,55,0.299650385253,105.268415185,23.121085168,58.7102,160.992659016,0.875177,0.278208,55,165.531401002
72.6092,287.05084713,414.934493029,41.2300903037,669.796161736,7.32977059174,7.32116,7.32342617033,7.32818,-7.68164,55.1136543858,56,0.293989523292,146.772214968,94.1721224668,59.3953,139.615183485,0.928305,0.268914,56,200.704500282
73.2221,223.1437137,340.578824149,31.6949766142,658.269949329,7.53988919582,7.53174,7.53404357373,7.5394,-7.89156,-23.2264858668,57,0.310645002717,142.804889312,88.4341733817,60.068,112.58983196,0.927997,0.304801,57,143.624651147
73.7749,189.310117659,341.878294307,35.32357257,890.89089086,7.70018070731,7.69054,7.69407671192,7.69889,-8.0321,-2.59641343979,58,0.320490270409,116.841974629,88.0690391076,60.7462,118.113718446,0.889423,0.320803,58,145.02586191
74.4045,280.133162941,375.575503493,93.8948727849,1089.11063341,7.89406834503,7.88515,7.8872980419,7.89372,-8.23091,28.1401404376,59,0.319445501415,202.118505922,105.745830363,61.3531,99.685664001,0.912969,0.323757,59,159.428879252
75.0543,285.279713288,291.734030631,159.223617667,687.157793821,8.06404861711,8.0547,8.05706820513,8.0639,-8.39327,-6.09540827369,60,0.316384488557,88.0636904956,119.241347801,61.994,94.4151345096,0.916966,0.315301,60,106.717409427
75.7138,165.625415815,249.044307309,110.416197697,292.912689765,8.23690972179,8.2293,8.23102838494,8.23814,-8.58924,-1.36123269484,61,0.327007905434,33.9571397935,102.627865778,62.571,86.9413444406,0.939319,0.338641,61,124.708557596
76.3336,130.082014331,518.654287066,107.309738755,218.503403841,8.45920614965,8.44993,8.45323376257,8.45774,-8.84494,-2.19739548948,62,0.327991200835,13.8679462445,87.5649973356,63.1286,139.609967992,0.958091,0.327687,62,179.143987412
76.929,200.068602628,280.448870967,97.1838215101,380.712088101,8.659157473,8.64981,8.65290367018,8.65941,-9.06091,0.30318391118,63,0.3447519929,64.9225726764,105.561699628,63.7506,79.1882658089,0.928901,0.397091,63,114.210934176
77.4441,147.431929825,238.297048396,105.635182933,324.112177351,8.88783938641,8.87842,8.88122286411,8.88807,-9.27853,-0.651811724293,64,0.355653245725,46.3560942193,89.6190772196,64.3887,64.4947175746,0.919832,0.419037,64,123.640223507
77.9952,102.715750115,288.677498703,15.4406579616,376.611219303,9.08588123305,9.0766,9.07950902074,9.08607,-9.47987,66.8234323122,65,0.348532121536,66.551172285,68.9409115613,65.0111,65.2583635864,0.893348,0.382945,65,160.562025749
78.6431,201.523059359,275.436784494,38.7453410935,497.64046317,9.27003513685,9.26049,9.26423608813,9.26965,-9.65648,-9.75449157666,66,0.360052797451,94.0604693167,86.8568552097,65.5964,89.9749537886,0.910218,0.417649,66,116.564966895
79.2207,134.663566371,195.529198363,105.201532224,277.300907546,9.44215610497,9.43335,9.43547591407,9.44434,-9.79994,52.506541097,67,0.364414546584,34.2221646481,81.0127137164,66.1508,57.3060401517,0.941735,0.426464,67,119.157142326
79.7975,144.816523534,289.029873976,99.8379733812,277.637687615,9.59169552022,9.58093,9.58430976512,9.59155,-9.94932,0.471367888598,68,0.357227160823,28.7648419631,91.2261485044,66.6712,84.0859284232,0.947465,0.400733,68,146.094660663
80.4022,180.516635454,224.213233367,125.489085204,324.640295602,9.74320900303,9.7344,9.73591596178,9.74558,-10.1081,-5.00433730175,69,0.358800185593,35.9299023112,100.490227456,67.2295,69.1329171181,0.93726,0.393994,69,112.268276132
80.9468,150.671061281,198.103976776,113.782482595,206.859629135,9.90269932245,9.89308,9.89595560132,9.90319,-10.2839,5.41727750201,70,0.365690226845,19.2954647241,96.5380971878,67.8352,58.3825153531,0.945364,0.420033,70,113.595159362
81.5754,120.21049624,454.320086041,56.9586640752,342.342466792,10.0739306769,10.0643,10.0671496166,10.0752,-10.4548,-0.704695839578,71,0.370759948369,69.5067155345,76.8957261949,68.3724,121.45216042,0.940685,0.427938,71,169.243085856
82.1219,206.408158452,176.985899402,130.148968161,409.585340819,10.2698125425,10.2606,10.2632194819,10.2714,-10.6559,-5.50012746108,72,0.380014812549,74.2626593563,104.949671363,68.9582,51.3728422804,0.938424,0.474707,72,117.122320845
82.709,275.389151956,356.365892112,85.5224751377,649.261393174,10.4181136217,10.4081,10.4097624416,10.4207,-10.8043,5.35700128913,73,0.375148428748,115.86256614,119.990524547,69.5115,97.8636386717,0.948668,0.46077,73,148.546476866
83.3046,278.185349981,311.371675524,74.3648057189,669.401321843,10.5707566968,10.5584,10.5612395155,10.5718,-10.9346,8.50575037694,74,0.383484859069,155.716031599,103.623747861,70.0269,97.7503426023,0.946806,0.46963,74,153.772919052
