AverageY,AverageQ,Epoch,MinReturn,QFunRegParamNorm,AverageQLoss,AverageAbsY,AverageAbsQ,MaxReturn,Iteration,MinEsReturn,AverageDiscountedReturn,AverageReturn,AveragePolicySurr,StdReturn,StdEsReturn,AverageAbsQYDiff,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm
2.17578922339,0.760882,9,-8.1722369372,11.5829,5.09508,2.38466914804,1.04265,-7.93282615457,9,-17.543968152,-7.47301649645,-8.06786347982,-1.2876,0.0391328696442,3.25864141271,1.94287548956,0.0105216113475,0.554472,-9.66798448041,11.7809
0.825269387227,0.811377,10,-8.25280216884,12.051,0.317226,1.32600760526,1.23021,-7.91708436208,10,-14.5379040819,-7.81299817413,-8.0906166449,-1.49644,0.0649015210704,1.55249742731,0.366770150038,-2.63391068898,0.992123,-7.62901281625,12.8554
-0.0353770955288,-0.0364879,11,21.0311900102,12.3428,0.0415127,1.36162494275,1.35232,32.4344245105,11,-10.6652645576,22.3330747742,26.4247270715,-0.457352,2.46821961292,2.05439891291,0.153284125364,2.54906843141,0.971214,-4.4156838893,13.5631
-0.142469580286,-0.14351,12,-50.0126628638,12.9377,0.0466923,1.88304532144,1.8775,-16.3598603888,12,5.16064613316,-7.79795874246,-20.3596536315,-1.21145,4.30220127685,127.566771221,0.160034648889,445.804244502,0.938498,76.3450486749,14.307
0.512064958208,0.510845,13,45.4606997659,13.8747,0.0625053,2.45488806763,2.44655,102.421871922,13,-30.9443530725,50.7067793204,60.6494580652,-2.00585,11.955599757,118.035212896,0.174314130353,303.299752387,0.913932,119.303326318,14.6729
1.15090381786,1.14998,14,42.7773720936,14.8551,0.0926253,3.10112047264,3.09342,185.214064984,14,44.9776924377,58.9901821268,82.8198002124,-2.72295,26.6483313304,84.5257532922,0.195763907794,291.858899172,0.884145,108.060496738,14.9152
1.72007723781,1.71925,15,47.3524327002,15.86,0.132231,3.65209983513,3.64261,193.451513142,15,3.60558670261,57.9581612189,79.6490877599,-3.35111,25.7592638211,97.254070692,0.223465275744,294.543421681,0.938139,91.5540048455,15.1626
2.45079673856,2.44981,16,53.3559938981,16.7887,0.16034,4.28328329882,4.27238,183.725864743,16,20.0987505668,58.9648963822,83.3537748441,-4.15366,30.8651815165,41.8563198656,0.244279074152,144.728107261,0.977425,79.7775529879,15.5647
3.16068543174,3.1595,17,4.07538933113,17.7061,0.217277,4.89837292048,4.88663,439.690696475,17,-108.120725267,48.9683172851,80.9964981035,-5.00017,96.6311254136,98.744721908,0.278167323649,182.362336513,0.742568,79.7887648031,17.3246
4.07236390227,4.07118,18,-0.869993801591,18.5828,0.286948,5.67970695529,5.66482,386.742747542,18,4.09060402164,43.9355183942,65.1094282335,-5.90657,92.973470354,119.193203942,0.320490067268,242.477011906,0.762098,123.283807964,18.5573
5.05067491277,5.049,19,0.0179203007445,19.4123,0.329639,6.52021103326,6.50403,451.837061543,19,53.6991953366,75.7503564573,186.784663594,-6.91335,149.26141146,185.994291899,0.348131644575,502.362748003,0.813753,237.642875466,19.563
5.8874165572,5.88591,20,30.0615595041,20.3174,0.384502,7.31344763052,7.29698,784.396443632,20,50.3802125809,72.3683434889,200.747105896,-7.7348,191.992284504,105.681629979,0.380266706568,364.080361099,0.784288,213.199721067,20.1701
6.89376449467,6.89227,21,98.7861020706,21.2492,0.543368,8.27153012727,8.25462,997.9982587,21,39.6461268045,100.615109971,475.6151941,-8.73234,347.724154756,74.5781215088,0.430925833439,253.522351402,0.533515,141.512096516,20.6783
7.86714628479,7.86554,22,-12.1052817212,22.1202,0.757744,9.22761944056,9.2138,1132.76222874,22,-13.2966725855,79.5279214159,268.26382594,-9.76503,238.158654367,94.4809182958,0.488334863878,255.021397665,0.75433,80.4589132504,21.4021
8.86605639381,8.86384,23,186.12683356,22.8693,0.812409,10.2174994443,10.2036,440.911842901,23,73.5966777879,119.314371729,272.306645521,-10.7615,43.0261929431,92.2213780729,0.515991990857,323.646398699,0.710872,215.264344075,21.9254
10.1217252522,10.1198,24,179.425720339,23.7053,1.149,11.4444346281,11.4327,420.564843837,24,69.3212101955,116.688198621,249.441796641,-12.0977,43.7551029985,69.7363992694,0.580383405053,335.693157513,0.722987,200.172394411,22.3373
11.6042686673,11.6017,25,171.758552905,24.4517,1.46681,12.868504093,12.857,516.33679568,25,39.191168852,106.323210623,206.235660741,-13.6034,45.3278769498,57.7032856828,0.633029597733,239.159580821,0.749777,180.336287958,22.7676
13.1402549999,13.1381,26,33.8462283498,25.2737,1.75899,14.3614883407,14.3507,341.32973207,26,50.9810016539,109.273001789,220.691137668,-15.224,48.6573566878,79.8635991041,0.690730825923,295.47998418,0.752012,209.086571153,23.2396
14.6395215455,14.636,27,147.065796735,26.0178,2.001,15.8366639424,15.8258,507.526047093,27,38.6603341582,116.117086301,243.182104737,-16.7593,48.4949609905,81.7597819058,0.740694852725,275.434825527,0.714863,177.791942151,23.7903
16.0571427248,16.0538,28,85.7782883028,26.917,2.57245,17.2384583395,17.2265,601.190518002,28,28.2814914118,104.061581252,380.503822609,-18.1854,133.785416288,96.4052868381,0.817739710594,338.102513252,0.792025,210.131210601,24.1916
17.5476087518,17.5444,29,52.5595830702,27.7057,2.74783,18.6598377252,18.6517,954.588369492,29,237.364373009,107.476580555,406.405736988,-19.7015,214.871980714,66.1952198161,0.857617316948,429.906110658,0.759682,299.709231734,24.5981
18.9944221103,18.991,30,120.862558141,28.5486,3.04182,20.0434609017,20.0357,516.463542567,30,75.0531448269,116.148408371,233.684335239,-21.2307,62.1855839479,89.3254366604,0.917540711797,326.048168514,0.77516,202.850976092,25.107
20.4504032525,20.4464,31,73.5165660446,29.3214,3.26937,21.3900537315,21.3803,1032.2408954,31,142.531663074,104.006117908,457.425445411,-22.7394,270.644876595,130.490771666,0.972598106983,427.031321977,0.781313,291.41015035,25.5782
21.7430929315,21.7384,32,-37.0503579857,30.0928,3.49822,22.6682035177,22.6599,426.961811776,32,-63.3939850063,97.6836202313,235.715925616,-24.1131,112.468334246,121.84588262,1.03311650429,295.683636288,0.732113,116.526924726,26.0574
22.9689204294,22.9646,33,23.7661559336,30.9349,4.1137,23.8271620004,23.8186,486.07775253,33,-7.9804363545,118.110329869,252.551336178,-25.4235,66.7312280616,106.651450305,1.12466718864,299.26574689,0.725608,78.9818095065,26.4976
24.3171538867,24.3131,34,145.751816828,31.6656,4.56939,25.1352301584,25.1276,479.324697754,34,-50.6217801279,120.99030794,295.387959311,-26.7636,69.8077011923,140.124653203,1.20196945255,385.519308504,0.744555,120.851958435,26.9457
25.8203148297,25.8138,35,28.3691044868,32.3749,5.00567,26.5811172237,26.5702,453.368251961,35,9.35854101202,90.7840970204,171.064108302,-28.3515,79.9507933747,127.465649543,1.27173713365,348.456727434,0.785628,204.978791048,27.4087
27.418584717,27.415,36,26.419029846,33.049,5.70326,28.124526336,28.1144,478.966645829,36,4.61925213663,72.5374457393,172.174315413,-30.0924,118.869823196,97.2141676756,1.3589298853,308.715178445,0.819584,78.5855002587,27.8616
28.9812432645,28.9747,37,-3.01033029869,33.7016,6.3338,29.6357828505,29.6211,373.886338481,37,-24.4438659748,52.4051959889,111.096765435,-31.7213,102.651015332,203.202113671,1.4448792128,596.614479716,0.808554,126.157431411,28.3074
30.4892694243,30.4842,38,-6.94563583505,34.2657,6.70078,31.0765998633,31.0616,646.233479357,38,-4.21135340528,41.789538948,115.184907027,-33.1949,152.771248896,100.350849869,1.51464731611,338.305565026,0.806644,55.7716664868,28.7427
31.9361203446,31.9294,39,2.1748176477,34.9062,7.65361,32.4633827493,32.4434,526.056135419,39,-11.0432785804,39.7233029539,92.6148058533,-34.6239,110.560535545,85.3236348169,1.60026349392,335.207845079,0.824575,47.3266325542,29.1084
33.2153279491,33.2092,40,8.57188538792,35.5441,8.54109,33.6871419081,33.6678,996.657490736,40,-20.9739537642,58.8173333606,174.094588837,-35.9494,209.848082472,22.318358778,1.67682765397,82.793343036,0.73235,12.0149451015,29.5113
