StdReturn,AveragePolicySurr,AverageAction,Iteration,AverageReturn,MinEsReturn,MinReturn,AverageEsReturn,AverageQLoss,AverageAbsQ,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm,StdEsReturn,Epoch,AverageAbsY,AverageQ,QFunRegParamNorm,AverageY,AverageAbsQYDiff,MaxReturn
0.91907207024,0.443253,0.203194,9,-3.27740627811,-17.563555826,-4.740526449,-4.36262519776,23.208,1.41837,-1.56305996847,11.3819204179,11.7099,3.92606397051,9,3.09752090763,-1.16391,11.4915,3.09132026416,4.25523237465,3.53532166801
0.0629574070457,-2.08261,0.999929,10,-8.09123497938,-18.3515461823,-8.25941642058,-8.00462789215,0.432891,1.54717,-7.81399294785,-0.254582073744,12.1697,2.93245347596,10,1.57947016269,1.53481,11.7281,1.56044633953,0.394253565207,-7.93572218191
0.0653020879166,-1.55901,0.999987,11,-8.09035488669,-12.8024977962,-8.25188903901,-7.30585266439,0.0582938,1.30057,-7.81315280864,-1.24305989362,12.2129,1.77802421783,11,1.30484877298,1.27897,11.8313,1.28396829337,0.17438656258,-7.92926229444
0.0629349582881,-1.20044,0.999991,12,-8.09296973915,-15.160955426,-8.25317917603,-7.39000790843,0.024424,1.19756,-7.81567866261,-3.94770585403,12.2236,1.84789445446,12,1.19656108309,1.16287,11.8775,1.16461891501,0.116433237076,-7.94173526809
0.0636231086733,-0.721404,0.999974,13,-8.09206764107,-12.2506094207,-8.24265529659,-7.33636092084,0.0170772,0.939532,-7.81479809716,-3.5484769114,12.2267,1.60266606664,13,0.940375689308,0.820855,11.9355,0.821308847647,0.10011942787,-7.92693462977
49.7664065854,-0.947113,0.991396,14,36.8695878895,-100.447574608,-53.9162308648,-8.56910142256,0.0142609,0.806165,23.4059959194,66.8184564273,13.2375,22.3003603167,14,0.807550350783,0.620847,12.0252,0.621835677202,0.0905156882809,76.6064161857
5.14971743955,-1.37375,0.88469,15,-18.7757709355,-29.5437890629,-30.5429908122,32.0957064058,0.0141426,1.02436,-0.275365579764,234.353469529,14.224,77.1977816317,15,1.02625117757,0.966266,12.1877,0.967545862543,0.0857997288748,2.21717455634
232.479308918,-1.5561,0.86979,16,347.80786751,-9.75588485335,83.5944777502,146.407625431,0.0147642,1.19585,93.2801245145,557.203124164,14.7617,212.441661458,16,1.198033991,1.15162,12.4026,1.15258181543,0.087794005897,1045.20326511
179.7472885,-1.73758,0.929452,17,318.129792186,16.0470666499,56.8892537725,81.4387417884,0.0163612,1.36285,96.4174634755,193.812741183,15.4455,64.4912988659,17,1.36516239182,1.32585,12.6641,1.32663173206,0.0914874028811,984.654981125
32.7655953032,-1.92201,0.949664,18,180.424681794,3.30854032518,114.879161939,206.302332583,0.0218715,1.54295,98.3888410879,307.484203586,16.2862,90.5995986704,18,1.54497496575,1.5097,13.0835,1.5105983112,0.0993970365899,281.04626276
121.285814878,-2.10985,0.95399,19,159.978769896,10.8568225908,25.2278750863,190.64556605,0.0245028,1.74303,73.2601684282,394.707772384,16.9558,118.280804615,19,1.74612208471,1.71523,13.4642,1.71620254906,0.101811003694,416.656063424
83.5251273265,-2.20693,0.907451,20,431.437656038,54.884534723,148.332609066,147.027223569,0.0268009,1.88605,113.709787111,295.066403738,17.3615,101.581505692,20,1.88862111469,1.85725,13.9778,1.85795430065,0.100705495578,594.339413197
18.7590110637,-2.30775,0.865236,21,4.64127193589,-15.1697188238,-24.5284269105,36.3817495448,0.0242304,1.99763,15.8753013214,73.6055718566,17.8064,32.1479538994,21,2.00009063348,1.96762,14.4269,1.96818559189,0.0974519994293,54.8403438621
138.33908319,-2.39879,0.853505,22,208.397708401,-41.2964157215,40.7368765161,104.181540566,0.0322784,2.10232,85.1432481547,266.026215274,18.375,108.810335338,22,2.10477489071,2.0727,15.0185,2.07371567129,0.104352346941,607.447498891
