AverageReturn,MinForwardProgress,MaxEsReturn,StdReturn,AverageAbsQYDiff,MaxReturn,AverageAbsY,AverageQ,AverageAction,AverageDiscountedReturn,AverageAbsQ,StdForwardProgress,StdEsReturn,PolicyRegParamNorm,AverageForwardProgress,Epoch,AverageY,AverageQLoss,MinReturn,MinEsReturn,AverageEsReturn,AveragePolicySurr,QFunRegParamNorm,MaxForwardProgress
14.0800266244,-0.0478266071001,63.5923373683,1.74957512309,0.0377235582443,20.6615506852,0.119628661687,0.113053,0.0107344,13.233498958,0.113053,0.0221136619417,11.8065445077,14.173,0.0197283355092,9,0.119628661687,0.00267151,8.86491979875,0.993046555812,34.5144518768,-0.109073,14.0889,0.101342612784
4.26047285551,-0.0412010874207,27.0175411347,0.513627930469,0.0178865223685,6.41574868491,0.126739963292,0.126447,0.980195,4.19293851832,0.126522,0.00743332544479,1.86310656074,15.01,0.00128032094957,10,0.126739963292,0.000843803,2.57888204476,2.86294618954,4.64575612647,-0.135338,14.494,0.0264109165165
4.27880287647,-0.0240916231753,6.08195204266,0.510323043772,0.012420353673,6.51698978092,0.144683812396,0.144503,0.997419,4.21074486913,0.144576,0.00755089373853,0.534177621746,15.2585,0.0013270740573,11,0.144683812396,0.000450542,2.7388897943,2.90999398596,4.23281794417,-0.149708,14.8535,0.0276138764792
4.45932608812,-0.0344575785805,6.06248463843,0.691619710468,0.00958316880683,6.89489969502,0.136499235919,0.136435,0.94572,4.38438144585,0.136568,0.00776213357837,0.663924090439,15.5448,0.0019904930466,12,0.136491911161,0.000275944,2.45445529187,2.37757412619,4.04601271373,-0.130978,15.2806,0.0314966244676
14.8696299618,-0.03131752274,54.5085314405,4.90316272718,0.0102241613967,56.4194483891,0.130070397727,0.129947,0.939331,13.8111534077,0.130137,0.0308668321181,7.53201596245,15.85,0.0232461761833,13,0.130060037091,0.000335959,4.33378818433,2.2597421749,7.20304602813,-0.158299,15.8737,0.341975853567
14.4227168921,-0.0399082928793,26.8328336667,4.20882680328,0.0126059615641,36.8692447313,0.161578231898,0.161382,0.985938,13.431188732,0.16157,0.0228892743233,4.31916161313,15.9424,0.020056096523,14,0.161566324188,0.00046624,5.94166878922,7.48038360129,14.5801582629,-0.200935,16.4262,0.138104282995
21.6876367966,-0.0263789221075,44.9862892295,8.95201089514,0.0133280210301,56.9754821375,0.176600192718,0.176478,0.884625,19.5865525134,0.176708,0.0728177710288,7.55841568568,16.0051,0.0747893642456,15,0.176581625567,0.00050656,4.36401813171,4.83299694376,17.8550735393,-0.199863,16.8652,0.432036590898
7.94112436232,-0.0906852439083,65.9328359925,1.24882167433,0.0127157021428,12.7038267509,0.178655392479,0.178577,0.87173,7.62802367019,0.178817,0.013812133503,19.8403004877,16.0875,-0.0328154791008,16,0.178646123089,0.000455741,4.24563304864,4.84822731738,26.4286191211,-0.200448,17.2468,0.0174405137804
18.7941487047,-0.171746408046,20.7506118549,4.50897340273,0.0142666682113,35.0487618824,0.18166894779,0.181634,0.814559,16.9151841685,0.18187,0.0426056941188,2.46698564618,16.2215,-0.0613107774938,17,0.181650301618,0.000596588,9.8123012125,4.93023997308,8.17951452339,-0.208806,17.7486,0.0661064765761
48.9469013567,-0.315315637264,78.3083041175,19.3418143893,0.0155835248061,129.110806918,0.190293813175,0.190266,0.847713,37.8097432374,0.190479,0.0700250068812,17.9723327794,16.3679,0.0566809353066,18,0.190277766906,0.000677404,16.6271243239,4.89000072359,45.9997514151,-0.208926,18.3507,0.157636264854
27.3976549357,-0.180468900356,61.9975375383,8.27933465359,0.015167489459,51.131804938,0.199567488699,0.199501,0.789312,23.9075829128,0.199703,0.0548926298224,12.7211775664,16.4611,0.046549614716,19,0.199546834449,0.000679352,9.44589636676,8.85856397782,35.6132829331,-0.217312,18.9282,0.177555672698
22.2694523115,-0.144098714784,56.1050552336,6.03808864479,0.0154805756684,41.2547278077,0.207322410001,0.207219,0.775291,20.1235399811,0.20747,0.0445813102692,10.6855065431,16.4879,0.0643709958109,20,0.207307249743,0.000771657,9.5614502227,12.501104173,27.1862022804,-0.223926,19.4763,0.264014228846
38.6643845792,-0.254357315616,67.1066233704,18.9009877003,0.0156071965027,99.0299937,0.21375693948,0.21371,0.71658,32.1566221172,0.213917,0.148897608289,15.5281500412,16.5301,0.179910156431,21,0.213743691903,0.000817891,3.95319825543,5.43702759689,35.999853565,-0.22816,20.0554,0.57755382705
49.7628645906,-0.122041245722,79.9707066646,20.3926655897,0.0155223226963,80.4896445609,0.218539785438,0.218486,0.75608,40.6502500942,0.218732,0.173499134764,20.5102308977,16.6313,0.309773367876,22,0.218527197135,0.000817207,4.1460792795,4.57514202634,46.8654497754,-0.232297,20.6552,0.551807831077
45.2474655422,-0.188485026626,74.9597332318,17.8246882633,0.0157177055231,78.9746796324,0.222607716922,0.222542,0.709214,37.3712205791,0.222831,0.152106084842,15.4488096552,16.747,0.25685795374,23,0.222593919344,0.000855168,4.80837894891,14.7066371895,48.2695245333,-0.236891,21.2449,0.512797451945
48.8852426189,-0.557631390805,68.2578449614,19.7832182927,0.0156076453987,80.4089189788,0.227385577347,0.22735,0.654468,39.7031839197,0.227625,0.171561685275,20.4566085421,16.861,0.279322744521,24,0.227372484734,0.00088603,5.03124059411,6.20392821148,49.177530506,-0.240984,21.7984,0.499136415808
