AverageAction,AverageEsReturn,AverageAbsQ,AverageQLoss,StdEsReturn,AveragePolicySurr,AverageAbsY,AverageY,MinEsReturn,MaxReturn,MaxEsReturn,StdForwardProgress,AverageReturn,AverageQ,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,AverageForwardProgress,QFunRegParamNorm,MaxForwardProgress,Epoch,StdReturn,MinForwardProgress
0.740853,66.8388873744,4.17898,0.193352,12.7618390048,-4.40515,4.18047022561,4.18012570583,6.5090639999,74.7169787071,74.4589524186,0.0198843979262,68.9791562723,4.17659,0.223136283678,54.8558021402,62.8399119752,19.6091,0.500997775167,44.5502,0.554881590791,60,2.22828546889,0.452258906084
0.741214,65.9512043695,4.22371,0.174388,13.4972254367,-4.43599,4.22301111148,4.22230686903,1.60337746968,77.0057203835,72.1424782711,0.0210505169234,68.7218106015,4.22099,0.21370457972,54.7274278542,63.2256014506,19.65,0.500735715915,45.0274,0.575407575391,61,2.29983053478,0.411823034503
0.738168,67.4057733054,4.26996,0.206983,8.5192629506,-4.487,4.26921951144,4.26879491083,28.0771039764,74.9280990194,72.7880297588,0.0211120687359,69.2598806823,4.2675,0.235658222872,55.0728603936,64.0636308489,19.7117,0.50389636667,45.4208,0.564071593916,62,2.11001147863,0.439334704967
0.730893,66.8686101394,4.2893,0.197264,9.141008307,-4.50735,4.28903546399,4.28860648028,24.671005716,76.4741515133,73.3875145385,0.0261864146968,69.4948187612,4.28728,0.224935971893,55.1780548687,63.8261441498,19.7825,0.50661259441,45.8457,0.581256962217,63,2.39932653655,0.419657329424
0.728935,68.038455082,4.3051,0.190857,10.9281039272,-4.52998,4.30539518609,4.30484424043,17.8907319329,77.1602489739,75.011365096,0.0210599743447,70.1249719771,4.30306,0.221388987138,55.6357812392,63.4311955944,19.8503,0.514963464062,46.2424,0.574300059084,64,2.13909191823,0.463919914791
0.730463,69.9353895736,4.33452,0.180902,3.09950630087,-4.55212,4.33453972362,4.33379216123,62.3803019548,76.9995780958,76.7338975836,0.0207984014369,69.9175774904,4.33206,0.219463855123,55.4377891355,58.4304139244,19.9071,0.510742909307,46.593,0.571230630556,65,2.33736393813,0.427289432489
0.718581,68.3813468519,4.34902,0.186987,5.32077132388,-4.56703,4.34913020414,4.3486530424,46.1174573491,76.6875485105,75.4836417519,0.0494284871188,69.2280302699,4.34708,0.220181186666,54.988056208,14.6872701979,19.9589,0.506368730536,46.9512,0.565988419089,66,5.54216538232,0.0428882590052
0.738509,65.1088056354,4.37673,0.176939,15.5777230552,-4.60178,4.37603616429,4.37563942605,8.25157096124,80.7370373958,74.4508624904,0.0365162928506,70.252927643,4.37453,0.221044875322,55.6939301292,55.8729201143,20.0051,0.511167306037,47.3932,0.595208122158,67,3.84219646362,0.356448601058
0.757916,65.6291088114,4.40333,0.178955,9.10078560151,-4.62459,4.40320906868,4.40267099008,35.0839400809,76.7449609552,75.5928386828,0.0997212484862,62.4138333821,4.40099,0.228879443672,50.2784204873,20.462409407,20.0677,0.434576319938,47.7804,0.589203823755,68,10.2804339612,0.0832514221926
0.746932,63.4791918479,4.41474,0.194305,8.16220443688,-4.63538,4.4146533147,4.41422339341,49.9090561537,79.6903240724,74.1893912064,0.081273060244,66.2526038255,4.4122,0.238553286016,52.9652215202,45.0629014748,20.1336,0.475298613678,48.1854,0.586043382234,69,8.30908846492,0.282454645729
0.754829,56.7938092326,4.43444,0.185773,18.130923655,-4.64303,4.43608545455,4.43575977946,15.3831550303,78.172389304,74.8714521653,0.0754467643212,66.6888946048,4.43253,0.230424646373,53.2218322706,18.2166021002,20.2156,0.476834827832,48.5626,0.561431344868,70,8.12566223002,0.054747441785
0.756498,60.8491322351,4.4389,0.17972,14.5543934714,-4.63835,4.4384895361,4.43800264636,19.3088135171,78.0608057563,75.3437650583,0.0989391767209,66.4810498684,4.43633,0.225656114665,53.0262400168,18.671908052,20.29,0.48003876804,48.9817,0.591395778753,71,10.9326060187,0.0483459642194
0.765679,66.1893187913,4.44301,0.176939,8.14078733211,-4.63443,4.44267040418,4.44212389894,46.781905196,79.9255553009,79.2344361077,0.0876292002262,66.5100380716,4.44004,0.221572100045,53.1660559311,18.052640828,20.3796,0.482219143473,49.3584,0.574780467759,72,9.26383730928,0.0522490835833
0.721872,62.0423801438,4.42632,0.172248,16.4248404751,-4.60337,4.42673684756,4.42641473488,18.4513153031,78.3228328584,74.632105058,0.0349316156293,68.7077414052,4.42411,0.216855820442,54.658196881,50.2813251463,20.4566,0.497739416689,49.6903,0.568580860594,73,3.71547067066,0.316889753965
0.738662,64.4916383396,4.39112,0.171571,12.7421689882,-4.56076,4.39082922949,4.39031020047,8.3401469845,79.3040697011,73.0762924211,0.071997542156,67.5608884157,4.3887,0.212279635201,53.8528095214,18.2499008518,20.5431,0.493573049204,50.0668,0.564709140085,74,8.11287662307,0.0466058942756
0.7139,63.2606694185,4.36816,0.167432,14.9165466522,-4.5399,4.36796340361,4.36748766104,12.3269982318,76.8179327642,74.5688149853,0.119572077919,63.7844635448,4.36602,0.206856724202,51.1460746078,17.5520446014,20.6181,0.458968264765,50.4171,0.59504841491,75,13.0511383245,0.0463195928054
0.71451,66.197744717,4.35383,0.168673,9.45667550437,-4.51249,4.35200908061,4.35164848129,21.4898756763,75.8477452027,72.9517355912,0.0369309141264,69.6454436839,4.35103,0.207768800356,55.3061785483,14.9761377862,20.6721,0.514078121892,50.7483,0.568658820604,76,4.07811364963,0.0317049971664
0.723697,63.352791734,4.31175,0.162333,16.0196628349,-4.47545,4.3114132692,4.31110743645,18.3637037176,76.3121023493,73.3033431381,0.0345471643124,69.144912098,4.30931,0.20495763939,54.9948861621,16.4823250785,20.7193,0.509874352101,51.0992,0.576565007218,77,4.01075769642,0.057390976593
0.726845,67.2948135255,4.30191,0.145658,12.2679211254,-4.45908,4.30204856338,4.30148302672,9.50481109714,76.9740155673,73.6642605493,0.0392326338048,70.1946787558,4.29974,0.193728442061,55.6408958321,12.3258897904,20.741,0.516533092634,51.3847,0.599170110315,78,4.31083152447,0.0180673848163
0.722612,67.6745236399,4.28707,0.157159,12.0994206127,-4.44775,4.28715411453,4.28668569474,10.5158268774,80.4133208337,75.4988892684,0.0188286529343,70.1666682958,4.28493,0.200695012408,55.6685575609,65.15648905,20.7905,0.518275728966,51.7408,0.564345172366,79,2.14093237714,0.463119093292
0.731923,65.3084948412,4.25953,0.166969,14.9207713271,-4.39756,4.26147596852,4.26107725098,12.8504731007,76.3506424076,77.8445074379,0.0196206512861,70.2193216815,4.25723,0.20796600889,55.7496520197,65.5737040258,20.8601,0.518289053086,52.0359,0.585889306349,80,2.05726428308,0.468857236093
0.773954,67.5221072997,4.22791,0.148452,11.3470496828,-4.38168,4.22815654771,4.22786820576,14.6104889543,77.1024858941,73.5841571212,0.0188797775422,69.5021523736,4.22606,0.192812944315,55.2678519297,63.3329160004,20.9022,0.513248219607,52.3479,0.57997327986,81,2.10645127642,0.470298189014
0.701575,66.9233131043,4.20291,0.135151,7.50624611169,-4.35966,4.20223320645,4.2019482885,36.1455163184,76.2303851735,73.1726381707,0.022434763891,69.7454907771,4.20069,0.186999673532,55.3725990892,59.745016361,20.9325,0.507864750856,52.6571,0.57127205371,82,2.27089606127,0.448029423278
0.744048,68.5493727817,4.20804,0.140884,3.13270624,-4.40534,4.20847982651,4.20818270281,60.9843172251,81.9538250385,73.6172401784,0.0200945737541,68.5321114921,4.20659,0.186163270356,54.6147525639,57.8190603154,20.9609,0.497701920598,52.971,0.554661590274,83,2.77641447251,0.435362438115
0.745623,66.7458825614,4.2467,0.154005,9.74862154892,-4.44804,4.2471958933,4.24698166253,35.8489121939,96.0140821475,82.4778646277,0.0744294732413,69.2960376469,4.24523,0.201337089359,54.5703419093,33.7017053705,21.0025,0.483416998413,53.3543,0.59174016627,84,9.52194493876,0.168437367557
