Epoch,AverageEsReturn,QFunRegParamNorm,AverageQ,AveragePolicySurr,StdForwardProgress,AverageAction,AverageDiscountedReturn,StdEsReturn,AverageForwardProgress,AverageAbsY,MinForwardProgress,AverageAbsQYDiff,MaxReturn,PolicyRegParamNorm,MinReturn,StdReturn,AverageY,MinEsReturn,AverageQLoss,MaxEsReturn,AverageAbsQ,AverageReturn,MaxForwardProgress
10,-11.3986671358,8.68719,0.0215289,-0.0324499,0.0280577304816,0.860389,-20.3718781083,26.2946694385,-0.0665563765682,0.0221038325327,-0.164068464394,0.00519039964206,-25.6159535931,14.6825,-41.6620245774,2.75089532558,0.0215602195056,-75.2298598459,5.0528e-05,53.2811279205,0.0218461,-32.0741615526,0.00106082978319
11,-28.6975295146,9.39878,0.0352252,-0.0520529,0.0255306954771,0.993681,-19.4863091848,7.65463085819,-0.0124582514159,0.0353484699178,-0.0682288767663,0.00419405684981,-24.9797839861,14.9127,-36.2278974383,2.5431074553,0.035258558874,-39.1726236116,3.54922e-05,-15.9920643067,0.0353014,-30.6614712714,0.0445905612862
12,-30.6826825189,9.8629,0.049726,-0.0672728,0.0298718459048,0.99843,-19.1614119743,8.63684318779,-0.00723929117222,0.0498205537523,-0.0828811436814,0.00412307592681,-21.5895515226,15.0078,-37.8384920159,2.98051079252,0.0497505217825,-40.5928358622,3.3444e-05,-15.8898240801,0.049773,-30.2799796018,0.0797959414035
13,-29.8993071303,10.2058,0.0615101,-0.0758786,0.0295656280049,0.996354,-19.0202702263,10.7104107072,-0.00565102915769,0.0617407890911,-0.0801402541819,0.00444762527695,-23.0695270879,15.0369,-37.4819644287,2.95013392382,0.0615296870165,-44.3263637188,4.27696e-05,-11.6031119265,0.0616782,-30.0570859483,0.0644596146056
14,-10.2290010442,10.4912,0.0683904,-0.0787835,0.0340239499458,0.997799,-6.40406295372,18.7473335907,0.181318236388,0.0691151511731,0.0859458792748,0.00471027059432,-2.99667675937,15.1827,-20.9044374524,3.39789436834,0.0683945820157,-58.8465155761,5.42749e-05,2.64519018969,0.069051,-11.413898594,0.265434203574
15,0.517169488041,10.7127,0.0729058,-0.0796837,0.0432200231933,0.999214,-6.80652142227,7.72840203347,0.176970865064,0.0741350014998,0.0621326279027,0.00493967049666,-2.7909723532,15.2462,-23.3929829841,4.31933654743,0.0729151654762,-10.9560944858,6.66839e-05,15.5725376592,0.0739866,-11.8882026512,0.267833150684
16,0.677807085932,10.9251,0.074137,-0.0774998,0.0450196222147,0.999647,-6.50550961905,12.212530514,0.180378974437,0.0759786591169,0.0699820121217,0.00511673613227,-1.44769089425,15.2867,-22.6160846528,4.50618056245,0.0741388396556,-25.8429144288,7.46794e-05,19.3726165859,0.0757919,-11.5650982018,0.281474917733
17,-2.53727770867,11.1354,0.0727895,-0.0728652,0.037707854885,0.999829,-6.19229131052,13.3248644539,0.185440499512,0.0750355302497,0.106513746935,0.00533145914503,-0.521127623964,15.3195,-18.9908696323,3.7722032034,0.0727843683571,-26.9001174007,8.00654e-05,15.0130873887,0.074786,-11.06174314,0.290842929919
18,-0.248573025881,11.299,0.0678767,-0.0646382,0.044253661345,0.999899,-5.97397408844,12.5331788438,0.186683380472,0.0703200910144,0.0511841128162,0.00535033163952,1.34746216464,15.336,-24.49818067,4.42402768429,0.0678669492785,-24.0262268411,7.87129e-05,14.0185520617,0.0700547,-10.944710115,0.309688912529
19,4.89634240318,11.4946,0.0610076,-0.0559475,0.0430028506402,0.999799,-6.2771019995,8.39118737,0.183472860442,0.0636621343411,0.0840781562649,0.00542901267486,1.16437678448,15.3005,-21.232842375,4.30091098391,0.0609989224118,-8.65172372992,7.54692e-05,16.665900876,0.0633593,-11.2606669371,0.308212713677
