AverageReturn,MinEsReturn,MinReturn,MaxEsReturn,AverageEsReturn,AverageDiscountedReturn,AverageQ,AverageQLoss,AverageAbsQ,MaxReturn,Iteration,StdReturn,AveragePolicySurr,AverageAbsY,PolicyRegParamNorm,Epoch,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageY,AverageAction
4.58244303631,-1.19237533959,3.47585903105,121.425540379,9.45965142022,5.39912002714,-0.0830388,0.324552,0.133978,5.74199123218,9,0.489124724132,0.154528,0.455714309624,9.46223,9,0.433305971937,9.26815,11.3269931379,-0.447780193668,0.125235
-0.252209019732,-1.4526965631,-0.817691325154,5.61307920857,0.464975228783,0.310002183905,-0.270077,0.0263329,0.276112,0.780217632837,10,0.377989755695,0.176801,0.280881236603,10.3935,10,0.0880484575085,9.3519,1.83351038887,-0.271344227126,0.725226
187.27539924,-1.3182354825,179.327520292,108.426714105,18.308484786,94.6849395793,-0.114312,0.0032739,0.145979,202.115179881,11,4.8606949048,0.0643843,0.14735619948,11.0785,11,0.0359998571711,9.43597,27.6846740194,-0.113971097648,0.0537174
24.2508575737,7.5666832927,20.6062224355,94.8647809272,43.1863865918,20.9299028161,-0.0251952,0.00193383,0.15508,27.4242321083,12,1.41385689418,-0.0227473,0.15626863238,11.8885,12,0.0287882858402,9.54047,25.0921370904,-0.0249543676457,0.259942
51.5634733164,6.39257555935,48.2976752257,82.0604062368,42.5314752332,37.4123233385,0.0694513,0.00190379,0.217211,58.6852465911,13,1.94115725444,-0.125052,0.218033533416,12.7293,13,0.02881965115,9.66554,23.1890535214,0.0697516400871,0.189285
37.0599774588,17.2830879983,34.8450622439,88.7395178318,47.4413009114,33.0295090228,0.186757,0.00240174,0.295836,38.8152834813,14,0.819720144031,-0.246533,0.296132500551,13.216,14,0.0298637497503,9.81692,15.0289272754,0.187123276711,0.763625
94.3674522463,36.695518278,92.093515924,81.8260141864,45.2989156463,72.8306229594,0.325008,0.00404945,0.401141,96.1933936858,15,0.932887381424,-0.397729,0.401203137182,13.6108,15,0.0348446708279,10.1237,9.68579300629,0.325398337064,0.590245
76.7086433826,36.6993335512,75.4075740095,186.563967009,87.3394881322,61.7050370961,0.484807,0.00565378,0.53382,77.9986755916,16,0.573295323104,-0.571091,0.534244929012,14.0688,16,0.0384217192566,10.5925,34.4222838676,0.485337738293,0.702417
166.198060951,30.9429438336,159.596463042,171.655342785,82.2042356275,108.776949015,0.656804,0.00831085,0.690924,170.609459577,17,3.13217442517,-0.755355,0.691491626233,14.9256,17,0.0448493184181,11.1035,36.4467825367,0.657244251491,0.937751
173.140650465,79.0625981997,168.023052624,189.668018329,153.820603005,111.614879191,0.835475,0.0110272,0.861897,176.281889708,18,1.53172443795,-0.955995,0.862694606879,16.5584,18,0.0506108919909,11.6663,35.7437782255,0.836130269504,0.965649
172.479631821,94.8569621397,169.271364818,203.821073224,170.023680999,111.182294539,1.0346,0.0141333,1.058,175.500980777,19,1.13861059222,-1.1725,1.05871963684,17.6963,19,0.0552293507311,12.1935,24.7951658658,1.03520707139,0.959771
172.704733077,112.959596656,167.78260645,185.99512472,169.586967545,111.784203505,1.23353,0.0204273,1.2525,177.320540597,20,1.65396351697,-1.37318,1.2531029109,18.7099,20,0.065077062177,12.7873,17.5457640704,1.23432519528,0.89508
172.960085585,75.4857964568,170.006822959,195.714553109,159.727004969,111.65750034,1.42301,0.0231202,1.43675,175.859121849,21,1.3959069484,-1.56248,1.4367845457,19.2975,21,0.0685584741117,13.2734,39.3514442682,1.42381359532,0.951067
165.570448416,56.4224596145,119.102968165,209.21050588,141.472884643,108.101030052,1.62318,0.0279315,1.63447,186.515698877,22,27.0950453427,-1.76794,1.6345254867,19.7304,22,0.0755922455224,13.8305,51.0646164156,1.62395836254,0.702234
173.554926694,80.3453449055,171.22295261,188.874890603,146.009672826,111.695323146,1.81147,0.032349,1.82512,175.674365207,23,1.02319241,-1.96633,1.82516010646,20.0164,23,0.0832525808091,14.4069,42.4805190177,1.81229810644,0.507141
174.391758601,96.7816862273,170.810994115,215.484318968,160.319598429,112.119426013,2.01548,0.0304438,2.02976,176.914085331,24,1.5852673856,-2.17986,2.02998802616,20.495,24,0.079220048584,14.9506,34.6093905293,2.01645477825,0.496436
182.101829045,10.3111903153,173.963095445,212.059730524,157.715925273,114.81005084,2.21584,0.0354634,2.23007,192.275180117,25,4.60556388163,-2.38878,2.22975997932,21.0943,25,0.0862475187896,15.4849,52.8862829887,2.21654146552,0.470858
179.598713587,18.922150611,171.343273224,196.191925715,136.073467714,113.822745074,2.40859,0.0376898,2.4216,183.134720213,26,2.74325627153,-2.57846,2.42161873471,21.8857,26,0.0878188579285,16.0039,53.4980397727,2.40957793088,0.512346
172.91328694,39.8805115606,170.67644665,193.138065511,137.980025958,111.800291792,2.61386,0.0396424,2.62528,175.106325416,27,1.0328311819,-2.78227,2.62500170467,22.5205,27,0.0901932511367,16.4599,55.7520511204,2.61492158718,0.615617
175.173480773,23.7583963818,169.62217468,193.11273584,131.220064036,112.649477844,2.77875,0.0419442,2.79062,179.804893989,28,2.5254810854,-2.94015,2.7900475669,23.0982,28,0.0954885754389,16.8971,62.5098773116,2.77959735068,0.316807
243.732871758,93.463501052,187.788564228,249.308253872,182.529596534,135.904580053,2.96933,0.0446715,2.98101,275.344308164,29,35.9035976448,-3.14242,2.97991252844,23.8099,29,0.0972622782433,17.3737,51.2384271403,2.97032776072,0.287865
179.120919664,20.0247253701,171.581953972,254.943105831,157.011386742,113.239823252,3.15818,0.0451402,3.1679,189.346838407,30,4.12093438075,-3.33974,3.16731821304,24.3517,30,0.101729426307,17.8097,57.5071330288,3.15904747842,0.287333
180.584606966,43.4330965236,171.056435961,256.85384999,153.706541086,113.997434432,3.32975,0.0490845,3.339,192.377139017,31,4.96740628461,-3.51476,3.33756673783,24.7827,31,0.105335440773,18.2301,59.1288772305,3.33042823569,0.279618
265.55244689,45.6774776507,256.265093717,277.315591608,169.712747257,143.341901807,3.51351,0.0597989,3.52083,275.996420469,32,5.00355643675,-3.69923,3.5198167939,25.275,32,0.111345480474,18.6855,72.4887926055,3.5145490626,0.329287
274.834728835,18.048174565,263.960610419,291.888431844,205.395467676,146.273660372,3.72183,0.0718753,3.72862,285.01073534,33,5.26881256249,-3.91361,3.72727616287,25.7276,33,0.116123527886,19.0682,78.8869530269,3.72294137591,0.411452
271.1612121,21.0231820647,251.043012423,293.372829683,163.762995141,145.884381741,3.9312,0.0721737,3.93743,288.191122208,34,9.21034360163,-4.12061,3.93549219361,26.0558,34,0.121967810737,19.4592,90.3152904141,3.93191083635,0.451323
281.531473607,22.9634362687,264.642627588,294.082330053,168.851914354,149.209422341,4.11105,0.079752,4.11757,292.203473882,35,6.12956774967,-4.30997,4.11570324193,26.4082,35,0.125249422995,19.8543,95.8836528308,4.11192746764,0.460485
310.205658342,71.3078300212,262.541135951,309.686055428,205.296461398,160.533305029,4.32199,0.085202,4.32813,354.317424915,36,24.2742157491,-4.52713,4.32611687896,26.7815,36,0.128726035646,20.2781,75.7926424119,4.32308915097,0.602374
256.676489707,15.4788322878,249.381899389,320.112880364,187.306978121,143.488372728,4.51348,0.0911903,4.51902,266.593615537,37,3.60806650815,-4.72339,4.51787892909,27.0598,37,0.135899457663,20.6314,108.568132658,4.51476166904,0.603207
345.88787618,54.8467514834,289.946857893,327.45571912,229.604219662,153.968633269,4.72954,0.107465,4.73588,388.381313598,38,24.7503774378,-4.94107,4.73381064904,27.3237,38,0.143119011899,21.0285,92.1883314494,4.73062983976,0.432056
257.393574649,10.0271972854,248.254510715,319.044825731,242.169206767,144.488021963,4.9587,0.0966012,4.96525,264.857160122,39,4.35422455443,-5.17537,4.96294182498,27.5693,39,0.141613298211,21.4064,87.3349880013,4.95974097679,0.582943
249.596828504,44.5530322479,237.614221912,287.67850824,219.714848302,141.211590203,5.14799,0.110476,5.15534,271.640493935,40,6.40547995249,-5.35955,5.15218158398,27.8829,40,0.147833901138,21.7781,80.3906105885,5.14885619873,0.667279
272.28088542,94.2948035105,248.791922417,343.06448101,249.910992349,148.542951985,5.3718,0.115327,5.37944,298.72118832,41,18.7654663816,-5.59602,5.37653165088,28.2447,41,0.145492476179,22.119,81.3410869664,5.3729413192,0.610158
382.440879976,71.8721060323,371.588226456,343.945337978,262.540687745,182.59888659,5.60112,0.113101,5.6079,391.667651133,42,3.50000758238,-5.83565,5.60539159748,28.4635,42,0.155417916123,22.4958,79.875273014,5.60218433503,0.576393
261.427363125,65.1410480866,237.776878944,338.780044144,210.466036118,144.542163812,5.81361,0.139434,5.82099,302.226983452,43,20.1799456069,-6.04202,5.81852223804,28.7079,43,0.161817211057,22.8561,110.063962455,5.81522835301,0.664942
322.36551964,51.8931909663,242.884767955,414.780515949,252.828688228,164.14659687,6.01806,0.142695,6.02536,370.776053886,44,37.4484367717,-6.24668,6.02276488371,29.0846,44,0.166751366352,23.1898,125.27426953,6.01893060871,0.626166
370.917352578,59.352831777,262.65570207,427.902831164,219.421712073,178.568892638,6.25286,0.158138,6.26049,410.36539128,45,19.7790970255,-6.47669,6.25787398541,29.3555,45,0.180541879868,23.5061,119.617322732,6.25388257511,0.615807
360.320188306,48.8707541358,348.59209262,301.595127525,206.222689148,174.777199957,6.46167,0.148106,6.47065,369.420436088,46,4.64244621102,-6.69642,6.46772177123,29.6168,46,0.179503957025,23.8061,95.4308101851,6.46317537086,0.629379
282.84387235,8.77378791006,270.564655559,326.084004661,196.279085832,152.844394392,6.67099,0.15578,6.68009,292.086115601,47,4.14599971344,-6.91661,6.67757273638,29.8394,47,0.178110022009,24.1298,110.412574129,6.6723719916,0.635413
275.006609615,11.5628785172,267.136185662,312.504752165,167.528678581,151.051623857,6.8936,0.17382,6.90258,300.858917801,48,4.16024054764,-7.14801,6.89940069354,30.1916,48,0.18931726027,24.4649,116.6542888,6.894606326,0.579228
295.046161367,76.5224493129,272.967641489,335.942757482,268.73450358,157.268136371,7.07115,0.192247,7.08055,314.849699921,49,14.0354037214,-7.32286,7.07796747351,30.471,49,0.194003179625,24.7575,74.5797883894,7.07263842938,0.61937
306.812752365,14.3681805178,300.005980897,372.013919079,206.642479322,160.812911126,7.30026,0.225348,7.31047,313.958754026,50,3.70620066529,-7.55721,7.30618081476,30.8359,50,0.202092129248,25.0473,120.498392636,7.30117446453,0.678073
272.970494856,10.1136204006,255.383623165,351.452417272,217.46463704,149.819989001,7.5498,0.196333,7.55823,282.911877487,51,5.64331511066,-7.80981,7.55507466689,31.1176,51,0.202692553093,25.3391,114.486885952,7.55105243308,0.634459
259.181509036,9.85526542022,246.358498176,272.613841638,157.188124714,145.942996364,7.74677,0.23319,7.75534,271.973934529,52,4.27322918353,-8.01778,7.75339105552,31.422,52,0.212530700976,25.6458,93.3581760546,7.74859290544,0.640368
296.960957402,32.1212953786,271.593692736,322.315218997,198.293499508,158.940087628,7.98242,0.23356,7.99206,305.906779331,53,5.7338510468,-8.25101,7.98880931381,31.7042,53,0.209969024471,25.9269,101.045641675,7.98369057224,0.653944
