AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,MaxReturn,Epoch,StdReturn,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageY,PolicyRegParamNorm,StdEsReturn,AverageReturn,MaxEsReturn,AverageQLoss,MinEsReturn,AverageQ,Iteration,AverageAbsY
68.1865861402,58.1558,-31.5674,102.0,187.0,45,16.8553881256,28.3993,0.845133286587,0.274846,17.5535714286,28.3775614039,33.1765,15.8259728237,115.183908046,80.0,4.1253,3.0,28.3758,45,28.3777777771
59.7533063868,59.1219,-32.3427,50.0,136.0,46,19.2722794663,29.0225,0.817483861394,0.316512,17.3448275862,29.0048840825,33.4897,14.1098543751,92.5596330275,59.0,3.75845,3.0,29.0042,46,29.0052053223
40.3695337029,59.9953,-33.0612,42.0,121.0,47,16.5124615076,29.8015,0.838484470296,0.372995,19.72,29.7868706112,33.7203,16.0499719626,52.6421052632,60.0,3.93773,3.0,29.7836,47,29.7870957926
60.6061180904,61.0489,-33.6644,90.0,98.0,48,1.69016358653,30.2847,0.901853681424,0.37088,25.2,30.2647535425,33.9909,25.0810685578,92.7037037037,131.0,4.84554,4.0,30.2621,48,30.2657265695
57.8082453015,62.031,-34.4699,44.0,130.0,49,14.8764692846,31.0459,0.890161366368,0.37488,19.0754716981,31.0249531621,34.307,15.2189666381,87.0608695652,76.0,4.3864,3.0,31.0228,49,31.0260623867
62.6551258325,62.8768,-35.1153,88.0,162.0,50,18.6826619795,31.6539,0.939099415199,0.306018,18.5555555556,31.6321292857,34.5271,15.9300167011,99.5148514851,68.0,4.79583,3.0,31.6288,50,31.633946735
60.8905854026,63.7455,-35.7348,88.0,111.0,51,4.16566704171,32.2713,0.924541329468,0.307066,19.612244898,32.2484202259,34.8616,17.0171777877,93.4953271028,90.0,4.71974,3.0,32.2459,51,32.2495430619
88.7797995415,64.4644,-36.4151,166.0,521.0,52,69.6352080185,32.9292,0.974363409121,0.307627,18.375,32.9064317367,34.9944,14.6049924194,234.23255814,71.0,5.09011,3.0,32.9052,52,32.9083402301
99.9956828753,65.2195,-37.1177,1000.0,1000.0,53,0.0,33.6198,0.957882468587,0.140466,19.3333333333,33.5965776612,35.1796,16.1908551612,1000.0,85.0,5.07438,3.0,33.5946,53,33.5980586594
99.9956828753,66.1613,-37.851,1000.0,1000.0,54,0.0,34.1425,1.00785991381,0.283921,18.6181818182,34.1208514621,35.273,12.8353077083,1000.0,49.0,6.01845,3.0,34.1178,54,34.1224481184
99.9956828753,66.8129,-38.6367,1000.0,1000.0,55,0.0,34.8783,1.00811392842,0.192514,16.9655172414,34.8485314858,35.4983,14.0429949616,1000.0,79.0,5.98468,3.0,34.8464,55,34.8510189424
99.9956828753,67.4969,-39.3837,1000.0,1000.0,56,0.0,35.5887,1.01988382734,0.270905,16.9833333333,35.56313772,35.6385,15.6519345627,1000.0,88.0,6.44923,3.0,35.5586,56,35.5651000158
99.9956828753,68.2973,-40.053,1000.0,1000.0,57,0.0,36.1648,1.01464592599,0.319189,15.9523809524,36.1352039503,35.822,14.4852728401,1000.0,68.0,6.0938,3.0,36.1349,57,36.1371671203
99.9956828753,69.0786,-40.8976,1000.0,1000.0,58,0.0,37.1462,1.03581428582,0.366704,15.2307692308,37.1213161991,35.9248,14.7102990931,1000.0,78.0,6.22254,2.0,37.1161,58,37.124080147
99.9956828753,69.8363,-41.8512,1000.0,1000.0,59,0.0,37.8754,1.05652345554,0.281767,17.3965517241,37.8431941056,36.1518,17.3393509555,1000.0,109.0,6.4164,3.0,37.8428,59,37.8458557421
99.9956828753,70.4683,-42.6235,1000.0,1000.0,60,0.0,38.4762,1.11243155251,0.32726,13.3466666667,38.4457637079,36.4094,13.3850596645,1000.0,67.0,6.88511,3.0,38.4423,60,38.4483772282
99.9956828753,71.1603,-43.4812,1000.0,1000.0,61,0.0,39.3284,1.12235220334,0.317638,14.3333333333,39.3010748883,36.6515,12.2895816212,1000.0,56.0,7.50668,2.0,39.299,61,39.3046616789
99.9956828753,71.8969,-44.3011,1000.0,1000.0,62,0.0,40.0774,1.16941007834,0.376207,13.985915493,40.0450099488,37.0058,12.3863770667,1000.0,70.0,8.26332,3.0,40.042,62,40.0482104448
99.9956828753,72.549,-45.2331,1000.0,1000.0,63,0.0,40.7872,1.19384966739,0.338618,16.8965517241,40.7440216791,37.3481,15.239116699,1000.0,80.0,8.14188,3.0,40.7419,63,40.7476070568
99.9956828753,73.1905,-46.0698,1000.0,1000.0,64,0.0,41.7526,1.22380394695,0.435492,19.9230769231,41.7155277299,37.7101,19.8560649075,1000.0,111.0,9.13656,3.0,41.7097,64,41.7201622739
99.9956828753,74.1293,-47.0152,1000.0,1000.0,65,0.0,42.538,1.24402747208,0.337218,18.1454545455,42.4922634532,37.9921,18.4897201727,1000.0,108.0,8.6835,3.0,42.487,65,42.4997130874
