AverageReturn,MaxEsReturn,PolicyRegParamNorm,AveragePolicySurr,MaxReturn,AverageY,AverageQ,AverageAction,AverageAbsQYDiff,Epoch,AverageDiscountedReturn,MinReturn,Iteration,QFunRegParamNorm,MinEsReturn,StdEsReturn,AverageQLoss,StdReturn,AverageEsReturn,AverageAbsQ,AverageAbsY
-3.767913586,21.7406456873,11.7097,0.411735,-1.85127620148,2.67094175626,-1.06079,0.207802,3.73172893483,9,-1.9983636594,-5.13066665648,9,11.4914,-16.777367029,4.23250063476,16.7609,0.577965519462,-4.36309217702,1.13278,2.74223144383
-8.09255173293,-1.73004614936,12.1526,-1.54867,-7.94888221441,1.22498120465,1.1859,0.999867,0.426809474502,10,-7.81524010453,-8.25641340621,10,11.7517,-18.1517147721,2.7282708858,0.476419,0.0636721008875,-8.10728658335,1.35654,1.46372796928
-8.73009058326,0.656796401807,12.5503,-0.905559,-5.92468086524,0.500128143221,0.497874,0.999941,0.201510823412,11,-5.3585554987,-11.4302958417,11,12.0059,-14.5037876315,2.10321608609,0.0702984,1.30315387844,-6.57443237935,1.32871,1.34303397007
-8.72631023544,2.87287477606,12.5895,-1.59859,-5.79120649056,0.605305773954,0.602802,0.999993,0.216248189962,12,-5.36107323495,-11.5995264887,12,12.5699,-42.3636441615,10.5627940359,0.0856687,1.36939536493,-13.1417169567,1.75133,1.7644480526
-8.59033489279,6.30336790428,12.6159,-2.02231,-5.72412748769,0.83613720928,0.833828,0.999999,0.245927151182,13,-5.26437066423,-11.2650180416,13,13.414,-41.3867744438,11.0984210619,0.113889,1.37970610077,-11.9065731859,2.16452,2.17698586053
332.630932023,333.247638404,13.8701,-2.58083,504.924263136,1.16415899585,1.16297,0.679827,0.269855953581,14,110.258037051,283.960387249,14,14.3189,-37.2605207368,99.5460533204,0.142187,40.3132189242,19.6868196926,2.57029,2.58610160067
93.9756112949,353.019355201,14.9301,-3.77196,200.653033085,2.06844575092,2.0661,0.698505,0.298226895657,15,56.5507621453,68.199878891,15,15.1372,30.466809296,105.327354264,0.188922,18.7854967654,184.841097623,3.31368,3.33358580069
100.348800165,414.9404674,15.9104,-4.8479,260.125034873,3.23077528703,3.2283,0.557565,0.336326033405,16,67.2001337035,53.0588220263,16,15.8644,-27.6326807862,158.65827906,0.280385,39.1062681509,119.958549942,4.20705,4.22853195926
85.0335670627,163.314807538,16.6215,-5.72233,456.566537336,4.07985355007,4.07751,0.672339,0.379925525762,17,54.884620012,50.9334499294,17,16.6425,-20.0751776388,57.153964286,0.362457,64.35457891,28.0042981552,4.96854,4.98750804973
246.334024065,313.189454986,17.2169,-6.66084,765.228183405,5.02396120635,5.02099,0.617855,0.40250375003,18,77.6390584909,61.6630723141,18,17.4687,45.9479569894,107.688570648,0.392356,209.006821362,193.344961261,5.82944,5.84912178231
944.060348787,488.203529338,17.7161,-7.87019,994.589452289,6.27988665685,6.27809,0.595481,0.42648095751,19,102.237797956,866.55283662,19,18.245,236.888333392,91.2095130101,0.479595,39.8169827303,357.958596003,7.0607,7.07873585855
429.018126939,346.640615215,18.5674,-8.98882,617.519170839,7.42222439579,7.42027,0.691099,0.473356608613,20,126.404172063,369.200468831,20,19.0143,22.3670712377,123.063474922,0.717351,36.68790177,266.821622735,8.17632,8.19181107957
497.303105496,446.049008065,19.3485,-10.1028,664.038816712,8.54062646034,8.53653,0.742489,0.522214414547,21,116.730793336,358.693363579,21,19.8145,4.78842263414,169.057996481,0.960028,65.2533695058,208.637795134,9.29695,9.31414661343
391.497257079,442.483386486,20.115,-11.2016,709.255591899,9.58347244486,9.57821,0.830412,0.579469879941,22,119.688143746,65.9890125548,22,20.5526,170.696402208,94.6024824084,1.33358,118.500804921,276.479248242,10.3388,10.3575164963
194.191833004,458.707891881,20.7398,-12.3355,700.512458516,10.6850864402,10.6807,0.814579,0.614696234456,23,77.2843077747,44.4694832865,23,21.2114,0.728536067026,170.280643883,1.49375,169.245658506,127.833587701,11.4209,11.4385628745
