AverageAbsQYDiff,AverageEsReturn,StdReturn,MinEsReturn,AverageY,MaxReturn,StdEsReturn,MinReturn,AverageDiscountedReturn,AverageQLoss,AverageAbsY,Epoch,QFunRegParamNorm,AveragePolicySurr,Iteration,AverageQ,AverageAction,PolicyRegParamNorm,MaxEsReturn,AverageReturn,AverageAbsQ
2.1398420153,14.8239617955,0.245253255879,1.42766486338,1.44154613659,12.8195913923,16.412217428,11.5224130552,11.4318076813,5.40506,1.44563548835,9,11.1652,0.462593,9,-0.698296,0.0390865,11.1814,158.671130725,12.1763341129,0.700186
0.12929260443,2.37251422689,0.447502183409,-1.08796780686,1.18298140912,1.45787697289,2.60785158526,-0.382169304945,1.10935204528,0.0672398,1.21093770295,10,11.4406,-1.24285,10,1.17083,0.967936,13.2653,12.7975864083,1.02123698885,1.18846
0.0923249508228,6.29327105623,0.880526233026,-1.05377641843,1.47453380794,40.4615122903,13.3285664919,36.2852301439,34.2601381817,0.0253312,1.53657545973,11,11.8459,-1.54132,11,1.47352,1.0,14.3384,51.6341434948,38.5292639279,1.53338
0.135630568625,41.152954642,0.968282369603,16.9050908247,2.12405390063,41.8659678139,5.79755720814,36.70782519,34.5189247048,0.0691769,2.24405324644,12,12.6641,-2.38607,12,2.12292,0.999997,14.5097,60.8431799326,38.8477830002,2.2395
0.187362135895,42.4592734848,0.963272369705,7.45128180585,3.08687345855,41.8044300027,8.14548522404,36.6731895639,34.452213239,0.157641,3.22233550819,13,13.9478,-3.43162,13,3.0852,0.999994,14.5083,72.753416306,38.7660662408,3.21822
0.228800729113,43.069751981,0.912116152713,24.0429798236,4.18421896787,40.4595169718,8.63191314738,36.6303556852,34.2991355583,0.248844,4.31483782394,14,15.4356,-4.66039,14,4.18278,0.98954,14.955,75.1577030991,38.5778458061,4.3123
0.278240935306,43.8521421296,3.6775112283,12.0742110991,5.43563017055,81.4822114252,10.4557460703,62.5330670524,59.2056323196,0.343893,5.55205455829,15,17.0389,-6.0334,15,5.43362,0.930251,15.7636,91.3161857339,72.4317304153,5.54913
0.307983186669,111.554743326,4.24326324563,22.8474104235,6.77657616483,168.773040564,51.9226249694,153.286146435,106.841696471,0.414278,6.88172272822,16,18.3833,-7.57516,16,6.77394,0.731915,16.5809,170.747648408,162.73528871,6.87871
0.359504546581,133.19395781,1.94597283169,7.21589321081,8.29071852705,172.754659728,66.8552844438,164.314635285,110.674169889,0.64178,8.37960964966,17,19.6533,-9.17935,17,8.28711,0.710135,17.4035,207.76693544,169.78842887,8.37657
0.406883958139,152.084311119,0.767587810776,7.79758577584,9.92245728657,172.697459329,45.8869843966,168.522567621,110.652996449,0.882879,9.99193185797,18,20.996,-10.927,18,9.91929,0.687425,18.333,174.860367158,170.758581124,9.98957
0.449941026421,151.373982443,0.955183573128,12.023081967,11.6532464672,172.706117293,53.0487963467,168.116380411,110.40751286,1.06703,11.7118793984,19,22.2239,-12.7484,19,11.6494,0.661972,19.1502,195.714113808,170.158288807,11.7091
0.491014882572,153.64268608,4.48031711595,27.6276089767,13.4211437765,190.72587088,43.4711593392,170.365738873,114.748770431,1.30287,13.4734870932,20,23.5564,-14.6162,20,13.4176,0.569986,19.9786,183.827841673,181.032870464,13.4718
0.548582001198,171.743878571,11.4383640643,99.8758919161,15.3121936822,217.40985577,38.0606252584,167.233706537,118.255395102,1.67792,15.3559616994,21,24.7467,-16.5964,21,15.307,0.554632,20.8519,234.987253514,189.28841483,15.353
0.625043530756,196.603434792,5.02630555168,77.414752,17.2608962222,210.952758688,61.0260317599,191.535177164,123.6707903,2.14552,17.300988659,22,26.0328,-18.6984,22,17.2556,0.444918,21.5305,278.889917766,203.118613319,17.2987
0.694046596315,160.95875746,3.79957305197,53.2587683109,19.3334482373,264.422468982,66.995756531,248.483511262,140.702278339,2.71272,19.3703751255,23,27.1829,-20.7993,23,19.3272,0.450198,22.1065,270.632027475,256.106542205,19.3686
