MinReturn,AverageAction,MaxEsReturn,StdReturn,StdEsReturn,AverageQLoss,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AveragePolicySurr,AverageAbsQ,Iteration,QFunRegParamNorm,AverageAbsQYDiff,MaxReturn,AverageY,AverageReturn,AverageAbsY,AverageQ
9.0881839836,0.219311,55.7348896387,0.0464759971375,6.5615127576,1.21482,8.78324838608,9,11.2297,9.79894365336,2.27724369736,-0.00730297,0.273199,9,11.1296,0.95294065389,9.33329462727,0.734366444518,9.20641120212,0.734366444518,-0.218574
3.04914425654,0.99997,7.05848885842,0.0177105473362,0.828377061323,0.0325551,3.03616778239,10,11.6623,3.7459216749,2.41272580311,-0.529791,0.42423,10,11.2942,0.095735538823,3.12288041359,0.426304493653,3.08533741589,0.427197408233,0.422975
3.04827550337,0.99999,5.82067575443,0.0180143471333,0.632819326386,0.00501379,3.03605159216,11,11.7402,3.65654932168,2.69560719077,-0.430839,0.402138,11,11.3948,0.041309887324,3.12018464653,0.399743346992,3.08522042197,0.400477438359,0.399472
3.04904146533,0.999994,9.10430111628,0.0177254172239,0.856985135234,0.00167913,3.0367379734,12,11.7762,3.83420604794,2.90399268414,-0.396758,0.406788,12,11.4832,0.0260651604253,3.12145987108,0.403700866932,3.08592448775,0.404655146013,0.403634
3.05111413631,0.999912,6.53700826192,0.0176877735894,0.592349996959,0.00114581,3.03622169012,13,11.8425,3.61194033293,2.5587928265,-0.351103,0.389493,13,11.6413,0.0222539466094,3.12284211143,0.385995925261,3.08539398279,0.387823937737,0.386005
36.696966775,0.999997,46.8554941907,0.884873576667,13.620580031,0.00219764,34.450380954,14,12.3624,34.8953557262,3.14693368269,-0.514003,0.430751,14,11.8016,0.0256870455568,40.6469361594,0.427460085209,38.7602590744,0.429790912501,0.42731
36.6673301785,0.999998,58.3431465711,0.914453599228,4.42867743199,0.00434205,34.412992842,15,12.3674,42.4226184292,36.2828461393,-0.688732,0.591314,15,12.1745,0.0332443146805,40.7341656847,0.588644077277,38.7156601612,0.589991647077,0.588297
36.6659724397,0.999997,56.1824361828,0.967928137671,5.63315323238,0.00516764,34.4983470738,16,12.3704,41.1395832872,13.2030009381,-0.837723,0.727915,16,12.7348,0.0355283682663,40.7515119487,0.725826774872,38.820875389,0.726690955281,0.725702
42.4428142473,0.863333,106.128433742,1.25248285902,18.0069394004,0.0060313,40.0919300168,17,13.4106,46.5140370609,6.3685276997,-0.999524,0.869715,17,13.327,0.0404885922426,49.0646867122,0.868062071205,45.9607002439,0.868818440816,0.867684
73.4350039117,0.908041,174.985581622,4.14374151802,44.4184792401,0.00538782,65.1748804164,18,14.5415,85.6061541846,40.4113739107,-1.17368,1.00704,18,13.9586,0.040471416834,90.449651879,1.00554122957,82.1964855234,1.00603235326,1.00531
184.852143926,0.725268,196.343600002,1.51285061365,34.6835131139,0.00650957,117.686874324,19,15.8204,162.502547162,71.711335724,-1.3147,1.13611,19,14.4337,0.0451382896555,192.100753393,1.13492549261,188.796672478,1.1354999757,1.13452
177.327989924,0.877354,194.811778206,3.20512423037,33.6748098401,0.00780832,117.108608109,20,16.9447,163.55701451,79.5609938709,-1.46016,1.27883,20,14.8918,0.0460189992285,193.491399591,1.27778454089,185.723688272,1.27829550201,1.27744
171.52944347,0.717064,210.786716833,1.37831624559,26.9626922649,0.00943638,112.558546539,21,17.7131,180.016783087,107.955575442,-1.59854,1.41421,21,15.4025,0.0499454394518,178.73873403,1.41328836916,175.854057125,1.41378783414,1.41288
38.16869399,0.877134,200.000535431,70.1739191007,61.7955597469,0.0132462,86.9990237913,22,18.4734,143.369813365,34.387609232,-1.76799,1.56674,22,15.9969,0.0583418044912,194.73976054,1.56613209565,133.116942647,1.56659927396,1.56562
167.267154655,0.851451,193.741961757,5.30529588189,60.9385237344,0.0140331,111.988952137,23,19.0217,141.084506885,28.5171824583,-1.91997,1.71825,23,16.57,0.0599823392171,191.7240077,1.71756647929,179.244500815,1.71790765717,1.71712
170.330147903,0.873564,182.983627931,2.00289753554,51.3156132874,0.0171443,111.969687909,24,19.5341,148.60363705,16.9640019596,-2.09278,1.87716,24,17.1809,0.0653539202126,181.012109756,1.87653245495,173.598292075,1.8768344632,1.87591
