AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,MaxReturn,MaxForwardProgress,MinReturn,AverageAction,AveragePolicySurr,StdForwardProgress,StdReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,MinForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageAbsY,MinEsReturn,QFunRegParamNorm,AverageReturn,AverageQLoss,Epoch,AverageForwardProgress
1.52608501103,63.8229461012,48.4775634845,77.3320584838,0.560358585114,8.14458913684,0.76121,-2.255,0.160124767541,18.9453288839,0.109724014345,16.0831,1.62067,-0.00997794156466,6.42915870645,9.43163458448,1.55385,0.109724014345,2.09901274124,12.5295,60.515861834,3.10524,9,0.425828772243
0.198411417869,18.8408006535,5.70745106123,10.0583110753,0.046951207786,2.59329429027,0.96981,-0.449309,0.0103019665298,1.74131480524,0.331770327461,16.3718,0.378003,-0.0364483695931,2.86927796845,6.82228187846,0.356513,0.340325471572,2.71729776814,12.9995,5.85681673649,0.0937413,10,0.00199885778147
0.105432675772,62.6778723256,16.7103458436,35.1906537084,0.211955015743,8.79471246546,0.944234,-0.347837,0.0294497589956,3.68110208764,0.403060281343,16.7038,0.403011,-0.0113575220778,10.4011340003,17.1682609456,0.402547,0.40317543138,5.36576863234,13.21,18.0542731822,0.0205416,11,0.058174041433
0.0809763368823,73.1425400507,55.0144856709,75.3828430214,0.566892825604,63.2756884767,0.886075,-0.480649,0.0252349805747,2.13311101012,0.444987135766,16.9382,0.445195,0.445708156137,17.0093798215,29.0330532263,0.444661,0.445105331265,9.05184449115,13.5832,69.1804526071,0.0123616,12,0.506573080274
0.0796107516734,132.226978327,42.1813289145,78.4755830507,0.587179174439,11.0205097938,0.881011,-0.615685,0.225261228547,25.3266137784,0.553491291612,17.2663,0.553113,-0.0245465255819,26.7536064891,48.0586922117,0.552652,0.553504561893,13.8260817556,14.4232,52.2307840671,0.0134042,13,0.361711747958
0.0811691845303,74.5322806462,53.0517040835,73.5935758565,0.527653194882,61.4801433555,0.924549,-0.75267,0.0208498919011,2.44615509936,0.670344783394,17.6072,0.669969,0.412947999469,23.47104512,40.9590187554,0.669138,0.670366277455,9.97118876588,15.35,66.4330284343,0.0151441,14,0.475571906327
0.0843144660874,75.0505493576,54.0322414052,76.4809795286,0.538332309915,62.4301318768,0.871158,-0.881527,0.0233751143934,2.43581768575,0.795991228775,17.9952,0.795596,0.406679057808,23.1367094516,49.9573275942,0.794605,0.796004086426,12.3231737192,16.2422,67.9277168308,0.0170171,15,0.481860245245
0.090426870253,105.303720088,54.5547588547,76.6426874087,0.548867278103,62.6966798057,0.934815,-1.02563,0.0214462751361,2.41923775088,0.926659294973,18.3339,0.926879,0.430894297711,19.8878373166,59.6336053898,0.925285,0.926675988386,14.0975682351,17.2143,68.7193275366,0.020791,16,0.485059787443
0.096347568204,75.8628954951,54.2652561394,75.2458560236,0.540867026997,26.6984228347,0.886388,-1.16671,0.0359434376787,3.57832053937,1.05924900721,18.7925,1.05995,0.0417678419495,22.7707812146,50.3916827564,1.05785,1.05925200321,10.7490557694,18.001,68.213289598,0.0239934,17,0.482477479738
0.102623137575,124.996549409,54.3548212943,74.9562553741,0.567874203959,62.7926474926,0.895244,-1.30543,0.0213145530015,2.25805968569,1.19019562039,19.2406,1.19123,0.432270634922,26.2035767192,55.4640783493,1.18895,1.19019562039,10.3982795359,18.7135,68.2560838918,0.0282526,18,0.488791576928
