MinReturn,MaxEsReturn,Epoch,MaxReturn,StdReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageY,AverageEsReturn,AverageAction,AverageQLoss,AverageReturn,AverageAbsY,AverageAbsQYDiff,AverageDiscountedReturn,Iteration,AveragePolicySurr,QFunRegParamNorm,PolicyRegParamNorm,AverageQ
20.0,24.0,9,102.0,17.8442797474,0.20571,2.0,2.36924905143,-0.00662390296457,5.3713057496,0.00029517,0.0855399,39.17578125,0.101084864325,0.213223673091,31.5256748497,9,0.134986,8.6077,8.59635,-0.20571
17.0,34.0,10,22.0,1.22245562864,0.0582983,3.0,6.60366585278,0.0196691654795,11.2413793103,0.000643753,0.00329542,18.7214953271,0.071642067837,0.0303048989567,17.145316328,10,-0.0839248,9.13103,9.41199,0.0205591
12.0,35.0,11,13.0,0.316091934419,0.111273,3.0,5.90122522424,0.111349972899,7.42753623188,0.253912,0.000137084,12.112590799,0.111397868402,0.00762367176,11.4613116093,11,-0.125959,9.19344,11.2827,0.111224
134.0,44.0,12,209.0,18.3062931177,0.167991,2.0,6.04590052834,0.168030930576,8.58620689655,0.0656697,0.000175577,169.711864407,0.168030930576,0.00874644669952,81.5246779266,12,-0.191088,9.3578,12.4264,0.167991
63.0,95.0,13,72.0,1.90419420111,0.250494,3.0,22.443705601,0.250551125103,24.8461538462,0.0135734,0.000506145,66.9733333333,0.250551125103,0.0139631618301,48.9784259405,13,-0.281303,9.76313,13.5977,0.250492
58.0,86.0,14,67.0,1.73471055279,0.329502,3.0,19.815437681,0.329552991463,27.6756756757,0.319164,0.000827497,61.3170731707,0.329552991463,0.0168494096153,45.9956383003,14,-0.375861,10.3752,14.3744,0.3295
62.0,102.0,15,74.0,2.64369531181,0.415586,4.0,27.4924268029,0.415611838471,33.5517241379,0.13605,0.00134324,68.156462585,0.415611838471,0.020741721927,49.5729541328,15,-0.476726,11.0509,15.1426,0.415581
63.0,71.0,16,74.0,2.05811264619,0.503606,3.0,19.5376488653,0.50363552828,29.4705882353,0.186138,0.00173314,68.0952380952,0.50363552828,0.0230819238632,49.5489315434,16,-0.575492,11.8096,15.8064,0.503571
71.0,80.0,17,108.0,7.83275771592,0.587944,4.0,21.2798917401,0.587977148991,31.1212121212,0.476876,0.0023329,82.8925619835,0.587977148991,0.0262060585416,56.3993184493,17,-0.668082,12.6399,16.4986,0.587879
43.0,58.0,18,48.0,0.730650682702,0.669525,5.0,16.1834018158,0.669522071135,23.619047619,0.156552,0.00273989,45.7853881279,0.669522071135,0.0282015827637,36.8799375315,18,-0.762269,13.5228,17.2299,0.669429
38.0,55.0,19,41.0,0.579722122286,0.755675,3.0,14.8550566172,0.755686076884,19.4807692308,0.0962805,0.00316177,39.5296442688,0.755686076884,0.0293849508078,32.784697047,19,-0.856227,14.3772,18.0589,0.755533
39.0,52.0,20,42.0,0.621739675206,0.838019,3.0,14.1971810223,0.838059078888,17.8928571429,0.123,0.00412886,40.4072580645,0.838059078888,0.0329415105318,33.3747786556,20,-0.946668,15.1474,18.4821,0.837811
1000.0,41.0,21,1000.0,0.0,0.920461,3.0,11.3137846737,0.920455312504,16.7118644068,0.0787959,0.00493353,1000.0,0.920455312504,0.0352369310304,99.9956828753,21,-1.03758,15.9006,18.9956,0.920215
40.0,80.0,22,42.0,0.336565002748,1.00136,3.0,14.7552767723,1.00139682598,17.3793103448,0.163014,0.00548097,41.0983606557,1.00139682598,0.0364459943595,33.8368561468,22,-1.131,16.6402,19.596,1.00114
44.0,40.0,23,46.0,0.503891032704,1.08299,3.0,9.63372427208,1.08284730816,14.7611940299,0.167145,0.00674027,44.6177777778,1.08284730816,0.0400891145658,36.135773838,23,-1.2214,17.3712,20.1406,1.08266
37.0,43.0,24,39.0,0.357316847208,1.16796,3.0,11.4303012084,1.16782899733,17.75,0.18505,0.00789238,37.8603773585,1.16782899733,0.0426647162552,31.6482517795,24,-1.31529,18.0646,20.523,1.16756
38.0,47.0,25,41.0,0.683046656075,1.25339,3.0,10.2131585353,1.25322418542,14.9852941176,0.186819,0.00870418,39.203125,1.25322471127,0.04519681384,32.563315394,25,-1.41176,18.8186,20.895,1.25291
92.0,73.0,26,110.0,2.84462435754,1.33794,3.0,12.9788978975,1.33756278286,15.1818181818,0.153919,0.0111445,98.2549019608,1.33756772042,0.0501090625696,62.7340662144,26,-1.51017,19.6473,21.3692,1.33732
38.0,58.0,27,43.0,0.840587970437,1.42558,3.0,9.31288589804,1.42513528687,12.2875,0.200688,0.0120632,39.6600790514,1.42516565638,0.052838094382,32.8715006984,27,-1.60243,20.3796,21.6729,1.42478
88.0,49.0,28,90.0,0.668829862927,1.51124,3.0,12.4422072282,1.51083912276,15.6615384615,0.202872,0.0137861,88.7610619469,1.51086837188,0.0560651755511,59.018765004,28,-1.69376,21.0701,21.8606,1.51057
50.0,46.0,29,107.0,11.7752117707,1.58492,3.0,10.9057558291,1.58440675517,13.5142857143,0.110679,0.0157606,89.5714285714,1.58445226305,0.0586034689078,59.0413140521,29,-1.77977,21.7651,22.1071,1.58402
103.0,59.0,30,130.0,4.93042328041,1.67198,3.0,12.0809936125,1.67123333244,14.6338028169,0.16118,0.0171316,109.869565217,1.67124944798,0.0610130461424,66.8136838417,30,-1.86837,22.3663,22.3199,1.67091
89.0,48.0,31,92.0,0.597347452988,1.74666,3.0,10.1115320098,1.74610421887,14.8529411765,0.101765,0.0178264,89.7321428571,1.74611619721,0.060537235568,59.4169691771,31,-1.9592,23.0078,22.5541,1.74567
82.0,39.0,32,90.0,2.06374419568,1.82872,3.0,9.01040421094,1.82758970093,12.8571428571,0.123174,0.0185443,86.0769230769,1.82758970093,0.0616148300009,57.8900863024,32,-2.03941,23.6478,22.8313,1.8273
85.0,51.0,33,233.0,38.7924351462,1.908,3.0,10.366947176,1.90684319646,12.6625,0.0867357,0.019837,109.195652174,1.90687148781,0.0638940548778,64.5712418573,33,-2.12081,24.3009,23.1525,1.90664
93.0,58.0,34,254.0,44.1916720384,1.99177,3.0,10.6751272195,1.99046764049,13.7123287671,0.0750935,0.0226191,144.842857143,1.99052296742,0.0681683146011,74.5281655248,34,-2.21083,24.9461,23.5363,1.99009
1000.0,85.0,35,1000.0,0.0,2.05372,3.0,15.2870832815,2.05246372657,17.0,0.0308639,0.0267943,1000.0,2.05251916642,0.0722671374616,99.9956828753,35,-2.29376,25.6836,23.8474,2.05217
1000.0,67.0,36,1000.0,0.0,2.13271,3.0,14.698273334,2.13074243283,16.8275862069,0.00452835,0.028124,1000.0,2.13095729925,0.0734828319111,99.9956828753,36,-2.37082,26.3369,24.2747,2.13052
1000.0,38.0,37,1000.0,0.0,2.21743,3.0,9.25292878041,2.2151495604,13.3918918919,0.00290629,0.0276839,1000.0,2.21550862777,0.0739287789807,99.9956828753,37,-2.45747,26.9711,24.714,2.2149
1000.0,94.0,38,1000.0,0.0,2.29129,3.0,14.7218471113,2.28934419223,15.4545454545,0.32511,0.029255,1000.0,2.28958184594,0.0751182338067,99.9956828753,38,-2.54617,27.469,25.1774,2.28893
228.0,47.0,39,1000.0,286.628039689,2.36524,3.0,10.7187656568,2.3628013642,12.4938271605,0.310428,0.0313866,795.461538462,2.36332295561,0.0770078060302,98.6622623111,39,-2.6322,27.9741,25.6037,2.36254
241.0,63.0,40,1000.0,301.794455438,2.45236,3.0,11.4602835887,2.4496933273,12.7564102564,0.264281,0.0347882,724.2,2.45021695303,0.0828521120887,98.2180408267,40,-2.72378,28.356,26.0559,2.44942
1000.0,65.0,41,1000.0,0.0,2.53675,3.0,9.81358425786,2.53364389225,11.6941176471,0.32454,0.0353297,1000.0,2.5344411277,0.0823071258084,99.9956828753,41,-2.80909,28.876,26.349,2.5334
1000.0,37.0,42,1000.0,0.0,2.60978,3.0,8.09267238191,2.6062137377,11.5057471264,0.257022,0.0397066,1000.0,2.60737541245,0.0863459521057,99.9956828753,42,-2.8951,29.4254,26.5917,2.60586
1000.0,56.0,43,1000.0,0.0,2.69368,3.0,9.88518683256,2.68959807011,10.9782608696,0.337639,0.0402334,1000.0,2.69070628188,0.0892860574668,99.9956828753,43,-2.98065,29.9221,26.9103,2.68923
1000.0,56.0,44,1000.0,0.0,2.76386,3.0,9.14059575205,2.7595697493,11.0795454545,0.321384,0.0454286,1000.0,2.76050120265,0.0916635322379,99.9956828753,44,-3.06325,30.3836,27.0994,2.75913
1000.0,51.0,45,1000.0,0.0,2.83746,3.0,8.60835249272,2.83397606628,10.5208333333,0.390325,0.0474326,1000.0,2.83446225664,0.0963075230034,99.9956828753,45,-3.14589,30.9881,27.3793,2.83364
1000.0,62.0,46,1000.0,0.0,2.8996,3.0,10.1988430615,2.89507489071,11.4204545455,0.390809,0.0519444,1000.0,2.89548921232,0.0990659351805,99.9956828753,46,-3.22387,31.476,27.6738,2.8948
1000.0,80.0,47,1000.0,0.0,2.98253,3.0,11.3642714974,2.97925959996,13.0,0.342585,0.0527873,1000.0,2.97972975486,0.0952097650095,99.9956828753,47,-3.30858,31.9188,28.0096,2.97877
867.0,60.0,48,1000.0,38.2348117093,3.05021,3.0,11.6419018013,3.04607181382,14.5428571429,0.291181,0.0627952,987.909090909,3.04682770378,0.105481026793,99.9945814429,48,-3.38457,32.3497,28.3954,3.04562
559.0,54.0,49,1000.0,126.778586194,3.1221,3.0,9.97930795762,3.11681973591,12.2530120482,0.230729,0.0589227,959.909090909,3.11781034344,0.103867072237,99.9630626374,49,-3.47133,32.7853,28.7447,3.11647
1000.0,66.0,50,1000.0,0.0,3.1996,3.0,13.4105877625,3.19444344025,13.527027027,0.342754,0.0613731,1000.0,3.19708612246,0.105387316638,99.9956828753,50,-3.55414,33.2545,28.9908,3.19419
130.0,42.0,51,1000.0,145.170172067,3.27364,3.0,9.74987145686,3.26738332086,12.6025641026,0.244435,0.0634219,283.305555556,3.27124247998,0.106060972385,90.7173260731,51,-3.63364,33.6788,29.3461,3.267
451.0,45.0,52,1000.0,205.536642048,3.36957,3.0,9.10257730427,3.36396952531,11.2555555556,0.359213,0.066635,755.785714286,3.36755391445,0.107054230932,99.7331441433,52,-3.71481,34.2242,29.5277,3.36352
344.0,41.0,53,1000.0,213.955391898,3.43357,3.0,10.2427118937,3.42612740822,12.1951219512,0.397915,0.066523,883.583333333,3.42994488604,0.109208313989,99.6988555494,53,-3.78271,34.5375,29.6984,3.42588
150.0,71.0,54,496.0,77.2069207569,3.50411,3.0,12.2260396493,3.49805044133,12.6202531646,0.379646,0.0683981,261.256410256,3.5010207676,0.10947602531,90.8670532299,54,-3.86591,34.9948,29.9973,3.49766
301.0,73.0,55,1000.0,240.373364096,3.55396,3.0,11.424084125,3.54865258916,12.7792207792,0.45334,0.0778428,851.25,3.55040008494,0.11555684771,99.5037759578,55,-3.94219,35.3417,30.182,3.54841
55.0,48.0,56,461.0,68.0769021082,3.63387,3.0,10.8126369081,3.62840584906,13.9315068493,0.308718,0.0849276,160.698412698,3.62964160422,0.116720638086,76.3998878502,56,-4.01949,35.7184,30.4069,3.62814
68.0,76.0,57,521.0,99.8462529827,3.69155,3.0,13.0679866501,3.68616318412,14.8088235294,0.281939,0.0735993,178.892857143,3.68759501268,0.113818711662,76.7093465718,57,-4.08256,36.0643,30.6485,3.68563
64.0,78.0,58,275.0,62.3088588377,3.75429,2.0,10.7154062357,3.74722517366,11.6352941176,0.24159,0.08397,113.258426966,3.74909759381,0.12105448902,62.525826407,58,-4.15684,36.4654,30.9748,3.74679
184.0,68.0,59,505.0,73.7272291347,3.84072,3.0,12.0500212588,3.8348874156,12.5949367089,0.346721,0.0848028,307.484848485,3.83677075501,0.120539323454,94.2062842842,59,-4.23662,36.6861,31.2269,3.83437
160.0,67.0,60,1000.0,305.281700511,3.9152,3.0,11.6025214189,3.90895064169,12.5432098765,0.28652,0.0927112,560.5,3.91102371462,0.124888814745,95.5320710214,60,-4.32014,37.0639,31.4325,3.90864
218.0,76.0,61,1000.0,322.333414723,3.96003,2.0,9.79862288185,3.95394219233,11.6588235294,0.271229,0.0967402,556.055555556,3.95616440428,0.128056985354,95.8117015499,61,-4.37887,37.2662,31.5067,3.95314
149.0,99.0,62,249.0,15.7879151223,4.0267,3.0,13.1640145909,4.0185551715,12.8571428571,0.231625,0.100442,165.590163934,4.02259501085,0.130206588573,80.8775275679,62,-4.4473,37.5713,31.6567,4.01825
90.0,52.0,63,243.0,22.9164884698,4.09576,3.0,10.7169901349,4.08796277198,14.0571428571,0.210321,0.0926978,154.861538462,4.0915340974,0.125490163242,78.410517554,63,-4.5354,37.9349,31.7864,4.0878
231.0,49.0,64,1000.0,290.660640653,4.16219,3.0,10.6805048786,4.15737032775,14.1506849315,0.111349,0.0993744,580.055555556,4.15913867966,0.12724974269,97.501652044,64,-4.60542,38.1677,31.9709,4.15664
116.0,47.0,65,217.0,19.4747600461,4.23955,3.0,10.9353425636,4.23335386284,12.9480519481,0.202065,0.100239,138.657534247,4.23552604322,0.128692740237,74.7555493797,65,-4.684,38.5937,32.2139,4.2329
145.0,57.0,66,254.0,25.2238460183,4.28199,3.0,9.67026140058,4.27425332831,13.3733333333,0.170604,0.110904,165.770491803,4.2772783808,0.136061346023,80.6013801135,66,-4.74336,38.9114,32.456,4.27407
123.0,45.0,67,241.0,21.3445447793,4.37873,3.0,9.38931732228,4.37093879563,12.8421052632,0.167852,0.114847,144.442857143,4.37461642982,0.140669743763,76.1323205473,67,-4.84257,39.1786,32.6754,4.37037
131.0,47.0,68,221.0,13.0906722781,4.45398,3.0,9.02167481954,4.44644018111,11.8720930233,0.203404,0.116097,149.044117647,4.44854909042,0.139938623521,77.4641652848,68,-4.92294,39.4255,32.93,4.44618
