AveragePolicySurr,AverageQ,Epoch,Iteration,MaxReturn,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,AverageY,AverageAbsY,AverageAbsQ,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAction,AverageReturn,PolicyRegParamNorm,MinEsReturn,StdReturn,MaxEsReturn
-1.03544,0.611106,9,9,141.953747081,8.34557574537,-185.444648664,11.583,95.7078838716,1.77748657093,1.77748657093,0.727072,2.5484,41.9956994947,1.3450141421,0.21122,125.78637397,11.7796,-228.751429581,14.754855965,-101.095124421
-1.41001,0.899974,10,10,-929.178427621,-110.393588162,-275.154690032,11.8803,-1152.92317913,0.914749177661,0.914764627026,0.900067,0.226897,0.0,0.331609185483,0.981904,-1029.59105657,12.6529,-275.154690032,67.5385063058,-275.154690032
-1.11039,0.782353,11,11,-201.486450467,-29.6994708001,-331.551617485,11.9195,-548.827081514,0.786591494872,0.786626900978,0.782386,0.0377637,0.0,0.149806111471,0.985019,-334.85495386,14.7256,-331.551617485,138.895185403,-331.551617485
-1.24659,0.940597,12,12,-289.737262424,-39.1905352203,-347.082495715,11.9621,-776.935128384,0.944249337364,0.944298872654,0.940611,0.0261406,0.0,0.123758554695,0.96993,-578.240109669,15.7016,-347.082495715,155.40186184,-347.082495715
-1.46315,1.16557,13,13,-411.746835051,-32.9268043872,-450.404737196,12.0481,-556.893553217,1.16790345216,1.16795823773,1.16557,0.0196231,0.0,0.105591235355,0.981922,-486.331568394,16.5754,-450.404737196,38.9528591256,-450.404737196
-1.54278,1.33766,14,14,-161.434958949,-37.2135937982,-359.149963568,12.0938,-338.502803212,1.33947458389,1.33951327619,1.33766,0.014524,0.0,0.0898172570874,0.983856,-281.424758316,17.2591,-359.149963568,46.5790726877,-359.149963568
-1.53494,1.4161,15,15,-259.606345552,-14.9896254819,-340.90811907,12.1809,-644.518535202,1.41767057839,1.4177318406,1.4161,0.0132857,0.0,0.0814485610223,0.985839,-485.998147165,17.786,-340.90811907,111.531734588,-340.90811907
-1.52286,1.43262,16,16,-405.658348398,-41.1516979623,-306.980784745,12.3244,-791.742020739,1.43349764652,1.43353884682,1.43262,0.0111377,0.0,0.0747906708361,0.98182,-540.934783083,18.1334,-306.980784745,105.673499569,-306.980784745
-1.53474,1.45544,17,17,-323.469424303,-26.7443552713,-452.701940023,12.5469,-629.852175096,1.45634089921,1.4564003249,1.45544,0.00982669,0.0,0.0696890705998,0.979002,-501.635567151,18.5898,-452.701940023,87.4611915465,-452.701940023
-1.55445,1.47867,18,18,-574.906812294,-64.5111950818,-428.060846199,12.8892,-946.961839694,1.47931246859,1.47939126861,1.47867,0.00958436,0.0,0.0681052817851,0.9848,-697.095859101,19.1032,-428.060846199,100.848301957,-428.060846199
-1.56406,1.4883,19,19,-537.479892105,-90.1192160401,-63.1215454912,13.3615,-968.012921813,1.48885044744,1.48893033732,1.4883,0.0107248,0.0,0.0707513667835,0.986719,-666.029643813,19.4984,-63.1215454912,116.418419634,-63.1215454912
-1.55492,1.48982,20,20,-576.464649223,-94.4489766247,-425.541224563,13.8228,-823.316873955,1.49035691901,1.49044474016,1.48982,0.0101907,0.0,0.0679771217292,0.981016,-672.363893068,19.7691,-425.541224563,89.8510204762,-425.541224563
-1.54242,1.48364,21,21,-542.400109254,-54.9817294157,-481.411113768,14.3287,-700.100309387,1.48400807367,1.48402886782,1.48364,0.0099924,0.0,0.0683042525414,0.990916,-594.562339663,19.9779,-481.411113768,49.4154839318,-481.411113768
-1.54246,1.4785,22,22,-310.317045139,-42.5234028185,-406.630005361,14.9176,-550.723147696,1.47896665602,1.47902044932,1.4785,0.0103514,0.0,0.0700177621139,0.917299,-419.134165571,20.3657,-406.630005361,59.1538618488,-406.630005361
-1.54178,1.47689,23,23,-363.3218933,-81.078824208,-433.544110529,15.6198,-927.859980992,1.47709745404,1.47722684439,1.47689,0.0119444,0.0,0.0725594191919,0.883,-570.578285221,20.5443,-433.544110529,150.760326949,-433.544110529
-1.56111,1.4888,24,24,-499.936103661,-46.9924103659,-347.747663925,16.1796,-550.801925167,1.4892583167,1.48936100651,1.4888,0.0112832,0.0,0.0719017840094,0.904729,-537.397024925,20.8482,-347.747663925,13.126147917,-347.747663925
-1.56224,1.48929,25,25,-280.676299078,-12.5561790343,-455.157953194,16.8028,-460.80289112,1.48963647202,1.4897260255,1.48929,0.011353,0.0,0.0727327698404,0.768667,-410.745801403,21.1402,-455.157953194,51.6426771568,-455.157953194
-1.56506,1.49151,26,26,796.461378287,45.955143979,-268.248559741,17.4089,-234.446819684,1.49185626909,1.49192573012,1.49151,0.0124401,0.0,0.073844210501,0.741882,281.971662936,21.5215,-268.248559741,370.556015496,-268.248559741
-1.61149,1.53014,27,27,984.995295321,80.4924370699,-207.531113169,18.0293,179.601397734,1.53042750127,1.5305297649,1.53014,0.0119405,0.0,0.0747542590005,0.821619,828.247401094,21.9129,-207.531113169,222.937002927,-207.531113169
-1.67386,1.5881,28,28,563.979329898,20.2919211352,311.01749793,18.6955,-590.303176721,1.58842643467,1.58851970418,1.58811,0.013842,0.0,0.0789845950907,0.71371,-50.4927959836,22.4003,311.01749793,260.649145049,311.01749793
-1.73039,1.63762,29,29,308.861273036,53.8349830772,617.920907569,19.2668,-9.78175749796,1.63798058809,1.63804550341,1.63762,0.0143061,0.0,0.0806560997667,0.623422,80.9873190373,22.9678,617.920907569,87.7854310636,617.920907569
-1.76617,1.66803,30,30,239.387926083,46.890631099,-46.7246645771,19.8117,21.7064733612,1.66839727711,1.66849321176,1.66803,0.0145615,0.0,0.0832524993675,0.632736,145.461182554,23.457,-46.7246645771,65.0139729276,-46.7246645771
-1.7994,1.70215,31,31,110.605186254,44.8648583256,-119.523607105,20.3419,-190.598874885,1.70281610723,1.70289845061,1.70215,0.015269,0.0,0.082887457631,0.635104,-83.8307161496,23.9237,-119.523607105,81.4193802372,-119.523607105
-1.84155,1.73944,32,32,206.7650067,61.2567460591,-112.118281194,20.861,13.0985994027,1.73973333057,1.73983479694,1.73944,0.0159802,0.0,0.0833858284597,0.60576,120.397923232,24.4475,-112.118281194,66.2768100181,-112.118281194
-1.88895,1.78187,33,33,566.022815221,96.6475750941,-11.4080883169,21.3237,-389.583807713,1.78251029434,1.78258052462,1.78187,0.0172867,0.0,0.086907654963,0.759254,21.8372446176,24.8659,-11.4080883169,240.341545928,-11.4080883169
-1.94523,1.83462,34,34,247.760261159,71.1228027665,8.39011554394,21.7896,-113.692060378,1.83504873189,1.83511998997,1.83462,0.0159982,0.0,0.0859666868381,0.698046,21.8131324292,25.2637,8.39011554394,124.426420841,8.39011554394
-1.99586,1.88369,35,35,950.527399612,64.3844200598,-0.122934799302,22.2441,-154.111947369,1.88424365202,1.88429678099,1.88369,0.0173487,0.0,0.0885497527154,0.737165,73.4313345771,25.7025,-0.122934799302,303.856013275,-0.122934799302
-2.06952,1.95371,36,36,453.824612885,28.2305954957,361.264090363,22.7384,-516.211053642,1.95438110776,1.95443767115,1.95371,0.0210374,0.0,0.0922783067226,0.782971,194.096336141,26.177,361.264090363,247.467243272,361.264090363
-2.15947,2.03586,37,37,318.853362655,32.9255676216,479.625577446,23.1603,28.3215083688,2.0365620949,2.03669578301,2.03586,0.0207151,0.0,0.0938674885001,0.782466,118.919539345,26.5765,479.625577446,84.0803799234,479.625577446
-2.21083,2.08298,38,38,1753.03381056,118.809793114,80.5954982321,23.5595,-75.3997525811,2.08355058342,2.08362674052,2.08298,0.0213215,0.0,0.0935167814344,0.79444,286.536820308,26.996,80.5954982321,528.154522723,80.5954982321
-2.27304,2.14816,39,39,733.416950426,116.045229188,-18.5720724402,23.9417,-543.624097152,2.14881785818,2.14888923353,2.14816,0.0186935,0.0,0.093440019164,0.805159,-179.067187076,27.3408,-18.5720724402,359.792228351,-18.5720724402
-2.35244,2.23002,40,40,2556.56853211,212.706467497,205.235776315,24.355,-64.5726734633,2.23081015419,2.23086606087,2.23002,0.0218317,0.0,0.0961150933605,0.871584,1488.33576614,27.6783,205.235776315,952.739073453,205.235776315
-2.43579,2.3132,41,41,491.3881657,101.539377316,70.1432007191,24.7386,-332.952461592,2.3138010248,2.31385339753,2.3132,0.0234421,0.0,0.0985984251159,0.847736,-145.568479615,28.0669,70.1432007191,235.24130173,70.1432007191
-2.48637,2.36502,42,42,1089.69552621,132.958174951,237.164502907,25.1791,-327.971966516,2.3657730995,2.36581837654,2.36502,0.0214016,0.0,0.0971300627101,0.83028,224.963398979,28.3856,237.164502907,507.794215476,237.164502907
-2.56769,2.44481,43,43,1398.08711972,150.003749311,193.622343311,25.6005,380.185722297,2.4455064734,2.44557629622,2.44481,0.0255252,0.0,0.101395393846,0.801168,635.049340914,28.7289,193.622343311,300.440139576,193.622343311
-2.60157,2.47837,44,44,150.788171431,65.0656865236,60.3999274964,25.993,-136.388088466,2.47904015538,2.47913153185,2.47837,0.0233767,0.0,0.100415333182,0.849905,20.4609196278,29.0872,60.3999274964,82.7802035502,60.3999274964
-2.70451,2.58125,45,45,1030.96710466,149.70558071,157.104683609,26.4269,178.56002281,2.58180813076,2.58188683159,2.58125,0.03092,0.0,0.104586973433,0.837841,601.147644595,29.4366,157.104683609,274.440965117,157.104683609
