AveragePolicySurr,AverageQ,Epoch,Iteration,MaxReturn,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,AverageY,AverageAbsY,AverageAbsQ,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAction,AverageReturn,PolicyRegParamNorm,MinEsReturn,StdReturn,MaxEsReturn
-2.79818,2.67193,46,46,2418.16158458,180.763032748,797.764518078,26.8174,401.963168974,2.67292575235,2.67302140596,2.67193,0.0298422,0.0,0.106615227966,0.902579,1788.48614571,29.8107,797.764518078,741.416641208,797.764518078
-2.88915,2.76419,47,47,2517.62115047,184.556960107,792.205876583,27.234,207.774412635,2.76502305883,2.76515826355,2.76419,0.0336016,0.0,0.110870331834,0.877773,1170.95934067,30.1281,792.205876583,789.040991995,792.205876583
-2.96026,2.83439,48,48,2536.79710563,219.044261625,289.97550932,27.5817,1031.68627891,2.83512763962,2.8352281239,2.83439,0.0302058,0.0,0.108217282835,0.89735,2082.48959327,30.4657,289.97550932,554.709035368,289.97550932
-3.05693,2.93239,49,49,2505.45612647,193.318549202,359.727991301,27.9371,491.368234036,2.93337134567,2.93343405491,2.93239,0.0330975,0.0,0.112222313908,0.872056,1929.96440677,30.7326,359.727991301,760.049864488,359.727991301
-3.14101,3.01357,50,50,1869.17102183,158.584187271,429.192309524,28.3211,1744.88871415,3.01452004258,3.0146045677,3.01357,0.0336363,0.0,0.113805825219,0.91737,1782.5206505,31.0033,429.192309524,33.5301365082,429.192309524
-3.32077,3.19124,51,51,2436.81124799,202.398642252,1717.85289217,28.6661,2094.66977108,3.19236459569,3.19244269946,3.19124,0.0366232,0.0,0.115978503584,0.938636,2328.03752005,31.3324,1717.85289217,91.5738151008,1717.85289217
-3.41343,3.2853,52,52,2286.86338108,188.220612732,1244.17712801,29.0357,2107.9716155,3.28614336829,3.28624298313,3.2853,0.0429401,0.0,0.118214879936,0.913849,2187.86037143,31.6814,1244.17712801,52.6916161445,1244.17712801
-3.56948,3.4391,53,53,2093.64448618,205.27856494,624.200400077,29.3571,567.805636327,3.44033662467,3.44043273854,3.4391,0.0358232,0.0,0.117384732189,0.892154,1384.64679436,32.0208,624.200400077,508.037904892,624.200400077
-3.70858,3.57904,54,54,2533.76494269,204.081312094,1554.75626852,29.8006,2231.88565833,3.57961625702,3.57969199145,3.57904,0.0355133,0.0,0.119320355778,0.941936,2366.14366016,32.313,1554.75626852,83.1183953626,1554.75626852
-3.83014,3.69748,55,55,1230.09750262,157.140905083,647.007244046,30.2094,674.279327025,3.69860987865,3.69871162724,3.69748,0.0430476,0.0,0.12326431769,0.935141,877.863441553,32.6332,647.007244046,199.5740798,647.007244046
-3.92862,3.79336,56,56,2299.07844197,179.195911328,1227.70004679,30.5247,629.700480604,3.79430337474,3.7943460679,3.79336,0.0441727,0.0,0.122498168061,0.91483,1117.64290941,32.954,1227.70004679,442.819826324,1227.70004679
-4.03015,3.89809,57,57,2910.79446278,223.946537549,660.416022741,30.8073,498.365427844,3.89942161953,3.8994834406,3.89809,0.0395274,0.0,0.121865876511,0.918499,1677.40086231,33.3588,660.416022741,748.39880911,660.416022741
-4.16851,4.03955,58,58,2592.72272109,186.524564512,757.208339046,31.2144,769.983458708,4.04062372651,4.04069774263,4.03955,0.0446379,0.0,0.127369707167,0.926461,1582.84785668,33.6361,757.208339046,639.014881121,757.208339046
-4.29982,4.16616,59,59,3213.73185242,218.467538994,1697.96574226,31.5869,956.122059972,4.16713540767,4.16721982806,4.16616,0.0477787,0.0,0.131020592644,0.933258,2354.67485661,33.9796,1697.96574226,735.977790027,1697.96574226
-4.38957,4.25784,60,60,2436.03758141,186.339806209,758.487845109,31.9263,574.071499074,4.25900944587,4.25908023158,4.25784,0.0568164,0.0,0.132990904447,0.929314,1384.05977512,34.2987,758.487845109,597.06481637,758.487845109
-4.47927,4.3465,61,61,2084.03259943,129.966774975,785.38002951,32.2768,670.528876871,4.34774806254,4.34780964803,4.3465,0.0527989,0.0,0.13301557598,0.912099,987.161397628,34.6454,785.38002951,445.637924379,785.38002951
-4.64553,4.50906,62,62,2067.13702013,160.826629182,749.292711623,32.6596,473.725345327,4.51005914119,4.51012468231,4.50906,0.0570819,0.0,0.135435608357,0.91512,1040.72042596,34.9099,749.292711623,561.7410008,749.292711623
-4.80426,4.65713,63,63,2073.88293903,174.954126458,1765.39694379,33.0316,547.040033105,4.65826733739,4.65834794038,4.65713,0.0569688,0.0,0.136956838435,0.913636,1047.10466892,35.2441,1765.39694379,494.121304231,1765.39694379
-4.91876,4.7775,64,64,2906.58015153,234.607961305,519.44745341,33.4182,2715.8961811,4.77888190126,4.77895187644,4.7775,0.0680079,0.0,0.143713598257,0.932999,2836.18010957,35.4842,519.44745341,58.2200418278,519.44745341
-5.11824,4.97368,65,65,2442.42259812,240.055688656,2107.7854885,33.7327,811.809632337,4.97506405641,4.97512657993,4.97368,0.0705081,0.0,0.145464749256,0.94248,1637.09615723,35.8139,2107.7854885,555.326322712,2107.7854885
-5.26279,5.12082,66,66,3494.98865841,274.637210286,1213.85674964,34.0047,940.762729247,5.121911815,5.12194143848,5.12082,0.0657292,0.0,0.142755796446,0.931804,2650.68798344,36.0561,1213.85674964,866.915926092,1213.85674964
-5.42504,5.28029,67,67,1941.27285011,149.288047059,1520.75468797,34.3947,574.231064501,5.28166790758,5.28174595405,5.28029,0.0704448,0.0,0.149609022749,0.933351,1013.91944217,36.3566,1520.75468797,419.153967061,1520.75468797
-5.62649,5.4762,68,68,3108.68104506,212.627548527,2262.6792364,34.7484,853.199600187,5.47762815273,5.47771236387,5.4762,0.0750952,0.0,0.152025274359,0.932734,1655.62633682,36.6911,2262.6792364,724.07825627,2262.6792364
-5.74815,5.59359,69,69,833.489413076,112.845607627,1093.44111605,35.1049,603.494047911,5.59504676519,5.59515046636,5.59359,0.0899554,0.0,0.158169127062,0.932319,707.972809717,37.0744,1093.44111605,75.3859011095,1093.44111605
-5.93703,5.77917,70,70,2638.53373867,162.97093501,1771.58509385,35.3811,498.451872784,5.78048134371,5.78052826137,5.77917,0.0794215,0.0,0.156370369454,0.939633,1307.61447092,37.421,1771.58509385,708.964620727,1771.58509385
-6.07284,5.91836,71,71,1283.87032379,181.136019797,1414.31134636,35.7023,357.514999084,5.91949427001,5.91960320729,5.91836,0.0828404,0.0,0.157168353414,0.94519,705.682759129,37.6824,1414.31134636,264.267917944,1414.31134636
-6.27375,6.11868,72,72,2581.81724315,191.924779298,2178.95352219,35.9338,600.337087518,6.12051125652,6.12059440062,6.11868,0.0815354,0.0,0.155819132966,0.934752,1278.41804154,37.9142,2178.95352219,595.709714514,2178.95352219
-6.42577,6.27951,73,73,2384.02779685,189.938280591,593.442894981,36.253,805.058462241,6.28097980869,6.28104964437,6.27951,0.0794173,0.0,0.159184672177,0.931552,1261.71317849,38.1572,593.442894981,536.855424374,593.442894981
-6.58801,6.42977,74,74,2370.74439591,249.281627481,1880.5837535,36.5867,544.324182823,6.43128846679,6.4313674746,6.42977,0.0863118,0.0,0.162411140504,0.914558,1257.14559602,38.4156,1880.5837535,545.854963247,1880.5837535
-6.75965,6.61032,75,75,1613.67559086,178.950930517,1639.43282638,36.8891,535.59095836,6.61173510992,6.61181146343,6.61032,0.0861387,0.0,0.1610844306,0.933137,1023.96642937,38.6182,1639.43282638,386.893122968,1639.43282638
-6.95526,6.79972,76,76,919.534237773,88.1751247901,2200.04955873,37.2202,694.425628299,6.80118199614,6.80123583819,6.79972,0.113873,0.0,0.172321306537,0.922506,821.159276444,38.9383,2200.04955873,66.3160054232,2200.04955873
-7.08354,6.92072,77,77,2949.54191371,194.002407422,1417.36110847,37.5177,668.123226695,6.92271306255,6.9227766921,6.92072,0.102987,0.0,0.169773520775,0.940329,1418.04910126,39.2144,1417.36110847,672.296951803,1417.36110847
-7.21387,7.05626,78,78,2363.39308683,127.403784106,771.024909012,37.8786,427.882663611,7.05810386961,7.05816475991,7.05626,0.115635,0.0,0.175508605024,0.942329,1070.50329383,39.5032,771.024909012,681.179328933,771.024909012
-7.40309,7.24452,79,79,2682.09571323,142.447288322,1585.3819183,38.1798,938.723932999,7.24569456353,7.24577177197,7.24452,0.122527,0.0,0.176282383313,0.957674,1872.15392101,39.8584,1585.3819183,486.569211156,1585.3819183
-7.60711,7.44988,80,80,3801.70600243,301.051959129,1979.19820904,38.5087,3494.86387511,7.45153812482,7.45160693769,7.44988,0.107535,0.0,0.174147164688,0.948461,3682.67764288,40.1338,1979.19820904,85.437853116,1979.19820904
-7.79735,7.64019,81,81,3529.53908405,253.375403894,2420.0104562,38.7534,2297.14113273,7.64134027648,7.64138451648,7.64019,0.115687,0.0,0.178421458212,0.951983,3074.86217738,40.3433,2420.0104562,348.808171603,2420.0104562
-7.9444,7.78836,82,82,3151.22897185,190.807811456,2222.76142845,38.9804,669.096725109,7.78981669247,7.78989048057,7.78836,0.111825,0.0,0.174979234853,0.954365,2319.99886725,40.6059,2222.76142845,707.741199409,2222.76142845
-8.12669,7.96617,83,83,2977.51644755,234.877836595,968.56058779,39.3509,935.822042835,7.96776237785,7.96784844261,7.96617,0.135983,0.0,0.189135338847,0.949458,2111.32117717,40.8225,968.56058779,719.716904975,968.56058779
-8.21948,8.05881,84,84,3560.81664278,254.609774376,2209.88611207,39.6765,3022.67866659,8.06045951405,8.06052398768,8.05881,0.11416,0.0,0.18317513877,0.960878,3310.02526811,41.1331,2209.88611207,168.536227484,2209.88611207
-8.40376,8.24181,85,85,2428.31263679,191.952269428,478.556052468,40.017,595.489823759,8.24311541958,8.24314514625,8.24181,0.119754,0.0,0.186841936023,0.950744,2051.77492581,41.3707,478.556052468,558.291848689,478.556052468
-8.58411,8.42436,86,86,3268.81711752,274.24697523,1597.62703918,40.2758,1739.20088971,8.42576289372,8.42585936297,8.42436,0.148865,0.0,0.194170015984,0.956145,2750.0766258,41.6296,1597.62703918,415.773920322,1597.62703918
-8.71382,8.55363,87,87,3343.2154892,248.879440254,2194.09915893,40.5364,2539.48309454,8.55546574076,8.55555352397,8.55363,0.135121,0.0,0.190510426896,0.971487,3008.57394611,41.9027,2194.09915893,256.508194958,2194.09915893
-8.85358,8.70211,88,88,2777.87641943,206.07954522,543.767374098,40.792,934.105154633,8.70331175085,8.70334747915,8.70211,0.130218,0.0,0.187980584322,0.960429,2481.80666446,42.1367,543.767374098,530.349712563,543.767374098
-9.02432,8.87266,89,89,2788.4996429,186.706180508,2174.20920156,41.103,-124.667803301,8.87436360021,8.87440028041,8.87266,0.149361,0.0,0.196910719769,0.954491,1541.89254784,42.3372,2174.20920156,936.767103044,2174.20920156
-9.22617,9.0759,90,90,2922.49108137,209.174559156,2041.63040487,41.4223,1043.57508322,9.07733651156,9.07738704648,9.0759,0.150217,0.0,0.197579117987,0.947429,2237.94287823,42.5979,2041.63040487,570.332664324,2041.63040487
-9.36557,9.21578,91,91,2773.14557781,211.890169002,1434.0357477,41.7352,892.450254736,9.2172017727,9.21726342216,9.21578,0.137857,0.0,0.194571334129,0.945102,2239.87220549,42.8047,1434.0357477,537.963317711,1434.0357477
-9.56838,9.41543,92,92,2794.97679442,224.764400467,1999.80143372,41.9808,1172.21070537,9.41731413469,9.41737162629,9.41543,0.16637,0.0,0.203797051946,0.942454,2511.45249478,43.0818,1999.80143372,464.843242514,1999.80143372
-9.63489,9.47321,93,93,3261.74077605,207.328912516,1515.37366014,42.3173,616.590158722,9.47438037752,9.47444697099,9.47321,0.141571,0.0,0.201062608401,0.938365,1489.34766521,43.407,1515.37366014,844.454143818,1515.37366014
-9.81252,9.64821,94,94,3234.44644369,268.780955606,908.530146002,42.5769,2037.70354124,9.65008256681,9.65010269811,9.64821,0.18413,0.0,0.207252244342,0.950991,3042.90328335,43.6182,908.530146002,347.932379578,908.530146002
-10.0124,9.84478,95,95,2700.40455582,216.939008858,2039.48556451,42.8481,2484.56722245,9.8462751254,9.84632155507,9.84478,0.170796,0.0,0.207714759513,0.930087,2585.22905445,43.9171,2039.48556451,62.4625226272,2039.48556451
-10.2135,10.0437,96,96,3576.34411552,284.179567042,2194.02474351,43.1373,3246.50617198,10.045253448,10.0453074177,10.0437,0.165844,0.0,0.210420667116,0.948531,3385.058101,44.1398,2194.02474351,101.078201806,2194.02474351
-10.4895,10.3184,97,97,3666.84144865,280.274085018,2186.03491714,43.359,3311.21219398,10.3198319976,10.3198803589,10.3184,0.16958,0.0,0.21146899633,0.96757,3483.72896748,44.4226,2186.03491714,119.355490792,2186.03491714
-10.6081,10.4411,98,98,3573.7617667,278.847073101,2337.15583661,43.6624,3164.69864936,10.4425186257,10.4425627455,10.4411,0.186828,0.0,0.211905655713,0.961398,3442.41037154,44.6857,2337.15583661,116.182123972,2337.15583661
-10.8366,10.6709,99,99,2447.59285448,198.387545093,2621.36845797,43.9195,795.995069936,10.6729473198,10.6729839435,10.6709,0.208281,0.0,0.221043739395,0.954816,1874.71286011,44.8868,2621.36845797,610.401543591,2621.36845797
-11.0223,10.8443,100,100,4407.03442932,262.385874104,2381.86166989,44.1619,-42.1717532872,10.846163741,10.8462260175,10.8443,0.217616,0.0,0.218720931863,0.966011,1739.33398812,45.1743,2381.86166989,1333.68457028,2381.86166989
-11.2211,11.0531,101,101,3760.28603057,282.03508458,1993.97580123,44.3572,2916.5891213,11.0540078587,11.0540418801,11.0531,0.170932,0.0,0.212799943907,0.958338,3458.42493917,45.4186,1993.97580123,220.020459609,1993.97580123
-11.4242,11.2529,102,102,2854.77625424,222.328566042,2366.36303984,44.6814,709.334103202,11.2547460458,11.2548203248,11.2529,0.229268,0.0,0.223496479142,0.949301,2181.51155673,45.6252,2366.36303984,701.538067448,2366.36303984
-11.6148,11.44,103,103,3720.19266879,276.045079127,2287.14803591,44.8672,1656.83553783,11.4412825485,11.4413020863,11.44,0.215233,0.0,0.218064816159,0.965579,3275.14534286,45.9154,2287.14803591,572.749106988,2287.14803591
-11.8815,11.7078,104,104,3925.39668982,266.345729094,2257.10521251,45.1806,408.249591129,11.7101432685,11.7102124665,11.7078,0.269444,0.0,0.238014772316,0.964097,2267.6354553,46.0839,2257.10521251,1304.79279156,2257.10521251
-12.0505,11.8723,105,105,2157.1403261,219.205812488,2422.64141751,45.4567,714.996621636,11.8737221218,11.8737658097,11.8724,0.229646,0.0,0.23432262005,0.959928,1343.88954418,46.3287,2422.64141751,471.268528088,2422.64141751
-12.2376,12.0526,106,106,3778.33887714,293.513452733,2483.73546493,45.675,1129.83620574,12.0542927895,12.0543462917,12.0526,0.280894,0.0,0.237929390008,0.968152,2923.83660092,46.5529,2483.73546493,818.178011773,2483.73546493
-12.3568,12.1731,107,107,3945.94692991,252.96875743,2734.21025249,45.898,846.480517269,12.1746515897,12.1746863779,12.1731,0.236499,0.0,0.23391630246,0.962769,2202.36361486,46.732,2734.21025249,976.969661657,2734.21025249
-12.5591,12.3777,108,108,3718.73377404,281.839489752,526.501008081,46.2462,1221.1393926,12.3786781289,12.3787240647,12.3777,0.284104,0.0,0.240736858368,0.972684,2968.8054946,46.9679,526.501008081,743.176594776,526.501008081
-12.7149,12.533,109,109,3562.87512604,252.146399088,2498.70899786,46.399,993.06137836,12.5347991676,12.5348367124,12.533,0.182985,0.0,0.222784448736,0.975939,2478.14236681,47.1992,2498.70899786,814.71492926,2498.70899786
-12.9067,12.7267,110,110,3621.51621302,273.37828108,2535.38812963,46.6199,1078.82572319,12.7288694389,12.7289307989,12.7267,0.327201,0.0,0.249265058062,0.968162,2774.89321274,47.4425,2535.38812963,822.997472914,2535.38812963
-13.1868,13.0062,111,111,3986.91896357,302.686730853,2467.68053456,46.8045,789.861964271,13.0073481943,13.0074202612,13.0062,0.232654,0.0,0.233930432528,0.967486,3493.27548221,47.698,2467.68053456,907.231849521,2467.68053456
-13.3063,13.1293,112,112,3365.11741479,266.154947399,2383.94971143,47.0238,2981.32948963,13.1314477476,13.1315117487,13.1293,0.22684,0.0,0.233374491075,0.97015,3216.53116467,47.8532,2383.94971143,100.304116921,2383.94971143
-13.5925,13.4098,113,113,3666.99030354,275.365069618,2384.6132191,47.3025,3091.35042096,13.4115275702,13.4115573586,13.4098,0.30574,0.0,0.250543462294,0.959818,3398.65370919,48.0604,2384.6132191,183.507234731,2384.6132191
-13.7166,13.533,114,114,3589.49892089,274.80245514,2534.71850429,47.4915,987.903327133,13.534705735,13.5347386301,13.533,0.34414,0.0,0.247462589715,0.968684,2705.99419837,48.2249,2534.71850429,926.336167468,2534.71850429
-13.882,13.7047,115,115,3622.56353916,250.598901542,2523.52585594,47.718,373.607424294,13.705936643,13.7060054636,13.7047,0.35958,0.0,0.248684887249,0.969237,2639.32547003,48.4626,2523.52585594,1054.30347278,2523.52585594
-14.1562,13.9705,116,116,4122.21389119,300.815319792,2998.55072495,47.9642,548.539819357,13.9727292087,13.9727735992,13.9705,0.275891,0.0,0.241973402462,0.97106,3297.17575939,48.6746,2998.55072495,1077.69367462,2998.55072495
-14.2855,14.1028,117,117,3878.95004711,290.206281583,2328.3667248,48.173,2242.53051828,14.1040893956,14.1041380136,14.1028,0.323157,0.0,0.248157896429,0.967909,3454.511214,48.8888,2328.3667248,445.145605196,2328.3667248
-14.5634,14.3673,118,118,3087.22014676,219.816382321,2902.4752773,48.4008,1608.25304884,14.369339871,14.3693732131,14.3673,0.295408,0.0,0.242439682214,0.960147,2633.32003106,49.0971,2902.4752773,526.991762037,2902.4752773
-14.7422,14.5424,119,119,3088.03555867,220.77475512,3062.39934137,48.608,251.484897293,14.5437485637,14.5437771158,14.5424,0.399169,0.0,0.261754209186,0.969783,2017.78900152,49.3207,3062.39934137,962.140120148,3062.39934137
-14.8579,14.6592,120,120,3660.45689179,283.879312072,2480.3783701,48.7932,657.617423591,14.66105676,14.6611141491,14.6592,0.399904,0.0,0.260833562034,0.968189,2781.44734975,49.5025,2480.3783701,1109.15863565,2480.3783701
-15.0863,14.8943,121,121,3929.10757341,300.230043587,2603.7087009,49.0298,600.461760575,14.8959807252,14.8960247972,14.8943,0.210894,0.0,0.235225054571,0.976659,2849.68009468,49.6831,2603.7087009,1220.15585526,2603.7087009
-15.2607,15.0835,122,122,4171.86132015,286.931568935,2682.17593117,49.217,1315.34423419,15.0845737489,15.0846342551,15.0835,0.354404,0.0,0.247097893979,0.975251,3308.0053819,49.9307,2682.17593117,943.497479353,2682.17593117
-15.4808,15.2999,123,123,4301.17407137,321.84045687,2501.72586559,49.3834,3982.67814598,15.3007695292,15.300814968,15.2999,0.312146,0.0,0.242727833984,0.960708,4158.81616278,50.1319,2501.72586559,98.2103815191,2501.72586559
