AverageAbsQYDiff,AverageAbsY,MinEsReturn,MinReturn,AverageAction,AverageY,MaxForwardProgress,MaxReturn,StdReturn,StdEsReturn,AverageAbsQ,Epoch,QFunRegParamNorm,StdForwardProgress,MinForwardProgress,AverageForwardProgress,AverageQLoss,AverageReturn,AverageDiscountedReturn,MaxEsReturn,AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageEsReturn
0.00413852488578,0.00575427374489,-22.9269003011,-28.1677772343,0.804013,-0.00266783774733,0.543743518906,75.5845494263,10.8506560518,20.7290885573,0.00476814,10,14.2247,0.104716091045,-0.449753440113,-0.10373543087,3.03491e-05,4.32255391118,2.00587107334,59.9604499873,0.00157246,-0.00270826,14.8147,14.628298367
0.00394370365101,0.00553893596599,-22.5830854127,-25.226702769,0.958109,0.00155395564551,0.516678810746,70.0547294693,21.3530979315,26.2385107899,0.00460457,11,14.3981,0.208304734918,-0.426108031685,0.106564821232,2.76183e-05,30.1629331329,16.7234975059,54.3137774459,-0.00262938,0.00139994,15.27,14.5694319164
0.00363563598459,0.0064710889577,-2.51346402597,-42.8932647067,0.822595,0.00493589011812,0.573725430799,78.4975734363,22.7756630655,9.1768691801,0.00564229,12,14.5232,0.223242911162,-0.60540896729,0.0996204301557,2.42853e-05,29.3775683656,16.3743621255,31.2666988278,-0.00587153,0.00473635,15.3678,13.104308765
0.00344530477733,0.00860329804939,-19.8823905627,-29.5544102651,0.761718,0.00815919967409,0.508330021254,69.1607309088,19.8165078042,14.4527851367,0.00808479,13,14.676,0.195480959486,-0.477884992025,0.0720879135676,2.25753e-05,27.2279798776,14.6638334309,39.223712448,-0.00882145,0.00798045,15.558,18.942978177
0.00336216449676,0.0115315452774,-12.363269855,-47.382225695,0.794687,0.011366402428,-0.139087249841,4.30745755119,9.83329303198,9.94002180609,0.0112595,14,14.8537,0.101546943906,-0.638854625196,-0.454658420232,2.19805e-05,-30.2738982677,-14.9315194103,45.8756634137,-0.0123166,0.0112539,15.5956,14.0991775489
0.00342489173442,0.0145120803392,-23.9060199501,-37.2492869664,0.775034,0.0144028634541,0.524054839459,73.5248269339,25.6274376441,26.4262249353,0.0143594,15,15.0526,0.246155553079,-0.546126444189,0.0362292219492,2.28167e-05,23.0229327091,15.2491433156,55.9467667133,-0.0151853,0.0143588,15.8918,7.12613707744
0.00345945285432,0.0171536853552,-14.2921918307,-47.427486176,0.885293,0.017056727995,0.398082156447,60.5970185618,25.9290178474,17.8426327355,0.017056,16,15.2244,0.246184362424,-0.639356265328,-0.289198287871,2.36562e-05,-11.4153589919,-4.70675775403,51.5144757351,-0.0177056,0.0170544,16.0487,9.39996792618
0.00347662270138,0.0195848017362,-21.6079156129,-50.9850676391,0.846057,0.019487244607,-0.162773142551,-2.87013482804,8.08850221699,17.59661954,0.019527,17,15.4214,0.0818672742857,-0.651552710363,-0.507584610202,2.41036e-05,-35.5552033827,-17.4294413726,40.7204619416,-0.0200462,0.0195259,16.1583,-1.19942719206
0.00351155222371,0.0217021007645,-22.2172015138,-23.0518629407,0.881816,0.0215943130827,0.195829175434,36.9729358552,14.046766711,14.8354827664,0.0216601,18,15.655,0.133925079425,-0.397252056142,-0.181345129638,2.49409e-05,-2.06631219979,2.94785347641,27.7088690898,-0.0224004,0.0216582,16.3443,-1.50507643033
0.00355002750418,0.0237344992623,-22.7556693618,-47.4087813732,0.860859,0.023627190248,-0.172339159414,-6.58047621639,8.83767572004,15.7064208267,0.0237018,19,15.8792,0.09403559425,-0.618314784661,-0.433370682929,2.59197e-05,-30.1059028563,-15.6027447358,32.435812589,-0.0241221,0.0237001,16.4684,0.578724993329
