AverageAction,AverageAbsY,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageDiscountedReturn,MaxReturn,MinReturn,Epoch,StdEsReturn,AverageReturn,AverageY,AverageAbsQ,MinEsReturn,AverageEsReturn,Iteration,PolicyRegParamNorm,StdReturn,MaxEsReturn,AverageAbsQYDiff,AverageQLoss
0.0126227,0.463807646045,11.0757,-0.0309607,-0.0426975,21.8724530743,27.1605440726,21.7958480424,9,9.11370927872,24.8311483963,0.450615686365,0.06128,2.12907913934,22.0386433546,9,13.2993,1.06030180806,73.4840794934,0.500959483882,0.357608
0.995875,0.785575564223,11.4532,-0.39697,0.738935,5.66808754665,6.00422665054,5.6961247012,10,6.37294968444,5.82650808193,0.741461943296,0.781445,1.1977756657,7.12330519372,10,15.2153,0.0595452360764,67.2704220861,0.0469710744527,0.0088703
0.999828,1.3677071203,11.9875,-0.699144,1.33248,34.4640976159,40.759389522,36.7454812699,11,11.5366976058,38.7784643974,1.3330025363,1.36558,3.68472908364,11.0410135927,11,15.7608,0.9044481261,57.1468578305,0.0571583705318,0.013961
0.999781,2.16711399405,13.0153,-1.12871,2.13651,34.4875695248,40.765381878,36.692063183,12,9.41914183341,38.8098091161,2.13823605796,2.16374,3.13029261747,41.4656396171,12,16.1614,0.99020719587,82.3057980213,0.0963896257495,0.0592611
0.999992,3.23165400578,14.7274,-1.6891,3.20523,34.4193564451,40.74041506,36.6890323779,13,8.52463370028,38.7216451927,3.20656998427,3.22878,21.1450385324,44.5093780213,13,16.714,0.979066250468,73.0574046314,0.138263625439,0.131206
0.999992,4.35185439828,16.3222,-2.26971,4.32854,34.4766706064,40.7709923034,36.7195326146,14,10.7217839975,38.7953429727,4.33035710806,4.34853,14.3418135245,43.8593262142,14,17.1105,0.88475565767,61.8108568759,0.172338911106,0.18628
0.989139,5.48866849371,17.7542,-2.8503,5.46871,34.4590209794,40.6441512189,36.7433019702,15,7.59339522268,38.7729481886,5.47077451214,5.48522,30.0629563542,50.3260724103,15,17.4522,0.872317837399,70.0170063255,0.194017384177,0.228703
0.846111,6.7379984753,18.9623,-3.50515,6.72122,34.635864241,40.7733619015,36.7393197745,16,10.7210033186,38.9965287956,6.72297404526,6.73527,19.1153461551,53.0743995043,16,17.8089,0.909928123114,69.9061292232,0.209196629727,0.227853
0.987665,8.03458738237,20.0904,-4.17077,8.01915,34.42855701,40.72750881,36.6369834928,17,17.274965554,38.7347781209,8.02111441504,8.03178,48.8722080411,62.1778041866,17,18.308,0.920859295359,132.140392604,0.235334349558,0.278477
0.987474,9.35852938625,21.0799,-4.8444,9.34316,34.4627192506,40.7257771027,36.7088794924,18,14.810493456,38.7774502792,9.34543084458,9.35629,29.7587339399,60.4452540516,18,18.7841,0.928723809845,93.7080172177,0.242391829664,0.287519
0.980493,10.6543323914,22.0683,-5.51905,10.6414,54.9635921593,85.7467608221,46.7119877499,19,36.6014045705,66.5002780506,10.6440097276,10.6523,26.7417869017,62.8313083319,19,19.6836,11.1106109816,155.874375857,0.240250261505,0.304696
0.940131,11.9003916874,23.0266,-6.21296,11.8846,41.746508136,51.7396767783,45.4926750789,20,61.9741891314,48.4391662225,11.8869085084,11.8987,28.1873541269,96.9140037541,20,20.1807,1.37272171,189.747446348,0.266451639202,0.31826
0.980919,13.2704427647,24.0515,-6.9258,13.2587,112.284119207,177.708383615,171.440193089,21,54.967565612,174.598313222,13.2612506855,13.2681,46.0684149872,115.218534082,21,20.5471,1.56009838114,179.210040209,0.33656918732,0.54111
0.977613,14.9061714193,25.0781,-7.70815,14.8961,90.5508451225,180.430707576,116.956001663,22,15.085305836,127.302532878,14.898526338,14.9049,134.346454251,165.611809304,22,20.9174,20.970707138,197.22211818,0.369828490433,0.670121
0.894733,16.5082527712,25.9772,-8.51906,16.499,111.869105773,177.136005702,166.659031653,23,46.8036767173,172.856220499,16.5022524093,16.5064,11.1334428931,154.634374557,23,21.1851,2.04634519195,214.304899313,0.390110642939,0.802677
0.720105,18.1551174206,26.9946,-9.37604,18.1459,113.466076947,180.488844212,172.964277387,24,31.2499095485,176.761044449,18.1494435837,18.1536,72.471412253,163.469673971,24,21.5015,1.97859019617,212.977546622,0.43442662267,0.884222
0.9374,19.8965168427,27.909,-10.267,19.8893,6.64982832447,7.16161276798,6.44706241566,25,51.7266564163,6.90256882504,19.8920358588,19.8957,23.8415919876,182.809856284,25,21.855,0.13218748134,217.344298732,0.464960523382,1.09316
0.962346,21.6887199187,28.8177,-11.1331,21.6812,7.50067128298,9.57738751851,6.44243171925,26,82.4032371026,7.81383981411,21.6849221822,21.688,11.7307400498,127.41147925,26,22.2163,1.12207967752,217.039236381,0.514326181031,1.27101
0.698481,23.3142243085,29.8183,-11.9639,23.3077,9.42128166201,10.3745217685,9.36164671861,27,80.3438976759,9.87975194852,23.3104578634,23.3159,1.41386262565,87.509120515,27,22.4855,0.262895218775,197.708900549,0.584446026038,1.81221
0.934052,24.7217456514,30.8005,-12.6619,24.7147,7.80391822263,10.6326792327,6.91490042378,28,75.2544344137,8.14071075093,24.7175056285,24.7247,10.9260863719,76.9282191064,28,22.6816,1.19856290855,190.421949565,0.629026568795,2.08609
0.834299,26.1005968712,31.6738,-13.3344,26.0917,113.371904239,181.778017775,172.412652522,29,70.6042988402,177.777709899,26.0957625745,26.1038,7.59033484049,57.7213997897,29,22.8916,2.25331776242,185.667234739,0.64859430074,2.04795
0.969485,27.0438235103,32.7538,-13.853,27.0281,5.01019474013,6.34178954325,4.39387061351,30,89.6884138974,5.12815462419,27.0284473516,27.0552,11.0611400922,115.891540021,30,23.0566,0.597972911646,215.394688334,0.741882734017,2.54642
0.933942,26.536964608,34.119,-13.592,26.3324,6.14548787063,8.96012550673,5.15248670588,31,48.9049934473,6.32341208311,26.3334934139,26.5386,26.6810403521,174.151911844,31,23.1498,0.7822538952,208.108094924,0.977426153135,3.30894
0.607269,25.3694121481,35.6865,-12.8121,24.276,5.97140949173,5.88610904877,4.23352048473,32,28.7535486127,5.10933433332,24.2680868594,25.3614,1.14297466136,33.0316878943,32,23.2071,0.348798767082,146.74659763,1.3724966047,5.37718
0.818992,23.1105887168,37.5782,-11.2207,20.5894,-0.683066415267,-0.52134656236,-2.0178816496,33,10.2081790943,-1.43533549977,20.5823739275,23.133,0.449192760843,12.3387194223,33,23.3678,0.315107975849,33.0123916354,1.80080518241,8.1817
0.690394,23.4525282955,38.5002,-11.7296,22.0012,5.77872783802,12.2295667185,3.26637567767,34,11.2813764869,4.90527530489,22.0131669887,23.4531,-1.87794405775,9.1533295078,34,23.6427,2.17670425671,30.7402864298,1.43417727143,6.05637
0.644568,24.1836627947,39.5864,-12.1201,23.0222,5.44918823207,11.8273405531,3.31284313739,35,11.0487668576,4.46550805998,23.0297582913,24.1744,2.20446835288,18.3900349039,35,23.9707,0.668663299026,33.0366731797,1.33507755489,5.28528
0.817951,24.4787437446,40.6973,-12.2823,23.3099,3.80554057599,4.49766666768,1.16662648613,36,7.84714177959,2.75048105753,23.3145999472,24.4724,3.90534936467,20.8764755448,36,24.2893,0.658410250521,31.787395578,1.35428322267,5.57986
0.732646,24.8815669175,41.8563,-12.5374,23.7443,4.86734958519,7.55071037453,1.8764905937,37,11.6600994867,3.88277213982,23.7477504682,24.8748,1.74747108233,19.9260235861,37,24.5023,1.15324424663,37.9414229713,1.39410340966,5.88967
0.651092,25.179567294,42.9275,-12.705,24.0434,14.8440934348,22.4801496379,13.7735787636,38,8.52677399846,16.0524269525,24.045464577,25.169,10.01573259,24.4475089079,38,24.8763,1.27462582887,35.100113923,1.43730221744,6.41375
0.645052,25.1520526012,44.3627,-12.4789,23.4023,6.84553645107,6.87068684834,5.31133172537,39,10.7971633206,6.08827398389,23.4051925676,25.1302,3.86820846479,26.4455232796,39,25.0678,0.309116153107,42.7981772819,1.74899750232,9.2467
0.674652,25.5167095155,45.3428,-12.5296,23.6197,92.996576684,193.438803994,20.8006269029,40,6.38675015493,145.388178931,23.6256703141,25.4932,11.7068351148,22.9722358671,40,25.2201,40.6095245719,36.3516646162,1.58841941725,8.01949
0.529544,26.2663806326,46.052,-13.2095,25.0503,13.7093711024,17.3454046547,11.1409420506,41,7.9064513514,14.6929857833,25.0559960666,26.271,9.01485812936,25.8339100657,41,25.5281,1.02062654971,38.388084752,1.42817270693,6.85264
0.601316,26.0569364289,46.9537,-12.7292,24.1309,13.8515036391,18.8065935172,11.9771916726,42,8.94476179546,14.8601466532,24.1369650934,26.0544,4.02213684969,27.2657297726,42,25.8036,1.12013210043,39.6607123219,1.55923962874,8.04464
0.541453,27.194969174,47.9143,-12.3239,23.4436,10.9074903212,14.9002367495,9.23986701539,43,49.022808797,11.5227749427,23.447354654,27.1693,14.8639153164,43.2784731734,43,26.0339,0.97345143189,241.514458851,1.63849516731,9.27533
0.769926,27.8775969239,48.9366,-11.4012,21.581,104.546193996,223.039133256,15.1255941917,44,16.3303843416,189.879623904,21.5837123142,27.8416,4.76731291572,28.9800440197,44,26.3148,58.7889268889,86.9194450177,1.74218730444,10.2568
0.669437,29.3266170591,50.1323,-10.9629,20.6472,24.1729296426,256.354312448,5.91647650501,45,59.4331270385,35.1964999514,20.6502968781,29.2512,8.25465543146,46.8491062336,45,26.586,67.5290771227,264.62596262,1.88336352273,11.9631
0.794339,28.9296794783,50.9395,-12.4488,23.4246,12.5682773375,293.726935828,5.18392230916,46,82.4204348295,15.3178758564,23.4322243493,28.9017,12.827366575,97.8648226499,46,26.9112,39.8210548921,216.929117627,1.72409482016,10.7108
0.838373,29.8069309992,51.7368,-13.3187,25.1603,124.164552492,236.228267789,183.181472364,47,85.9839100318,204.186140768,25.1707170441,29.7861,22.3782934461,138.011967287,47,27.2013,10.7499053255,262.254871652,1.77124061577,10.6305
0.840907,31.4081335092,52.7422,-14.3725,27.0949,149.16771398,295.528712199,277.214973273,48,78.5583641402,286.387682774,27.1080167772,31.3566,49.0897978456,211.71551572,48,27.464,4.23399509646,304.336593352,1.95703399955,14.1811
0.890201,33.9721526937,53.4063,-16.5153,31.0242,140.766941565,286.896809831,210.985427599,49,83.39656545,254.273051753,31.0363760755,33.9527,7.13356691446,215.995850611,49,27.794,17.6098727506,313.622695237,1.78555160765,13.343
