PolicyRegParamNorm,AverageQLoss,MaxReturn,AveragePolicySurr,StdEsReturn,AverageQ,Epoch,MaxEsReturn,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageAbsQ,AverageAction,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,MinReturn,MinEsReturn,AverageAbsY,Iteration,AverageY
11.2288,0.951164,9.33948928867,-0.0318018,6.78863805589,-0.185695,9,61.3486788432,8.78213326209,9.88343252666,9.20522930718,0.236835,0.218026,0.842269798836,0.0473484496194,11.1295,9.09269134093,2.39199361878,0.656574906295,9,0.656574906295
11.6477,0.031309,3.12277844223,-0.46208,0.80014684683,0.353781,10,6.9933881839,3.03692943245,3.71907248794,3.08611872457,0.354891,0.999969,0.0944958901644,0.0175729995476,11.2941,3.04810464332,2.43605212076,0.356811512712,10,0.356727489628
11.6936,0.00380032,3.12223830471,-0.33549,0.601936438718,0.298235,11,5.5343395787,3.03694938216,3.64930016936,3.08614203424,0.301652,0.999991,0.0369893786948,0.0175366772355,11.3551,3.04886683073,2.70791873587,0.298369311317,11,0.298291340343
11.7216,0.00127304,3.12146078854,-0.277882,0.963599497871,0.27103,12,9.69394870919,3.03679688861,3.83396882223,3.08598481428,0.275112,0.999995,0.0238499329961,0.0176140939768,11.3929,3.05061188206,2.92842553557,0.271171660459,12,0.270980412291
11.7293,0.00075651,3.12199204147,-0.207685,0.618209931839,0.22612,13,6.66349231955,3.03668530254,3.63414803904,3.08586782279,0.230391,0.999978,0.0193228380522,0.0178873773844,11.44,3.0483889475,2.55830049026,0.227097599413,13,0.226047801219
12.1738,0.000856856,41.7854284282,-0.254645,17.9079715329,0.189509,14,51.0181952492,34.4998250577,25.5390813841,38.8249906453,0.194623,0.999955,0.0187734440599,0.973562190605,11.5054,36.7350409386,1.63540615542,0.192608603368,14,0.189526300891
12.2061,0.00104053,40.7130563387,-0.332411,5.60590936598,0.266952,15,60.3179936725,34.4861682613,42.1505026015,38.8051289144,0.271064,0.999973,0.0201444828013,0.919006106289,11.634,36.61066487,23.1119828839,0.269682538305,15,0.267036050277
12.3217,0.000946834,44.6140332741,-0.355695,6.50056863821,0.30006,16,54.1783306551,37.5833007771,41.1224184139,42.6975686805,0.302849,0.861844,0.0184722315472,0.980020850031,11.8168,39.3406264136,7.42479500689,0.301557786995,16,0.300141252852
13.3638,0.000826092,85.6878653112,-0.377385,38.3575923852,0.321796,17,178.878119767,65.2867870752,90.2100770225,82.2269508703,0.325236,0.954291,0.0182472491807,1.29050237004,11.9997,79.0503081044,46.4487532139,0.324145029715,17,0.321844218148
13.9984,0.000759171,89.7560003697,-0.397518,24.9249834875,0.343336,18,134.199044052,63.9332496383,76.5496920701,80.1650765315,0.346182,0.780205,0.0168404567018,3.79456861645,12.182,75.5767739079,38.0900720959,0.345328482612,18,0.343420639695
15.0255,0.000796271,84.3398929716,-0.412223,26.0751932367,0.361033,19,162.092271926,63.6790900931,77.6907499143,80.2507450801,0.364024,0.771898,0.017273939814,1.72355276846,12.4298,76.1010733879,39.7208870665,0.363201354336,19,0.36110085765
16.0647,0.000837226,116.408779319,-0.427799,47.7813827009,0.375094,20,171.753697883,83.2023035254,91.6352721696,113.835542755,0.379089,0.818393,0.0168630412514,1.36364393898,12.7179,111.779762133,5.59768345038,0.378471904381,20,0.375141721901
17.0635,0.000772726,190.495547633,-0.437365,49.0181042841,0.387887,21,192.083799574,107.962072229,151.293981168,176.256865622,0.390084,0.595919,0.0159513516435,7.38721864733,13.0025,160.738543617,37.9531729728,0.389109436216,21,0.387973969458
17.7074,0.00100719,191.252029659,-0.459671,35.753874542,0.397921,22,233.430338282,104.009732671,174.181276297,173.31896547,0.399569,0.614803,0.0176730795606,7.30204020257,13.3698,152.648881467,100.019426628,0.398735289049,22,0.398044452065
18.1991,0.000975315,230.945608771,-0.47319,82.3464858554,0.415804,23,276.568425917,125.538486078,155.786194626,219.735473102,0.416988,0.761193,0.0172961431643,7.88774154917,13.7131,183.989384941,50.9370843331,0.416369183243,23,0.415871416562
18.7706,0.00116569,227.511727704,-0.488188,72.9030996203,0.432602,24,280.327240404,127.089071406,190.851320645,223.520908885,0.433407,0.685423,0.0175818827938,1.20463496611,14.0527,220.955380933,39.036526565,0.432910389676,24,0.43272191685
19.2073,0.00105936,296.700936559,-0.50042,97.3840776197,0.445602,25,343.030111457,107.610587068,161.391968132,171.177844898,0.446402,0.759835,0.0172496088949,30.0552511529,14.4097,132.396266337,13.0404993217,0.44586097839,25,0.445687975646
19.6861,0.00137997,423.252359292,-0.510929,59.9621685453,0.458788,26,287.467595265,139.48171332,124.713749063,275.99272489,0.459674,0.846529,0.0187367814585,77.864587904,14.8016,140.7299649,36.668914149,0.459153079184,26,0.458938596392
20.1184,0.00124886,242.483770684,-0.522723,64.3506204644,0.474771,27,282.451795642,118.620036263,117.459543725,201.291779206,0.475486,0.6223,0.0178414222142,34.5405581529,15.1838,153.717755634,5.0912751972,0.475108838241,27,0.474923020576
20.5631,0.00140482,82.4347004876,-0.533608,58.8589098186,0.485223,28,257.064958877,13.5310134626,34.0936674867,17.1032641604,0.486014,0.783166,0.0188376580696,15.1805760795,15.6312,11.1524843692,-1.6448754848,0.485473553051,28,0.485292969947
21.0554,0.00145022,121.229508117,-0.549347,25.3048457951,0.501014,29,99.1072547568,55.5049193911,16.471911273,69.0473715081,0.501732,0.759104,0.0188153536764,6.11934100655,16.0033,64.6154987428,-1.19430498423,0.501322563346,29,0.501175272736
