MaxEsReturn,AverageAbsQYDiff,AverageAbsQ,Iteration,StdEsReturn,PolicyRegParamNorm,StdReturn,Epoch,AverageAbsY,MaxReturn,AverageAction,MinReturn,AveragePolicySurr,AverageQLoss,AverageQ,QFunRegParamNorm,AverageReturn,AverageEsReturn,AverageDiscountedReturn,MinEsReturn,AverageY
62999.2084341,66.2927105997,27.2535,9,6978.52665177,16.6618,7099.87093587,9,90.3330604315,70263.1419185,0.964963,50815.9311732,-40.4498,5846.06,25.7947,16.4057,59160.9753929,50197.0275986,4966.26261918,39927.809715,89.3035838206
54585.2970676,11.8177986252,74.6504,10,0.0,16.8294,21603.2708305,10,75.9403624806,117498.905642,1.0,53736.1019178,-76.5549,291.491,74.6481,23.6364,78970.9491057,54585.2970676,6782.92605592,54585.2970676,75.9394547532
85098.8219178,8.53164531124,98.1243,11,0.0,16.8329,16079.5303212,11,98.5124214084,117384.466054,1.0,69234.2384428,-101.504,132.109,98.1243,35.5085,81559.8391518,85098.8219178,6830.2522811,85098.8219178,98.5124214084
99972.8636284,9.13789821862,146.636,12,0.0,16.8331,19864.289388,12,146.94925837,117560.363579,1.0,69335.7531181,-151.333,152.641,146.636,47.0572,96040.8042229,99972.8636284,7537.41815191,99972.8636284,146.94925837
37372.5852132,10.361716547,197.605,13,0.0,16.8611,21415.4320591,13,197.904487189,118074.680743,1.0,69405.9675024,-203.069,209.579,197.605,56.7844,100801.246789,37372.5852132,7767.48434456,37372.5852132,197.904487189
84451.8290637,11.2344158787,254.177,14,0.0,16.8612,18224.8586886,14,254.410023186,117128.840441,1.0,69660.2226063,-260.012,253.073,254.177,64.3088,86734.866819,84451.8290637,7191.18798169,84451.8290637,254.410023186
85705.5466462,13.0304850728,316.172,15,0.0,16.8613,19211.2270252,15,316.454128662,117704.545666,1.0,69246.5432086,-322.235,357.965,316.172,71.014,81928.2299295,85705.5466462,6908.56060959,85705.5466462,316.454128662
89047.1552976,13.8805009352,382.033,16,0.0,16.8615,19700.5630942,16,382.276247992,117668.952734,1.0,69349.9300657,-388.273,417.217,382.033,76.3179,95827.4609193,89047.1552976,7496.7405478,89047.1552976,382.276247992
80180.17795,15.2786572425,446.72,17,0.0,16.8617,15978.9330172,17,447.001787172,118140.912188,1.0,69412.735298,-453.327,516.937,446.72,81.6411,108087.110687,80180.17795,8149.30610088,80180.17795,447.001787172
68765.5434284,17.6976163823,513.379,18,0.0,16.862,19527.9915211,18,513.700891247,117794.507791,1.0,69886.5413117,-520.508,811.141,513.379,86.2607,91480.1951938,68765.5434284,7422.54575363,68765.5434284,513.700891247
