Epoch,AverageQ,AverageForwardProgress,MinForwardProgress,MaxEsReturn,AverageAction,MaxReturn,StdForwardProgress,AverageAbsY,StdReturn,AverageQLoss,MaxForwardProgress,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageEsReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,MinReturn,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,AverageReturn
19,0.051284,0.115181484131,-0.0453431436993,41.1175458491,0.986013,49.8940721437,0.0601969714898,0.0516033086131,8.06422280749,2.20054e-05,0.299694665164,18.4127,0.0025906138285,0.0512885550802,26.0704914365,8.99995449603,19.7817,0.0516,4.55764131509,18.1310223571,8.87853711195,-0.0517388,26.6318354949
20,0.0532681,0.0920953029702,-0.0642299938487,29.5529687256,0.971027,43.7597353878,0.0532911694024,0.0535352794359,7.03219088174,2.86459e-05,0.246183642131,18.7357,0.00295425005534,0.0532700969894,16.4268475657,6.69704285979,20.4149,0.0535346,3.98560782451,16.2040957997,4.57939090959,-0.0574711,23.4047212076
21,0.0602251,0.0452896100333,-0.0754909477504,35.6716887023,0.994592,40.5491491087,0.0510853430439,0.060521550304,6.60645102519,3.83015e-05,0.227103414021,19.0013,0.00330912450868,0.0602324934224,19.3421500594,8.12720615774,21.1043,0.0605267,2.74324894752,12.372543755,5.13360427691,-0.0659799,17.3155206875
22,0.0677531,0.0488201188703,-0.0587981102939,29.2757496491,0.9889,38.0869590841,0.0489738244896,0.0680321144907,6.38941966966,3.96972e-05,0.204577063078,19.2677,0.00347915293799,0.0677491788686,18.6553655389,6.34514688136,21.6482,0.0680471,3.61629008268,12.3168801273,6.00289438094,-0.0774068,17.1774698965
23,0.0776731,0.0343817405401,-0.101162012987,32.242312215,0.975723,31.3676192547,0.0531267177178,0.077996357535,6.88449018309,4.63538e-05,0.158835733408,19.4538,0.00387987347341,0.0776788078776,17.8879627069,9.72319147483,22.198,0.0780143,-1.77746896602,11.147133314,1.37336165619,-0.0886752,15.6010746001
24,0.0886147,0.373333883861,0.148806758173,27.4893920423,0.970148,87.9186934607,0.0939698442489,0.0890092777039,11.8584177748,4.95785e-05,0.545544156543,19.6834,0.00407574278802,0.0886137823578,16.0974265251,8.37789434528,22.7867,0.0890335,38.4558162044,36.2332475465,-5.21059943769,-0.0984732,67.1801713652
25,0.0973813,0.363212025261,0.183424960669,75.2154787674,0.975815,80.8891512416,0.0514215641132,0.097834164212,6.91836224783,5.73047e-05,0.49458287436,19.9172,0.00438895367145,0.0973914264844,59.6374910323,16.9694676443,23.2621,0.0978464,38.6994317447,36.7878853897,10.1510925443,-0.110729,63.0154196805
26,0.11255,0.221294794735,0.0091688401651,75.9183287572,0.991243,72.0758013722,0.0980772962034,0.112968812613,12.5849563406,7.07548e-05,0.411369613014,20.1045,0.00486697080074,0.112553175508,51.656091265,19.7646470396,23.8538,0.112994,18.7384028981,26.2364006588,1.39188871938,-0.122705,46.5437051424
27,0.122251,0.45181518712,0.181904376033,83.1466144516,0.995073,93.8268900415,0.0582531015968,0.122620595172,7.4535888195,8.12633e-05,0.583436708184,20.3374,0.00515586744567,0.122248378719,63.0797137751,20.9014477958,24.4016,0.122657,42.1978030098,42.4686645069,6.30593871835,-0.126912,75.8751937071
28,0.124931,0.438063107989,0.242965690611,84.7567559364,0.982917,97.4199679195,0.0551016643754,0.125229882652,7.11417336873,8.97726e-05,0.612387099337,20.5576,0.005490352838,0.124933075876,68.2914913991,15.7503449826,24.9355,0.125258,50.582807512,41.4377349802,32.447513129,-0.125348,73.9955398261
29,0.124913,-0.121229987181,-0.359269949657,79.7504695967,0.960692,34.290630493,0.118443548984,0.125214172701,15.2802639728,8.26086e-05,0.124451913654,20.7817,0.00537504668191,0.124921401288,67.9078382193,10.0160882459,25.4759,0.125248,-27.7973476899,3.9730417647,44.8129703471,-0.123224,2.79360255581
30,0.12522,-0.202145571977,-0.377744455423,26.8310035117,0.958114,30.4804413785,0.0951248094724,0.125422212815,12.4285974281,9.44189e-05,0.0915705678455,21.0238,0.00584779352734,0.125223596119,-4.90940185749,15.9949758088,26.0268,0.125469,-31.9936836138,-1.45545444246,-31.4192073979,-0.133079,-8.07496568738
31,0.135182,-0.25662210966,-0.483811379944,20.5344845572,0.983185,22.0108308938,0.0905880295081,0.135418394216,11.72599558,0.000101836,0.0292082414198,21.2776,0.00617197944432,0.135187357211,0.925331588138,9.69446940125,26.5614,0.135473,-43.8719920963,-5.25786582638,-15.7983582368,-0.138281,-15.6614445422
32,0.136563,-0.235726639608,-0.481138143723,9.16526062842,0.973131,19.6999548919,0.0876545520135,0.136816917791,11.5863029671,0.000110758,0.0119092654639,21.5667,0.0063601649919,0.136579278966,-10.2721877709,13.9212542335,27.1153,0.136858,-43.329949748,-3.68487779726,-36.0773025861,-0.137913,-12.787390489
33,0.136718,-0.339093903467,-0.578399990191,3.77656715236,0.965609,22.2336415958,0.10694015345,0.13698302791,13.914534494,0.000111093,0.0287988880811,21.805,0.00635435508585,0.136722012013,-17.6792195393,14.3378812736,27.5492,0.137038,-55.5215413069,-10.5467144809,-39.3249754543,-0.13806,-25.3536648325
34,0.137072,-0.386168533197,-0.599647844874,2.64949651377,0.958248,-5.30936561063,0.0826904824783,0.137368270627,10.7371387938,0.000108816,-0.187434002415,22.027,0.00626269452065,0.137085112421,-31.8648969596,13.2632040744,28.0341,0.137415,-58.7864501974,-14.2558737379,-52.3578866946,-0.138147,-31.8545412419
35,0.138282,0.292767742267,0.0326191343294,50.2802407137,0.978049,80.7063224116,0.102370384135,0.138574679729,13.0356205057,0.000112499,0.485465443915,22.1381,0.00634329556026,0.138287535794,28.7254828577,22.6329102237,28.4562,0.138616,23.3807330034,30.6253498545,-18.8804353931,-0.144347,56.8714593995
36,0.145149,0.215639311248,0.0647840792913,71.4694978855,0.976158,58.5175859239,0.0517595758279,0.145415779698,6.54062672207,0.000120623,0.337410284227,22.2315,0.00635315568162,0.145146297445,45.9044563247,16.170722413,28.8816,0.145471,23.4376882721,26.1043466426,11.1826141092,-0.152018,44.3195472934
