QFunRegParamNorm,AverageY,AverageQ,AverageReturn,MinReturn,StdReturn,MinEsReturn,StdEsReturn,AverageAbsQYDiff,AverageAbsQ,AverageQLoss,AveragePolicySurr,Epoch,Iteration,MaxReturn,AverageAction,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm,AverageAbsY,AverageEsReturn
29.2077,1.81910315639,1.81904,34.0204081633,33.0,0.713994109573,3.0,8.53380271343,0.0658846713301,1.82193,0.0214578,-2.08177,32,32,35.0,0.145364,28.9574206516,37.0,25.1978,1.81911918371,12.3703703704
29.8526,1.89159928895,1.89152,47.719047619,44.0,1.94253615462,3.0,8.69845942235,0.066736860399,1.89434,0.021839,-2.15305,33,33,56.0,0.384184,38.0847196267,50.0,25.522,1.89163046719,11.8488372093
30.4946,1.96628247439,1.96609,1000.0,1000.0,0.0,2.0,15.1007358172,0.0712814196938,1.9693,0.0245239,-2.24146,34,34,1000.0,0.450603,99.9956828753,84.0,25.8507,1.96636727884,16.6333333333
31.2683,2.05166916054,2.05163,60.1317365269,48.0,10.8044961246,3.0,9.98095224352,0.0780174044991,2.05589,0.0290351,-2.34615,35,35,144.0,0.503242,45.070830999,46.0,26.2611,2.05236668485,14.2173913043
31.8682,2.14865045133,2.14831,41.9832635983,39.0,1.15337063684,3.0,19.0017398073,0.0822575706703,2.15271,0.03343,-2.46402,36,36,45.0,0.516195,34.4186453044,77.0,26.3595,2.14886399106,22.5454545455
32.5285,2.24447119687,2.24429,45.7853881279,41.0,2.63009734876,3.0,12.1970664686,0.0837008817138,2.24914,0.0339953,-2.56068,37,37,54.0,0.473465,36.8596982459,49.0,26.4674,2.2448453592,17.0862068966
33.2058,2.34737933573,2.3471,34.2423208191,33.0,0.623201088521,3.0,13.6033053834,0.0831799547636,2.35124,0.0356752,-2.66304,38,38,36.0,0.514004,29.1161244801,52.0,26.6238,2.34780461997,18.4909090909
33.6916,2.41567376383,2.4156,37.4141791045,37.0,0.500097450962,3.0,12.4477084145,0.0883701096517,2.42025,0.0386836,-2.7491,39,39,39.0,0.252514,31.3406210923,43.0,26.7234,2.41600873917,16.1475409836
34.357,2.52270213127,2.52232,36.1227436823,35.0,0.359636372719,3.0,14.5844872391,0.0897690789273,2.52627,0.0412723,-2.86246,40,40,37.0,0.341408,30.4440823322,59.0,26.8636,2.52290761499,16.9322033898
34.9892,2.61270312589,2.6127,36.5656934307,36.0,0.495665586024,3.0,13.446715832,0.0937737490708,2.61682,0.0451591,-2.96998,41,41,37.0,0.257029,30.7526345775,54.0,26.9668,2.6128356273,17.05
35.5473,2.71094261172,2.71036,33.4782608696,33.0,0.499527186655,3.0,12.5582665672,0.0999192919854,2.71539,0.0516545,-3.08819,42,42,34.0,0.315605,28.5702091688,43.0,27.0889,2.71105129929,19.4615384615
36.0949,2.82823227193,2.82799,34.0306122449,33.0,0.381210432522,3.0,10.8818615028,0.0976352706245,2.83279,0.0506243,-3.19131,43,43,35.0,0.159477,28.9660138879,46.0,27.2324,2.82829636866,12.974025974
36.5471,2.90942449814,2.90942,33.9728813559,33.0,0.367229900039,3.0,10.372258237,0.105821503447,2.91471,0.058311,-3.29105,44,44,35.0,0.201597,28.9248241163,49.0,27.3617,2.90950947771,13.025974026
36.9857,3.01377576363,3.01308,33.8885135135,33.0,0.32529064938,2.0,11.3552116988,0.10438963299,3.01827,0.0587029,-3.40924,45,45,35.0,0.114726,28.8646357698,45.0,27.4474,3.01385189899,13.2432432432
37.4529,3.0987598552,3.09857,34.3150684932,33.0,0.471857661634,3.0,11.6887495341,0.103471429788,3.104,0.0601181,-3.49668,46,46,35.0,0.11508,29.1685256276,43.0,27.6022,3.09882634818,15.0
37.9531,3.19522202255,3.1948,33.3289036545,33.0,0.469814900308,3.0,10.9445971005,0.110647706974,3.20086,0.0690042,-3.5895,47,47,34.0,0.0784361,28.4630109353,47.0,27.7055,3.19524602564,14.9393939394
38.5914,3.27845665545,3.27813,33.9220338983,33.0,0.303687951246,3.0,11.2619587984,0.11251541015,3.28377,0.074207,-3.68192,48,48,35.0,0.0772012,28.8886456315,39.0,27.8568,3.278532389,15.5538461538
39.1058,3.36768116899,3.36785,33.7972972973,33.0,0.426479292921,3.0,11.0186418546,0.116846366512,3.37494,0.076429,-3.79887,49,49,35.0,0.129487,28.799118611,47.0,27.9884,3.36803190431,15.2727272727
39.5515,3.46621453959,3.46596,33.8918918919,32.0,0.421309655895,3.0,12.0844562493,0.11510125741,3.47377,0.0758357,-3.89714,50,50,35.0,0.138007,28.866793566,46.0,28.099,3.4667694055,15.4769230769
40.1171,3.54095703069,3.54044,34.8606271777,34.0,0.346335153722,3.0,12.3761895601,0.12139018578,3.54873,0.0806126,-3.97488,51,51,35.0,0.142161,29.5561986914,40.0,28.2435,3.54157508375,15.5238095238
40.5215,3.62014321915,3.61998,34.9616724739,34.0,0.240342360432,3.0,13.0234860255,0.122864676006,3.6286,0.0882105,-4.07014,52,52,36.0,0.407595,29.6279224788,58.0,28.4058,3.62096836993,14.2253521127
40.9024,3.69977235947,3.69942,35.3063380282,34.0,0.504726224594,3.0,12.8902351905,0.121772744405,3.7084,0.0871473,-4.13864,53,53,36.0,0.413353,29.870573163,51.0,28.5415,3.7004545458,18.1428571429
41.451,3.78461842552,3.78435,41.7625,38.0,1.74816868465,2.0,11.6485660255,0.126858365204,3.7931,0.0892673,-4.24466,54,54,47.0,0.35092,34.2672675194,44.0,28.7932,3.78509993488,15.7301587302
41.8927,3.83806183236,3.83807,42.5531914894,39.0,1.84285290668,3.0,12.9570875896,0.124404277848,3.84559,0.0917224,-4.31518,55,55,51.0,0.304012,34.786439021,54.0,28.913,3.8384761325,17.6140350877
42.3391,3.93087399996,3.93046,1000.0,1000.0,0.0,3.0,12.3224103761,0.137118137241,3.93943,0.110573,-4.40875,56,56,1000.0,0.218754,99.9956828753,55.0,29.1157,3.93109330642,17.350877193
42.9246,3.99942420951,3.99919,1000.0,1000.0,0.0,3.0,11.7108466578,0.130108253683,4.0073,0.0966213,-4.4872,57,57,1000.0,0.162947,99.9956828753,46.0,29.3353,4.00000918497,13.9178082192
43.4371,4.08053913223,4.0801,912.363636364,36.0,277.130514946,2.0,14.8922425742,0.129691125556,4.08998,0.0978508,-4.56275,58,58,1000.0,0.083628,93.6650460861,78.0,29.5078,4.08139198591,16.4333333333
43.8106,4.16538565581,4.16524,1000.0,1000.0,0.0,3.0,15.3138973758,0.129309415202,4.17385,0.1014,-4.63728,59,59,1000.0,0.0663635,99.9956828753,79.0,29.7485,4.166127718,16.3278688525
44.1506,4.22534749988,4.22515,1000.0,1000.0,0.0,3.0,12.13444049,0.143495997343,4.23468,0.119009,-4.71271,60,60,1000.0,0.159337,99.9956828753,50.0,30.0012,4.22554114902,16.1587301587
44.4874,4.30299414601,4.30252,1000.0,1000.0,0.0,2.0,11.7265074001,0.136604692314,4.31077,0.111802,-4.79582,61,61,1000.0,0.245777,99.9956828753,68.0,30.2739,4.30313779447,12.5696202532
44.9885,4.35901982728,4.35893,1000.0,1000.0,0.0,3.0,11.4077899304,0.149203961963,4.37002,0.133432,-4.8625,62,62,1000.0,0.21729,99.9956828753,49.0,30.5308,4.35980898195,13.9436619718
45.3775,4.41580887012,4.41579,1000.0,1000.0,0.0,3.0,14.2202809005,0.139549751251,4.42569,0.112305,-4.94126,63,63,1000.0,0.187813,99.9956828753,78.0,30.79,4.41697056539,16.3166666667
45.6751,4.49116691669,4.49071,1000.0,1000.0,0.0,3.0,13.0062682332,0.151096822772,4.50084,0.131207,-5.02507,64,64,1000.0,0.201257,99.9956828753,68.0,31.0128,4.49218926907,16.4126984127
46.007,4.55482353341,4.5547,1000.0,1000.0,0.0,3.0,12.7443130373,0.136855495648,4.56393,0.109549,-5.09263,65,65,1000.0,0.304059,99.9956828753,74.0,31.2617,4.5555469066,15.3692307692
46.3132,4.63319401884,4.63281,1000.0,1000.0,0.0,3.0,11.6834873882,0.150170436031,4.64293,0.134313,-5.16838,66,66,1000.0,0.223682,99.9956828753,72.0,31.4879,4.63506337868,14.1571428571
46.6652,4.69802074602,4.69807,1000.0,1000.0,0.0,3.0,10.5367023504,0.154476179484,4.70883,0.142477,-5.23745,67,67,1000.0,0.269563,99.9956828753,60.0,31.7178,4.69949500455,13.6081081081
47.1654,4.77030596585,4.77019,1000.0,1000.0,0.0,3.0,13.7331941256,0.154279549714,4.78106,0.139992,-5.31825,68,68,1000.0,0.228336,99.9956828753,76.0,31.9054,4.77128893111,13.472972973
47.4407,4.86451272339,4.86413,1000.0,1000.0,0.0,3.0,14.2112663904,0.151457248605,4.87579,0.132344,-5.40321,69,69,1000.0,0.277775,99.9956828753,72.0,32.0893,4.86618258857,14.4927536232
47.8376,4.92403404649,4.92411,1000.0,1000.0,0.0,3.0,8.71530821154,0.159430199716,4.93678,0.150828,-5.4844,70,70,1000.0,0.333229,99.9956828753,43.0,32.2814,4.92694287724,13.9583333333
48.1941,4.99497021029,4.9944,1000.0,1000.0,0.0,3.0,8.44017415652,0.158133563685,5.00632,0.160361,-5.56616,71,71,1000.0,0.245149,99.9956828753,37.0,32.4252,4.99661839815,11.6588235294
48.4801,5.07320492366,5.07253,1000.0,1000.0,0.0,3.0,11.5489144002,0.16027630999,5.08372,0.157944,-5.64636,72,72,1000.0,0.286955,99.9956828753,55.0,32.6192,5.07433919608,13.1315789474
48.774,5.14975159901,5.1495,1000.0,1000.0,0.0,3.0,11.3543386531,0.163975557191,5.16049,0.163825,-5.72378,73,73,1000.0,0.250509,99.9956828753,63.0,32.7688,5.15072321051,12.7974683544
49.2067,5.23329810892,5.23298,1000.0,1000.0,0.0,3.0,11.0903757647,0.16424697728,5.24464,0.170333,-5.81978,74,74,1000.0,0.324492,99.9956828753,57.0,32.9555,5.23417467067,13.3561643836
49.6145,5.29205917863,5.29188,1000.0,1000.0,0.0,3.0,12.1571571082,0.161441049164,5.30205,0.160183,-5.88601,75,75,1000.0,0.291622,99.9956828753,64.0,33.1144,5.29289590737,14.323943662
49.9024,5.37381433141,5.37366,1000.0,1000.0,0.0,3.0,8.19839733246,0.164448133017,5.38561,0.170967,-5.96322,76,76,1000.0,0.386223,99.9956828753,44.0,33.272,5.37481556765,12.0238095238
50.3071,5.46042636204,5.45993,1000.0,1000.0,0.0,3.0,14.6221636375,0.171615771762,5.47252,0.178915,-6.06515,77,77,1000.0,0.369738,99.9956828753,67.0,33.3789,5.46147469653,17.0517241379
50.5875,5.51306923991,5.5125,1000.0,1000.0,0.0,3.0,13.1669477143,0.171792088531,5.52429,0.181876,-6.12468,78,78,1000.0,0.334837,99.9956828753,70.0,33.5198,5.51368808079,14.8823529412
50.7405,5.59432445576,5.59424,1000.0,1000.0,0.0,3.0,11.6496828179,0.168540522955,5.60426,0.179196,-6.19046,79,79,1000.0,0.376551,99.9956828753,72.0,33.6731,5.5949434856,12.5569620253
51.026,5.68280298527,5.68245,1000.0,1000.0,0.0,3.0,13.6095105972,0.172122613418,5.69329,0.192185,-6.30231,80,80,1000.0,0.361975,99.9956828753,77.0,33.7917,5.68354154799,15.196969697
51.3033,5.74680410334,5.74635,1000.0,1000.0,0.0,3.0,10.6470380764,0.172841474543,5.75687,0.18885,-6.37339,81,81,1000.0,0.352302,99.9956828753,61.0,33.9361,5.74772196271,12.7922077922
51.6356,5.79463271175,5.79453,1000.0,1000.0,0.0,3.0,16.605167799,0.173573432011,5.80634,0.190595,-6.42487,82,82,1000.0,0.315301,99.9956828753,79.0,34.0311,5.79576364706,15.6615384615
51.9879,5.90889049491,5.90855,1000.0,1000.0,0.0,3.0,12.6060836,0.179428103258,5.92126,0.210383,-6.52696,83,83,1000.0,0.412589,99.9956828753,69.0,34.1626,5.91010059133,14.8358208955
52.2981,5.93838406989,5.93818,1000.0,1000.0,0.0,3.0,8.30158759996,0.17592953799,5.95054,0.200712,-6.59455,84,84,1000.0,0.343439,99.9956828753,37.0,34.3199,5.93960665694,10.381443299
52.5384,6.02586095825,6.02542,1000.0,1000.0,0.0,3.0,7.64954402872,0.178605549423,6.03722,0.20826,-6.69129,85,85,1000.0,0.375642,99.9956828753,38.0,34.4728,6.02670298756,10.7816091954
