PolicyRegParamNorm,AverageY,QFunRegParamNorm,AverageEsReturn,AverageQLoss,Iteration,AverageQ,MaxReturn,AverageReturn,Epoch,AverageAbsY,MaxEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAbsQYDiff,StdReturn,AverageAction,AverageAbsQ,AveragePolicySurr,MinReturn,StdEsReturn
22.7129,1.44233286993,18.8309,-210.602667138,0.00868104,30,1.4421,-54.7898298066,-143.881849007,30,1.44240998174,-210.602667138,-4.18899547921,-210.602667138,0.0609463482535,71.8833969301,0.632603,1.4421,-1.51426,-257.174133813,0.0
23.1178,1.45551176953,19.3163,-197.030822083,0.0102254,31,1.45499,-190.805075543,-511.473720024,31,1.45559466897,-197.030822083,-27.4415994228,-197.030822083,0.0629501720619,108.06139531,0.759798,1.45499,-1.52812,-566.213474469,0.0
23.4882,1.48038791888,19.8337,-171.099180115,0.0105791,32,1.48008,18.340337356,-88.5726403351,32,1.48046009509,-171.099180115,-7.46093439309,-171.099180115,0.0633224498534,147.660493397,0.664839,1.48008,-1.55855,-517.705986546,0.0
23.8383,1.51050724997,20.3178,-102.337359423,0.0112221,33,1.51015,277.752063921,198.908387558,33,1.51058454749,-102.337359423,22.4472171939,-102.337359423,0.066357309905,72.8649319627,0.914974,1.51015,-1.5844,15.9041351913,0.0
24.115,1.54854831852,20.702,-53.8303737488,0.0103798,34,1.54829,-455.294736561,-490.5608579,34,1.54863082826,-53.8303737488,-30.3919539252,-53.8303737488,0.065837560722,15.8053172157,0.849778,1.54829,-1.62619,-509.791809351,0.0
24.3615,1.56753602324,21.0943,-342.46069866,0.0108989,35,1.5671,201.336441463,-21.4867427504,35,1.56756539794,-342.46069866,8.86435136866,-342.46069866,0.066122401333,102.336479177,0.520586,1.5671,-1.64264,-124.075779391,0.0
24.6878,1.61244941144,21.5402,-313.031627783,0.0135224,36,1.61208,735.350462868,454.360354365,36,1.61249749178,-313.031627783,52.6697602051,-313.031627783,0.0694180605813,225.353946781,0.616763,1.61208,-1.68236,107.062717315,0.0
25.137,1.65042642901,21.9735,255.36501678,0.0131511,37,1.65009,774.6001119,323.769839225,37,1.65053975736,255.36501678,62.8336902515,255.36501678,0.0704401473089,275.892146428,0.518588,1.65009,-1.72553,-6.29509668471,0.0
25.6013,1.66046887418,22.3948,56.535914946,0.0127314,38,1.65999,1215.32082771,973.088624102,38,1.66053970061,56.535914946,96.9151833948,56.535914946,0.0704219036109,295.440528528,0.70692,1.65999,-1.73682,369.168079582,0.0
25.9761,1.67645015682,22.7297,-42.8365049662,0.0114177,39,1.6762,601.19909737,348.139834129,39,1.67651031988,-42.8365049662,96.7603528825,-42.8365049662,0.0694324494778,186.326116149,0.622751,1.6762,-1.75498,17.4024760483,0.0
26.4803,1.72394150011,23.1033,79.8782189824,0.013487,40,1.72334,1423.43854857,1365.32158738,40,1.72400631301,79.8782189824,118.519863584,79.8782189824,0.0731545984315,44.1596946532,0.812312,1.72334,-1.80751,1276.95811843,0.0
26.8964,1.77968678673,23.5204,261.909744642,0.0133481,41,1.77931,1757.81521313,1567.37601941,41,1.77974377944,261.909744642,140.262087069,261.909744642,0.074126120097,283.060860897,0.845388,1.77931,-1.86492,739.254394379,0.0
27.2717,1.85309111936,23.9211,645.258301972,0.013594,42,1.85266,1708.45105101,1282.75192989,42,1.85312505022,645.258301972,142.567637894,645.258301972,0.0767654119841,567.815285611,0.797894,1.85266,-1.94642,130.565839882,0.0
27.6626,1.92465625266,24.3271,377.856014879,0.0162396,43,1.92411,2126.81090255,1204.39865701,43,1.92473401337,377.856014879,122.275998793,377.856014879,0.0796456576335,653.454171629,0.814207,1.92411,-2.018,-238.855544848,0.0
28.0372,2.04304580192,24.6916,1239.21109456,0.0142211,44,2.04267,2121.50620185,1264.38333354,44,2.04308940777,1239.21109456,163.682681348,1239.21109456,0.0793045661484,761.399357993,0.81828,2.04267,-2.1398,-12.9429168325,0.0
28.4017,2.14362673575,25.1327,902.770006653,0.0211144,45,2.14287,2114.56077762,1867.08259142,45,2.14370078598,902.770006653,173.945687302,902.770006653,0.086467923041,405.687173936,0.858155,2.14287,-2.24538,658.857809829,0.0
28.834,2.26165669488,25.4814,1540.65288508,0.0200784,46,2.26099,2308.13721608,1567.5289449,46,2.2617116485,1540.65288508,172.407721718,1540.65288508,0.0874526184842,721.386803303,0.824133,2.26099,-2.36287,161.752040428,0.0
29.2653,2.34928889994,25.879,859.287284033,0.0198089,47,2.34877,1803.6264591,225.381959042,47,2.34939733347,859.287284033,111.038357865,859.287284033,0.0886018060573,606.339633606,0.809075,2.34877,-2.45342,-298.944852733,0.0
29.6218,2.43164697865,26.2469,227.037298236,0.019547,48,2.43101,2399.52315795,1317.0148347,48,2.43170073699,227.037298236,172.049412973,227.037298236,0.0901689816393,957.21838126,0.827489,2.43101,-2.53774,-104.915771368,0.0
