MaxEsReturn,AverageAbsY,AverageEsReturn,AverageAbsQ,StdReturn,Epoch,MinReturn,PolicyRegParamNorm,AverageDiscountedReturn,MinEsReturn,AverageAction,StdEsReturn,MaxReturn,AverageAbsQYDiff,AveragePolicySurr,AverageQ,QFunRegParamNorm,Iteration,AverageQLoss,AverageY,AverageReturn
-262.271066915,2.16145039332,-309.748784075,1.07229,6.73192801119,9,-22.9365271004,11.7096,-1.41603543648,-375.011867605,0.00160584,29.1091666329,-0.0147094131589,2.72197934327,-0.133231,-0.410161,11.4932,9,11.3627,2.15193398538,-2.79822492953
-308.549832195,1.00410596414,-308.549832195,0.971438,0.780468735637,10,-550.032081592,12.1345,-57.6872149377,-308.549832195,0.909624,0.0,-547.526577734,0.396536265536,-1.91643,0.899151,12.0444,10,0.335322,0.910851480167,-548.618417878
-345.547820269,1.00832255472,-345.547820269,0.975192,1.47418027017,11,-605.830356499,13.9068,-53.5436658142,-345.547820269,0.955005,0.0,-600.916655826,0.259702714796,-1.66702,0.90191,12.7832,11,0.124006,0.906028131537,-603.546141741
-443.003088077,1.20203138528,-443.003088077,1.17137,13.2495708914,12,-310.87297355,14.7576,-23.209561371,-443.003088077,0.771415,0.0,-266.568743216,0.261929702177,-1.73693,1.07672,13.5847,12,0.124833,1.07617443828,-287.747074244
-331.490304008,1.28447695238,-331.490304008,1.25427,13.0515567101,13,-284.865937917,15.3093,-24.1662670826,-331.490304008,0.65843,0.0,-243.935318175,0.277979920832,-1.63568,1.15933,14.3105,13,0.140103,1.1607156433,-269.665225951
-327.603824823,1.31770917439,-327.603824823,1.28439,56.226979667,14,-247.918103365,15.7411,-7.18381124361,-327.603824823,0.510048,0.0,-103.017802424,0.286641959265,-1.52296,1.15457,15.1309,14,0.151559,1.15516125855,-174.660176093
-267.420933641,1.33453098251,-267.420933641,1.29844,25.4570290868,15,-245.16513711,16.086,-6.93207389173,-267.420933641,0.407641,0.0,-155.840240026,0.297924823565,-1.48661,1.13872,15.9981,15,0.163327,1.13965896383,-184.51332716
-249.842565855,1.36296914793,-249.842565855,1.32229,13.5136360846,16,-259.039903244,16.3954,5.33539596517,-249.842565855,0.488497,0.0,-205.695075938,0.309675742616,-1.49872,1.13563,16.9172,16,0.178462,1.13653736511,-231.419940078
-285.316178711,1.43839844985,-285.316178711,1.39998,28.2020236999,17,-270.041659342,16.7187,-6.22446991531,-285.316178711,0.50236,0.0,-194.987106944,0.314406854078,-1.58959,1.19936,17.7908,17,0.184627,1.20017622286,-239.442586789
-236.117714509,1.52866503696,-236.117714509,1.49059,12.2320537363,18,-103.844201652,17.135,11.7294008797,-236.117714509,0.324905,0.0,-60.8072490569,0.31969713742,-1.70626,1.29163,18.6191,18,0.192674,1.29269301235,-93.3012403636
-208.525502325,1.63022751951,-208.525502325,1.59485,11.2667319813,19,-23.8314653162,17.573,15.9804655872,-208.525502325,0.323189,0.0,14.1516426614,0.32585235263,-1.85142,1.4145,19.3997,19,0.206272,1.416422007,-4.81897007683
-140.078748834,1.76316932504,-140.078748834,1.73024,12.3570695071,20,110.720315739,18.055,26.1713674722,-140.078748834,0.312112,0.0,148.091757416,0.334405192918,-2.02469,1.57215,20.1181,20,0.216791,1.57326987865,122.532842101
-100.212507194,1.89729725794,-100.212507194,1.86708,61.4961969216,21,36.5416183238,18.5376,26.6120429759,-100.212507194,0.137137,0.0,218.332090668,0.345156144117,-2.19572,1.72729,20.8073,21,0.234458,1.72904898257,92.0799421239
-92.5696761267,2.05677838007,-92.5696761267,2.02929,81.5327382304,22,17.563408855,19.0531,34.9898775873,-92.5696761267,0.201443,0.0,265.370036276,0.347426637575,-2.402,1.90298,21.4925,22,0.239211,1.90454046821,178.104711679
-42.6533794418,2.27985881251,-42.6533794418,2.25526,25.6641948383,23,270.249405013,19.6605,40.6917382683,-42.6533794418,0.524218,0.0,349.39015316,0.357980424588,-2.66851,2.1528,22.1095,23,0.252851,2.15556020796,308.925188079
62.9712374721,2.52988722335,62.9712374721,2.50828,33.0495853675,24,454.637939533,20.2579,58.6915861394,62.9712374721,0.575042,0.0,580.037229725,0.369215348935,-2.94721,2.42167,22.7188,24,0.269016,2.4236151422,530.969512413
144.740467093,2.80541618665,144.740467093,2.78548,38.4099673744,25,379.975422621,20.7854,52.670987965,144.740467093,0.63405,0.0,522.769000761,0.383948161906,-3.26936,2.71944,23.3351,25,0.287352,2.7225655154,465.081890946
199.62172885,3.16054795305,199.62172885,3.14346,32.8554546566,26,389.32141747,21.4638,48.6039083261,199.62172885,0.700433,0.0,493.815004898,0.407381786921,-3.68947,3.08705,23.9011,26,0.323536,3.08991626363,448.755092659
304.810986777,3.58687501974,304.810986777,3.57136,39.1253785118,27,527.507047849,22.1319,60.5142162928,304.810986777,0.721443,0.0,648.564151795,0.426694920927,-4.18895,3.53298,24.4113,27,0.351203,3.53682098096,596.975904194
368.446263107,4.10671217703,368.446263107,4.09398,30.460597231,28,380.815279429,22.7534,43.6467933185,368.446263107,0.745232,0.0,501.285918597,0.444638179203,-4.80353,4.07,24.8944,28,0.382055,4.07325532367,432.143447632
394.458279049,4.70588088271,394.458279049,4.69383,33.0621520957,29,450.535787521,23.3086,53.3437743629,394.458279049,0.788338,0.0,567.558443675,0.460599005496,-5.44812,4.68059,25.3603,29,0.409064,4.68524338056,524.615469192
388.602121791,5.33660104764,388.602121791,5.32704,17.1835088335,30,496.000775983,23.8,46.9822503199,388.602121791,0.74687,0.0,548.605733115,0.476583235968,-6.10344,5.31875,25.7928,30,0.445239,5.32279643889,523.571608934
400.158481041,6.03614197826,400.158481041,6.02816,40.669763772,31,542.752483461,24.232,39.121723327,400.158481041,0.724733,0.0,672.264949573,0.4884896152,-6.81862,6.02474,26.1791,31,0.471411,6.02916334842,592.247744503
403.069471198,6.67436509512,403.069471198,6.66788,27.2518301725,32,720.060567405,24.6381,66.2219824,403.069471198,0.748243,0.0,813.025280782,0.491612352221,-7.48174,6.66501,26.5645,32,0.476628,6.66915053841,771.664801925
438.315358039,7.43349483632,438.315358039,7.42753,45.3557067645,33,661.792447784,24.9723,61.4699663455,438.315358039,0.728203,0.0,827.310777479,0.500440525856,-8.27208,7.42614,26.9773,33,0.50463,7.43062518925,777.03015278
513.584819563,8.20905979933,513.584819563,8.20336,34.358277636,34,704.936528094,25.3488,63.4938280506,513.584819563,0.748814,0.0,815.870445842,0.51604843345,-9.068,8.20241,27.362,34,0.538367,8.20673052662,745.020848387
538.059084258,8.98904255909,538.059084258,8.98323,50.432738908,35,743.40369663,25.674,69.4511408145,538.059084258,0.774132,0.0,917.197425095,0.527710639236,-9.88175,8.98277,27.7135,35,0.560195,8.98779757286,837.171850556
481.426180708,9.83463025034,481.426180708,9.82909,28.7295816467,36,851.857322051,26.0157,79.0775142787,481.426180708,0.782562,0.0,949.627120175,0.528886685599,-10.7302,9.82893,28.0293,36,0.573632,9.83358346944,912.230173223
480.844192008,10.6636806926,480.844192008,10.6584,33.2938947502,37,1013.39951363,26.2655,87.3490839666,480.844192008,0.762192,0.0,1100.15015317,0.543913693541,-11.57,10.6584,28.3858,37,0.616198,10.6630441783,1054.27870375
564.834917092,11.5266510135,564.834917092,11.5211,30.881090833,38,1089.66165628,26.5308,105.895572278,564.834917092,0.753165,0.0,1209.09951293,0.546378171566,-12.4523,11.5211,28.7101,38,0.622398,11.5260267716,1157.17898275
550.902639066,12.3978969351,550.902639066,12.3925,258.758750168,39,113.680526743,26.7899,88.3189180033,550.902639066,0.745712,0.0,1029.57517833,0.557351388389,-13.3281,12.3924,29.0358,39,0.691908,12.3971436111,880.386412618
535.433007064,13.2489453979,535.433007064,13.2428,20.9418237555,40,687.789046497,27.1094,67.3505422465,535.433007064,0.768277,0.0,757.569266661,0.556762110387,-14.1718,13.2428,29.3264,40,0.677902,13.2483465357,716.385956315
614.347752532,14.1744674479,614.347752532,14.1695,20.8681354622,41,955.556872917,27.3834,90.4532833697,614.347752532,0.745426,0.0,1025.36612362,0.567130874822,-15.0919,14.1695,29.6499,41,0.723502,14.1740787972,999.142843019
620.253513355,15.0435493001,620.253513355,15.0377,30.2941465866,42,1024.80479516,27.6139,96.1565129456,620.253513355,0.711514,0.0,1116.98482398,0.576942378144,-15.9671,15.0377,29.9004,42,0.792918,15.0428572722,1061.8326568
586.222276551,15.9263706105,586.222276551,15.9212,39.3062871718,43,830.690561595,27.8686,80.768919238,586.222276551,0.728375,0.0,973.114745909,0.583471204134,-16.8476,15.9212,30.1819,43,0.795247,15.9256570274,901.542083345
621.234334534,16.8217452371,621.234334534,16.8161,609.985662741,44,-1045.80219915,28.1559,61.1230859241,621.234334534,0.778588,0.0,897.482679024,0.591666589344,-17.7451,16.8161,30.4568,44,0.848358,16.82122369,590.527217789
674.139896659,17.7126126268,674.139896659,17.7063,57.0937146986,45,870.474946651,28.3889,86.4506787031,674.139896659,0.717617,0.0,1047.33944818,0.609095793273,-18.6296,17.7063,30.7629,45,0.951239,17.7119597221,974.097805112
634.417568521,18.6060969473,634.417568521,18.6001,157.712522931,46,472.333722478,28.6381,81.2750563596,634.417568521,0.730462,0.0,969.679032614,0.610869643584,-19.5479,18.6001,31.0377,46,0.918563,18.6056041992,824.589129035
606.900293292,19.4930347215,606.900293292,19.488,31.8506600783,47,947.768210113,28.9752,94.444339862,606.900293292,0.763589,0.0,1044.65836864,0.619951247988,-20.4169,19.488,31.2999,47,0.948162,19.4927091827,1006.39860289
658.229450837,20.3911190134,658.229450837,20.385,572.992495904,48,-647.81419544,29.3258,64.5426081259,658.229450837,0.73942,0.0,853.618380012,0.62593908424,-21.2962,20.385,31.5667,48,0.995739,20.3904699257,211.674251179
696.415011777,21.2994267879,696.415011777,21.2938,251.767120066,49,76.3014479441,29.5686,83.336907233,696.415011777,0.747186,0.0,937.191503411,0.633063423571,-22.2292,21.2938,31.8008,49,1.03762,21.2988492794,799.089877597
623.712494994,22.1847653143,623.712494994,22.1783,358.931174059,50,-326.542696083,29.8365,83.1713367353,623.712494994,0.766304,0.0,904.971067246,0.650253928194,-23.1049,22.1783,32.1002,50,1.21113,22.1840018741,689.009245669
564.54159983,23.1278271562,564.54159983,23.12,260.498547547,51,88.5023606168,30.1131,86.0572972996,564.54159983,0.803842,0.0,985.747049894,0.691920108114,-24.0702,23.12,32.3824,51,1.46298,23.1272931341,800.847271107
599.596909233,24.0497009808,599.596909233,24.0416,38.9648839826,52,899.613104544,30.3878,89.7009464964,599.596909233,0.794961,0.0,1038.71874927,0.676812645698,-25.02,24.0416,32.6176,52,1.34104,24.049093863,992.118869646
678.276936053,24.9613469356,678.276936053,24.9536,230.948334953,53,298.228793141,30.6545,80.4312008174,678.276936053,0.798154,0.0,1142.20099437,0.682881917127,-25.9195,24.9536,32.8806,53,1.39886,24.9607701126,976.440026277
683.22219423,25.8940616365,683.22219423,25.8873,225.429678253,54,157.756917614,30.9523,66.2347090659,683.22219423,0.793564,0.0,972.056463704,0.69680433945,-26.8414,25.8873,33.1407,54,1.47183,25.8933465227,822.091581978
693.375905913,26.83050715,693.375905913,26.8231,482.276607791,55,-368.844371515,31.228,64.1790154433,693.375905913,0.7706,0.0,915.169404833,0.687803628608,-27.7555,26.8231,33.4314,55,1.36438,26.8300656209,280.699328069
768.637068437,27.7159231332,768.637068437,27.7099,72.0577616093,56,876.787767505,31.4836,87.3992403563,768.637068437,0.818766,0.0,1138.54876452,0.685384536463,-28.635,27.7099,33.6215,56,1.35317,27.7155026726,1077.71395806
714.395385527,28.5730565185,714.395385527,28.5675,48.7203438182,57,1058.59827164,31.7231,95.9866871401,714.395385527,0.851369,0.0,1198.70135644,0.692198249152,-29.4803,28.5675,33.8619,57,1.4588,28.5725911234,1119.4728802
