StdEsReturn,QFunRegParamNorm,AverageAction,Iteration,AveragePolicySurr,AverageAbsQ,StdReturn,MinEsReturn,AverageAbsY,MaxEsReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,AverageQLoss,AverageQ,Epoch,AverageReturn,AverageY,MinReturn,PolicyRegParamNorm,AverageDiscountedReturn
3.3242045101,11.5826,0.555586,9,-1.17,0.769382,0.0402549226198,-17.1039867749,2.33662831225,0.44750212961,-9.68412921272,-7.86026782371,2.03991449479,5.17861,0.540331,9,-8.00438493099,2.06054270349,-8.13088342838,11.7817,-7.41316277878
1.59532679271,11.9674,0.972666,10,-1.46917,1.23581,0.0628861133549,-13.2204246682,1.33160659202,-2.42994290132,-7.56602807888,-7.95121812454,0.377255780344,0.330783,0.814788,10,-8.12040163812,0.831073664288,-8.27789612552,12.5809,-7.83898705972
1.40160843932,12.2743,0.999882,11,0.00593643,1.37544,0.0626136769773,-12.4690225125,1.38529512027,-2.79353883032,-7.29981837196,-7.92608148279,0.165814326642,0.0476496,-0.160469,11,-8.09277888997,-0.159499631625,-8.25303038125,12.6591,-7.8154605389
0.841579241696,12.872,0.999363,12,0.58296,1.943,0.0717383599115,-6.15407574558,1.94737942422,4.19268019168,-3.38840761314,-3.55101967362,0.183631115396,0.0585225,-0.837671,12,-3.78324769031,-0.837287456423,-3.95312320806,12.8965,-3.65684123727
69.7743358721,13.5749,0.990214,13,-0.711221,2.38068,3.70665602955,-38.2042942769,2.38779452233,314.481185319,9.67933872958,-13.6214892935,0.217950854416,0.0855732,-0.946017,13,-24.2061390422,-0.944529667636,-31.7946882331,13.906,-11.1588694778
17.1084218024,14.3094,0.760194,14,-1.8414,2.58474,3.57307596008,-67.437753219,2.59486951975,3.67228727466,-29.1939212228,-15.2859048243,0.212693775162,0.084982,0.133422,14,-20.6596144302,0.134894700716,-32.5615240755,14.4358,1.07641079849
130.022222908,15.1541,0.727734,15,-2.63774,3.0262,12.1758484409,14.6114333688,3.03857571186,343.043160117,158.691593391,100.083107773,0.246683502395,0.120328,0.80665,15,42.1519415144,0.807115892238,26.817746497,15.8416,39.8365750812
164.75036958,16.0422,0.767439,16,-3.61761,3.70469,12.9649174122,33.6787997622,3.71989783206,513.159376016,205.062769661,114.355670519,0.288172845999,0.203785,1.7371,16,67.3945429347,1.73857280282,48.6738858324,16.7237,52.8164982558
194.863363795,16.9421,0.826495,17,-4.69999,4.46285,44.5029481438,1.19601681085,4.47627664641,522.988288589,246.973663424,370.349249057,0.31182657676,0.276074,2.74534,17,79.9453981446,2.74601897815,45.4418965696,17.1941,56.8277843495
99.8497969679,17.8122,0.750276,18,-5.67513,5.33579,72.9259811052,78.0642348328,5.3480980057,348.805777556,210.555335241,345.583588877,0.341962958294,0.368691,3.7525,18,70.3235714465,3.75382907704,19.5142810261,17.9062,49.0302012517
