AverageAbsQ,AverageQLoss,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQ,AverageY,MinReturn,AverageAction,AverageEsReturn,MaxReturn,AverageReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,AverageAbsY,MaxEsReturn,QFunRegParamNorm,Iteration
1.71709,0.269215,0.0120388368837,40.5011268701,0.0909385132479,1.65618,1.65791477743,-2.63357226407,0.0261826,37.473574272,-2.59476312965,-2.61564502449,-3.02755259805,28,24.0177,-0.258870560112,-1.78333,1.71235253086,77.9747011421,82.7614,28
1.85087,0.306724,0.00515846374426,44.2343264846,0.100015400357,1.7957,1.79720927638,-0.74862829419,0.00741324,32.8176891976,-0.735592000921,-0.740582253282,-11.416637287,29,25.6103,-0.0744762178245,-1.93224,1.84562064228,77.0520156822,84.7356,29
2.07538,0.367159,0.00550711363946,48.0950744975,0.115394838236,2.02267,2.0235098659,-0.291154073005,0.00283083,41.2498756021,-0.276056515311,-0.282799601667,-6.8451988954,30,26.9026,-0.0306702084686,-2.17611,2.0678922943,89.3449500995,86.321,30
2.13981,0.355638,0.0897769626272,50.8401724715,0.123735644429,2.08459,2.08520890685,-4.45771842627,0.0436672,49.5954293804,-4.18805384181,-4.3623541504,-22.2199882495,31,28.3368,-0.439804857814,-2.24959,2.12825379492,88.5021460953,87.6481,31
2.44874,0.407562,0.0221721369446,43.799461186,0.142496819984,2.38162,2.38239021445,-0.474965186428,0.00462006,40.0998412068,-0.396240006218,-0.461543377014,-3.69961997924,32,29.4872,-0.0464932964709,-2.57392,2.43011869696,83.8993023928,88.9575,32
2.73156,0.511944,46.2364202424,46.3999332115,0.163673257959,2.64804,2.64917489401,-2.14012505626,0.047284,65.348942082,95.5850893615,57.8703124379,-14.9682098279,33,30.4775,0.292475183773,-2.86197,2.70693505013,94.401976166,90.6857,33
2.97353,0.809829,48.4459638974,1.88700898207,0.196559488912,2.86299,2.86379618069,-3.99236657064,0.0612553,91.0905486172,94.1329566737,44.5630783385,88.1317047912,34,30.6589,-0.372197206217,-3.10096,2.93610014215,93.312994395,91.8228,34
3.48646,0.648346,36.6616124358,2.49171059928,0.184056153732,3.36739,3.36768934799,-0.209880759774,0.0110979,91.4325569876,95.7047863368,17.0912015168,86.8810156706,35,31.0256,-0.0167833886123,-3.63286,3.45723287024,93.9245405489,92.6901,35
3.83549,0.585724,0.00379497065964,37.0159224598,0.201924835698,3.70667,3.70567970829,-0.651487278134,0.00640397,73.2899915,-0.637833072723,-0.639757017716,-0.630461025741,36,31.6421,-0.0640424160615,-4.01094,3.80150849613,94.8256651732,93.6325,36
4.47201,0.713987,0.0114070995658,42.6164533512,0.210251158868,4.34168,4.34042107016,-1.19609410078,0.0118809,67.1534007472,-1.15541505844,-1.18690624356,-6.58340246207,37,32.0576,-0.117562814133,-4.69002,4.4361369783,94.4860131041,94.4657,37
4.74934,0.79937,0.0174104420576,43.0637630611,0.211434621649,4.61508,4.61271745511,-0.66331830209,0.00630383,65.1068378013,-0.616044659882,-0.629752103539,-9.31797982442,38,32.3189,-0.0646146612023,-4.98009,4.71242634247,92.2712877199,94.9701,38
5.25175,0.86489,0.02134275938,41.7203996721,0.242280521136,5.11676,5.11464445192,-0.28991815459,0.00242247,66.1663728297,-0.222320340356,-0.242005099332,-5.9191474601,39,32.7201,-0.0263313895075,-5.52685,5.21394280101,93.7236467732,95.5609,39
