QFunRegParamNorm,Epoch,AverageQLoss,AveragePolicySurr,MinEsReturn,MinReturn,MaxReturn,StdReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageAbsQ,AverageY,AverageReturn,AverageAction,AverageQ,Iteration,StdEsReturn,AverageAbsY,MaxEsReturn,AverageDiscountedReturn
11.1658,9,4.57912,0.445135,1.57516224997,11.4397828686,12.8808725353,0.265834682884,11.1818,1.9947075248,14.3730449536,0.68785,1.30685710979,12.2140678954,0.0392691,-0.68785,9,14.5346298408,1.31601405181,99.8451360193,11.4643682325
11.3714,10,0.0693238,-1.23039,-0.541923350145,0.54761542171,4.97400973092,0.523698183208,12.3222,0.136624636726,2.27550628713,1.18114,1.17662034784,0.964973303426,0.959688,1.16422,10,3.34031004996,1.20561855015,25.5699886176,1.07715056011
11.6725,11,0.0313559,-1.62538,0.386305451657,36.7484046873,41.6760069625,0.95641455986,13.0323,0.101859261177,29.6041210145,1.58691,1.53353790934,38.781657026,0.999998,1.53226,11,19.1451035204,1.58957512755,73.5904404756,34.4641670946
12.4192,12,0.0948302,-2.49266,24.4750565025,36.5252279202,40.5928152016,0.912217232987,13.3587,0.157054478107,40.6056028116,2.38726,2.28806335964,38.6470598262,0.952676,2.28589,12,4.34370848746,2.39156741873,56.4131849727,34.3523999172
13.6148,13,0.19938,-3.54116,21.0700246605,54.177818753,59.8892901556,1.35593792018,13.813,0.219961233479,55.7201507825,3.34845,3.2294619995,57.0188044778,0.919001,3.22606,13,20.1256966297,3.35358526299,110.545809476,48.1840252084
14.8087,14,0.304571,-4.9112,2.86971278158,85.4498156851,89.2802512027,0.836273039987,14.6041,0.261948221026,76.1489496386,4.5642,4.45751536783,87.3593819227,0.935704,4.4543,14,27.9642211925,4.56990345792,130.924386851,68.685554276
16.0166,15,0.43198,-6.34836,56.8996919319,111.154683477,115.58054431,0.894915275712,15.3704,0.307401740827,122.976533148,5.87396,5.77453300255,113.795252993,0.613798,5.77086,15,44.5975466513,5.87907381324,216.121681563,83.9020499789
17.2524,16,0.61517,-7.86732,22.9396824515,167.178329766,174.65690988,1.45477034033,16.5436,0.363850984629,135.164949684,7.24804,7.17121920656,171.739351767,0.660138,7.16686,16,50.5433307438,7.25281627398,194.939440354,111.202520927
18.3125,17,0.814546,-9.51539,41.2658340362,164.234190691,173.673772933,2.16144091335,17.5814,0.397188366253,152.441969599,8.78122,8.72068866334,169.77130871,0.685137,8.71606,17,39.4887843334,8.78626839746,177.476870154,110.457286082
19.528,18,1.07918,-11.3078,59.3552547825,168.714867854,177.074564369,1.29401961628,18.3585,0.448665310991,127.240806364,10.4437,10.3982762172,172.984954241,0.644479,10.3927,18,40.9245649529,10.4493480278,178.163305631,112.016420765
20.5365,19,1.26855,-13.146,5.52765769444,240.892121853,265.498347371,5.66097273819,19.0044,0.495977334929,150.270975347,12.203,12.1672186395,254.856136672,0.643616,12.1626,19,54.7463384418,12.2077396515,186.165039756,143.683294291
21.6451,20,1.72288,-14.9311,43.2691132259,234.38224532,247.084919204,3.45176812231,19.8741,0.549861438736,185.358510062,13.9424,13.9143000731,241.625740197,0.672235,13.9091,20,62.0288654691,13.9465861318,306.382897406,138.920391038
22.8992,21,2.2466,-16.8678,43.3345216614,279.512438731,305.122814319,5.86962435381,20.3579,0.633211932901,185.842549064,15.7488,15.7256891835,292.952335352,0.624716,15.7203,21,69.4206664313,15.7525280736,285.625832254,155.89399672
24.1409,22,2.69252,-19.0458,25.2824605234,291.982622119,315.976872921,6.25340750482,20.7858,0.706674126568,163.39570961,17.8158,17.7914374678,305.944777462,0.575955,17.7854,22,108.278657966,17.8180843179,356.294797897,160.176175232
25.4177,23,3.31952,-21.0801,9.66967280643,428.670952098,501.755868567,21.0844649316,21.2328,0.771384366021,213.351296958,19.7983,19.7827771047,457.079393415,0.612809,19.7736,23,130.020773717,19.8062304568,491.877343728,200.513333834
26.6023,24,4.22426,-23.4113,41.1226575722,335.571684958,359.153949963,6.10004107074,21.8029,0.867804499711,240.503243396,22.0442,22.0279603971,348.166263252,0.699126,22.0225,24,117.040031628,22.0459849023,410.906508251,172.212731719
27.6498,25,3.6866,-25.4773,49.8372379235,274.383045363,296.337147653,6.49610031099,22.1998,0.839425072368,197.814304219,24.0705,24.0579012614,285.078330785,0.562602,24.0488,25,93.1712791024,24.0763226679,299.287029431,147.96547659
28.6711,26,5.15424,-27.7641,54.0350755243,353.135159819,369.964305519,3.73792098796,22.6093,0.961660846221,190.398517336,26.0773,26.0603997889,362.296383503,0.589115,26.0518,26,106.317196462,26.0786658135,371.531925132,161.587412518
29.7384,27,5.35176,-30.0814,83.6771625776,172.736343995,664.690170413,136.496226196,22.9818,0.98868899178,163.502294184,28.187,28.1765777979,232.993207727,0.499741,28.1649,27,76.3523434252,28.1923695221,322.720046599,121.901131405
