QFunRegParamNorm,AverageEsReturn,AverageY,AverageDiscountedReturn,AverageAbsQYDiff,MinEsReturn,StdEsReturn,StdReturn,MinReturn,AverageReturn,Iteration,AverageQLoss,MaxReturn,Epoch,PolicyRegParamNorm,AverageQ,AveragePolicySurr,AverageAbsY,AverageAbsQ,AverageAction,MaxEsReturn
10.4467,5.84561403509,0.972580139557,19.7357997816,0.903762266495,3.0,2.80884589578,4.55679186834,15.0,21.978021978,9,0.84275,44.0,9,10.4753,0.0688179,-0.125671,0.972580139557,0.074273,0.000650295,24.0
11.4218,2.82253521127,1.14191567487,2.36448318247,0.0551418733834,2.0,0.636495064451,0.485897577231,2.0,2.38208670796,10,0.0154565,3.0,10,11.3067,1.12749,-1.23181,1.14191567487,1.1275,0.999976,8.0
13.3552,2.7728531856,1.58016107827,2.37117601529,0.0548970844972,2.0,0.468905607506,0.487504070588,2.0,2.38891543239,11,0.00998793,3.0,11,11.3062,1.57993,-1.61039,1.58016107827,1.57993,0.999975,5.0
16.0363,6.16233766234,2.0340700259,38.4844978573,0.0752913478568,2.0,8.72484940459,0.783145280354,47.0,48.347826087,12,0.0170231,51.0,12,14.3465,2.03386,-2.26489,2.0340700259,2.03386,0.430459,44.0
19.3383,40.36,2.77118203337,64.4711540739,0.105234038821,4.0,24.6850237999,23.0563803729,63.0,105.526315789,13,0.0328676,187.0,13,16.2226,2.77098,-3.21059,2.77118203337,2.77098,0.739318,85.0
22.4411,43.1739130435,3.5049152323,41.7069588315,0.134940683166,11.0,19.6040194945,2.39996759012,49.0,53.7272727273,14,0.052579,61.0,14,17.4879,3.50479,-4.1024,3.5049152323,3.5048,0.497485,92.0
25.6092,30.0303030303,4.25890386215,42.3586769864,0.153808925199,4.0,22.0474486238,2.44247013617,50.0,54.8469945355,15,0.0743327,62.0,15,18.2588,4.25885,-4.99318,4.25890386215,4.25889,0.39509,75.0
28.4856,28.1351351351,5.02832415251,42.6735752323,0.174495268384,3.0,21.7779483835,6.39428238083,43.0,55.5635359116,16,0.104024,88.0,16,19.8532,5.02823,-5.88698,5.02832415251,5.02838,0.262372,110.0
31.2178,16.5737704918,5.82538828873,35.0121413753,0.185121658808,4.0,13.6375314054,3.04226984344,39.0,42.9273504274,17,0.12702,53.0,17,21.622,5.82529,-6.81385,5.82538828873,5.82567,0.210598,71.0
33.886,16.2950819672,6.60066299634,30.5655835714,0.207684403467,3.0,12.423331121,0.45698159494,36.0,36.2971014493,18,0.168099,37.0,18,22.9315,6.60057,-7.70895,6.60066299634,6.60112,0.0802116,59.0
36.5136,15.5692307692,7.41373448645,50.6073867296,0.224492604013,3.0,11.4676390579,15.1737485062,45.0,71.2765957447,19,0.208829,128.0,19,23.9822,7.41394,-8.62278,7.41373448645,7.41484,0.279725,44.0
39.0278,17.8214285714,8.20734884654,34.1424404186,0.25079187409,2.0,15.0761248607,3.07010202111,36.0,41.6058091286,20,0.264366,48.0,20,24.7711,8.20729,-9.50163,8.20734884654,8.20867,0.171371,62.0
41.4397,13.8611111111,8.9997493083,38.491240043,0.2759693013,4.0,12.7946446648,5.75409571471,41.0,48.5169082126,21,0.330847,73.0,21,25.5717,8.99972,-10.4196,8.9997493083,9.00142,0.290603,70.0
43.7431,13.3733333333,9.80501791399,37.8897378725,0.300724825365,3.0,11.1004784682,4.01801831111,43.0,47.4644549763,22,0.403022,83.0,22,26.3053,9.80514,-11.3355,9.80501791399,9.80752,0.205216,54.0
45.7854,13.0,10.6489156204,30.6213657623,0.325015583395,3.0,10.4384404468,0.656904838574,35.0,36.3781818182,23,0.463954,39.0,23,27.0934,10.6493,-12.2954,10.6489156204,10.6521,0.154552,52.0
48.1407,14.2571428571,11.4443583745,31.5382156847,0.359410511811,2.0,10.6967093929,1.90946729518,35.0,37.7180451128,24,0.582953,41.0,24,27.7291,11.4449,-13.2102,11.444358498,11.4488,0.150512,49.0
50.1307,14.9402985075,12.2729892222,29.361208475,0.378910849281,3.0,12.0048256429,0.492512305417,34.0,34.5862068966,25,0.666401,35.0,25,28.2999,12.2738,-14.1287,12.2730108814,12.2788,0.0757655,57.0
52.0301,11.6470588235,13.0533339991,29.161250003,0.406537702108,3.0,8.14241745047,0.460320345837,34.0,34.3047945205,26,0.770802,35.0,26,28.8608,13.0539,-15.03,13.0533590157,13.0599,0.0749178,39.0
54.0566,13.698630137,13.962805714,30.3452477167,0.443134978443,3.0,10.1342832383,1.29048485938,34.0,35.9892086331,27,0.925135,37.0,27,29.4288,13.9631,-15.995,13.962805714,13.9708,0.18671,43.0
55.9074,10.8172043011,14.7207434058,29.9136914973,0.458557947371,3.0,8.50420039993,1.5369928071,34.0,35.3780918728,28,1.03747,39.0,28,29.9017,14.7215,-16.8547,14.7207619224,14.7302,0.191239,43.0
57.895,11.5172413793,15.4694488817,32.8697564335,0.48686057712,3.0,9.10331765842,1.10472717362,35.0,39.6600790514,29,1.16191,43.0,29,30.4285,15.4706,-17.7034,15.4694560407,15.4807,0.273519,46.0
59.5567,12.987012987,16.2494721842,44.2004221527,0.512608555373,3.0,11.2290133328,10.1470869389,45.0,58.5087719298,30,1.28822,142.0,30,30.8138,16.2509,-18.6013,16.2494815642,16.2633,0.31813,57.0
61.2463,12.45,17.041157348,43.2745653432,0.526186959747,3.0,10.681643132,12.9929161233,44.0,57.1885714286,31,1.38416,127.0,31,31.3631,17.0419,-19.4426,17.0411617583,17.0547,0.36351,52.0
62.8629,15.9365079365,17.7793199547,45.4263512788,0.559709715467,4.0,14.7399392817,14.4758511908,41.0,61.243902439,32,1.57675,137.0,32,31.7257,17.7803,-20.3401,17.7793263072,17.7952,0.410643,101.0
64.3353,13.8571428571,18.6063196941,47.5607932243,0.597321873544,3.0,10.8697295462,16.6697369977,42.0,65.4379084967,33,1.72318,165.0,33,32.0961,18.6068,-21.2546,18.6063517266,18.6249,0.44056,50.0
65.8957,14.9275362319,19.402490239,42.1683182404,0.601107912238,4.0,12.0160747896,6.39212540725,45.0,54.6885245902,34,1.82886,80.0,34,32.3631,19.4038,-22.1472,19.4025696255,19.4231,0.417008,56.0
67.389,15.1515151515,20.248093505,35.7577395806,0.656026577685,4.0,17.1457587513,2.87390833263,38.0,44.0704845815,35,2.07945,54.0,35,32.6438,20.2492,-23.1033,20.2482144188,20.2718,0.424863,105.0
68.6469,16.3,21.0800765624,39.7921017008,0.67154858153,3.0,11.9795659354,5.20626481728,41.0,50.6161616162,36,2.19157,70.0,36,32.8471,21.0817,-24.0245,21.0801676014,21.1036,0.396178,75.0
70.0519,13.3116883117,21.9096307877,39.7963237111,0.68045603129,3.0,11.1533114764,5.99002887079,42.0,50.6616161616,37,2.32922,91.0,37,33.1145,21.9108,-24.9521,21.9096561929,21.9336,0.409553,51.0
71.3954,16.9827586207,22.6977509924,40.6221686424,0.704031197108,2.0,13.2827232606,6.24639711988,37.0,52.0569948187,38,2.48905,74.0,38,33.3307,22.6988,-25.8379,22.6978454348,22.7244,0.413857,66.0
72.5672,15.2575757576,23.5632614836,35.7741918754,0.728993708191,3.0,13.6695975491,3.83887783839,34.0,44.127753304,39,2.74397,63.0,39,33.4807,23.5644,-26.7846,23.5634158877,23.5948,0.373147,88.0
73.7527,14.5882352941,24.4243795514,39.392159231,0.736608227037,3.0,14.1496573375,4.72221341346,35.0,49.9353233831,40,2.72826,64.0,40,33.7261,24.4259,-27.7109,24.4246843121,24.4538,0.397421,67.0
75.1352,14.0555555556,25.2232896,36.168457877,0.764362118812,4.0,11.11291652,3.9745257667,39.0,44.7455357143,41,3.01627,64.0,41,33.9055,25.2249,-28.5718,25.2234983377,25.2548,0.412276,56.0
76.4654,16.1666666667,26.1206193524,34.7717292318,0.788963967309,4.0,11.8168899838,2.96071761578,36.0,42.5574468085,42,3.30404,55.0,42,34.0487,26.1211,-29.55,26.1209343176,26.1533,0.425028,56.0
77.758,17.649122807,26.894726242,38.2674983223,0.810736246213,3.0,14.5584017198,10.8131051083,35.0,48.4444444444,43,3.44333,179.0,43,34.3032,26.8968,-30.4574,26.895380344,26.9313,0.426134,76.0
78.7911,14.1666666667,27.7855408246,37.3413509466,0.836156651087,3.0,11.9710298452,14.3634879298,34.0,47.2311320755,44,3.67965,199.0,44,34.519,27.7853,-31.4073,27.7862705451,27.8198,0.46871,72.0
79.7415,14.7352941176,28.6142708293,65.9842336864,0.887612874949,3.0,10.5434920645,158.656187932,37.0,175.275862069,45,4.07441,680.0,45,34.8327,28.615,-32.3304,28.6148447622,28.6555,0.482277,52.0
80.8316,17.3103448276,29.4649878818,44.2198750334,0.863750487332,3.0,14.548618724,74.1415149204,35.0,71.7071428571,46,4.17012,461.0,46,35.0737,29.4663,-33.2341,29.4658354719,29.5073,0.479053,69.0
82.0891,15.0454545455,30.2344572175,59.5108006567,0.898100699718,3.0,15.1891426715,205.492448485,42.0,161.111111111,47,4.50954,987.0,47,35.3151,30.2353,-34.0768,30.235309353,30.2767,0.481095,93.0
83.145,15.9206349206,31.0475034208,73.0346115336,0.916812025132,3.0,12.1971914375,346.502403391,46.0,336.133333333,48,4.77529,1000.0,48,35.5262,31.0481,-34.9825,31.0482950685,31.0925,0.516939,63.0
84.2207,16.6724137931,31.8316634125,99.9940759379,0.955351074501,3.0,13.3175900417,46.5717255407,838.0,985.272727273,49,5.08103,1000.0,49,35.7684,31.8325,-35.7846,31.8325244108,31.8843,0.438897,58.0
85.2017,16.8852459016,32.5568771649,99.9956828753,0.959589120409,3.0,12.19661114,0.0,1000.0,1000.0,50,5.19553,1000.0,50,35.9667,32.5572,-36.6023,32.5578834378,32.6061,0.458474,55.0
86.354,16.2833333333,33.4439716272,99.9956828753,0.96293932709,3.0,15.2163198208,0.0,1000.0,1000.0,51,5.23597,1000.0,51,36.1783,33.4448,-37.4668,33.4453689744,33.4954,0.446565,87.0
87.3822,19.0740740741,34.2234850397,99.9956828753,0.956219448885,3.0,13.5726465825,0.0,1000.0,1000.0,52,5.41515,1000.0,52,36.4992,34.2252,-38.3455,34.2257118968,34.2773,0.609634,75.0
88.5141,18.5555555556,34.9920290477,99.9956828753,0.997226920268,3.0,16.4448198155,0.0,1000.0,1000.0,53,5.81818,1000.0,53,36.7038,34.9925,-39.1305,34.9943714307,35.0448,0.507601,78.0
89.5166,18.4814814815,35.7584046296,99.9956828753,1.03462353219,2.0,13.3621088665,0.0,1000.0,1000.0,54,5.97601,1000.0,54,37.0262,35.759,-39.9673,35.7608686433,35.821,0.57716,65.0
90.3759,23.7619047619,36.5473919548,99.9956828753,1.03847620656,3.0,18.8765532616,0.0,1000.0,1000.0,55,6.09184,1000.0,55,37.3282,36.5495,-40.8568,36.5500141729,36.6091,0.556241,76.0
91.3534,26.3243243243,37.3858084233,99.9956828753,1.05038267539,3.0,26.1265672532,0.0,1000.0,1000.0,56,6.48504,1000.0,56,37.5554,37.3859,-41.6738,37.3889064304,37.4441,0.465255,151.0
