Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
19,69.984169888,0.0645319668902,126.850800345,19.1688297458,0.0445933327739,17.1245754206,7.80804514492,0.916699,11.6865186051,5.81327220855,20.978,-0.929539,15.9185,0.161301819669,0.828532184869,0.0145478,-0.321438240904,0.0404113475494,11.4276197298,20.5222338436,0.827584,0.828532184869,0.82759
20,70.7395200493,0.0766006979917,113.669771821,31.6865175843,0.0721231202823,26.1837151249,9.14726868877,0.853852,15.2455103565,13.3164797692,21.7016,-1.09146,15.9439,0.122682347336,0.950781510823,0.0199263,-0.599910744353,-0.0179099321814,13.4279151885,28.1169912715,0.950574,0.950781510823,0.950586
21,37.8078305916,0.0857000746911,37.4833972512,22.4360005425,0.0475072945388,20.1769129862,5.48727436077,0.807579,5.21610375715,9.58682185016,22.4128,-1.23757,16.0613,0.141232525079,1.08983313877,0.0231099,-0.132591290869,0.0303836834979,5.89136567942,21.6883415587,1.08872,1.08983313877,1.08876
22,41.2812856141,0.094357357178,31.948442738,21.6847789112,0.0272334667356,19.7163579277,5.25545771199,0.866506,4.24627889385,10.1211016981,23.1541,-1.36561,16.2127,0.116884471711,1.21877360601,0.0270249,-0.0323827891012,0.0596740003083,5.44153146875,21.9631074818,1.21743,1.21877360601,1.21749
23,31.5658943244,0.102483479871,29.1249401438,15.9051393093,0.0273514311011,14.742381089,4.75524594867,0.852054,4.51409442158,4.43278725773,23.8754,-1.4651,16.3964,0.134859573513,1.31970848482,0.029895,-0.031206578448,0.0299360905405,4.58758990991,18.1705372476,1.31837,1.31970848482,1.31841
24,26.1006761072,0.109080135378,49.4042578565,17.6321091291,0.0304213502467,16.2505581339,7.21802593512,0.87533,4.49711873854,7.55644515879,24.5526,-1.52558,16.5338,0.214151038683,1.39422711556,0.0333679,-0.0322641341308,0.0394075480519,3.83866024657,16.0305049824,1.39296,1.39420788298,1.39307
25,105.167553438,0.118570110439,122.777660879,34.5880518532,0.0967555520984,28.7410144472,8.23102356587,0.808822,16.3700659417,4.98036045132,25.1872,-1.57831,16.5442,0.448245665959,1.44958566639,0.038533,-0.140521765539,0.0590539241574,13.9346543958,22.739110278,1.44795,1.44957688559,1.44818
26,42.8025075175,0.135010033617,9.15856997032,5.55449533901,0.0105661080489,5.42336927453,3.62566558448,0.650329,0.832166243136,3.13903274442,25.8581,-1.67959,16.6223,0.0358548698318,1.4827738213,0.0508233,-0.0385373048105,-0.00194599496652,5.07635948481,6.87736258121,1.48082,1.48272719711,1.48098
27,58.3280022608,0.142002224886,125.969411506,54.4295078323,0.125060435575,40.8732003776,3.11387203301,0.809495,22.7030073219,16.2279290362,26.5119,-1.71591,16.5839,0.603219431137,1.55219266905,0.0537869,-0.201064166033,0.0346363939905,15.9121352475,15.6920553329,1.55048,1.55216921134,1.55101
28,75.5848470975,0.146576858147,133.482870577,41.4779802274,0.0946361833694,32.8896249901,21.0664207566,0.699311,19.717177172,10.7520128682,27.0645,-1.80447,16.5633,0.337615587261,1.59970512228,0.0568187,-0.175326554674,0.0153519245004,16.2392060901,42.3250122052,1.5982,1.59928127414,1.59876
29,74.622563681,0.152216583077,98.7633225157,37.769083063,0.171092490442,30.7650993573,8.81809902784,0.765486,22.788447368,12.5601330215,27.6634,-1.88576,16.5627,0.589884748715,1.67818060272,0.0622695,-0.0928415473752,0.102563209614,19.0273285647,38.0698554771,1.6766,1.67815460201,1.67712
30,100.063499492,0.157804510136,181.238611954,38.3991525517,0.0999371037576,31.3346563883,1.63323381994,0.701893,15.9635478271,11.5109688945,28.1936,-1.94993,16.5648,0.474574376245,1.74482931981,0.0663887,-0.179357527986,0.0175641834845,22.5795811563,39.5376448553,1.74329,1.74482587324,1.74376
