AverageQLoss,MinForwardProgress,AverageReturn,MaxForwardProgress,StdForwardProgress,MaxEsReturn,AverageAbsQYDiff,MinReturn,MaxReturn,AverageQ,AverageAbsY,AveragePolicySurr,StdReturn,AverageAction,Epoch,AverageY,AverageEsReturn,MinEsReturn,AverageForwardProgress,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdEsReturn,PolicyRegParamNorm
29.8310493739,-0.202829666613,1.06995079151,24.3196,60.4156125499,0.195646469137,1.71296,-1.66855,20.3208,46.5002875085,137.407355671,1.62278,0.287963269683,0.0148946,-3.30721475759,0.8887,1.62267290052,17.2597935077,38.1525978522,0.0774044582794,1.71427301471,45,4.08032372741,21.1594990536
27.1665268404,-0.223832096392,0.841213731292,24.4851,48.409078514,0.236277028101,1.74681,-1.69427,20.5315,38.7379705374,122.294021753,1.65017,0.187612072193,0.0155779,-6.63442582681,0.914268,1.65002092518,16.2518903628,21.7394050322,0.0788438371141,1.7480938434,46,-15.5568255638,26.5835654626
25.8390417222,-0.181699926566,0.782798469971,24.6154,80.2550381982,0.149026576714,1.80913,-1.76638,20.7755,38.6522420763,101.054714933,1.71471,0.230635852457,0.0167336,-1.56732359111,0.921548,1.71461502527,14.0366635227,42.7207973809,0.0813080971634,1.81061413526,47,26.9684744253,17.2956666603
20.8891641413,-0.047465838751,0.753164544955,24.7406,69.7979692396,0.123195965799,1.83974,-1.7977,21.0691,28.6568384891,97.6097615352,1.74464,0.161374857886,0.0167144,6.50168984554,0.893939,1.74451489489,23.1982317639,28.6538947652,0.0812213332243,1.84107889301,48,-19.3277713955,14.3956016401
31.4956636501,-0.525320690185,0.997501300578,24.9017,116.258162686,0.256319509431,1.89477,-1.85202,21.3357,47.0654344851,139.906524285,1.8018,0.265971783154,0.0169975,-31.6416463361,0.908779,1.80189828667,23.1772787105,67.8848374523,0.0826099710646,1.89634649681,49,35.56956245,28.2104474342
22.2948288754,-0.486321073015,0.895784712631,25.0478,112.666627176,0.280319018888,1.94527,-1.90644,21.6055,36.040798921,121.100765041,1.85898,0.177666721336,0.0184206,-30.2172537081,0.878256,1.85905839774,35.9572885252,44.1493125535,0.0845417499077,1.94644705816,50,-1.75718597039,31.9550265802
20.1152244551,-0.465864012883,0.417295342282,25.1948,103.607696036,0.139387049336,1.98641,-1.94295,21.9346,23.7341096998,90.5494692005,1.89843,0.0502894836844,0.0187813,-22.580183431,0.898183,1.89815349415,36.3756151224,23.8032178659,0.0868084813267,1.98792652431,51,-33.3953817029,15.7164015832
33.9433059213,-0.433089974336,0.97657064563,25.3469,106.766278909,0.363399017201,2.00855,-1.97114,22.2137,64.2018664928,130.921182098,1.92524,0.360400796489,0.0196173,-10.9129343431,0.921908,1.92516010051,30.5962006513,35.603117014,0.0875193999029,2.00968335103,52,-3.44211016431,40.1137990084
23.5328963639,-0.766376831123,0.913594754989,25.4708,144.256144118,0.32554860917,2.05226,-2.01373,22.4881,27.4514820878,128.977822184,1.97175,0.0160924509285,0.0203283,-48.3100013759,0.892585,1.97176762551,53.9996404291,45.7595562365,0.0886635173663,2.05372498319,53,-6.69006014558,34.7861373595
21.0750914282,-0.433988043238,1.2216210872,25.5723,115.924967114,0.304087890714,2.1062,-2.10608,22.7011,31.5433566032,161.72168627,2.02925,0.100824261142,0.0242491,-25.5042224696,0.896543,2.02952614859,34.3115096617,32.8402696869,0.0980887729079,2.10808958678,54,1.72889637412,33.0938812553
