MaxEsReturn,AverageDiscountedReturn,AverageEsReturn,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageQ,QFunRegParamNorm,AverageAction,AverageAbsQ,MaxReturn,AverageAbsQYDiff,Epoch,StdEsReturn,Iteration,MinReturn,AverageAbsY,MinEsReturn,AverageY,AverageReturn,AveragePolicySurr
18.8237639931,-1.76253983224,-4.17132893495,18.5842,11.7104,0.609216319197,-0.966838,11.4917,0.205811,1.10932,-1.72608177748,3.68366878942,9,3.84302490764,9,-4.8936735985,2.7271860882,-15.7202079782,2.71683075649,-3.51491206544,0.367903
3.05778288867,-7.81605887527,-7.94456928729,0.465287,12.1731,0.0654385516431,1.53765,11.7022,0.999934,1.55073,-7.93124395981,0.402621940177,10,2.99468477187,10,-8.25759366958,1.58488141527,-17.9671889719,1.5655160118,-8.0933755824,-2.07075
-1.25641929965,-7.97715836051,-7.51779213739,0.0529648,12.2783,0.0669391660113,1.2434,11.7953,0.999997,1.2661,-8.07565454333,0.167395806753,11,1.70731185133,11,-8.4499213664,1.27013514509,-16.3974797172,1.24843148103,-8.26079280198,-1.57287
-4.56788233471,-7.97558599116,-7.82073202198,0.0261857,12.2883,0.0677900787256,1.19935,11.8622,0.999999,1.23506,-8.04937353173,0.123567239243,12,1.86674726539,12,-8.44219238879,1.23394377352,-18.7457162524,1.20080070972,-8.25914045018,-1.35016
-4.38653872981,-7.97468381999,-7.7905396512,0.0212341,12.2952,0.0669304270533,0.9201,11.9399,0.999999,1.01985,-8.06580351562,0.112228783247,13,1.46273428472,13,-8.45993413949,1.02048903959,-16.5953690738,0.920548146382,-8.25823179144,-0.921252
0.760049900411,-16.6547788559,-8.20883114062,0.0175453,12.4989,0.108067465085,0.521844,12.0468,0.998377,0.772426,-17.4739850223,0.100772786727,14,2.42662880582,14,-18.0916317552,0.77413909932,-18.1817230397,0.521537399149,-17.7817913395,-0.426748
-0.766441645114,-9.49520438668,-9.5159677018,0.0136967,13.2582,0.0815065870706,0.247026,12.2252,0.988308,0.598033,-10.0248084177,0.0876729720201,15,1.7576295831,15,-10.4404550871,0.599574751811,-15.6245377446,0.24704085853,-10.2312817048,-0.40376
2.47414201295,-9.58627683306,-9.29215119306,0.0116098,13.606,0.0647668785565,0.190355,12.4575,0.976322,0.543831,-10.0778805077,0.0798041879995,16,2.140719202,16,-10.515069221,0.545739866194,-14.7239848455,0.190385621481,-10.3149986511,-0.280033
-4.67049389744,-5.27580262643,-9.57082945527,0.0111668,14.214,1.35389108865,0.0746991,12.6918,0.907768,0.497602,-5.3359873475,0.0778614702851,17,4.10124195203,17,-11.2894221142,0.500036529296,-32.6407006337,0.0747697889666,-8.5205440937,-0.352379
230.674364423,4.47616193701,32.7959873572,0.0125071,14.6539,4.28710726741,0.415956,12.9642,0.567782,0.611813,-19.5533421463,0.0819876679984,18,81.3790817732,18,-39.1215302487,0.617303855622,-8.3266583513,0.417157446916,-29.2182211645,-0.89079
623.035107169,38.2344032706,453.414158541,0.0124687,15.3314,216.553442137,0.695287,13.2895,0.397634,0.786641,970.740080383,0.0795695226142,19,169.620948629,19,-47.5696056284,0.791307954394,283.793209912,0.696059958439,137.324377275,-1.14332
