AveragePolicySurr,MinReturn,AverageDiscountedReturn,AverageAction,StdForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageQ,StdReturn,MaxReturn,AverageQLoss,AverageEsReturn,AverageReturn,AverageAbsQ,AverageForwardProgress,MaxForwardProgress,AverageY,MaxEsReturn,AverageAbsQYDiff,StdEsReturn,Epoch,MinEsReturn,AverageAbsY,MinForwardProgress
-46617.5,-3.41347297716,5.52362549303,1.0,0.0330211918496,17.5882,627.596,46120.2,4.27360134149,19.0781360667,2.5646e+09,6.95636298855,6.52514296628,50414.9,0.000996484604544,0.0955211034563,43325.310897,15.491108339,20016.9750469,3.58490170718,42,-1.09102319823,46077.8237983,-0.0765055124677
-51302.9,-5.4849069891,5.25321421884,1.0,0.0302818332302,17.5882,626.312,50765.9,3.91041383307,17.3023903816,1.20041e+09,6.91508271095,6.20347177052,55045.5,-0.00158582892888,0.084265562122,50199.3666494,15.3350762436,18221.972464,5.12921501711,43,-4.38242000013,52480.6991786,-0.0887182567474
-62655.9,-5.3688384721,5.34751521605,1.0,0.0317628812451,17.5882,622.216,62196.6,4.09529466037,17.0062716942,9.64821e+08,7.23428224427,6.31329485791,65523.9,-0.000642835384306,0.083092788418,62887.5077115,17.4838492877,15750.8126956,4.55892204644,44,-0.0573191069758,64930.2211456,-0.0952651952968
-67262.3,-5.01668930829,5.42428328246,1.0,0.0326033561217,17.5882,621.81,66753.6,4.19101262254,17.9275465205,7.31794e+08,7.02842655252,6.40709109045,68863.7,-9.12675513466e-05,0.0893104073847,67730.3211987,11.9159803524,13358.4789037,3.55493689041,45,-3.76525525085,69375.293057,-0.0884038227107
-63917.5,-4.15032642982,5.63105539276,1.0,0.0336905351493,17.5882,623.185,63248.7,4.36234205482,18.4317090322,8.52746e+08,5.62908503485,6.65690029257,66401.4,0.0018234204941,0.0924273199002,64711.6746701,11.9920100612,14692.4676011,3.83366167132,46,-3.57415940441,66581.0756647,-0.0799666301689
-59870.8,-5.93881196309,5.21071929043,1.0,0.0340603618109,17.5882,622.929,59093.3,4.39725867715,19.3773464968,6.99887e+08,7.4699531112,6.15622054483,61553.6,-0.00212528461486,0.100352830082,60343.796884,18.1385224697,12631.0490547,4.39119744859,47,-0.393574620582,62116.7446532,-0.0951582106423
-54995.2,-6.42359977429,5.35472627688,1.0,0.0329096483175,17.5882,622.639,54075.6,4.2426216378,20.2589737254,6.58408e+08,5.8744352535,6.32440905766,56891.9,-0.000698815746542,0.106196104143,55098.9062595,16.2033497264,12115.3156894,4.23832899108,48,-0.580210188245,56828.4491535,-0.0989013778774
-50589.4,-4.96226200864,4.80380864629,1.0,0.0316758337086,17.5882,623.428,49526.9,4.07177763397,18.4389709129,7.91148e+08,5.55550286921,5.66797552389,53226.2,-0.00579938209601,0.0915564962703,50552.9773146,15.1120009029,13064.8402648,4.62397309913,49,-4.66693296634,52149.3714151,-0.0920149130711
-47211.8,-3.46972801452,5.45956604443,1.0,0.0314792104688,17.5882,630.923,46066.5,4.07574259255,15.7879007461,1.02086e+09,6.14046607596,6.44770797834,51199.8,0.00043001873278,0.0722082896317,46791.2332973,14.325014579,13300.4094087,4.19145176828,50,-2.40734015612,48676.1595569,-0.0790497997059
-48087.9,-9.39036072697,5.41081932927,1.0,0.0309280827542,17.5882,637.207,47026.7,3.98089470978,17.487462896,5.92902e+08,5.08871508196,6.38916059681,50512.5,-0.000113920213313,0.0878959127158,46923.9865843,15.103344207,11021.9481638,4.41481180686,51,-4.11154461957,48793.805641,-0.122023938678
