StdEsReturn,AverageReturn,PolicyRegParamNorm,AverageQLoss,AverageY,StdReturn,Epoch,MaxForwardProgress,MinEsReturn,AverageForwardProgress,AverageAbsY,MinForwardProgress,AverageAbsQ,QFunRegParamNorm,AverageAction,AverageEsReturn,StdForwardProgress,MaxEsReturn,AverageAbsQYDiff,MinReturn,AverageQ,MaxReturn,AveragePolicySurr,AverageDiscountedReturn
12.604725547,4.26216529809,15.2269,0.0299459,0.2210672241,0.541719788449,9,0.0227368799321,0.993024310021,0.000488919366819,0.2210672241,-0.0334292367707,0.164,15.2904,0.895322,34.5377148188,0.00799544553562,72.615362114,0.151203599401,2.52715846335,0.164,6.4425818901,-0.173412,4.19385343063
0.993751532359,4.32920278763,15.5004,0.000635861,0.191708206806,0.641655817992,10,0.0298801463533,2.3499391933,-0.000112802803167,0.191708206806,-0.03219164537,0.191095,15.763,0.997312,4.07459745375,0.008485436212,14.0376434488,0.0138604904267,2.41895580197,0.191095,6.49618653844,-0.191528,4.25658208711
0.507707812206,4.29813338255,15.7231,0.000790139,0.265629802024,0.428050840057,11,0.0281103408226,2.58790938714,0.00225943547949,0.265629802024,-0.0214339723526,0.265499,16.6216,0.99754,4.31508716197,0.00722686823139,5.68220945441,0.0155555587126,2.90432919935,0.265499,6.31093179119,-0.269475,4.23103191377
0.44110984492,4.28925205007,15.8421,0.0014715,0.347012974177,0.417791272761,12,0.0271585025933,2.97305685785,0.00211052861399,0.347012974177,-0.0215769431673,0.347049,17.4933,0.999616,4.29375861279,0.00697702669882,5.67220404519,0.0206323933609,2.94567963978,0.347049,6.72695949782,-0.347108,4.22222899229
1.73669694104,7.4768679418,15.8678,0.00196102,0.415182564784,1.15929258639,13,0.0240175367948,3.38573599106,-0.019330170586,0.415182564784,-0.069456587726,0.41502,18.2907,0.998807,5.86031021592,0.0136496444901,10.4909064969,0.0237261062318,4.70476532773,0.41502,11.8769694468,-0.452889,7.21323603565
1.09923122126,19.3765135935,15.9648,0.00266082,0.476623111393,11.7473368775,14,0.188287640636,4.8051433003,0.0345607558603,0.476623111393,-0.157370541695,0.476474,19.1439,0.991082,7.41815538174,0.0419114920636,9.80696223593,0.0285947907416,6.12418393477,0.476469,72.6365168721,-0.519471,17.2521837586
8.6662415812,15.5180331849,15.9275,0.00560914,0.587043410535,4.31110936943,15,0.0747010621076,6.83860834628,-0.00172070933699,0.587043410535,-0.0941337925284,0.587698,19.7631,0.986455,16.6415016787,0.020873369019,61.5547585856,0.039426357858,6.38388441944,0.587696,36.538844484,-0.624375,14.4156270046
3.35385108176,6.48679277831,15.9936,0.00765338,0.668983283274,0.990459884928,16,0.0378594383279,2.15909753628,7.47802819645e-05,0.668983283274,-0.0434014655041,0.668762,20.3202,0.965372,4.3802370695,0.0114247675086,23.2720057102,0.0451871858805,3.72133268581,0.668747,9.49904880046,-0.738362,6.30603959205
5.8077615971,12.3876145278,16.1036,0.00962078,0.762789914879,11.0678613954,17,0.470726995387,2.82923785972,0.0284607383637,0.762789914879,-0.0391672634791,0.762265,21.1438,0.935854,7.49321119205,0.0731358197016,59.7873028193,0.0538164609415,3.60418653111,0.762253,63.8878119711,-0.86547,11.3479071508
11.2473839367,15.2772732978,16.2677,0.0124545,0.854327871035,3.89591361329,18,0.108652889387,2.07491301651,0.0249004171386,0.854327871035,-0.0383433381172,0.853817,21.7921,0.961067,12.1958625571,0.0218821644139,59.0124910834,0.06236200775,6.14241819244,0.853817,27.2385669214,-0.954176,14.1965984223
3.85230174915,11.7956368747,16.2726,0.0152742,0.928143896872,5.49510631804,19,0.149120598255,8.18027786483,0.0137475754587,0.928143896872,-0.0449808239041,0.927486,22.4337,0.881843,14.2719944469,0.0245471580629,25.0362206335,0.0703106847379,4.08934756346,0.927486,27.0878822734,-1.02221,11.0646266722
2.5130760902,11.6153818916,16.2312,0.0197538,1.01695172152,1.92259959032,20,0.0895504986662,4.65061580233,0.0167276437972,1.01695172152,-0.0449243195969,1.01509,23.2187,0.854996,11.5032409336,0.0196052507212,22.076154976,0.0817783401636,5.13805914364,1.01509,17.9753808327,-1.15724,11.031176225
11.325203092,20.0430547211,16.3505,0.0211711,1.12022848105,4.06477581124,21,0.167194327599,6.54214531608,0.0600852129808,1.12022848232,-0.0415070016308,1.11883,23.8894,0.865471,18.3521568119,0.0306151792682,82.7021192028,0.087353794995,6.25579097127,1.1188,28.2172768918,-1.25091,18.3463247344
3.45525354572,15.1221921182,16.4321,0.0266972,1.18535827063,3.79007596464,22,0.104858894938,7.85522756188,0.0243301547243,1.18535827063,-0.034810740704,1.18439,24.6193,0.954898,14.826940026,0.0208447484513,22.6392293683,0.0991095047127,6.31132053302,1.18436,24.6316699881,-1.33147,14.0645937411
4.77820696784,8.8462615402,16.5253,0.024802,1.26518199894,1.08354898331,23,0.0555366638506,1.94662584673,0.00844420126126,1.26518199894,-0.0485028630466,1.26198,25.2242,0.890747,14.3912121447,0.0137819880964,23.0105150807,0.0991221477901,5.01715763605,1.2619,11.6493001984,-1.42081,8.51813772931
1.59797325297,13.9492800349,16.5753,0.0267458,1.33517470903,3.39350378351,24,0.142645611744,4.24374554869,0.0277773860408,1.33517470903,-0.0357486583608,1.33113,25.848,0.82697,9.23559838018,0.0281035867164,17.323937169,0.103712822331,5.63063368384,1.33105,29.6865422646,-1.52434,13.08559808
