StdReturn,MaxReturn,Gather_MaxReturn,AverageY,MaxEsReturn,AverageAbsY,Gather_AverageReturn,AverageAbsQ,AveragePolicySurr,AverageEsReturn,wrapped_MinForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageQLoss,wrapped_AverageForwardProgress,wrapped_MaxForwardProgress,MinEsReturn,AverageReturn,AverageAbsQYDiff,AverageQ,MinReturn,Gather_MinReturn,StdEsReturn,Epoch,wrapped_StdForwardProgress,Gather_StdReturn,Gather_MedianReturn,wrapped_AverageReturn,AverageDiscountedReturn,AverageAction
0.0,0.0,0,0.00172844671747,0.0,0.00199962553075,0.0,0.00199749,-0.0018609,0.0,-0.457323703123,19.0768,16.3393,6.2959e-08,-0.0930995849517,0.328601440486,0.0,0.0,0.000148076542164,0.00172863,0.0,0,0.0,25,0.223000367915,0.0,0.0,-5.48181654739,0.0,0.723758
0.0,0.0,0,0.00186266716819,0.0,0.00209345072398,0.0,0.00209139,-0.00198477,0.0,-0.309233528054,19.2966,16.3599,5.90097e-08,-0.0102082985747,0.308121909768,0.0,0.0,0.000142606487079,0.00186236,0.0,0,0.0,26,0.143378020941,0.0,0.0,-3.65694744006,0.0,0.68905
0.0,0.0,0,0.00192689852422,0.0,0.00213563615936,0.0,0.00213314,-0.00198742,0.0,-0.473061945991,19.4219,16.3825,5.55141e-08,-0.0760038971359,0.339369193327,0.0,0.0,0.000136030961437,0.00192714,0.0,0,0.0,27,0.188854825882,0.0,0.0,-5.68723524269,0.0,0.831446
0.0,0.0,0,0.00197042015224,0.0,0.00213818667215,0.0,0.00213602,-0.00199124,0.0,-0.409778263232,19.4735,16.4043,4.97154e-08,-0.0503633481029,0.234027583776,0.0,0.0,0.000129738890617,0.00197025,0.0,0,0.0,28,0.161124904266,0.0,0.0,-5.95924776768,0.0,0.98871
0.0,0.0,0,0.00198300351088,0.0,0.00213272918222,0.0,0.00213112,-0.00201695,0.0,-0.33330701349,19.5028,16.4213,4.31213e-08,0.0261529153305,0.473321946383,0.0,0.0,0.00012026500806,0.00198314,0.0,0,0.0,29,0.225682121271,0.0,0.0,-4.47534631094,0.0,0.998708
0.0,0.0,0,0.00199866480059,0.0,0.00214155122198,0.0,0.00213994,-0.00203842,0.0,-0.348256998539,19.5606,16.4503,4.05406e-08,0.122294662121,0.433799195787,0.0,0.0,0.000113913912759,0.00199861,0.0,0,0.0,30,0.204567382728,0.0,0.0,-2.58093326223,0.0,0.999998
0.0,0.0,0,0.00203932429312,0.0,0.00216758241715,0.0,0.00216609,-0.00208007,0.0,-0.194456848679,19.4822,16.4635,4.19812e-08,0.0933272171274,0.32858258809,0.0,0.0,0.000119843174342,0.00203928,0.0,0,0.0,31,0.158753206229,0.0,0.0,-3.1480678266,0.0,0.999908
0.0,0.0,0,0.00209621780335,0.0,0.00221432735761,0.0,0.00221375,-0.0021554,0.0,-0.292410951981,19.5246,16.4716,4.02042e-08,0.0426499812243,0.514463036921,0.0,0.0,0.000116187384942,0.00209623,0.0,0,0.0,32,0.240680232179,0.0,0.0,-4.15544244929,0.0,0.999995
0.0,0.0,0,0.0021344564919,0.0,0.00224856285958,0.0,0.00224787,-0.00220101,0.0,-0.463286610919,19.6269,16.4885,4.16262e-08,-0.0293121601453,0.340687002313,0.0,0.0,0.000116253172987,0.00213444,0.0,0,0.0,33,0.23811097564,0.0,0.0,-5.57390466616,0.0,1.0
0.0,0.0,0,0.00218730801679,0.0,0.0022891086978,0.0,0.00228845,-0.00226438,0.0,-0.339309717146,19.6274,16.5016,4.02356e-08,0.00250428592291,0.442552812067,0.0,0.0,0.000114283231658,0.00218743,0.0,0,0.0,34,0.231714580003,0.0,0.0,-4.94624699026,0.0,1.0
0.0,0.0,0,0.00220997700808,0.0,0.00231119354938,0.0,0.00231035,-0.002286,0.0,-0.280898382973,19.6646,16.5107,4.04705e-08,0.00233552192109,0.327350051076,0.0,0.0,0.000114486927571,0.00220984,0.0,0,0.0,35,0.187676950968,0.0,0.0,-4.95925404548,0.0,1.0
0.0,0.0,0,0.00226453021712,0.0,0.00236336441597,0.0,0.0023622,-0.00233574,0.0,-0.469532487462,19.677,16.52,4.51039e-08,-0.00522980134806,0.347492024257,0.0,0.0,0.000117239501793,0.00226452,0.0,0,0.0,36,0.225909706557,0.0,0.0,-5.10117943499,0.0,1.0
0.0,0.0,0,0.00227990836281,0.0,0.00237372342679,0.0,0.00237287,-0.00233838,0.0,-0.392425745948,19.6853,16.5346,4.18158e-08,0.0633748525862,0.369067467871,0.0,0.0,0.000114621250779,0.00227999,0.0,0,0.0,37,0.226508223979,0.0,0.0,-3.74889335605,0.0,1.0
0.0,0.0,0,0.00233492425485,0.0,0.00242462524833,0.0,0.00242411,-0.00239129,0.0,-0.36449650851,19.6853,16.5461,4.35607e-08,0.0416768153729,0.391314504858,0.0,0.0,0.000116820737594,0.00233491,0.0,0,0.0,38,0.227757717541,0.0,0.0,-4.16770761159,0.0,1.0
0.0,0.0,0,0.002342600831,0.0,0.00242944090063,0.0,0.00242876,-0.0023996,0.0,-0.4092406537,19.6854,16.5651,4.45775e-08,0.00615139745415,0.398953469075,0.0,0.0,0.000114605439033,0.00234252,0.0,0,0.0,39,0.250240884808,0.0,0.0,-4.87932587372,0.0,1.0
0.0,0.0,0,0.00237931827508,0.0,0.00246183565952,0.0,0.00246121,-0.00243787,0.0,-0.345362595537,19.6849,16.5827,4.51033e-08,0.026467232181,0.35387394156,0.0,0.0,0.000113504042415,0.00237932,0.0,0,0.0,40,0.195192986663,0.0,0.0,-4.46733197808,0.0,1.0
0.0,0.0,0,0.00239380836008,0.0,0.00247135313006,0.0,0.00247033,-0.00249971,0.0,-0.180108854858,19.7422,16.5991,4.86863e-08,0.0177014074294,0.259420020499,0.0,0.0,0.000123090284491,0.00239383,0.0,0,0.0,41,0.137413432125,0.0,0.0,-4.33333843518,0.0,0.933911
0.0,0.0,0,0.00242221213616,0.0,0.00250207203046,0.0,0.00250163,-0.00255831,0.0,-0.264460649056,19.9536,16.6216,5.1012e-08,0.061047623347,0.355678926085,0.0,0.0,0.000125401233509,0.00242203,0.0,0,0.0,42,0.170155764103,0.0,0.0,-2.36589346583,0.0,0.72139
0.0,0.0,0,0.00251931758153,0.0,0.00259725336096,0.0,0.00259713,-0.00269845,0.0,-0.254421658319,20.1369,16.6525,6.92282e-08,0.141163537679,0.602057128601,0.0,0.0,0.00014167526695,0.00251931,0.0,0,0.0,43,0.176620356862,0.0,0.0,-0.973837612829,0.0,0.758983
0.0,0.0,0,0.00264789694536,0.0,0.00273129964622,0.0,0.00273079,-0.00279751,0.0,-0.329837503451,20.2655,16.6819,7.30662e-08,0.0155563973878,0.346830448244,0.0,0.0,0.000141958436337,0.00264812,0.0,0,0.0,44,0.188043278379,0.0,0.0,-3.76343124709,0.0,0.816804
0.0,0.0,0,0.00273997597084,0.0,0.0028188296902,0.0,0.0028184,-0.00282574,0.0,-0.362676005375,20.271,16.7205,9.34024e-08,-0.0737909114227,0.402380658857,0.0,0.0,0.000163669721011,0.00273978,0.0,0,0.0,45,0.189585621586,0.0,0.0,-6.45158666903,0.0,0.993847
0.0,0.0,0,0.00273666591992,0.0,0.00281616766052,0.0,0.00281559,-0.00280721,0.0,-0.451823703583,20.2956,16.7704,8.87609e-08,0.0189844595227,0.34655244364,0.0,0.0,0.000157152055396,0.00273677,0.0,0,0.0,46,0.272230583112,0.0,0.0,-4.61596261486,0.0,1.0
0.0,0.0,0,0.00277760340163,0.0,0.00285763683233,0.0,0.00285676,-0.00285081,0.0,-0.329758641996,20.3161,16.8156,8.65058e-08,0.0374250102068,0.350814235515,0.0,0.0,0.000156598528915,0.00277766,0.0,0,0.0,47,0.209665143006,0.0,0.0,-4.26484477753,0.0,1.0
0.0,0.0,0,0.00278432622368,0.0,0.00286084689183,0.0,0.00286004,-0.00285032,0.0,-0.496563199279,20.4312,16.8704,9.89511e-08,-0.198567965296,0.189719124241,0.0,0.0,0.000166946005708,0.00278422,0.0,0,0.0,48,0.164968011155,0.0,0.0,-7.79984395728,0.0,0.7655
