AverageReturn,Iteration,QFunRegParamNorm,StdReturn,MinReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageY,AveragePolicySurr,MinEsReturn,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm,MaxReturn,AverageQLoss,Epoch,AverageAbsY
38.772174608,24,30.2632,0.952748055336,36.605224026,1.93353,34.4559832625,0.0680168021879,1.93185,5.66288397697,1.9323273619,-2.0308,28.3613491631,69.5945934553,1.0,41.264741753,24.5934,40.7076630699,0.0132993,24,1.9333904039
38.775749401,25,31.0734,0.96818599177,36.5402757476,2.02165,34.4605628293,0.0680716490494,2.01985,10.1239506131,2.02023073504,-2.11299,23.1633639646,93.418889234,1.0,42.4896131369,24.5928,40.8149339937,0.0133328,25,2.02146345465
38.7998215602,26,31.9098,0.95679394964,36.7565595409,2.08049,34.479876621,0.0709489710121,2.07895,8.10122775033,2.07958934541,-2.1568,18.2762786465,75.9249602661,1.0,42.2477229563,24.5878,40.7382595574,0.014796,26,2.08072131031
38.8329589245,27,32.7274,0.974278226717,36.5879705973,2.13426,34.5067539853,0.0688554822876,2.13254,4.47693210223,2.132734045,-2.20381,24.5712603296,51.683592369,1.0,41.4183898285,24.5837,40.8289409459,0.01387,27,2.13385228087
38.6911006051,28,33.397,0.933346557884,36.689421192,2.17116,34.3944719908,0.0674374963641,2.16954,6.62752945759,2.16989173465,-2.22865,5.21447856178,51.6828810068,1.0,40.8894391618,24.5918,40.6142048803,0.0127563,28,2.17101640242
38.7882898251,29,34.148,0.902774376459,36.6776225795,2.18414,34.4710608049,0.0688123187052,2.18256,8.71220359894,2.18291619144,-2.23255,13.9065173237,71.9485969377,1.0,42.8065392569,24.5993,40.589226563,0.0140487,29,2.18395400494
38.8225981533,30,34.7985,0.869884305812,36.7666627926,2.20405,34.4994987323,0.0688954535396,2.20284,8.30218867969,2.2030708561,-2.24748,14.3103320728,73.1737294719,1.0,42.8766676527,24.6051,40.6808822167,0.0139303,30,2.20397294338
38.7887124442,31,35.4785,0.923124900013,36.720811,2.21605,34.4732342288,0.0710624863619,2.21482,5.2214937339,2.21535623922,-2.26679,33.0316612227,59.6124878421,1.0,41.4845232744,24.6081,41.786853829,0.0143384,31,2.21608038561
38.8308398308,32,36.1231,0.929832859251,36.7464898673,2.23466,34.5051351872,0.0700987774371,2.23346,7.10113156683,2.2337667959,-2.28823,27.1861432695,78.3245097036,1.0,42.6292555808,24.6094,40.7498087849,0.0154624,32,2.23442742262
38.7115413812,33,36.7736,0.998243472478,36.5821161869,2.25102,34.4107379207,0.0748507688455,2.24986,3.61805188135,2.25034153595,-2.31263,36.351998505,59.773134098,1.0,40.6885149727,24.6107,40.797206978,0.0189455,33,2.25099265792
