MinReturn,AverageForwardProgress,AverageReturn,AverageY,MinForwardProgress,MaxForwardProgress,MaxEsReturn,StdEsReturn,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,AverageQ,MaxReturn,AverageAction,StdReturn,AverageAbsY,AverageQLoss,Epoch,AverageEsReturn,QFunRegParamNorm,PolicyRegParamNorm,StdForwardProgress,MinEsReturn,AverageAbsQYDiff
-34.1396161924,0.0455189129964,-27.6405571721,0.0165461635817,-0.0319405082036,0.138745784893,128.409077336,52.7524802926,0.031815,-9.24628426329,-0.0278154,0.0165961,-19.8458724028,0.430653,2.96227140534,0.0367377418402,0.000454439,10,-19.8623691733,8.43753,14.6713,0.0357544384772,-195.108000893,0.0157926252374
-253.395202403,-1.305723659,-196.658571951,0.0226282842064,-1.87139571223,-0.590441410132,-27.057474945,63.1202968485,0.0513315,-57.3312166095,-0.0389252,0.0225962,-125.172034337,0.948293,37.3435102621,0.0526518106611,0.000266172,11,-99.415619594,8.92639,14.9622,0.37325843783,-174.000975594,0.0121093004896
-168.257210256,0.723684234396,17.2417219718,0.0243565697226,-1.11942359427,2.35345472659,65.3165565509,92.3127344067,0.072573,-0.145788817025,-0.0398784,0.024321,180.682939366,0.793043,86.5094677467,0.0736590562562,0.00036255,12,-68.4893212531,9.37816,15.151,0.860204617203,-163.588993675,0.0137999992535
-364.150270423,-1.3011987673,-186.948882958,0.0315966623407,-3.0328292544,0.584226899578,48.244795207,89.0937605614,0.097358,-62.4813246246,-0.0484845,0.0315767,6.18528353344,0.847075,94.3318138741,0.098564275802,0.000502303,13,-17.8380307665,9.7623,15.4461,0.928794180279,-170.772946914,0.0159530244
-353.609753841,-0.0631115104216,-55.7839668362,0.0350113897221,-2.94210487118,2.38039197383,21.6989152217,17.7526134083,0.120674,-24.2536732589,-0.0505666,0.0349868,196.807892577,0.799062,107.744100151,0.121998168422,0.000767586,14,-6.03682945356,10.1628,15.7303,1.03837768666,-27.5535063876,0.0191971457532
-263.23197589,0.213476786017,-24.2799118132,0.0430904263626,-2.22144651964,1.69792469406,70.422504352,38.0702747662,0.146467,-15.2605034771,-0.0597574,0.0430596,125.744283707,0.790654,94.0005273093,0.148111433574,0.00110082,15,19.455286512,10.5237,16.003,0.935744973433,-22.7367108562,0.0227233348804
-117.040870098,1.55232670346,112.493601081,0.0582977318714,-0.79782571206,3.40434810537,151.65901997,53.3991867941,0.175783,33.6439147738,-0.0776798,0.0582393,302.738293648,0.7829,93.8889363954,0.177684912469,0.00145725,16,73.6074852627,10.8891,16.2824,0.9162586192,1.6998433708,0.0260583951552
-44.3206972254,1.3042541707,74.6757936814,0.0739625397805,0.16201083716,2.73529664918,51.3830111433,38.7730376659,0.20204,34.1847754108,-0.0948812,0.073973,217.040224902,0.767155,63.3961685439,0.204220411376,0.00195875,17,0.807538323185,11.2367,16.5773,0.636254216247,-54.13286547,0.0300470849705
-75.444248514,0.384230724963,-16.107227131,0.0883433749259,-0.296168238977,0.955537607668,-10.6499259733,26.0443787232,0.227904,-6.63010233235,-0.114018,0.0882964,41.5983848152,0.743996,30.0215805725,0.230731411979,0.00251718,18,-35.2091582469,11.576,16.89,0.329662229603,-74.9074327628,0.0337232645771
-72.8993541803,0.640154608533,6.5631591085,0.117047076976,-0.218084204531,1.39630627646,99.0036799388,60.3934069093,0.264616,6.3024958642,-0.150457,0.117033,86.5815092202,0.775789,32.74607918,0.268079457388,0.00330118,19,13.8146333022,11.9338,17.243,0.35041125444,-66.7065852885,0.0380676569436
