MaxEsReturn,AverageQLoss,AveragePolicySurr,AverageReturn,StdReturn,AverageAbsQYDiff,AverageForwardProgress,AverageY,Epoch,StdEsReturn,MinForwardProgress,AverageQ,AverageDiscountedReturn,AverageAbsY,AverageEsReturn,MaxForwardProgress,AverageAbsQ,MinReturn,AverageAction,StdForwardProgress,QFunRegParamNorm,PolicyRegParamNorm,MaxReturn,MinEsReturn
63.7860076351,0.000319259,-0.0190777,7.60299238062,0.921467851248,0.0129645963333,-0.0220947061983,0.0100942181256,9,10.4364255138,-0.083524177194,0.0160539,7.32619414519,0.0138327886521,25.5717458142,0.0261017214006,0.0160539,4.86210310429,0.734352,0.016869918802,7.99973,8.85642,10.814906125,0.998213789551
16.0544869199,7.32312e-05,-0.0227131,7.50810268243,1.07216957133,0.00537348519398,-0.0191753341825,0.0172197847413,10,1.36328531453,-0.0720569318395,0.0172102,7.24230159809,0.0194830187883,7.42030350866,0.0326819028633,0.0182282,4.50039839029,0.893208,0.0156956081358,8.35419,8.91982,12.01628374,4.77371133305
10.0121247657,6.01642e-05,-0.0431733,7.55575551235,1.11868933599,0.00481726865487,-0.0205045226376,0.0339052151041,11,1.50295407753,-0.0676890297104,0.0339007,7.28519471573,0.0343467173484,5.59846915097,0.0233577277784,0.0339648,4.92930286767,0.958855,0.0135361620053,8.70504,9.1337,13.1646785537,3.52358109937
14.4699732329,8.1429e-05,-0.0680621,7.29421394008,1.10028723339,0.00555444428036,-0.0191865504746,0.0537302147983,12,1.32191302665,-0.0649472083724,0.0537214,7.04175652646,0.053730266973,7.483387247,0.021793527522,0.053724,4.30121985735,0.98702,0.01350139966,9.16139,9.37302,14.5459054353,5.31206534008
10.334831671,0.000100131,-0.0841976,7.41739940547,1.17204046083,0.00604859732004,-0.0186113023872,0.0705947564832,13,1.08188939912,-0.0744324494858,0.0705812,7.1577735524,0.0705947564832,7.30982450189,0.0250655780225,0.0705841,4.63064476969,0.993341,0.013768389095,9.57909,9.45136,13.2559057278,5.16524920435
11.0030730029,0.00010599,-0.0927022,2.94174704515,0.374341513755,0.00607230031308,-0.000189811725407,0.0821359816768,14,2.08462347052,-0.0173737054515,0.0821424,2.91245990595,0.0821359816768,5.02637086078,0.015702024119,0.0821456,1.6566330213,0.950184,0.00524521873644,10.0089,9.39097,4.10751494483,1.79406957999
31.496541056,0.000135481,-0.101868,29.5204954918,8.51776278899,0.00663630690851,0.0657652798851,0.0911098212471,15,7.28566606153,-0.00597011699996,0.091101,25.5484100118,0.0911098212471,8.44004427345,0.134723218286,0.0911016,14.7483675933,0.905754,0.0251072197043,10.5068,9.57593,68.773730794,2.02346055432
83.522569109,0.000198096,-0.108994,23.8833465426,6.50717250902,0.00805351349316,0.0671309084621,0.102223583085,16,14.9971938458,-0.065335168916,0.102214,21.4120928489,0.102223583085,33.65340806,0.151413190599,0.102226,10.5387964067,0.935327,0.0286977694844,11.0637,9.63278,63.4469042648,17.8925255486
63.3536316334,0.000226516,-0.117862,13.0351127885,4.12836390283,0.00853667461141,0.0175298857388,0.110751493523,17,9.18753401172,-0.053357128514,0.110747,12.2443342346,0.110751493523,23.2706042771,0.0966508688645,0.110753,5.26454141797,0.840937,0.0266385140528,11.7876,9.63543,24.8555961428,13.3355347654
19.0592806363,0.000286683,-0.13412,9.99277267969,1.26664516376,0.00961088670572,0.0138478900411,0.117648177139,18,2.76771007988,-0.0391780570086,0.117621,9.57589190961,0.117648177139,5.58096363095,0.0622719280665,0.117634,6.20738779953,0.860854,0.0148360227464,12.4039,9.77432,14.8362947109,2.5386225595
12.1795643041,0.000283708,-0.136875,8.31285944872,1.45340285028,0.00996298356681,0.00771604191499,0.123852830795,19,1.36679848649,-0.0310517313361,0.123809,8.02000801362,0.123852830795,8.55957335463,0.0592369453936,0.12383,4.21716472612,0.902488,0.013160966015,12.9944,9.89561,16.648697051,5.33851604714
53.2701789353,0.000369237,-0.145258,25.495592123,12.1414667763,0.0114020877675,0.110013283966,0.130713893411,20,11.7155175615,-0.0308848896596,0.130671,22.5962429828,0.130713893411,19.2429088044,0.425959567152,0.130697,5.40984016672,0.96757,0.0867043889414,13.4025,10.0194,59.3653652735,3.27320566696
42.1749793022,0.000556618,-0.160198,28.6147349708,16.729843034,0.0139545903636,0.0611863726144,0.143307829358,21,8.84384653288,-0.11209368764,0.143276,24.3687962023,0.143313706115,24.8681192459,0.391974958467,0.14331,7.48030487045,0.924744,0.0915632739046,13.9563,10.076,87.838307169,7.60783668646
49.3825039043,0.000623152,-0.173712,38.2877936978,17.924727208,0.0150728258121,0.0289853224236,0.156277578462,22,8.76273881999,-0.147761698841,0.156224,30.9995946937,0.156287046803,25.7865472597,0.128148781272,0.156266,14.8780819101,0.952306,0.0828934671045,14.4282,10.123,101.488588645,10.0564673025
82.2088281424,0.00070516,-0.179962,29.1975916349,11.8963368261,0.0162853864667,0.072393373579,0.168061007511,23,18.5463845667,-0.125317982603,0.167997,25.2590706289,0.168068994505,37.9898372489,0.136759530314,0.168048,8.12911779587,0.929275,0.0427695682052,14.9075,10.1417,91.8642094662,12.4860484083
68.4315046364,0.000725938,-0.186611,41.6778503724,14.6561938172,0.0167385332645,0.0269987641833,0.176718970098,24,13.0193305673,-0.140028170466,0.176629,33.7448099695,0.176730937193,35.8163851413,0.164244842737,0.176676,20.0733192779,0.944781,0.090370630625,15.3849,10.1492,100.188702398,17.6267602204
