AverageQLoss,MinReturn,AverageReturn,AverageAbsY,MaxEsReturn,AverageAbsQ,AverageQ,AverageDiscountedReturn,StdEsReturn,StdReturn,AverageEsReturn,QFunRegParamNorm,AverageAction,AveragePolicySurr,Iteration,AverageAbsQYDiff,MaxReturn,MinEsReturn,AverageY,PolicyRegParamNorm,Epoch
0.362971,-3.19896045136,-1.41335829121,0.340278387835,-144.541859202,0.237737,-0.147778,-0.759759278466,18.5577025131,1.01660681193,-177.992877195,19.5145,0.00313944,-0.557722,9,0.453248612092,0.0878956719019,-207.488307543,-0.00115192400876,19.6925,9
0.0262038,-599.659209965,-598.064549979,0.141599249462,-220.088621905,0.137046,-0.0747072,-58.7554812323,0.0,1.21918070727,-220.088621905,19.6075,0.998601,-0.159341,10,0.103910143955,-596.163987856,-220.088621905,-0.0746387708866,21.5284,10
0.00333228,-608.860399864,-594.025846975,0.070236347549,-449.146980163,0.0654892,-0.000776452,-58.884803832,0.0,10.9683191744,-449.146980163,19.6586,0.993186,-0.0474599,11,0.0446602454926,-572.313975343,-449.146980163,-0.0001905149799,22.0346,11
0.00272548,-592.889501659,-591.173710946,0.0858604418516,-421.358028335,0.0800802,-0.0207983,-51.9332689103,0.0,1.21327907607,-421.358028335,19.8705,0.999365,0.0445954,12,0.0402774852851,-588.81002536,-421.358028335,-0.0209908139303,22.5907,12
0.00248736,-664.582193506,-614.263231609,0.131688156779,-435.515578833,0.126395,-0.0848525,-56.1834379512,0.0,26.9575159387,-435.515578833,20.2597,0.958458,0.0640073,13,0.0378379968571,-565.625923287,-435.515578833,-0.0849110363734,25.2346,13
0.00268938,-507.5270646,-27.4899989938,0.132689537733,-419.998064937,0.127476,-0.0650438,11.8683277921,0.0,197.739211007,-419.998064937,20.7633,0.947379,0.0282334,14,0.0393833003814,168.71470831,-419.998064937,-0.0651040985601,26.5901,14
0.00276715,-329.415154965,-304.460855558,0.14390939793,-440.549029361,0.13847,-0.0548614,-14.6804050557,0.0,21.5227337996,-440.549029361,21.4312,0.830572,0.0161967,15,0.0387125000986,-247.566446738,-440.549029361,-0.0549170241176,28.3068,15
0.00260396,-308.355391289,-288.738109607,0.151235353759,-349.330502081,0.146626,-0.0514806,-16.085287513,0.0,10.6264706251,-349.330502081,22.2244,0.5335,0.010916,16,0.036943096206,-273.972014432,-349.330502081,-0.0514538821396,30.1731,16
0.00246741,-265.459459535,-254.14294877,0.153067220384,-337.42318392,0.148773,-0.0443097,-26.9733318452,0.0,9.3727656803,-337.42318392,23.2108,0.448026,0.010481,17,0.0355535835089,-232.372796923,-337.42318392,-0.0442083244658,32.2825,17
0.00230356,-128.923159215,-106.843272451,0.156733974292,-284.822164543,0.152995,-0.0408348,-9.67709279286,0.0,19.6970230778,-284.822164543,24.3338,0.233365,0.00514578,18,0.0334954077048,-57.884101696,-284.822164543,-0.0407414077812,34.3023,18
0.00230264,-86.4963957608,-57.1134409684,0.163878599702,-247.670958987,0.16024,-0.0310904,-1.85462825698,0.0,12.6435988184,-247.670958987,25.6371,0.146716,-0.00685812,19,0.033049232406,-36.5854980914,-247.670958987,-0.0309895158157,36.4516,19
0.00246388,-54.4480251227,-31.0620237533,0.170963023822,-182.791888231,0.167523,-0.0197645,-2.05190321486,0.0,12.3705399639,-182.791888231,27.062,0.196907,-0.0207403,20,0.0334884541686,-16.0684112746,-182.791888231,-0.0196059067272,38.4813,20
0.00250417,-158.954519367,-52.1084823027,0.175744908487,-139.051928625,0.172774,-0.00494511,2.65190002841,0.0,85.1406431596,-139.051928625,28.5257,0.154881,-0.0406233,21,0.0332113732508,49.4335632969,-139.051928625,-0.00468633253304,40.2729,21
0.00266474,-24.86154428,60.1268074442,0.182860989901,-151.58948491,0.179988,0.0195155,16.4244667025,0.0,81.8514375618,-151.58948491,30.0684,0.150372,-0.070074,22,0.0339600530693,211.546943232,-151.58948491,0.0197804317498,42.1682,22
0.0028664,102.02177864,150.862135299,0.190667147048,-80.8881567645,0.187988,0.0437874,15.3261657695,0.0,26.2023916681,-80.8881567645,31.5641,0.569191,-0.0977717,23,0.0351786215083,191.376529522,-80.8881567645,0.0439448425012,43.8638,23
0.00304208,213.483143448,273.715129806,0.199268578583,-62.1949872269,0.196125,0.0773953,28.7793125716,0.0,27.6665993287,-62.1949872269,32.9036,0.58094,-0.133716,24,0.0360545218005,322.682787026,-62.1949872269,0.0778024437414,45.4344,24
0.0033734,136.091607326,184.43417193,0.207507205973,37.0613973411,0.203682,0.107113,23.5671846962,0.0,30.1714184398,37.0613973411,34.309,0.746117,-0.166714,25,0.0376443224083,233.009613314,37.0613973411,0.107570114263,47.1076,25
0.00371504,352.770786245,389.780498686,0.224415075955,142.502988325,0.220608,0.149118,36.122048592,0.0,26.7325616125,142.502988325,35.6697,0.781102,-0.216134,26,0.0397229208124,446.428242295,142.502988325,0.14949232787,48.821,26
0.00404366,-6.42902101296,114.05252092,0.253727246283,193.418310704,0.249741,0.20223,17.1471931726,0.0,67.6466655972,193.418310704,36.8972,0.825846,-0.27178,27,0.0422513164669,233.741554292,193.418310704,0.202682773211,50.3086,27
0.00448589,396.892859052,449.947773971,0.292404249549,223.561376861,0.28881,0.25977,38.8100422717,0.0,27.2701507539,223.561376861,38.0772,0.85906,-0.334418,28,0.044915084081,484.92624141,223.561376861,0.260258965363,51.7671,28
0.00475392,161.161399982,266.871045029,0.337646150019,245.215914918,0.334345,0.317621,31.1550968922,0.0,69.4686269697,245.215914918,39.2114,0.856577,-0.392045,29,0.0467135044599,394.845429757,245.215914918,0.318214622502,53.1115,29
0.00499973,411.25501598,486.549660434,0.386788738286,205.101392704,0.38451,0.374988,35.9494439468,0.0,48.0675220212,205.101392704,40.2886,0.903653,-0.451665,30,0.0482724922754,553.53914013,205.101392704,0.375473156372,54.2803,30
0.00523289,525.055688957,584.524193549,0.449482122209,317.890823911,0.447719,0.443061,48.0210514408,0.0,44.0949995883,317.890823911,41.2879,0.892405,-0.524057,31,0.0496655602706,660.613713455,317.890823911,0.44360598695,55.5683,31
0.00523831,236.054544795,528.494376968,0.512832192281,384.587040675,0.511555,0.509121,-13.4499955403,0.0,141.517490039,384.587040675,42.184,0.897965,-0.590397,32,0.0505985485956,704.705268541,384.587040675,0.509684773833,56.6614,32
0.00589851,-540.312775903,-95.9603590396,0.579359259393,367.306061959,0.578448,0.577115,-39.0049706765,0.0,300.95781066,367.306061959,43.1771,0.838767,-0.659677,33,0.0532432266571,213.449201829,367.306061959,0.577638564102,57.7166,33
0.00585863,555.871278414,660.887581145,0.6588212888,320.97586463,0.657975,0.657189,50.1865834942,0.0,50.6008557237,320.97586463,44.0494,0.935984,-0.739237,34,0.0537945374308,761.788455105,320.97586463,0.657881797321,58.7265,34
0.00610297,-441.10557291,175.506451174,0.722580169543,303.015921474,0.72212,0.721863,-0.890412450738,0.0,430.462224529,303.015921474,44.8522,0.843184,-0.807828,35,0.0555198923719,652.671444797,303.015921474,0.722265488907,59.6825,35
0.00632441,-442.410742339,-204.543265629,0.80377450713,364.888550258,0.803029,0.802944,-24.0901755862,0.0,359.762716242,364.888550258,45.6352,0.706946,-0.889453,36,0.0559080952277,514.4182229,364.888550258,0.803604176738,60.61,36
0.00652351,-400.86424616,-391.172098298,0.884022031536,505.406166341,0.883181,0.883112,-35.7615626485,0.0,6.45206719023,505.406166341,46.3773,0.66075,-0.967365,37,0.0562784487863,-381.93436993,505.406166341,0.883892726277,61.4764,37
0.00628242,-338.164744008,-61.1546819836,0.964067701737,410.371378457,0.963451,0.963444,-3.08731373909,0.0,330.303167974,410.371378457,47.0647,0.715449,-1.04586,38,0.0555424797567,462.92155818,410.371378457,0.963987235671,62.2096,38
0.0061214,-348.475800413,-337.049019356,1.03328473099,416.090717768,1.03258,1.03256,-27.6268134536,0.0,9.76881912698,416.090717768,47.768,0.622997,-1.1141,39,0.0550294895139,-319.107409706,416.090717768,1.03323042286,62.9276,39
