AverageY,MinEsReturn,MinReturn,AverageEsReturn,AverageAbsQYDiff,StdReturn,Epoch,StdEsReturn,PolicyRegParamNorm,AverageReturn,AverageAbsY,AverageAction,QFunRegParamNorm,AverageQLoss,AveragePolicySurr,AverageDiscountedReturn,Iteration,AverageAbsQ,MaxReturn,AverageQ,MaxEsReturn
0.983301771617,3.0,13.0,5.82692307692,0.913216314076,6.67823228549,9,2.80188873962,10.4742,19.996007984,0.983301771617,0.000818994,10.4465,0.854977,-0.133856,18.0263584975,9,0.077538,45.0,0.0700855,23.0
1.14114317472,2.0,2.0,2.80898876404,0.0619330012898,0.487612693865,10,0.629363946697,11.3242,2.38939321548,1.14114317472,0.999974,11.1924,0.01762,-1.22408,2.37164429049,10,1.12494,3.0,1.12494,7.0
1.58067131808,2.0,2.0,2.78272980501,0.069934093797,0.48901830712,11,0.580684748015,11.3054,2.39578342118,1.58067131808,0.999967,12.6945,0.0134383,-1.59271,2.3779073311,11,1.58011,3.0,1.58011,7.0
2.03633107359,2.0,44.0,6.35897435897,0.08945392981,0.828550085697,12,8.30581254454,13.7206,45.876146789,2.03633107359,0.0460258,14.6283,0.0224369,-2.24066,36.9370032611,12,2.03566,48.0,2.03566,50.0
2.72972437804,5.0,51.0,32.4193548387,0.130182586569,1.20196013665,13,16.3367272625,15.1253,53.7379679144,2.72972437804,0.40134,16.823,0.0489139,-3.13866,41.7258564959,13,2.72877,57.0,2.72877,59.0
3.4402230989,4.0,70.0,30.96875,0.153493173517,6.86219245021,14,23.8569753623,15.988,81.2822580645,3.4402230989,0.321017,18.7521,0.0682072,-3.99409,55.7171162013,14,3.43977,102.0,3.43972,130.0
4.18394360495,3.0,69.0,33.0333333333,0.187665760652,1.59404071106,15,18.6019413563,16.9662,72.1654676259,4.18394360495,0.54056,20.6648,0.10741,-4.88187,51.5752407837,15,4.18324,76.0,4.18311,77.0
4.95364051753,3.0,63.0,39.875,0.214135485369,3.5674443164,16,25.2030297451,18.2915,69.8472222222,4.95364051753,0.123129,22.3047,0.141581,-5.78763,50.4084405563,16,4.95277,79.0,4.9524,96.0
5.72297070821,5.0,52.0,44.0,0.244621238016,1.95907060026,17,24.7983169134,19.3918,55.9944134078,5.72297070821,0.0730148,24.2508,0.191659,-6.67963,43.025662771,17,5.72403,61.0,5.72297,101.0
6.55852704138,8.0,51.0,47.3181818182,0.269109090201,1.11101475237,18,25.1041220151,20.2401,53.2180851064,6.55852704138,0.0986103,25.9877,0.230123,-7.59301,41.421201429,18,6.55931,57.0,6.55781,110.0
7.35064202287,3.0,49.0,26.7837837838,0.293247234666,1.19461865922,19,14.6898294199,21.0369,51.4512820513,7.35064202287,0.178017,27.5558,0.27739,-8.49649,40.3711483277,19,7.35324,55.0,7.35031,56.0
8.17289986549,3.0,48.0,29.6176470588,0.31444557267,0.951989336955,20,19.4679445513,21.6406,49.5841584158,8.17289986549,0.211078,29.1046,0.338045,-9.44325,39.2432319257,20,8.17567,52.0,8.17239,76.0
9.02295115974,3.0,46.0,24.95,0.335530458951,1.02524173956,21,16.6342267629,22.5182,47.8947368421,9.02295115974,0.242799,30.6185,0.410435,-10.3641,38.2023664343,21,9.02783,50.0,9.02342,60.0
9.84847333074,3.0,44.0,25.8205128205,0.352700671227,0.982926172989,22,18.6902851426,23.252,46.511627907,9.84847333074,0.304413,32.1006,0.471624,-11.2984,37.3376109238,22,9.85297,50.0,9.84875,95.0
10.5844518389,4.0,43.0,23.5714285714,0.38337624169,0.937686620544,23,12.7487494385,24.1053,45.6272727273,10.5844518389,0.329713,33.6469,0.582242,-12.1644,36.778451864,23,10.5914,48.0,10.5849,51.0
11.5346386576,3.0,43.0,24.2380952381,0.388159231436,1.08623677034,24,20.3315489348,24.7217,45.3574660633,11.5346386576,0.276614,35.0555,0.639215,-13.0988,36.6058257361,24,11.5421,49.0,11.5352,97.0
12.3412798967,3.0,48.0,18.7843137255,0.405267165399,10.0664764892,25,14.6023282128,25.1514,58.7719298246,12.3412798967,0.232337,36.4857,0.694723,-14.0044,44.3492183563,25,12.3508,135.0,12.3418,71.0
13.1578486539,4.0,50.0,19.5849056604,0.431616002326,13.4982615006,26,13.8787661382,25.6148,68.4217687075,13.1578748941,0.199032,37.7238,0.836921,-14.8924,49.2843192394,26,13.1685,112.0,13.1592,69.0
13.9621610945,3.0,45.0,14.7164179104,0.458076653919,4.85969583812,27,12.6936415745,26.1593,51.5670103093,13.962211087,0.233,39.0377,0.921289,-15.8264,40.3753173041,27,13.9748,72.0,13.9628,51.0
14.7965653237,3.0,52.0,16.6229508197,0.503532252006,17.3779275764,28,14.3700096791,26.5375,76.1742424242,14.796618508,0.398035,40.5048,1.13964,-16.7071,52.8741730054,28,14.8109,187.0,14.7975,90.0
15.590426701,4.0,43.0,19.3673469388,0.522861050991,69.5801660756,29,20.3486888487,26.8951,105.886597938,15.5906041926,0.346669,41.7973,1.22748,-17.5786,59.1176552094,29,15.6081,384.0,15.5927,97.0
16.4534107217,3.0,41.0,16.9508196721,0.556434412092,14.4094577702,30,15.8604841775,27.2937,61.262195122,16.4537555701,0.321156,42.9543,1.42493,-18.5025,45.4549863295,30,16.4696,130.0,16.4535,75.0
17.2186419101,3.0,42.0,14.7058823529,0.587783595421,9.66745222923,31,12.1329144255,27.629,49.8325123153,17.2189065348,0.254867,44.2432,1.53317,-19.4676,39.1654556958,31,17.2408,160.0,17.221,63.0
18.0715148536,3.0,47.0,13.3947368421,0.608249424716,33.5379869115,32,11.4179901303,27.8866,80.8387096774,18.0719479113,0.258507,45.4554,1.71331,-20.361,53.3326424834,32,18.0936,195.0,18.0732,62.0
18.9397634385,3.0,39.0,13.0657894737,0.643406574298,33.127728424,33,10.5135695855,28.1137,77.2769230769,18.9398387039,0.12845,46.7122,1.86808,-21.2693,51.569594849,33,18.9663,144.0,18.9437,58.0
19.7617090463,3.0,39.0,12.3170731707,0.69824019019,21.6929011797,34,10.0884841966,28.4764,61.7962962963,19.7618422191,0.154683,48.0365,2.20489,-22.149,45.2853539296,34,19.7873,211.0,19.7622,50.0
20.5857731923,3.0,39.0,12.3580246914,0.72955598514,15.6060421516,35,10.0127186303,28.8176,52.0259067358,20.5861159735,0.119848,49.1592,2.47076,-23.1017,40.1474630946,35,20.616,162.0,20.5903,54.0
21.2998935122,2.0,40.0,13.8194444444,0.782728617925,13.841242514,36,12.5668505611,29.1141,50.7664974619,21.3000441971,0.141968,50.3843,2.9914,-23.9107,39.4981979691,36,21.3277,159.0,21.3014,75.0
22.069222344,3.0,39.0,11.7294117647,0.785792500128,1.2656547433,37,9.92843597101,29.4453,42.1554621849,22.0694683194,0.196536,51.8293,2.94191,-24.7806,34.5311388722,37,22.0996,45.0,22.0711,68.0
