AverageAbsQ,StdReturn,AverageReturn,AverageAction,QFunRegParamNorm,MaxEsReturn,AverageAbsY,Epoch,AveragePolicySurr,PolicyRegParamNorm,AverageQLoss,AverageEsReturn,AverageAbsQYDiff,MinEsReturn,MaxReturn,MinReturn,AverageDiscountedReturn,AverageY,StdEsReturn,Iteration,AverageQ
0.770204,0.267459459974,12.3755828624,0.0379991,11.1652,203.677123043,0.759647016798,9,0.492647,11.182,2.91285,14.8836981217,1.52758146007,1.54962458655,13.0297788815,11.6250698799,11.6042312311,0.75905972276,18.0903985202,9,-0.768522
0.452262,0.414901258484,1.81445434967,0.946705,11.2738,8.7489169317,0.456657394869,10,-0.561916,12.8042,0.040064,2.40693109336,0.103302966761,0.561004243879,2.24056265051,0.937668716437,1.82470259746,0.453927977359,1.16669390673,10,0.450562
0.450236,0.080554413877,1.70322253581,0.999764,11.4087,5.53753210507,0.452203861695,11,-0.527571,13.4314,0.00879961,2.3177546104,0.0554802216629,0.449517733087,1.9089699183,1.49287823007,1.70859530819,0.448454590903,0.641849493399,11,0.447723
0.544534,0.225633784061,0.387155053464,0.959665,11.5562,6.31213687022,0.542940101531,12,-0.60196,14.2165,0.00592099,2.31254104844,0.0459124559798,-0.389416767215,0.699672998411,-1.26823389517,0.522231882791,0.538406769311,0.850152431926,12,0.537879
0.59118,0.0429131812098,5.29590795389,1.0,11.7369,37.2206582294,0.588659561517,13,-0.632186,15.0629,0.00537712,3.32718314313,0.0439036439153,-0.7721887997,5.41960565409,5.09072297611,5.13485003029,0.580860016592,4.26782042527,13,0.580398
0.628176,0.0443705840281,5.29653506517,1.0,11.9513,31.9540679196,0.625867320899,14,-0.667523,15.094,0.00482847,7.08623858359,0.0402931674807,1.93437868585,5.40748803549,5.07735239206,5.13546679929,0.612828435595,3.9169746733,14,0.612777
0.643716,0.0434308627379,5.29415312846,1.0,12.2363,12.2875554133,0.643045547035,15,-0.657965,15.1269,0.00397015,6.64386936237,0.0372056929872,4.88851982012,5.41221160973,5.08865593692,5.13315228063,0.622007519013,1.778328446,15,0.621995
0.626367,0.0426896188458,5.29647290327,1.0,12.521,14.9561375319,0.626304187566,16,-0.607999,15.1602,0.00314186,6.76707778147,0.0321169075596,3.89027412534,5.41926153068,5.08438580769,5.13542141398,0.600641391592,2.12209564591,16,0.600619
0.592641,0.0409554656288,5.29523906505,1.0,12.8484,15.3767895497,0.592695930325,17,-0.539939,15.1765,0.00272214,6.34269282977,0.029832232757,1.09623528941,5.41003287111,5.11662307804,5.13420674905,0.559406487889,2.12604485298,17,0.559535
0.538267,0.0450825795382,5.29770883648,1.0,13.1787,21.3521830971,0.53837697213,18,-0.465162,15.2849,0.00225434,6.44819823466,0.0280066273558,3.56350998386,5.41102555683,5.08278654587,5.13665775057,0.499143932983,2.26115679433,18,0.499243
0.479661,0.0430770842976,5.29774577205,1.0,13.5694,21.4531264542,0.479925920323,19,-0.394993,15.2949,0.00230695,6.93328490355,0.0267880902915,4.36677907513,5.42946561891,5.07720634223,5.13671852883,0.435931396982,2.89743582233,19,0.435969
0.423316,0.0415728521378,5.29817490847,1.0,13.9348,16.3748194787,0.423594482413,20,-0.337943,15.4194,0.00186919,6.76354543868,0.0240937174208,1.0747700917,5.40521953771,5.09160361285,5.13705064072,0.379734013213,2.46300007135,20,0.379718
0.445346,1.58196615676,106.298735065,0.965861,14.4399,50.8557663047,0.44584431477,21,-0.554497,15.7863,0.00355272,29.9491444613,0.0304449997442,2.11855769637,110.381878816,101.605526643,79.7324838042,0.403261163276,17.0512007724,21,0.403072
