AverageForwardProgress,AverageAbsQYDiff,MinForwardProgress,AverageQ,MaxForwardProgress,AverageEsReturn,AverageAction,AverageY,AverageAbsY,StdForwardProgress,PolicyRegParamNorm,MaxEsReturn,StdReturn,StdEsReturn,Epoch,AverageReturn,AverageQLoss,QFunRegParamNorm,MinEsReturn,MinReturn,AverageAbsQ,AveragePolicySurr,MaxReturn,AverageDiscountedReturn
0.040244618512,0.205117150522,0.0166185594079,0.179949,0.063702637318,-2.92676525441,0.945506,-0.0136361616172,0.0286413218569,0.00822669522791,16.1553,16.9387719887,1.72312789873,4.85093137108,9,6.07097528503,0.0513913,10.768,-52.9745837299,1.16882972914,0.197823,-0.193838,11.0522770193,5.35996262428
-0.0107629616837,0.0405095259419,-0.0301288370355,-0.00596054,0.00966133786416,1.20255108314,0.856241,-0.00923666516216,0.0652854774938,0.00651433769585,16.1358,8.89867768196,1.40450757896,3.61954245403,10,-3.86408361335,0.0034172,10.8418,-12.0056266898,-7.98668042498,0.0665293,-0.0249889,0.540711215959,-3.55341245587
0.00865429340664,0.0278748120176,-0.0190734400374,0.0392897,0.0380942915935,-4.07344118133,0.878835,0.0394391824303,0.0848756038511,0.00994479867676,16.2984,4.47198290796,2.07477416381,5.62385251193,11,-0.0382504858872,0.001476,11.0742,-28.9446288929,-5.77601962681,0.0793496,-0.0823663,5.98878810593,-0.0632306154995
0.0130156056122,0.0224373185185,-0.0163158497919,0.0768222,0.0446080302219,0.504095702515,0.755542,0.0769896863324,0.10464995043,0.00980090663887,16.3421,6.86699236912,2.03432850244,2.42773478254,12,0.994203676165,0.00096366,11.3108,-4.99540777446,-4.72029735494,0.100986,-0.11966,7.55813954907,0.882698740563
0.0145276490887,0.0200120965687,-0.0169743902131,0.108237,0.0449776019217,1.01328485965,0.634511,0.1083192561,0.127410713124,0.00946769820962,16.3929,6.17552289493,1.96945639451,2.91401756259,13,1.70809728683,0.000816024,11.458,-5.53655437076,-4.71699528822,0.125035,-0.145872,8.00903165809,1.48735140494
0.0129634991992,0.0189482808551,-0.0252754953313,0.129813,0.0387357688604,0.915332077596,0.626109,0.129901842314,0.146164951624,0.0104000163757,16.4811,7.33721458325,2.16362371525,2.86203400952,14,1.6397053559,0.000717103,11.7694,-6.65033832122,-6.3419197961,0.144234,-0.161631,6.95928867548,1.42308411
0.0164362066211,0.0191831500789,-0.0199098434235,0.141454,0.0535101246213,0.674723828554,0.750311,0.141522446615,0.157560526245,0.0099818339315,16.6481,7.54385685907,2.06981105882,2.90788475019,15,1.62826859381,0.000757493,12.0232,-5.36010841113,-5.769044543,0.155981,-0.167629,9.15476067692,1.43654921686
0.0275317719115,0.0200897183688,-0.0083695834187,0.150555,0.0612323476114,2.5816286584,0.879235,0.150676011126,0.166780060466,0.0104624177956,16.8491,9.73230189628,2.1776985439,4.17853483027,16,3.60984044309,0.000837205,12.3804,-9.50083327543,-3.88016501115,0.165323,-0.17392,10.6189419636,3.15543589785
0.000611954348714,0.0211846981687,-0.0609182629394,0.159777,0.0402443002819,-0.35007033145,0.88293,0.159821189326,0.177668060995,0.0180556755513,16.9267,7.23206159008,3.83662735561,5.34214836811,17,-1.58338412644,0.00093611,12.8484,-21.034961977,-14.5198761365,0.176376,-0.184837,6.77140924003,-1.41675277622
0.0515016375904,0.0228101237825,0.0210632724871,0.170673,0.0816207662004,3.34809923834,0.775546,0.170678483604,0.190246580549,0.0103963603292,16.9439,12.5388585817,2.15681356454,6.16592683203,18,9.0038596098,0.00108668,13.253,-18.5520939584,2.61514625184,0.189022,-0.197893,15.3829806281,7.68873474598
0.0569934737572,0.0241332689629,0.0217647975687,0.18822,0.0876659594491,6.86408204631,0.828001,0.188252660525,0.20785874898,0.0102437919799,17.1319,15.0921646241,2.14252309255,3.49597203716,19,10.2591903306,0.00120782,13.5971,-1.99778773677,2.92465037516,0.206721,-0.217474,16.662702723,8.83737101983
0.0862725686036,0.0259402731615,0.0434703091381,0.212147,0.140645065155,8.96046644572,0.84999,0.212128358949,0.231846888606,0.0164834858286,17.3814,17.9107643074,3.40817025545,6.28333093442,20,15.3018295192,0.00138248,13.9041,-4.42060971064,6.5110154677,0.230553,-0.24773,26.64018428,12.6193501118
0.0920940649459,0.0279492984002,0.00383866338764,0.241759,0.148739069081,9.62399598387,0.762411,0.241753443232,0.261472691874,0.0193654670785,17.5804,18.9626892365,3.96485540551,6.00469186275,21,16.6184799578,0.00162145,14.189,-2.5231108579,-1.47896769122,0.26029,-0.282936,28.0921946929,13.3017283466
0.107708368567,0.0291919395124,0.0300685393383,0.273598,0.186881607452,10.0064798522,0.752373,0.273571602023,0.293112818199,0.02622283873,17.7622,16.8695681981,5.1673504742,3.73671006632,22,19.4607717948,0.00179287,14.4999,2.94493371816,4.49445783725,0.292142,-0.318469,35.0316755323,15.5583902251
0.152722235265,0.0307404882436,0.0582829404454,0.311058,0.231149450247,14.2447564055,0.735529,0.311043833649,0.329611764765,0.0265794820507,17.9761,28.8192949448,5.37715392601,8.42055591779,23,28.4396961769,0.00201092,14.822,4.18529877666,9.21321412516,0.328659,-0.359658,44.2888602325,21.6258877431
0.153737285683,0.0321768671853,0.0823215295137,0.348854,0.23414831646,14.3741468984,0.858508,0.348867943271,0.367271008174,0.0286261946863,18.2125,41.0312889052,5.79486831801,9.45337643409,24,27.703891264,0.00225429,15.1048,0.0109622112036,13.356958449,0.366517,-0.400469,44.1601632464,20.8787684188
